r1025685.fit is not a target (BIAS)
r1025686.fit is not a target (SKY)
r1025687.fit is not a target (SKY)
r1025689.fit is not a target (SKY)
r1025690.fit is not a target (SKY)
r1025691.fit is not a target (SKY)
r1025692.fit is not a target (SKY)
r1025693.fit is not a target (SKY)
r1025694.fit is not a target (SKY)
r1025696.fit is not a target (SKY)
r1025697.fit is not a target (SKY)
r1025698.fit is not a target (SKY)
r1025699.fit is not a target (SKY)
r1025700.fit is not a target (SKY)
r1025701.fit is not a target (SKY)
r1025702.fit is not a target (SKY)
r1025703.fit is not a target (SKY)
r1025704.fit is not a target (SKY)
r1025705.fit is not a target (SKY)
r1025706.fit is not a target (SKY)
r1025707.fit is not a target (FOCUS)
r1025708.fit is not a target (FOCUS)
r1025709.fit 13.27  4.38 0.086   109.8 from  30 sources of ceph
r1025783.fit  7.04  2.32 0.059   195.1 from 189 sources of cephOB3
r1025784.fit  8.93  2.95 0.062   193.3 from 127 sources of cephOB3
r1025785.fit  6.91  2.28 0.052   188.6 from 199 sources of cephOB3
r1025786.fit  7.43  2.45 0.080   190.3 from 182 sources of cephOB3
r1025787.fit  6.06  2.00 0.081   190.0 from 242 sources of cephOB3
r1025788.fit  5.30  1.75 0.070   178.2 from 323 sources of cephOB3
r1025789.fit  6.78  2.24 0.066   189.9 from 202 sources of cephOB3
r1025790.fit  6.49  2.14 0.119   186.9 from 233 sources of cephOB3
r1025791.fit  7.13  2.35 0.048   189.0 from 184 sources of cephOB3
r1025792.fit  6.19  2.04 0.056   183.9 from 248 sources of cephOB3
r1025793.fit  5.87  1.94 0.063   182.5 from 255 sources of cephOB3
r1025794.fit  6.50  2.15 0.099   185.4 from 238 sources of cephOB3
r1025795.fit  6.44  2.13 0.059   184.2 from 232 sources of cephOB3
r1025796.fit  5.87  1.94 0.052   181.8 from 258 sources of cephOB3
r1025797.fit  6.63  2.19 0.077   188.4 from 204 sources of cephOB3
r1025798.fit  5.73  1.89 0.069   173.4 from 255 sources of cephOB3
r1025799.fit  5.79  1.91 0.066   182.1 from 264 sources of cephOB3
r1025800.fit  5.90  1.95 0.055   181.1 from 257 sources of cephOB3
r1025801.fit  6.57  2.17 0.071   183.3 from 211 sources of cephOB3
r1025802.fit  6.32  2.09 0.051   182.2 from 221 sources of cephOB3
r1025803.fit  6.50  2.15 0.055   182.2 from 210 sources of cephOB3
r1025804.fit  6.19  2.04 0.047   179.8 from 237 sources of cephOB3
r1025805.fit  6.62  2.18 0.049   183.0 from 209 sources of cephOB3
r1025806.fit  6.04  1.99 0.062   181.1 from 251 sources of cephOB3
r1025807.fit  6.46  2.13 0.072   185.2 from 214 sources of cephOB3
r1025808.fit  6.06  2.00 0.067   185.1 from 244 sources of cephOB3
r1025809.fit  5.78  1.91 0.068   183.0 from 256 sources of cephOB3
r1025810.fit  6.07  2.00 0.099   182.3 from 255 sources of cephOB3
r1025811.fit  5.67  1.87 0.050   178.5 from 274 sources of cephOB3
r1025812.fit  5.43  1.79 0.062   169.0 from 288 sources of cephOB3
r1025813.fit  5.41  1.79 0.056   168.9 from 297 sources of cephOB3
r1025814.fit  5.39  1.78 0.069   169.3 from 297 sources of cephOB3
r1025815.fit  5.40  1.78 0.066   183.0 from 257 sources of cephOB3
r1025816.fit  5.64  1.86 0.069   188.0 from 225 sources of cephOB3
r1025817.fit  5.82  1.92 0.054   187.0 from 207 sources of cephOB3
r1025818.fit  5.92  1.95 0.079   186.0 from 195 sources of cephOB3
r1025819.fit  5.06  1.67 0.062   181.2 from 245 sources of cephOB3
r1025820.fit  6.39  2.11 0.052   185.8 from 159 sources of cephOB3
r1025821.fit  6.06  2.00 0.046   183.1 from 198 sources of cephOB3
r1025822.fit  5.35  1.77 0.057   180.3 from 230 sources of cephOB3
r1025823.fit  5.71  1.88 0.058   185.2 from 197 sources of cephOB3
r1025824.fit  6.21  2.05 0.050   186.6 from 136 sources of cephOB3
r1025825.fit  5.24  1.73 0.058   188.0 from 179 sources of cephOB3
r1025826.fit  5.61  1.85 0.087   183.1 from 200 sources of cephOB3
r1025827.fit  6.24  2.06 0.078   181.0 from 204 sources of cephOB3
r1025828.fit  5.50  1.82 0.063   165.2 from 279 sources of cephOB3
r1025829.fit  6.10  2.01 0.058   175.9 from 235 sources of cephOB3
r1025830.fit  6.42  2.12 0.051   178.7 from 202 sources of cephOB3
r1025831.fit  6.58  2.17 0.052   178.7 from 205 sources of cephOB3
r1025832.fit  5.68  1.87 0.073   176.9 from 252 sources of cephOB3
r1025833.fit  5.97  1.97 0.065   179.2 from 209 sources of cephOB3
r1025834.fit  5.91  1.95 0.068   175.5 from 227 sources of cephOB3
r1025835.fit  6.54  2.16 0.047   178.3 from 191 sources of cephOB3
r1025836.fit  6.33  2.09 0.059   178.8 from 178 sources of cephOB3
r1025837.fit  6.11  2.02 0.047   178.9 from 195 sources of cephOB3
r1025838.fit  5.03  1.66 0.054   165.6 from 259 sources of cephOB3
r1025839.fit  5.13  1.69 0.056   178.1 from 240 sources of cephOB3
r1025840.fit is not a target (FOCUS)
r1025841.fit is not a target (FOCUS)
r1025842.fit  6.07  2.00 0.071    16.8 from  21 sources of f1
r1025843.fit  5.49  1.81 0.091    43.4 from  71 sources of f1
r1025844.fit  7.52  2.48 0.101    20.8 from  12 sources of f1
r1025845.fit  6.27  2.07 0.100   112.3 from  27 sources of f1
r1025846.fit  5.01  1.65 0.065    27.8 from  24 sources of f1
r1025847.fit  6.22  2.05 0.072   114.3 from  67 sources of f1
r1025848.fit  5.65  1.86 0.066    22.1 from  25 sources of f1
r1025849.fit  6.13  2.02 0.075    91.6 from  54 sources of f1
r1025850.fit  7.17  2.37 0.055    20.0 from  20 sources of f1
r1025851.fit  6.34  2.09 0.056    63.4 from  74 sources of f1
r1025852.fit  4.99  1.65 0.101    26.5 from  42 sources of f1
r1025853.fit  5.53  1.82 0.078    65.0 from  70 sources of f1
r1025854.fit  4.60  1.52 0.110    20.1 from  40 sources of f1
r1025855.fit  5.89  1.94 0.068    48.5 from  67 sources of f1
r1025856.fit  6.94  2.29 0.070    17.6 from  24 sources of f2
r1025857.fit  5.74  1.89 0.099    46.3 from  81 sources of f2
r1025858.fit  6.65  2.19 0.066    37.6 from  14 sources of f2
r1025859.fit  7.82  2.58 0.037    85.7 from  24 sources of f2
r1025860.fit  8.12  2.68 0.028    73.4 from  12 sources of f2
r1025861.fit  6.49  2.14 0.098   128.0 from  70 sources of f2
r1025862.fit  5.82  1.92 0.069    30.1 from  27 sources of f2
r1025863.fit  6.43  2.12 0.059    83.9 from  49 sources of f2
r1025864.fit  9.35  3.09 0.082    29.4 from   8 sources of f2
r1025865.fit  6.35  2.10 0.053    66.3 from  89 sources of f2
r1025866.fit  6.84  2.26 0.058    34.0 from  34 sources of f2
r1025867.fit  5.22  1.72 0.059    76.0 from  80 sources of f2
r1025868.fit  4.94  1.63 0.065    37.1 from  38 sources of f2
r1025869.fit  5.40  1.78 0.098    66.5 from  83 sources of f2
r1025870.fit  5.67  1.87 0.067    41.4 from  26 sources of f3
r1025871.fit  7.30  2.41 0.064    73.3 from  65 sources of f3
r1025872.fit  8.03  2.65 0.099    54.5 from  11 sources of f3
r1025873.fit  6.54  2.16 0.065   139.8 from  32 sources of f3
r1025874.fit  5.27  1.74 0.088    60.1 from  30 sources of f3
r1025875.fit  6.04  1.99 0.103   155.3 from  83 sources of f3
r1025876.fit 10.20  3.37 0.196    51.9 from  19 sources of f3
r1025877.fit 14.14  4.67 0.053   110.7 from  35 sources of f3
r1025878.fit  5.94  1.96 0.074    52.1 from  31 sources of f3
r1025879.fit  6.40  2.11 0.082    88.7 from  75 sources of f3
r1025880.fit  5.16  1.70 0.083    53.3 from  46 sources of f3
r1025881.fit  4.26  1.41 0.079    95.7 from 105 sources of f3
r1025882.fit  5.47  1.81 0.045    40.9 from  30 sources of f3
r1025883.fit  5.85  1.93 0.039    69.3 from  79 sources of f3
r1025884.fit  4.62  1.52 0.073    41.3 from  35 sources of f1
r1025885.fit  6.58  2.17 0.050    71.9 from  68 sources of f1
r1025886.fit  6.62  2.18 0.080    51.8 from  13 sources of f1
r1025887.fit  8.47  2.80 0.042   124.2 from  26 sources of f1
r1025888.fit  5.68  1.87 0.067    59.5 from  22 sources of f1
r1025889.fit  6.52  2.15 0.140   142.1 from  82 sources of f1
r1025890.fit  5.95  1.96 0.079    41.1 from  22 sources of f1
r1025891.fit  5.70  1.88 0.063   103.3 from  58 sources of f1
r1025892.fit  5.34  1.76 0.062    42.3 from  35 sources of f1
r1025893.fit  5.10  1.68 0.051    85.8 from 103 sources of f1
r1025894.fit  5.18  1.71 0.093    52.7 from  44 sources of f1
r1025895.fit  5.44  1.80 0.044    87.3 from  69 sources of f1
r1025896.fit  7.57  2.50 0.043    41.8 from  18 sources of f1
r1025897.fit  6.44  2.13 0.080    66.4 from  66 sources of f1
r1025898.fit  5.05  1.67 0.122    39.9 from  37 sources of f2
r1025899.fit  5.99  1.98 0.043    71.0 from  70 sources of f2
r1025900.fit  6.67  2.20 0.043    74.1 from   9 sources of f2
r1025901.fit  7.24  2.39 0.042   148.8 from  23 sources of f2
