id,time,moon_altitude,moon_azimuth,moon_separation,moon_phase,moon_ra,moon_dec
0610_oct2003,2003-10-18T04:00:21.6,50.3,82.6,65.0,53.6,113.378,26.242
0610o_oct2003,2003-10-18T04:04:59.9,51.3,83.0,64.9,53.6,113.409,26.242
0611_oct2003,2003-10-18T04:09:38.8,52.3,83.4,64.3,53.6,113.440,26.243
0611o_oct2003,2003-10-18T04:14:17.3,53.3,83.8,64.2,53.5,113.471,26.243
0612_oct2003,2003-10-18T04:18:59.7,54.3,84.2,64.7,53.5,113.502,26.243
0612o_oct2003,2003-10-18T04:23:37.5,55.3,84.6,64.6,53.5,113.532,26.243
0613_oct2003,2003-10-18T04:28:16.3,56.2,85.0,65.4,53.5,113.562,26.243
0613o_oct2003,2003-10-18T04:32:58.2,57.3,85.5,65.3,53.4,113.592,26.243
0614_oct2003,2003-10-18T04:37:37.4,58.2,85.9,65.9,53.4,113.622,26.243
0614o_oct2003,2003-10-18T04:42:16.5,59.2,86.3,65.8,53.4,113.651,26.243
0615_oct2003,2003-10-18T04:46:55.1,60.2,86.8,65.7,53.3,113.680,26.242
0615o_oct2003,2003-10-18T04:51:34.2,61.2,87.2,65.7,53.3,113.709,26.242
0616_oct2003,2003-10-18T04:56:13.3,62.2,87.7,65.0,53.3,113.738,26.241
0616o_oct2003,2003-10-18T05:00:52.1,63.2,88.2,64.9,53.2,113.767,26.240
0617_oct2003,2003-10-18T23:59:02.6,-8.7,56.0,72.3,45.4,124.869,24.270
0617o_oct2003,2003-10-19T00:03:41.5,-7.9,56.7,72.2,45.3,124.920,24.268
0618_oct2003,2003-10-19T00:08:20.5,-7.0,57.3,70.7,45.3,124.971,24.267
0618o_oct2003,2003-10-19T00:19:34.4,-4.5,58.7,70.6,45.2,125.093,24.262
0619_oct2003,2003-10-19T00:24:15.2,-2.8,59.3,71.2,45.2,125.143,24.260
0619o_oct2003,2003-10-19T00:28:53.2,-2.1,59.9,71.1,45.2,125.192,24.259
0620_oct2003,2003-10-19T00:33:33.2,-1.5,60.4,73.1,45.1,125.242,24.257
0620o_oct2003,2003-10-19T00:38:11.9,-0.9,61.0,73.0,45.1,125.290,24.255
0621_oct2003,2003-10-19T00:42:50.8,-0.2,61.5,72.3,45.1,125.339,24.254
0621o_oct2003,2003-10-19T00:47:29.4,0.5,62.1,72.2,45.0,125.387,24.252
0622_oct2003,2003-10-19T00:52:07.7,1.2,62.6,71.7,45.0,125.435,24.251
0622o_oct2003,2003-10-19T00:56:56.1,2.1,63.1,71.6,45.0,125.484,24.249
0623_oct2003,2003-10-19T01:01:41.1,2.9,63.7,73.0,44.9,125.532,24.247
0623o_oct2003,2003-10-19T01:06:19.7,3.8,64.2,72.9,44.9,125.579,24.246
0624_oct2003,2003-10-19T01:10:59.3,4.6,64.7,71.1,44.9,125.626,24.244
0624o_oct2003,2003-10-19T01:15:42.3,5.5,65.2,71.0,44.8,125.672,24.243
0625_oct2003,2003-10-19T01:20:24.1,6.4,65.7,72.2,44.8,125.719,24.241
0625o_oct2003,2003-10-19T01:25:02.1,7.2,66.2,72.1,44.8,125.764,24.240
0626_oct2003,2003-10-19T01:29:40.6,8.1,66.7,70.7,44.7,125.809,24.238
0626o_oct2003,2003-10-19T01:34:19.0,9.0,67.2,70.6,44.7,125.854,24.237
0627_oct2003,2003-10-19T01:39:00.2,9.9,67.7,72.9,44.7,125.899,24.235
0627o_oct2003,2003-10-19T01:43:38.7,10.8,68.1,72.8,44.6,125.943,24.233
0628_oct2003,2003-10-19T01:48:17.5,11.7,68.6,71.7,44.6,125.986,24.232
0628o_oct2003,2003-10-19T01:52:58.6,12.7,69.1,71.6,44.6,126.030,24.230
0629_oct2003,2003-10-19T01:57:38.2,13.6,69.5,73.5,44.5,126.073,24.229
0629o_oct2003,2003-10-19T02:02:17.0,14.5,70.0,73.5,44.5,126.116,24.227
0630_oct2003,2003-10-19T02:06:55.0,15.4,70.4,72.1,44.5,126.158,24.225
0630o_oct2003,2003-10-19T02:11:33.2,16.3,70.9,72.0,44.4,126.200,24.224
0631_oct2003,2003-10-19T02:16:12.7,17.3,71.3,72.8,44.4,126.242,24.222
0631o_oct2003,2003-10-19T02:20:50.5,18.2,71.8,72.7,44.4,126.283,24.220
0632_oct2003,2003-10-19T02:25:29.3,19.1,72.2,71.1,44.3,126.324,24.219
0632o_oct2003,2003-10-19T02:30:09.2,20.1,72.7,71.0,44.3,126.365,24.217
0633_oct2003,2003-10-19T02:34:51.9,21.0,73.1,71.6,44.3,126.405,24.215
0633o_oct2003,2003-10-19T02:39:29.5,22.0,73.5,71.5,44.3,126.445,24.213
0634_oct2003,2003-10-19T02:44:11.0,22.9,74.0,73.5,44.2,126.485,24.211
0634o_oct2003,2003-10-19T02:48:50.0,23.9,74.4,73.4,44.2,126.524,24.209
0635_oct2003,2003-10-19T02:53:38.6,24.8,74.8,70.7,44.2,126.565,24.207
0635o_oct2003,2003-10-19T02:58:21.6,25.8,75.3,70.6,44.1,126.604,24.205
0636_oct2003,2003-10-19T03:03:02.1,26.8,75.7,72.7,44.1,126.642,24.203
0636o_oct2003,2003-10-19T03:07:40.9,27.7,76.1,72.6,44.1,126.680,24.201
0637_oct2003,2003-10-19T03:12:19.6,28.7,76.5,72.1,44.0,126.718,24.199
0637o_oct2003,2003-10-19T03:16:58.4,29.6,77.0,72.0,44.0,126.755,24.196
0638_oct2003,2003-10-19T03:21:39.0,30.6,77.4,73.4,44.0,126.792,24.194
0638o_oct2003,2003-10-19T03:26:17.7,31.6,77.8,73.3,43.9,126.829,24.192
0639_oct2003,2003-10-19T03:30:57.7,32.5,78.2,71.5,43.9,126.865,24.189
0639o_oct2003,2003-10-19T03:35:36.2,33.5,78.6,71.4,43.9,126.901,24.187
0640_oct2003,2003-10-19T03:40:30.4,34.5,79.1,72.6,43.8,126.938,24.184
0640o_oct2003,2003-10-19T03:45:10.1,35.5,79.5,72.5,43.8,126.974,24.181
