night,ext_r,hours_phot,hours_nonphot
20061007,,0.0,10.06
20061008,0.127,7.38,2.45
20061009,0.159,6.96,3.12
20061010,0.146,10.15,0.0
20061011,0.094,9.52,0.64
20061012,0.098,9.29,0.68
20061013,0.095,9.58,0.28
20061014,0.089:,4.5,5.77
20061015,,1.06,0.19
20061016,,0.0,0.0
20061017,0.069,0.37,0.0
20061018,,0.0,0.0
20061019,0.100,4.43,0.47
20061020,0.129,5.72,4.69
20061021,0.103:,4.96,5.41
20061022,0.122,7.32,2.46
20061023,,0.0,0.0
20061024,,0.0,0.0
20061025,,0.0,0.0
20061026,0.081,4.15,0.13
20061027,0.087,4.04,0.75
20061028,,0.0,0.0
20061029,0.120,1.43,0.13
20061030,,0.0,9.08
20061031,,0.0,0.0
20061101,,0.0,0.0
20061102,,0.12,1.43
20061103,,0.0,0.0
20061104,0.135,7.16,3.77
20061105,,0.0,10.79
20061106,,0.0,7.53
20061107,,0.39,2.76
20061108,0.096:,4.85,5.06
20061109,0.100,10.27,0.5
20061110,0.097,10.75,0.0
20061111,,0.0,10.57
20061112,,0.0,8.7
20061113,0.210:,2.92,8.08
20061114,,0.0,5.61
20061115,,0.0,0.0
20061116,0.095,10.09,0.34
20061117,0.085,7.68,3.25
20061118,,0.03,2.69
20061119,,0.0,7.76
20061120,,0.0,9.69
20061121,,0.0,10.29
20061122,0.146,10.49,0.4
20061123,0.128,8.38,2.62
20061124,,0.0,0.0
20061125,0.103,7.86,0.24
20061126,0.158:,7.91,3.14
20061127,0.105,11.13,0.0
20061128,0.118:,10.49,0.61
20061129,0.101,11.07,0.0
20061130,0.098,10.94,0.0
20061201,,1.56,9.63
20061202,0.162:,5.07,6.12
20061203,0.185:,1.49,9.63
20061204,0.101,10.88,0.3
20061205,0.109,11.14,0.0
20061206,0.106,11.09,0.0
20061207,0.098,9.1,1.75
20061208,,0.28,1.54
20061209,,0.0,0.0
20061210,,0.0,0.0
20061211,,0.0,0.0
20061212,0.104,11.1,0.0
20061213,0.101,10.94,0.28
20061214,0.094,11.05,0.0
20061215,0.104,9.64,1.46
20061216,0.112:,1.74,9.37
20061217,0.193:,5.25,5.92
20061218,,0.0,8.63
20061219,,0.0,0.04
20061220,,0.0,0.0
20061221,0.129,10.83,0.28
20061222,0.104,11.05,0.0
20061223,0.111,6.93,4.31
20061224,0.116,10.3,0.69
20061225,0.152:,4.34,6.78
20061226,0.119,9.73,1.43
20061227,,0.0,11.08
20061228,0.095,8.27,0.2
20061229,0.091,10.93,0.04
20061230,0.097,11.18,0.0
20061231,0.093,11.18,0.0
20070101,0.087,9.05,0.65
20070102,0.090,11.22,0.0
20070103,0.159,7.57,3.58
20070104,0.108,7.41,3.79
20070105,,0.0,11.11
20070106,,0.0,11.22
20070107,,0.0,0.0
20070108,,0.95,10.16
20070109,0.110:,2.41,8.97
20070110,0.115,10.57,0.03
20070111,,0.0,2.28
20070112,,0.0,3.28
20070113,0.286:,11.14,0.0
20070114,0.110,8.57,2.52
20070115,0.121,7.18,3.96
20070116,0.160:,4.34,6.71
20070117,0.136,9.47,1.54
20070118,,1.24,9.65
20070119,0.129:,10.25,0.67
20070120,0.107,10.72,0.0
20070121,0.096,11.0,0.0
20070122,0.100,10.82,0.28
20070123,,1.03,9.7
20070124,,0.27,3.17
20070125,,0.0,0.0
20070126,,0.0,0.0
20070127,,0.0,0.0
20070128,,0.0,0.0
20070129,0.112,6.22,3.76
20070130,,0.39,0.05
20070131,,0.0,0.0
20070201,,0.0,0.0
20070202,0.090,9.94,0.46
20070203,0.092,7.81,2.65
20070204,,2.07,8.68
20070205,,0.0,0.0
20070206,0.134,5.58,3.89
20070207,0.095,7.12,0.38
20070208,0.093,7.96,0.05
20070209,0.084,7.71,0.4
20070210,0.082,10.51,0.27
20070211,0.145,5.44,5.28
20070212,0.085,7.97,0.34
20070213,0.109:,3.13,7.34
20070214,0.088,9.47,1.24
20070215,0.095,2.73,0.0
20070216,,0.36,10.04
20070217,0.094,7.91,2.52
20070218,0.087,8.14,2.15
20070219,,0.56,4.59
20070220,0.090,9.66,0.1
20070221,0.080,10.52,0.0
20070222,0.085,10.45,0.0
20070223,0.083,10.58,0.0
20070224,0.082,10.55,0.0
20070225,0.077,10.52,0.0
20070226,0.068,7.84,0.07
20070227,0.080,8.09,0.07
20070228,0.083,8.21,0.07
20070301,0.102,8.05,0.05
20070302,0.082,7.86,0.4
20070303,0.083,7.65,0.33
20070304,0.109:,8.94,1.43
20070305,0.088,7.86,0.05
20070306,0.091,10.15,0.0
20070307,0.081,7.79,0.05
20070308,0.094:,3.66,6.38
20070309,0.129:,4.05,6.06
20070310,0.086,10.22,0.0
20070311,,0.0,0.0
20070312,0.092,3.71,0.0
20070313,,0.0,0.0
20070314,,0.0,0.0
20070315,,0.0,0.0
20070316,,0.0,0.0
20070317,,0.0,0.0
20070318,,0.0,0.0
20070319,,0.0,0.0
20070320,,0.0,0.0
20070321,,0.0,0.0
20070322,,0.0,0.0
20070323,,0.0,0.0
20070324,,0.0,0.0
20070325,,0.0,0.0
20070326,,0.0,0.0
20070327,,0.0,0.0
20070328,,0.0,0.0
20070329,,0.0,0.0
20070330,,0.0,0.0
20070331,,0.0,0.0
20070401,,0.0,0.0
20070402,,0.0,0.0
20070403,,0.0,0.0
20070404,,0.0,0.0
20070405,,0.0,0.0
20070406,,0.0,0.0
20070407,,0.0,0.0
20070408,,0.0,0.0
20070409,,0.0,0.0
20070410,,0.0,0.0
20070411,,0.0,0.0
20070412,,0.0,0.0
20070413,,0.0,0.0
20070414,,0.0,0.0
20070415,,0.0,0.0
20070416,,0.0,0.0
20070417,,0.0,0.0
20070418,,0.0,0.0
20070419,,0.0,0.0
20070420,,0.0,0.0
20070421,,0.0,0.0
20070422,,0.0,0.0
20070423,,0.0,0.0
20070424,,0.0,0.0
20070425,,0.0,0.0
20070426,,0.0,0.0
20070427,,0.0,0.0
20070428,,0.0,0.0
20070429,,0.0,0.0
20070430,,0.0,0.0
20070501,,0.0,0.0
20070502,0.093,8.18,0.33
20070503,,1.65,6.98
20070504,0.104,5.27,3.35
20070505,,1.1,7.24
20070506,0.110:,3.68,4.43
20070507,0.160:,3.36,5.19
20070508,,0.42,7.08
20070509,0.155,8.42,0.0
20070510,0.131,8.46,0.0
20070511,0.099,7.4,0.05
20070512,0.119,7.79,0.58
20070513,0.105,4.43,1.55
20070514,,0.0,0.0
20070515,,0.0,0.0
20070516,,0.0,0.0
20070517,,0.0,0.0
20070518,,0.0,0.0
20070519,,0.0,0.0
20070520,,0.0,0.0
20070521,,0.0,0.0
20070522,,0.0,0.0
20070523,,0.0,0.0
20070524,,0.0,0.0
20070525,,0.0,0.0
20070526,,0.0,0.0
20070527,,0.0,0.0
20070528,,0.0,0.0
20070529,,0.0,0.0
20070530,,0.0,0.0
20070531,,0.0,0.0
20070601,,0.0,0.0
20070602,,0.0,0.0
20070603,,0.0,0.0
20070604,,0.0,0.0
20070605,,0.0,0.0
20070606,,0.0,0.0
20070607,,0.0,0.0
20070608,,0.0,0.0
20070609,,0.0,0.0
20070610,,0.0,0.0
20070611,,0.0,0.0
20070612,0.082,7.58,0.0
20070613,0.080:,3.87,3.98
20070614,0.085,7.93,0.0
20070615,0.082,7.71,0.0
20070616,,0.0,0.0
20070617,,0.0,0.0
20070618,0.083,7.9,0.0
20070619,0.104,7.86,0.0
20070620,0.116,7.84,0.0
20070621,0.095,7.44,0.2
20070622,,1.35,6.02
20070623,0.100,7.84,0.0
20070624,0.100,7.73,0.0
20070625,,0.0,0.0
20070626,,0.0,7.5
20070627,0.086,7.75,0.0
20070628,,0.0,7.59
20070629,0.090,6.65,0.8
20070630,0.079,7.21,0.28
20070701,,2.6,5.09
20070702,0.080,4.42,3.13
20070703,,2.15,5.33
20070704,,1.01,6.59
20070705,0.076,5.94,0.28
20070706,0.081,7.35,0.04
20070707,0.082:,1.35,5.89
20070708,,0.27,7.21
20070709,0.187:,7.63,0.0
20070710,0.347,7.22,0.39
20070711,0.084,7.15,0.55
20070712,0.086,6.6,1.26
20070713,0.088,7.92,0.0
20070714,0.110,7.91,0.0
20070715,0.272,8.01,0.0
20070716,0.437,8.04,0.0
20070717,,1.81,6.28
20070718,0.416,8.12,0.0
20070719,0.620:,2.22,5.86
20070720,0.347,6.59,1.51
20070721,0.094,8.1,0.0
20070722,0.081,8.25,0.0
20070723,0.091,8.25,0.0
20070724,0.108,7.97,0.0
20070725,0.093,8.21,0.0
20070726,0.206,8.0,0.0
20070727,0.489:,4.99,3.06
20070728,0.292:,1.27,6.98
20070729,,0.0,0.0
20070730,0.147:,2.63,5.72
20070731,,0.0,8.17
20070801,0.151:,8.13,0.28
20070802,0.092,8.14,0.0
20070803,0.152,5.75,0.68
20070804,0.268,5.24,3.28
20070805,0.097,8.28,0.0
20070806,0.086,6.69,0.0
20070807,0.094,8.67,0.0
20070808,0.086,8.52,0.0
20070809,0.087,8.67,0.0
20070810,0.083,1.54,0.23
20070811,0.106,6.96,0.08
20070812,0.086,8.61,0.0
20070813,0.099,8.62,0.0
20070814,0.147,8.76,0.0
20070815,0.191,8.01,0.7
20070816,0.094,3.45,0.04
20070817,,0.0,0.0
20070818,,0.0,0.0
20070819,,0.0,0.0
20070820,0.107,8.88,0.0
20070821,0.116,8.95,0.0
20070822,0.107,8.97,0.0
20070823,0.099,9.02,0.0
20070824,,0.0,0.0
20070825,,0.0,0.0
20070826,,0.0,0.0
20070827,,0.0,0.0
20070828,,1.43,7.45
20070829,0.199,6.47,2.63
20070830,0.142,9.18,0.0
20070831,0.129,9.25,0.0
20070901,0.092,9.31,0.0
20070902,0.175,6.07,2.86
20070903,0.142,9.37,0.0
20070904,0.103,8.79,0.0
20070905,0.092,8.95,0.35
20070906,0.094,9.16,0.0
20070907,0.092,8.79,0.28
20070908,0.086,9.01,0.29
20070909,0.112,9.25,0.29
20070910,0.089,8.86,0.67
20070911,0.096,9.08,0.29
20070912,0.106,9.13,0.39
20070913,0.095,9.0,0.42
20070914,0.092,9.6,0.0
20070915,0.108,6.37,3.4
20070916,0.092,9.81,0.0
20070917,0.095,9.76,0.0
20070918,0.094,9.51,0.0
20070919,0.092,9.77,0.0
20070920,,0.0,0.0
20070921,0.360:,4.83,4.18
20070922,,0.5,9.47
20070923,,1.07,7.8
20070924,0.092,10.03,0.0
20070925,0.090,8.74,0.11
20070926,0.095,3.87,0.11
20070927,0.090,10.01,0.0
20070928,0.091,9.67,0.32
20070929,0.089,9.87,0.0
20070930,0.089,9.97,0.0
20071001,,0.0,0.04
20071002,0.088,6.88,0.0
20071003,0.182:,4.14,5.93
20071004,0.127:,1.55,8.36
20071005,0.102,2.35,0.03
20071006,0.158:,1.12,8.8
20071007,0.090,9.79,0.0
20071008,0.089,10.06,0.0
20071009,0.090,10.17,0.0
20071010,,0.0,0.0
20071011,,0.0,0.0
20071012,,0.0,0.0
20071013,0.114,10.18,0.0
20071014,0.114,10.14,0.27
20071015,0.102,10.49,0.0
20071016,0.099,1.26,0.48
20071017,0.087,7.59,0.0
20071018,0.087,10.53,0.0
20071019,0.089,10.25,0.07
20071020,0.084,10.31,0.07
20071021,0.111,10.0,0.0
20071022,0.111,10.64,0.0
20071023,0.083,6.85,3.61
20071024,0.088,8.23,2.39
20071025,0.094:,4.98,5.68
20071026,0.092,8.35,0.19
20071027,,0.0,0.0
20071028,0.087,9.27,0.11
20071029,0.089,7.76,0.15
20071030,0.089,6.45,0.0
20071031,0.090,10.86,0.0
20071101,0.088,10.88,0.0
20071102,0.092,10.91,0.0
20071103,0.089,4.56,2.8
20071104,0.119,8.58,1.32
20071105,,0.0,0.0
20071106,,0.0,11.09
20071107,,0.0,11.02
20071108,,0.0,0.0
20071109,,0.0,11.17
20071110,,0.0,0.0
20071111,,0.0,0.0
20071112,,0.0,0.0
20071113,,0.0,0.0
20071114,,0.0,0.0
20071115,,0.0,0.0
20071116,,0.0,0.0
20071117,,0.0,0.0
20071118,,0.0,0.0
20071119,,0.0,0.0
20071120,,0.0,0.0
20071121,,0.0,0.0
20071122,,0.0,0.0
20071122,,0.0,0.0
20071123,,0.0,0.0
20071124,,0.0,0.0
20071125,,0.0,0.0
20071126,,0.0,0.0
20071127,,0.0,0.0
20071128,,0.0,0.0
20071129,,0.0,0.0
20071130,,0.0,0.0
20071201,,0.0,0.0
20071202,,0.0,0.0
20071203,,0.0,0.0
20071204,,0.0,0.0
20071205,,0.0,0.0
20071206,,0.0,0.0
20071207,,0.0,0.0
20071208,,0.0,0.0
20071209,,0.0,0.0
20071210,,0.0,0.0
20071211,,0.0,0.0
20071212,,0.0,0.0
20071213,,0.0,0.0
20071214,,0.0,0.0
20071215,,0.0,0.0
20071216,,0.0,0.0
20071217,,0.0,0.0
20071218,,0.0,0.0
20071219,,0.0,0.0
20071220,,0.0,0.0
20071221,,0.0,0.0
20071222,,0.0,0.0
20071223,,0.0,0.0
20071224,,0.0,0.0
20071225,,0.0,0.0
20071226,,0.0,0.0
20071227,,0.0,0.0
20071228,,0.0,0.0
20071229,,0.0,0.0
20071230,,0.0,0.0
20071231,,0.0,0.0
20080101,,0.0,0.0
20080102,,0.0,0.0
20080103,,0.0,0.0
20080104,,0.0,0.0
20080105,,0.0,0.0
20080106,,0.0,0.0
20080107,,0.0,0.0
20080108,,0.0,0.0
20080109,,0.0,0.0
20080110,,0.0,0.0
20080111,,0.0,0.0
20080112,,0.0,0.0
20080113,,0.0,0.0
20080114,,0.0,0.0
20080115,,0.0,0.0
20080116,,0.0,0.0
20080117,,0.0,0.0
20080118,,0.0,0.0
20080119,,0.0,0.0
20080120,,0.0,0.0
20080121,,0.0,0.0
20080122,,0.0,0.0
20080123,,0.0,0.0
20080124,,0.0,0.0
20080125,,0.0,0.0
20080126,,0.0,0.0
20080127,,0.0,0.0
20080128,,0.0,0.0
20080129,,0.0,0.0
20080130,,0.0,0.0
20080131,,0.0,0.0
20080201,,0.0,0.0
20080202,,0.0,0.0
20080203,,0.0,0.0
20080204,,0.0,0.0
20080205,,0.0,0.0
20080206,,0.0,0.0
20080207,,0.0,0.0
20080208,,0.0,0.0
20080209,,0.0,0.0
20080210,,0.0,0.0
20080211,,0.0,0.0
20080212,,0.0,0.0
20080213,,0.0,0.0
20080214,,0.0,0.0
20080215,,0.0,0.0
20080216,,0.0,0.0
20080217,,0.0,0.0
20080218,,0.0,0.0
20080219,,0.0,0.0
20080220,,0.0,0.0
20080221,,0.0,0.0
20080222,,0.0,0.0
20080223,,0.0,0.0
20080224,,0.0,0.0
20080225,,0.0,0.0
20080226,,0.0,0.0
20080227,,0.0,0.0
20080228,,0.0,0.0
20080229,,0.0,0.0
20080301,,0.0,0.0
20080302,,0.0,0.0
20080303,,0.0,0.0
20080304,,0.0,0.0
20080305,,0.0,0.0
20080306,,0.0,0.0
20080307,,0.0,0.0
20080308,,0.0,0.0
20080309,,0.0,0.0
20080310,,0.0,0.0
20080311,,0.0,0.0
20080312,,0.0,0.0
20080313,,0.0,0.0
20080314,,0.0,0.0
20080315,,0.0,0.0
20080316,,0.0,0.0
20080317,,0.0,0.0
20080318,,0.0,0.0
20080319,,0.0,0.0
20080320,,0.0,0.0
20080321,,0.0,0.0
20080322,,0.0,0.0
20080323,,0.0,0.0
20080324,,0.0,0.0
20080325,,0.0,0.0
20080326,,0.0,0.0
20080327,,0.0,0.0
20080328,,0.74,0.28
20080329,0.073,8.56,0.29
20080330,0.095,9.27,0.0
20080331,0.096,5.38,2.87
20080401,0.087,7.92,0.1
20080402,,0.33,7.97
20080403,0.097,7.6,0.0
20080404,0.083,3.61,0.04
20080405,0.158,1.31,1.12
20080406,,0.0,0.0
20080407,,0.0,0.0
20080408,,0.0,0.0
20080409,,0.0,0.0
20080410,,0.47,0.0
20080411,0.095,7.73,0.24
20080412,,0.0,8.73
20080413,0.091,6.67,0.41
20080414,0.090,7.53,1.59
20080415,0.086:,5.08,3.39
20080416,0.092,6.78,1.9
20080417,0.072,8.8,0.0
20080418,0.101,6.69,2.32
20080419,,0.0,0.0
20080420,0.071,8.0,0.84
20080421,0.075,8.81,0.0
20080422,0.075,8.25,0.28
20080423,0.078,8.77,0.0
20080424,0.141,8.46,0.0
20080425,0.559:,4.26,4.35
20080426,0.446:,1.09,7.04
20080427,0.243,7.25,0.0
20080428,0.141,8.31,0.28
20080429,0.190,8.35,0.28
20080430,,1.09,7.48
20080501,,1.18,7.47
20080502,,0.0,8.63
20080503,0.128,4.8,3.74
20080504,0.097,6.0,2.35
20080505,,0.29,8.19
20080506,0.107,7.47,0.29
20080507,,0.1,0.0
20080508,,0.0,0.0
20080509,0.095,8.08,0.02
20080510,0.102,7.71,0.29
20080511,0.104,8.57,0.0
20080512,0.122,8.07,0.0
20080513,0.112,7.51,0.0
20080514,0.168,8.34,0.0
20080515,,5.34,0.0
20080516,,0.76,0.57
20080517,0.097,3.77,0.42
20080518,0.112,4.3,4.02
20080519,0.112,6.89,1.38
20080520,0.104,7.93,0.0
20080521,0.107,8.05,0.0
20080522,0.095,8.15,0.0
20080523,0.088,5.87,2.37
20080524,0.091,3.56,0.0
20080525,0.083,8.09,0.0
20080526,0.081,8.2,0.0
20080527,0.084,7.19,0.99
20080528,0.131,5.42,2.74
20080529,,3.55,4.6
20080530,,0.0,0.04
20080531,0.083,6.2,0.0
20080601,0.083,8.08,0.0
20080602,0.087,7.92,0.0
20080603,0.084,14.16,1.98
20080604,0.081,8.06,0.0
20080605,0.083,7.99,0.0
20080606,0.084,7.99,0.0
20080607,0.080,7.82,0.0
20080608,,0.0,0.0
20080609,0.082,7.83,0.0
20080610,0.075,7.41,0.33
20080611,0.084,7.88,0.0
20080612,0.082,8.05,0.0
20080613,0.083,7.92,0.0
20080614,0.087,7.38,0.4
20080615,0.091,6.31,0.0
20080616,,0.0,0.0
20080617,,0.0,0.0
20080618,,0.0,0.0
20080619,,0.0,0.0
20080620,,0.0,0.0
20080621,,0.0,0.0
20080622,,0.0,0.0
20080623,,0.0,0.0
20080624,,0.0,0.0
20080625,0.167,8.04,0.0
20080626,0.327,16.06,0.0
20080627,,0.0,0.0
20080628,0.296,8.04,0.0
20080629,0.318,8.0,0.0
20080630,0.194,7.52,0.31
20080701,0.091,7.79,0.0
20080702,0.133,8.07,0.0
20080703,0.089,8.06,0.0
20080704,0.083,8.08,0.0
20080705,,2.91,5.13
20080706,0.107,4.21,3.66
20080707,0.085,8.02,0.0
20080708,0.093,8.07,0.0
20080709,0.232,7.76,0.0
20080710,0.373,5.26,2.79
20080711,0.084,8.07,0.0
20080712,0.081,8.08,0.0
20080713,0.088,8.21,0.0
20080714,,2.98,5.25
20080715,,2.98,5.26
20080716,0.077,6.05,2.1
20080717,0.072:,3.57,4.38
20080718,0.075,5.75,2.42
20080719,,0.0,8.01
20080720,,0.61,7.48
20080721,,1.19,7.03
20080722,0.267,8.21,0.0
20080723,0.130,8.25,0.0
20080724,0.128,8.29,0.0
20080725,0.247,7.88,0.37
20080726,0.176:,8.37,0.0
20080727,0.110,8.47,0.0
20080728,0.093,8.38,0.0
20080729,0.092,7.82,0.58
20080730,0.225,8.42,0.0
20080731,,0.0,8.46
20080801,0.274,8.49,0.0
20080802,0.212,8.46,0.0
20080803,0.261,8.38,0.0
20080804,0.315,8.56,0.0
20080805,0.348,8.6,0.0
20080806,0.257,8.61,0.0
20080807,,1.6,7.04
20080808,,0.0,8.38
20080809,0.377,4.96,3.74
20080810,0.128,7.66,1.06
20080811,0.096,8.65,0.0
20080812,0.117,8.52,0.11
20080813,0.116,8.82,0.0
20080814,0.098,6.14,2.65
20080815,,0.34,8.47
20080816,,0.74,2.95
20080817,,0.0,0.0
20080818,0.216,4.94,3.79
20080819,,3.25,5.68
20080820,,0.0,7.43
20080821,0.286,5.96,3.07
20080822,0.237,8.46,0.61
20080823,0.427:,3.89,5.22
20080824,0.328,9.13,0.0
20080825,0.113,9.16,0.0
20080826,0.114,9.19,0.0
20080827,0.102,9.22,0.0
20080828,0.110,9.29,0.0
20080829,0.260,9.28,0.0
20080830,0.244,9.36,0.0
20080831,0.171:,1.51,7.89
20080901,0.242,9.42,0.0
20080902,0.152,9.41,0.0
20080903,0.102,9.49,0.0
20080904,0.130,9.55,0.0
20080905,,0.0,9.66
20080906,,0.0,9.18
20080907,0.232:,5.79,1.46
20080908,,0.0,0.0
20080909,,0.93,0.19
20080910,0.098,8.82,0.0
20080911,,0.0,5.32
20080912,0.094,9.75,0.0
20080913,0.105,7.51,2.23
20080914,,1.56,8.2
20080915,0.102,8.0,1.6
20080916,,0.0,9.86
20080917,,0.34,0.0
20080918,,0.0,0.0
20080919,0.114,9.56,0.28
20080920,,0.59,0.04
20080921,0.098,9.85,0.0
20080922,0.103,9.64,0.0
20080923,0.099,10.08,0.0
20080924,,0.0,0.3
20080925,,0.0,0.0
20080926,,0.0,0.0
20080927,,0.0,0.0
20080928,,0.0,7.24
20080929,,0.62,0.0
20080930,,2.88,0.0
20081001,,0.0,0.0
20081002,,0.0,1.85
20081003,0.108,10.33,0.0
20081004,0.104,10.35,0.0
20081005,,2.6,7.65
20081006,0.107,10.4,0.0
20081007,0.091,10.44,0.0
20081008,0.081,10.03,0.34
20081009,,0.92,0.18
20081010,,2.14,6.17
20081011,,1.32,0.04
20081012,0.113,10.3,0.0
20081013,0.107,10.43,0.0
20081014,0.088,10.52,0.0
20081015,0.109,10.65,0.0
20081016,0.097,10.67,0.0
20081017,0.147:,0.73,5.54
20081018,0.115,1.75,0.0
20081019,,0.0,0.57
20081020,0.095,10.73,0.0
20081021,0.096,7.72,0.5
20081022,0.094,9.01,0.0
20081023,,0.0,0.0
20081024,0.094,10.76,0.0
20081025,,1.78,6.83
20081026,,0.0,0.0
20081027,0.092,8.38,0.0
20081028,,0.0,0.0
20081029,,0.0,0.0
20081030,,0.0,0.0
20081031,,0.0,0.0
20081101,,0.0,0.0
20081102,,0.0,0.0
20081103,0.096,7.61,0.08
20081104,,0.0,10.88
20081105,,0.0,10.88
20081106,0.097,10.94,0.0
20081107,,1.74,9.35
20081108,0.132,6.83,4.29
20081109,,1.56,9.47
20081110,,0.0,11.02
20081111,0.123:,5.17,5.74
20081112,0.146:,3.73,7.17
20081113,0.098,8.51,2.45
20081114,0.130,6.92,4.03
20081115,0.096,8.66,2.32
20081116,0.091,10.99,0.0
20081117,0.098,10.92,0.03
20081118,0.119,10.45,0.55
20081119,0.100,3.21,0.0
20081120,,0.0,0.0
20081121,,0.0,0.0
20081122,,0.84,3.66
20081123,0.091,10.33,0.04
20081124,0.100,5.66,2.88
20081125,,0.0,7.6
20081126,,0.0,0.0
20081127,0.114:,6.8,4.43
20081128,0.193:,2.78,8.21
20081129,0.093,10.54,0.65
20081130,,0.97,10.28
20081201,0.097,7.63,3.66
20081202,,0.0,11.14
20081203,0.132,10.79,0.56
20081204,0.146,11.27,0.0
20081205,,1.98,9.31
20081206,0.099:,1.52,9.69
20081207,0.096,9.55,1.9
20081208,0.111,9.7,0.85
20081209,0.122,6.4,4.27
20081210,0.125:,5.38,6.09
20081211,0.097:,3.74,7.72
20081212,,2.58,1.15
20081213,0.095,7.45,0.0
20081214,,0.54,0.28
20081215,,0.0,0.0
20081216,0.093,11.42,0.0
20081217,0.095,11.52,0.0
20081218,0.104,7.77,0.28
20081219,0.093,3.33,1.42
20081220,0.098,11.1,0.38
20081221,0.094,9.01,2.48
20081222,,1.82,9.73
20081223,,0.0,3.57
20081224,,0.0,0.0
20081225,0.090,11.47,0.0
20081226,,0.0,0.0
20081227,,0.0,5.05
20081228,0.087,9.09,2.3
20081229,,0.0,2.26
20081230,,1.33,0.0
20081231,,0.0,0.0
20090101,0.088,10.97,0.31
20090102,0.082,11.25,0.0
20090103,0.083,11.22,0.0
20090104,0.084,10.89,0.16
20090105,,0.0,0.0
20090106,0.092,3.35,0.0
20090107,,0.0,0.05
20090108,,0.91,0.6
20090109,,0.0,0.0
20090110,0.086,3.81,3.34
20090111,,0.0,6.75
20090112,0.107:,4.5,6.3
20090113,0.091,11.11,0.0
20090114,0.097,9.01,0.0
20090115,,0.0,0.0
20090116,,0.0,0.0
20090117,,0.0,0.0
20090118,,0.0,0.0
20090119,0.091,5.5,0.33
20090120,0.085,10.76,0.11
20090121,0.093,6.35,4.63
20090122,0.129:,1.8,3.65
20090123,0.098,8.5,0.0
20090124,0.083,11.12,0.0
20090125,0.092,4.12,1.97
20090126,0.084,4.79,3.86
20090127,0.084,11.09,0.0
20090128,0.085,10.29,0.52
20090129,0.089,5.37,0.44
20090130,0.092,5.36,3.09
20090131,0.137,3.23,2.78
20090201,,0.0,4.02
20090202,,0.0,0.0
20090203,,0.0,0.0
20090204,,0.0,0.0
20090205,,0.0,0.0
20090206,,0.0,0.0
20090207,,0.0,0.0
20090208,,0.0,0.0
20090209,,0.0,10.86
20090210,0.089,5.84,4.82
20090211,0.092,8.78,1.86
20090212,0.090,5.63,4.8
20090213,0.099,9.91,0.0
20090214,,0.0,0.0
20090215,,0.0,0.0
20090216,0.153,10.68,0.0
20090217,0.127,4.23,1.59
20090218,,0.47,0.0
20090219,,0.0,0.0
20090220,,0.0,0.0
20090221,,0.0,0.0
20090222,,0.0,0.0
20090223,,0.0,0.0
20090224,,0.0,0.0
20090225,,0.0,0.0
20090226,,0.0,0.0
20090227,,0.0,0.0
20090228,,0.0,0.0
20090301,,0.0,0.0
20090302,,0.0,0.0
20090303,,0.0,0.0
20090304,,0.0,0.0
20090305,,0.0,0.0
20090306,,0.0,0.0
20090307,,0.0,0.0
20090308,,0.0,0.0
20090309,,0.0,0.0
20090310,,0.0,0.0
20090311,,0.0,0.0
20090312,,0.0,0.0
20090313,,0.0,0.0
20090314,,0.0,0.0
20090315,,0.0,0.0
20090316,,0.0,0.0
20090317,,0.0,0.16
20090318,0.116,3.31,1.01
20090319,0.104,9.88,0.0
20090320,0.091,4.22,0.3
20090321,0.089,9.71,0.0
20090322,0.088,9.49,0.1
20090323,0.096,6.3,0.0
20090324,,0.0,0.0
20090325,,0.0,0.0
20090326,,0.0,0.0
20090327,,0.0,0.0
20090328,,0.98,7.53
20090329,0.093,9.1,0.08
20090330,0.099,9.51,0.0
20090331,0.117,8.03,1.39
20090401,0.093,9.57,0.0
20090402,0.089,9.4,0.0
20090403,0.098,9.33,0.0
20090404,0.143,9.34,0.0
20090405,0.088,9.25,0.0
20090406,0.105,8.83,0.0
20090407,,0.0,9.29
20090408,,4.1,5.15
20090409,,0.0,4.6
20090410,0.100,5.07,4.16
20090411,,0.0,8.75
20090412,0.124,9.1,0.0
20090413,0.114,4.86,4.23
20090414,0.103,9.26,0.0
20090415,0.111:,1.66,7.38
20090416,0.103,8.97,0.0
20090417,,0.0,8.19
20090418,0.100,5.76,3.03
20090419,0.101,7.63,1.17
20090420,0.097,8.07,0.76
20090421,,0.0,8.65
20090422,0.091:,7.61,1.13
20090423,0.091,8.47,0.11
20090424,,1.27,7.46
20090425,,0.0,8.7
20090426,,0.68,2.59
20090427,0.122,8.74,0.0
20090428,0.102,8.65,0.0
20090429,0.097,6.27,2.24
20090430,,0.0,8.45
20090501,0.127,17.04,0.0
20090502,0.106,6.55,1.64
20090503,0.091,8.44,0.0
20090504,0.091,8.59,0.0
20090505,0.084,8.52,0.0
20090506,0.097,8.09,0.4
20090507,,0.0,8.42
20090508,,0.87,7.51
20090509,0.100,4.62,3.9
20090510,,0.0,7.36
20090511,0.098,4.73,3.74
20090512,0.104,6.54,1.91
20090513,0.101,4.41,4.0
20090514,0.100,8.33,0.0
20090515,,2.77,5.43
20090516,0.091,7.46,0.72
20090517,0.093,8.26,0.0
20090518,0.099,8.24,0.0
20090519,0.090,7.63,0.0
20090520,0.111:,1.1,1.15
20090521,0.087,6.51,0.0
20090522,0.094,7.97,0.0
