 543583 STD, EXTINCTION   3:54:00.00 -00:00:19.9 2000.00  22:52 1.141  WFC   29.6  180  V                                
 543584 UGCA 92           4:32:04.90 +63:36:48.9 2000.00  23:00 1.220  WFC  299.9  180  V                                
 543585 UGCA 92           4:32:04.89 +63:36:49.0 2000.00  23:11 1.219  WFC  299.9  180  V                                
 543586 UGCA 92           4:32:04.90 +63:36:49.0 2000.00  23:18 1.218  WFC  299.8  180  V                                
 543587 UGCA 92           4:32:04.89 +63:36:49.0 2000.00  23:25 1.218  WFC  150.0  180  V                                
 543588 UGCA 92           4:32:04.90 +63:36:48.9 2000.00  23:28 1.218  WFC  150.0  180  V                                
 543589 UGCA 92           4:32:04.89 +63:36:48.9 2000.00  23:31 1.219  WFC  150.0  180  V                                
 543590 UGCA 92           4:32:04.90 +63:36:48.9 2000.00  23:34 1.219  WFC  150.0  180  V                                
 543591 UGCA 92           4:32:04.89 +63:36:49.0 2000.00  23:37 1.220  WFC  150.0  180  V                                
 543592 UGCA 92           4:32:04.89 +63:36:49.0 2000.00  23:42 1.221  WFC  299.9  180  r                                
 543593 UGCA 92           4:32:04.90 +63:36:48.9 2000.00  23:50 1.223  WFC  200.0  180  r                                
 543594 UGCA 92           4:32:04.89 +63:36:49.0 2000.00  23:54 1.224  WFC  200.0  180  r                                
 543595 UGCA 92           4:32:04.89 +63:36:49.0 2000.00  23:58 1.226  WFC  200.0  180  r                                
 543596 UGCA 92           4:32:04.89 +63:36:48.9 2000.00  00:02 1.228  WFC  200.0  180  r                                
 543597 UGCA 92           4:32:04.90 +63:36:48.9 2000.00  00:06 1.229  WFC  200.0  180  r                                
 543598 UGCA 92           4:32:04.90 +63:36:48.8 2000.00  00:14 1.234  WFC  149.5  180  B                                
 543599 UGCA 92           4:32:04.90 +63:36:49.0 2000.00  00:17 1.236  WFC  150.0  180  B                                
 543600 UGCA 92           4:32:04.89 +63:36:48.9 2000.00  00:20 1.238  WFC  150.0  180  B                                
 543601 UGCA 92           4:32:04.90 +63:36:48.9 2000.00  00:23 1.240  WFC  150.0  180  B                                
 543602 STD, EXTINCTION   6:52:05.03 -00:19:40.7 2000.00  00:36 1.193  WFC   30.1  180  B                                
 543603 STD, EXTINCTION   6:52:05.04 -00:19:40.8 2000.00  00:37 1.192  WFC   29.5  180  B                                
