INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 19 07:38

TELESCOPE             INT
DATE                  20060918
OBSERVER/S            Yogesh Joshi, Mark Crockett
PROGRAMME             Eclipsing Binary in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    Yogesh Joshi
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.58
INSTRUMENT/S          WFC

SUNSET (UT)           19:21
EVENING TWILIGHT (UT) 20:33
MORNING TWILIGHT (UT) 05:39
SUNRISE (UT)          06:51
%ILLUM. LUNAR DISK    11
DARK TIME (HRS)       09:06
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         04:06
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  12.0   28    24.2  26.2  304   773.2   12.0  15.7    16.7   28    21 
21:00  12.0   28    20.2  27.8  311   773.4   12.0  13.5    16.4   28    24 
22:00  12.2   23    20.9  24.6  312   774.1   12.2  13.3    15.9   23    21 
23:00  12.1   19    17.9  20.5  300   774.3   12.1  12.9    15.9   19    18 
00:00  12.9   18    26.0  25.1  297   774.3   12.9  13.1    15.8   18    18 
01:00  13.2   12    15.3  20.7  292   774.2   13.2  13.5    15.8   12    12 
02:00  12.6   11    13.4  16.7  291   773.7   12.6  13.4    15.7   11    10 
03:00  13.0   10    21.5  25.3  293   773.3   13.0  13.2    15.5   10    10 
04:00  11.8   14    23.8  26.3  297   772.9   11.8  13.0    15.1   14    13 
05:00  11.8   16    26.3  28.8  301   772.3   11.8  12.6    14.7   16    15 
06:00  11.8   14    25.7  26.9  300   772.0   11.8  12.6    14.8   14    13 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear sky, typical seeing during the observations was 1.0"-1.3"

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 526359 Bias             11:00:00.00 +20:00:00.0 2006.713 13:13 1.033  WFC    0.0  180  V                                bad bias
 526398 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:53 1.392  WFC  499.7  180  B                                
 526399 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:02 1.354  WFC  499.8  180  B                                
 526400 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:11 1.320  WFC  499.9  180  B                                
 526401 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:20 1.290  WFC  499.8  180  B                                
 526402 IC1613            1:04:54.19 +02:07:59.9 2000.00  00:29 1.263  WFC  499.8  180  B                                
 526403 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:40 1.234  WFC  499.8  180  B                                
 526404 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:48 1.213  WFC  499.8  180  B                                
 526405 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:57 1.195  WFC  499.8  180  B                                
 526406 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:06 1.178  WFC  499.2  180  B                                
 526407 IC1613            1:04:54.19 +02:08:00.0 2000.00  01:15 1.164  WFC  499.8  180  B                                
 526408 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:24 1.152  WFC  499.8  180  B                                
 526409 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:33 1.142  WFC  499.8  180  B                                
 526410 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:42 1.134  WFC  499.7  180  B                                
 526411 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:51 1.127  WFC  499.8  180  B                                
 526412 IC1613            1:04:54.19 +02:08:00.0 2000.00  02:00 1.123  WFC  499.8  180  B                                
 526413 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:09 1.119  WFC  499.8  180  B                                
 526414 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:18 1.118  WFC  499.9  180  B                                
 526415 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:27 1.118  WFC  499.8  180  B                                
 526416 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:36 1.121  WFC  499.7  180  B                                
 526417 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:45 1.124  WFC  499.8  180  B                                
 526418 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:54 1.130  WFC  499.8  180  B                                
 526419 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:03 1.137  WFC  499.8  180  B                                
 526420 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:12 1.146  WFC  499.8  180  B                                
 526421 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:21 1.157  WFC  499.7  180  B                                
 526422 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:30 1.170  WFC  499.8  180  B                                
 526423 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:41 1.190  WFC  499.7  180  B                                
 526424 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:50 1.208  WFC  499.7  180  B                                
 526425 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:59 1.228  WFC  499.8  180  B                                
 526426 IC1613            1:04:54.20 +02:07:59.9 2000.00  04:08 1.251  WFC  499.9  180  B                                
 526427 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:17 1.277  WFC  499.7  180  B                                
 526428 IC1613            1:04:54.19 +02:08:00.0 2000.00  04:26 1.305  WFC  499.8  180  B                                
 526429 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:35 1.337  WFC  499.8  180  B                                
 526430 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:44 1.373  WFC  499.8  180  B                                
 526431 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:53 1.413  WFC  499.8  180  B                                
 526432 IC1613            1:04:54.19 +02:08:00.0 2000.00  05:02 1.458  WFC  499.8  180  B                                
 526433 IC1613            1:04:54.20 +02:07:59.9 2000.00  05:11 1.509  WFC  499.2  180  B                                
 526434 IC1613            1:04:54.19 +02:08:00.0 2000.00  05:20 1.565  WFC  499.8  180  B                                
 526435 IC1613            1:04:54.20 +02:08:00.0 2000.00  05:29 1.627  WFC  499.2  180  B                                
 526436 IC1613            1:04:54.17 +02:07:59.9 2000.00  05:38 1.700  WFC  499.8  180  B                                
 526437 IC1613            1:04:54.19 +02:07:59.9 2000.00  05:47 1.779  WFC  499.3  180  B                                
 526438 IC1613            1:04:54.20 +02:08:00.0 2000.00  05:56 1.872  WFC  499.8  180  B                                
 526439 Flat field        7:06:59.99 +01:19:59.9 2000.00  06:23 1.307  WFC   40.1  180  B                                
 526440 Flat field        7:07:00.66 +01:19:59.9 2000.00  06:25 1.302  WFC   25.1  180  B                                
 526441 Flat field        7:06:59.99 +01:20:10.0 2000.00  06:26 1.298  WFC   15.1  180  B                                
 526442 Flat field        7:07:00.66 +01:20:09.9 2000.00  06:27 1.295  WFC   15.1  180  B                                
 526443 Flat field        7:07:00.67 +01:20:19.8 2000.00  06:28 1.291  WFC   10.1  180  B                                
 526444 Flat field        7:07:01.33 +01:20:20.0 2000.00  06:29 1.288  WFC    8.1  180  B                                
 526445 Flat field        7:07:01.33 +01:20:10.1 2000.00  06:30 1.285  WFC    6.1  180  B                                
 526446 Flat field        7:06:59.99 +01:19:50.1 2000.00  06:31 1.283  WFC    4.1  180  B                                
 526447 Bias              7:06:59.99 +01:19:49.9 2000.00  06:32 1.278  WFC    0.0  180  B                                
 526448 Bias              7:06:59.99 +01:19:49.9 2000.00  06:33 1.277  WFC    0.0  180  B                                
 526449 Bias              7:06:59.99 +01:19:50.0 2000.00  06:34 1.275  WFC    0.0  180  B                                
 526450 Bias              7:07:00.00 +01:19:50.0 2000.00  06:34 1.273  WFC    0.0  180  B                                
 526451 Bias              7:07:00.00 +01:19:50.0 2000.00  06:35 1.272  WFC    0.0  180  B                                
 526452 Bias              7:06:59.99 +01:19:50.0 2000.00  06:35 1.270  WFC    0.0  180  B                                
 526453 Bias              7:06:59.99 +01:19:50.0 2000.00  06:36 1.268  WFC    0.0  180  B                                
 526454 Bias              7:06:59.99 +01:19:49.9 2000.00  06:37 1.267  WFC    0.0  180  B                                
 526455 Bias              7:06:59.99 +01:19:50.0 2000.00  06:37 1.265  WFC    0.0  180  B                                
