 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 776074 i flat            1:00:00.00 +00:07:29.9  2000.00 19:04 1.147  WFC    4.1  180  i                                
 776075 i flat            0:59:57.99 +00:07:05.3  2000.00 19:05 1.147  WFC    5.5  180  i                                
 776076 i flat            0:59:59.00 +00:07:20.0  2000.00 19:06 1.148  WFC    8.1  180  i                                
 776077 i flat            1:00:02.00 +00:07:30.0  2000.00 19:06 1.148  WFC   10.1  180  i                                
 776078 i flat            0:59:59.66 +00:07:34.9  2000.00 19:07 1.149  WFC   10.1  180  i                                
 776079 experiment        1:00:00.00 +00:07:00.0  2000.00 19:08 1.150  WFC   10.1  180  i                                
 776080 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:48 1.014  WFC    5.1  180  i                                
 776081 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 19:48 1.013  WFC    5.1  180  i                                
 776082 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:49 1.013  WFC    4.6  180  i                                
 776083 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:49 1.013  WFC    5.1  180  i                                
 776084 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:49 1.013  WFC    5.1  180  i                                
 776085 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:50 1.013  WFC    5.1  180  i                                
 776086 science WASP33b   2:26:10.49 +37:36:55.8  2000.00 19:50 1.013  WFC    5.1  180  i                                
 776087 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 19:50 1.013  WFC    5.1  180  i                                
 776088 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:50 1.013  WFC    4.6  180  i                                
 776089 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:51 1.013  WFC    5.1  180  i                                
 776090 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:51 1.013  WFC    5.1  180  i                                
 776091 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:51 1.013  WFC    5.1  180  i                                
 776092 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:51 1.013  WFC    5.1  180  i                                
 776093 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 19:52 1.013  WFC    5.1  180  i                                
 776094 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:52 1.013  WFC    4.6  180  i                                
 776095 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:52 1.013  WFC    5.1  180  i                                
 776096 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:52 1.013  WFC    5.1  180  i                                
 776097 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:53 1.013  WFC    5.1  180  i                                
 776098 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:53 1.013  WFC    5.1  180  i                                
 776099 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:53 1.013  WFC    5.1  180  i                                
 776100 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:53 1.013  WFC    5.1  180  i                                
 776101 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:54 1.013  WFC    5.1  180  i                                
 776102 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:54 1.013  WFC    5.1  180  i                                
 776103 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:54 1.013  WFC    5.1  180  i                                
 776104 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:55 1.013  WFC    5.1  180  i                                
 776105 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:55 1.013  WFC    5.1  180  i                                
 776106 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:55 1.013  WFC    4.6  180  i                                
 776107 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:55 1.012  WFC    5.1  180  i                                
 776108 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:56 1.012  WFC    5.1  180  i                                
 776109 science WASP33b   2:26:10.50 +37:36:55.8  2000.00 19:56 1.012  WFC    5.1  180  i                                
 776110 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:56 1.012  WFC    5.1  180  i                                
 776111 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:56 1.012  WFC    5.1  180  i                                
 776112 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:57 1.012  WFC    5.1  180  i                                
 776113 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:57 1.012  WFC    5.1  180  i                                
 776114 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 19:57 1.012  WFC    5.1  180  i                                
 776115 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 19:57 1.012  WFC    5.1  180  i                                
 776116 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 19:58 1.012  WFC    5.1  180  i                                
 776117 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:58 1.012  WFC    5.1  180  i                                
 776118 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 19:58 1.012  WFC    5.1  180  i                                
 776119 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:58 1.012  WFC    5.1  180  i                                
 776120 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 19:59 1.012  WFC    5.1  180  i                                
 776121 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 19:59 1.012  WFC    5.1  180  i                                
 776122 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:59 1.012  WFC    5.1  180  i                                
 776123 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 19:59 1.012  WFC    5.1  180  i                                
 776124 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:00 1.012  WFC    5.0  180  i                                
 776125 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:00 1.012  WFC    5.1  180  i                                
 776126 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:00 1.012  WFC    5.1  180  i                                
 776127 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:00 1.012  WFC    5.0  180  i                                
 776128 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:01 1.012  WFC    5.1  180  i                                
 776129 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:01 1.012  WFC    5.1  180  i                                
 776130 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:01 1.012  WFC    5.0  180  i                                
 776131 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:02 1.012  WFC    5.1  180  i                                
 776132 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:02 1.012  WFC    5.1  180  i                                
 776133 science WASP33b   2:26:10.49 +37:36:56.2  2000.00 20:02 1.012  WFC    5.1  180  i                                
 776134 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:02 1.012  WFC    5.0  180  i                                
 776135 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:03 1.012  WFC    5.1  180  i                                
 776136 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:03 1.012  WFC    4.6  180  i                                
 776137 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:03 1.012  WFC    5.1  180  i                                
 776138 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:03 1.012  WFC    5.1  180  i                                
 776139 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:04 1.012  WFC    5.1  180  i                                
 776140 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:04 1.012  WFC    5.1  180  i                                
 776141 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:04 1.012  WFC    4.5  180  i                                
 776142 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:04 1.012  WFC    5.1  180  i                                
 776143 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:05 1.012  WFC    5.1  180  i                                
 776144 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:05 1.012  WFC    5.1  180  i                                
 776145 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:05 1.012  WFC    5.1  180  i                                
 776146 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:05 1.012  WFC    4.5  180  i                                
 776147 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:06 1.012  WFC    4.6  180  i                                
 776148 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:06 1.012  WFC    5.1  180  i                                
 776149 science WASP33b   2:26:10.49 +37:36:55.9  2000.00 20:06 1.012  WFC    5.1  180  i                                
 776150 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:06 1.012  WFC    4.5  180  i                                
 776151 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:07 1.012  WFC    5.1  180  i                                
 776152 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:07 1.012  WFC    5.1  180  i                                
 776153 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:07 1.012  WFC    5.1  180  i                                
 776154 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:07 1.012  WFC    5.1  180  i                                
 776155 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:08 1.012  WFC    5.1  180  i                                
 776156 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:08 1.012  WFC    5.0  180  i                                
 776157 science WASP33b   2:26:10.50 +37:36:55.8  2000.00 20:08 1.012  WFC    4.6  180  i                                
 776158 science WASP33b   2:26:10.49 +37:36:56.0  2000.00 20:08 1.012  WFC    5.1  180  i                                
 776159 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:09 1.012  WFC    5.1  180  i                                
 776160 science WASP33b   2:26:10.50 +37:36:56.0  2000.00 20:09 1.013  WFC    5.1  180  i                                
 776161 science WASP33b   2:26:10.50 +37:36:55.9  2000.00 20:09 1.013  WFC    5.1  180  i                                
