INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 15 07:16

TELESCOPE             INT
DATE                  20060714
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:51
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    80
DARK TIME (HRS)       07:07
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         22:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
humid (60%), bit windy (40 km/h) but often good seeing and no time lost

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.52



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514835 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  21:32 2.455  WFC   40.1  180  stromgren y                      
 514836 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  21:34 2.434  WFC   60.0  180  g                                
 514837 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  21:35 2.414  WFC   40.1  180  r                                
 514838 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  21:37 2.394  WFC   60.0  180  stromgren u                      
 514839 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  21:39 2.374  WFC   50.1  180  stromgren v                      
 514840 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  21:40 2.356  WFC   39.5  180  stromgren b                      
 514841 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  21:41 2.339  WFC   40.1  180  stromgren y                      
 514842 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  21:43 2.320  WFC   60.1  180  g                                
 514843 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  21:44 2.302  WFC   40.1  180  r                                
 514844 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  21:46 2.284  WFC   60.1  180  stromgren u                      
 514845 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  21:47 2.265  WFC   50.1  180  stromgren v                      
 514846 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  21:49 2.249  WFC   40.1  180  stromgren b                      
 514847 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  21:50 2.234  WFC   40.1  180  stromgren y                      
 514848 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  21:52 2.217  WFC   59.5  180  g                                
 514849 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  21:53 2.200  WFC   40.1  180  r                                
 514850 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  21:55 2.184  WFC   60.1  180  stromgren u                      
