INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 15 07:16

TELESCOPE             INT
DATE                  20060714
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:51
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    80
DARK TIME (HRS)       07:07
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         22:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
humid (60%), bit windy (40 km/h) but often good seeing and no time lost

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.52



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514968 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:43 1.276  WFC   60.1  180  g                                
 514969 NGC7128 r        21:44:20.00 +53:44:00.1 2000.00  00:44 1.273  WFC   30.1  180  r                                
 514970 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  00:46 1.269  WFC   60.0  180  stromgren u                      
 514971 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:47 1.266  WFC   45.1  180  stromgren v                      
 514972 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:49 1.263  WFC   34.6  180  stromgren b                      
 514973 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:50 1.260  WFC   29.1  180  stromgren y                      
 514974 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:51 1.257  WFC   60.1  180  g                                
 514975 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  00:53 1.254  WFC   30.1  180  r                                
 514976 NGC7128 u        21:44:19.99 +53:43:59.8 2000.00  00:54 1.250  WFC   60.1  180  stromgren u                      
 514977 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:56 1.247  WFC   40.1  180  stromgren v                      
 514978 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  00:57 1.245  WFC   30.1  180  stromgren b                      
 514979 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:58 1.242  WFC   25.1  180  stromgren y                      
 514980 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  00:59 1.239  WFC   60.0  180  g                                
 514981 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  01:01 1.236  WFC   25.1  180  r                                
 514982 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:02 1.233  WFC   60.1  180  stromgren u                      
 514983 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:04 1.230  WFC   40.1  180  stromgren v                      
 514984 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  01:05 1.228  WFC   30.1  180  stromgren b                      
 514985 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:07 1.226  WFC   25.1  180  stromgren y                      
 514986 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:08 1.223  WFC   60.1  180  g                                
 514987 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:09 1.220  WFC   24.5  180  r                                
 514988 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:10 1.218  WFC   60.1  180  stromgren u                      
 514989 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:12 1.215  WFC   39.5  180  stromgren v                      
 514990 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:14 1.213  WFC   29.6  180  stromgren b                      
 514991 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:15 1.211  WFC   24.5  180  stromgren y                      
 514992 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:16 1.208  WFC   60.1  180  g                                
 514993 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:18 1.206  WFC   24.5  180  r                                
 514994 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:19 1.203  WFC   60.0  180  stromgren u                      
 514995 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  01:20 1.201  WFC   40.1  180  stromgren v                      
 514996 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  01:22 1.199  WFC   30.1  180  stromgren b                      
 514997 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  01:23 1.197  WFC   25.1  180  stromgren y                      
 514998 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  01:24 1.194  WFC   60.1  180  g                                
 514999 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:26 1.192  WFC   25.1  180  r                                
 515000 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:27 1.190  WFC   59.5  180  stromgren u                      
 515001 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:28 1.188  WFC   40.1  180  stromgren v                      
 515002 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  01:30 1.186  WFC   30.1  180  stromgren b                      
 515003 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  01:31 1.184  WFC   25.1  180  stromgren y                      
 515004 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:32 1.182  WFC   60.1  180  g                                
 515005 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:34 1.180  WFC   25.1  180  r                                
 515006 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:35 1.178  WFC   60.1  180  stromgren u                      
 515007 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:37 1.176  WFC   40.1  180  stromgren v                      
 515008 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:38 1.174  WFC   30.1  180  stromgren b                      
 515009 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:39 1.172  WFC   25.1  180  stromgren y                      
 515010 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  01:40 1.170  WFC   60.0  180  g                                
 515011 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  01:42 1.168  WFC   25.1  180  r                                
 515012 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:43 1.167  WFC   60.1  180  stromgren u                      
 515013 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:45 1.165  WFC   40.1  180  stromgren v                      
 515014 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  01:46 1.163  WFC   30.1  180  stromgren b                      
 515015 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:47 1.161  WFC   24.5  180  stromgren y                      
 515016 NGC7128 g        21:44:19.99 +53:44:00.1 2000.00  01:48 1.160  WFC   60.0  180  g                                
 515017 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  01:50 1.158  WFC   25.1  180  r                                
 515018 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:51 1.156  WFC   60.0  180  stromgren u                      
 515019 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:53 1.154  WFC   40.1  180  stromgren v                      
 515020 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:54 1.153  WFC   30.1  180  stromgren b                      
 515021 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:56 1.152  WFC   25.1  180  stromgren y                      
 515022 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:57 1.150  WFC   60.1  180  g                                
 515023 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:58 1.149  WFC   25.1  180  r                                
 515024 NGC7128 u        21:44:19.99 +53:43:59.8 2000.00  02:00 1.147  WFC   60.1  180  stromgren u                      
 515025 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:01 1.145  WFC   39.6  180  stromgren v                      
 515026 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:03 1.144  WFC   29.5  180  stromgren b                      
 515027 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  02:04 1.143  WFC   25.1  180  stromgren y                      
 515028 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  02:05 1.141  WFC   60.1  180  g                                
 515029 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:07 1.140  WFC   25.1  180  r                                
 515030 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:08 1.139  WFC   60.1  180  stromgren u                      
 515031 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  02:09 1.137  WFC   40.1  180  stromgren v                      
 515032 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  02:11 1.136  WFC   30.1  180  stromgren b                      
 515033 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:12 1.135  WFC   25.1  180  stromgren y                      
 515034 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:13 1.134  WFC   60.1  180  g                                
 515035 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:15 1.133  WFC   24.5  180  r                                
 515036 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:16 1.131  WFC   60.0  180  stromgren u                      
 515037 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:18 1.130  WFC   40.1  180  stromgren v                      
 515038 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:19 1.129  WFC   30.1  180  stromgren b                      
 515039 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:20 1.128  WFC   25.1  180  stromgren y                      
 515040 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:21 1.127  WFC   60.0  180  g                                
 515041 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:23 1.126  WFC   25.1  180  r                                
 515042 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:24 1.125  WFC   60.1  180  stromgren u                      
 515043 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  02:26 1.124  WFC   39.5  180  stromgren v                      
 515044 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:27 1.123  WFC   30.1  180  stromgren b                      
 515045 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:28 1.122  WFC   25.1  180  stromgren y                      
 515046 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:29 1.121  WFC   60.1  180  g                                
 515047 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  02:31 1.120  WFC   25.1  180  r                                
 515048 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:32 1.119  WFC   60.0  180  stromgren u                      
 515049 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:34 1.118  WFC   40.1  180  stromgren v                      
 515050 NGC7128 b        21:44:19.99 +53:44:00.1 2000.00  02:35 1.118  WFC   30.1  180  stromgren b                      
 515051 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:36 1.117  WFC   24.5  180  stromgren y                      
 515052 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:37 1.116  WFC   60.0  180  g                                
 515053 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:39 1.115  WFC   24.5  180  r                                
 515054 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:40 1.115  WFC   60.1  180  stromgren u                      
 515055 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:42 1.114  WFC   40.1  180  stromgren v                      
 515056 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:43 1.113  WFC   30.1  180  stromgren b                      
 515057 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  02:45 1.113  WFC   25.1  180  stromgren y                      
 515058 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:46 1.112  WFC   60.1  180  g                                
 515059 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:47 1.111  WFC   25.1  180  r                                
 515060 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:49 1.111  WFC   59.5  180  stromgren u                      
 515061 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:50 1.110  WFC   40.1  180  stromgren v                      
 515062 NGC7128 b        21:44:20.00 +53:44:00.1 2000.00  02:52 1.109  WFC   30.1  180  stromgren b                      
 515063 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:53 1.109  WFC   25.1  180  stromgren y                      
 515064 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:54 1.109  WFC   60.0  180  g                                
 515065 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:56 1.108  WFC   25.1  180  r                                
 515066 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:57 1.108  WFC   60.1  180  stromgren u                      
 515067 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  02:58 1.107  WFC   40.1  180  stromgren v                      
 515068 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  03:00 1.107  WFC   29.5  180  stromgren b                      
 515069 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:01 1.106  WFC   24.6  180  stromgren y                      
 515070 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  03:02 1.106  WFC   59.6  180  g                                
 515071 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  03:04 1.106  WFC   24.5  180  r                                
 515072 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  03:05 1.105  WFC   60.1  180  stromgren u                      
 515073 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  03:07 1.105  WFC   40.1  180  stromgren v                      
 515074 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:08 1.105  WFC   30.1  180  stromgren b                      
 515075 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:09 1.104  WFC   25.1  180  stromgren y                      
 515076 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  03:10 1.104  WFC   59.5  180  g                                
 515077 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  03:12 1.104  WFC   24.6  180  r                                
 515078 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  03:13 1.104  WFC   60.1  180  stromgren u                      
 515079 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  03:15 1.104  WFC   40.1  180  stromgren v                      
 515080 NGC7128 b        21:44:20.00 +53:44:00.1 2000.00  03:16 1.103  WFC   30.1  180  stromgren b                      
 515081 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:17 1.103  WFC   24.5  180  stromgren y                      
 515082 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  03:18 1.103  WFC   59.5  180  g                                
 515083 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:20 1.103  WFC   25.1  180  r                                
 515084 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:21 1.103  WFC   60.1  180  stromgren u                      
 515085 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:23 1.103  WFC   40.1  180  stromgren v                      
 515086 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:24 1.103  WFC   30.1  180  stromgren b                      
 515087 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  03:25 1.103  WFC   25.1  180  stromgren y                      
 515088 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:26 1.103  WFC   60.1  180  g                                
 515089 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:28 1.103  WFC   25.1  180  r                                
 515090 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  03:29 1.103  WFC   60.1  180  stromgren u                      
 515091 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  03:31 1.103  WFC   40.1  180  stromgren v                      
 515092 NGC7128 b        21:44:20.00 +53:44:00.2 2000.00  03:32 1.104  WFC   30.1  180  stromgren b                      
 515093 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:34 1.104  WFC   25.1  180  stromgren y                      
 515094 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  03:35 1.104  WFC   60.0  180  g                                
 515095 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  03:36 1.104  WFC   24.5  180  r                                
 515096 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  03:38 1.104  WFC   60.1  180  stromgren u                      
 515097 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:39 1.105  WFC   40.1  180  stromgren v                      
 515098 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:41 1.105  WFC   29.6  180  stromgren b                      
 515099 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:42 1.105  WFC   30.1  180  stromgren y                      
 515100 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  03:43 1.105  WFC   60.1  180  g                                
 515101 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:45 1.106  WFC   30.1  180  r                                
 515102 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  03:46 1.106  WFC   59.5  180  stromgren u                      
 515103 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  03:47 1.106  WFC   40.1  180  stromgren v                      
 515104 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  03:49 1.107  WFC   30.1  180  stromgren b                      
 515105 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:50 1.107  WFC   30.1  180  stromgren y                      
 515106 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  03:51 1.108  WFC   60.1  180  g                                
 515107 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:53 1.108  WFC   29.5  180  r                                
 515108 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  03:54 1.109  WFC   60.1  180  stromgren u                      
 515109 NGC7128 v        21:44:19.99 +53:44:00.1 2000.00  03:56 1.109  WFC   40.1  180  stromgren v                      
 515110 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:57 1.110  WFC   30.1  180  stromgren b                      
 515111 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:58 1.110  WFC   29.6  180  stromgren y                      
 515112 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  04:00 1.111  WFC   60.1  180  g                                
 515113 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:01 1.112  WFC   30.1  180  r                                
 515114 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  04:02 1.112  WFC   60.1  180  stromgren u                      
 515115 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  04:04 1.113  WFC   40.1  180  stromgren v                      
 515116 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  04:05 1.114  WFC   30.1  180  stromgren b                      
 515117 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:07 1.114  WFC   30.1  180  stromgren y                      
 515118 NGC7128 g        21:44:19.99 +53:44:00.1 2000.00  04:08 1.115  WFC   60.0  180  g                                
 515119 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:10 1.116  WFC   30.1  180  r                                
 515120 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:11 1.117  WFC   60.1  180  stromgren u                      
 515121 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:12 1.117  WFC   40.1  180  stromgren v                      
 515122 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  04:14 1.118  WFC   30.1  180  stromgren b                      
 515123 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:15 1.119  WFC   30.1  180  stromgren y                      
 515124 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  04:16 1.120  WFC   60.0  180  g                                
 515125 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  04:18 1.121  WFC   30.1  180  r                                
 515126 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:19 1.122  WFC   60.0  180  stromgren u                      
 515127 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  04:21 1.123  WFC   40.1  180  stromgren v                      
 515128 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:22 1.124  WFC   30.1  180  stromgren b                      
 515129 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:23 1.125  WFC   30.1  180  stromgren y                      
 515130 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  04:25 1.126  WFC   60.1  180  g                                
 515131 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:26 1.127  WFC   29.6  180  r                                
 515132 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  04:27 1.128  WFC   60.0  180  stromgren u                      
 515133 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:29 1.129  WFC   40.1  180  stromgren v                      
 515134 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:30 1.130  WFC   30.1  180  stromgren b                      
 515135 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:32 1.131  WFC   30.1  180  stromgren y                      
 515136 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  04:33 1.132  WFC   60.1  180  g                                
 515137 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:35 1.134  WFC   30.1  180  r                                
 515138 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:36 1.135  WFC   59.5  180  stromgren u                      
 515139 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  04:38 1.137  WFC   40.1  180  stromgren v                      
 515140 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:39 1.138  WFC   30.1  180  stromgren b                      
 515141 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:40 1.139  WFC   30.1  180  stromgren y                      
 515142 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  04:41 1.140  WFC   60.0  180  g                                
 515143 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:43 1.142  WFC   30.1  180  r                                
 515144 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:44 1.143  WFC   60.1  180  stromgren u                      
 515145 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  04:46 1.145  WFC   40.1  180  stromgren v                      
 515146 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:47 1.146  WFC   30.1  180  stromgren b                      
 515147 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:48 1.147  WFC   30.1  180  stromgren y                      
 515148 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:50 1.149  WFC   59.5  180  g                                
 515149 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:51 1.151  WFC   30.1  180  r                                
 515150 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  04:53 1.152  WFC   60.1  180  stromgren u                      
 515151 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:54 1.154  WFC   39.5  180  stromgren v                      
 515152 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:56 1.155  WFC   30.1  180  stromgren b                      
 515153 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:57 1.157  WFC   29.0  180  stromgren y                      
 515154 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:58 1.159  WFC   60.1  180  g                                
 515155 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  05:00 1.160  WFC   29.5  180  r                                
 515156 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  05:01 1.162  WFC   60.0  180  stromgren u                      
 515157 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  05:03 1.164  WFC   40.1  180  stromgren v                      
 515158 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  05:04 1.166  WFC   30.1  180  stromgren b                      
 515159 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:05 1.167  WFC   30.1  180  stromgren y                      
 515160 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  05:06 1.169  WFC   60.1  180  g                                
 515161 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  05:08 1.171  WFC   30.1  180  r                                
 515162 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  05:09 1.173  WFC   59.0  180  stromgren u                      
 515163 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  05:11 1.175  WFC   40.1  180  stromgren v                      
 515164 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  05:12 1.177  WFC   30.1  180  stromgren b                      
 515165 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:13 1.179  WFC   29.6  180  stromgren y                      
 515166 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  05:15 1.181  WFC   60.0  180  g                                
 515167 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  05:16 1.183  WFC   30.1  180  r                                
 515168 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  05:18 1.185  WFC   60.1  180  stromgren u                      
 515169 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:19 1.188  WFC   40.1  180  stromgren v                      
 515170 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:21 1.190  WFC   30.1  180  stromgren b                      
 515171 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  05:22 1.191  WFC   30.1  180  stromgren y                      
 515172 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  05:23 1.194  WFC   60.0  180  g                                
 515173 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  05:25 1.196  WFC   30.1  180  r                                
 515174 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  05:26 1.199  WFC   59.6  180  stromgren u                      
 515175 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  05:28 1.201  WFC   40.1  180  stromgren v                      
 515176 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  05:29 1.203  WFC   29.6  180  stromgren b                      
 515177 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:30 1.205  WFC   30.1  180  stromgren y                      
 515178 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  05:31 1.208  WFC   60.1  180  g                                
 515179 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  05:33 1.211  WFC   30.1  180  r                                
 515180 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  05:34 1.213  WFC   60.1  180  stromgren u                      
 515181 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  05:36 1.216  WFC   40.1  180  stromgren v                      
 515182 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  05:37 1.218  WFC   29.6  180  stromgren b                      
 515183 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:39 1.220  WFC   30.1  180  stromgren y                      
 515184 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  05:40 1.223  WFC   59.5  180  g                                
 515185 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  05:41 1.226  WFC   30.1  180  r                                
 515186 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:43 1.229  WFC   30.1  180  stromgren u                      
 515187 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:44 1.231  WFC   30.1  180  stromgren u                      
 515188 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  05:45 1.234  WFC   30.1  180  stromgren u                      
 515189 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:47 1.236  WFC   30.1  180  stromgren u                      
 515191 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:48 1.239  WFC   29.0  180  stromgren y                      
 515192 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:49 1.241  WFC   30.1  180  stromgren y                      
 515193 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:50 1.243  WFC   30.1  180  stromgren y                      
 515194 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:51 1.246  WFC   30.1  180  stromgren y                      
 515195 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:52 1.248  WFC   30.1  180  stromgren y                      
