 435727 GK_Per Ha 300s    3:31:17.36 +43:53:16.7 2000.00  22:28 1.040  WFC  299.4  180  Halpha                           
 435728 GK_Per Ha 300s    3:31:11.82 +43:53:16.8 2000.00  22:35 1.044  WFC  299.9  180  Halpha                           
 435729 GK_Per Ha 300s    3:31:06.26 +43:53:16.8 2000.00  22:42 1.047  WFC  299.9  180  Halpha                           
 435730 GK_Per Ha 300s    3:31:06.26 +43:54:16.8 2000.00  22:49 1.051  WFC  299.9  180  Halpha                           
 435731 GK_Per Ha 300s    3:31:06.26 +43:55:16.8 2000.00  22:56 1.056  WFC  299.4  180  Halpha                           
 435732 V838Mon g 600s    7:04:04.85 -03:50:51.1 2000.00  23:10 1.469  WFC  599.7  180  g                                seeings got much worse
 435733 V838Mon g 600s    7:04:04.85 -03:50:51.1 2000.00  23:21 1.420  WFC  599.8  180  g                                
 435734 V838Mon g 600s    7:04:04.84 -03:50:51.4 2000.00  23:32 1.378  WFC  599.8  180  g                                
 435735 V838Mon g 600s    7:04:04.84 -03:50:51.1 2000.00  23:43 1.339  WFC  599.7  180  g                                
 435736 V838Mon g 600s    7:04:04.85 -03:50:51.1 2000.00  23:55 1.306  WFC  599.2  180  g                                
 435737 sa95-190 i 10s    3:53:13.23 +00:16:22.9 2000.00  00:10 1.267  WFC   10.1  180  i                                
 435738 sa95-190 g 10s    3:53:13.23 +00:16:22.8 2000.00  00:11 1.269  WFC   10.1  180  g                                taken before focus finished adjusting!
 435739 sa95-190 g 10s    3:53:13.23 +00:16:22.8 2000.00  00:12 1.272  WFC   10.1  180  g                                
 435740 sa95-190 i 10s    3:53:13.23 +00:16:22.7 2000.00  00:14 1.277  WFC   10.1  180  i                                
 435741 LeoA i 60         9:59:26.40 +30:44:46.9 2000.00  00:24 1.662  WFC   60.1  180  i                                
 435742 IC10 i 600        0:19:59.99 +59:17:34.6 2000.00  00:38 2.311  WFC  599.8  180  i                                
 435744 LeoI i 400s      10:08:27.39 +12:30:06.0 2000.00  01:12 1.562  WFC  399.9  180  i                                too close to moon?
 435745 LeoI i 400s      10:08:27.39 +12:30:06.1 2000.00  01:20 1.509  WFC  399.8  180  i                                
 435747 sa98-185 i 10s    6:52:01.87 -00:27:21.5 2000.00  01:35 1.147  WFC   10.1  180  i                                
 435748 sa98-185 i 10s    6:52:01.88 -00:27:21.6 2000.00  01:36 1.147  WFC    9.1  180  g                                
 435749 sa98-185 r 10s    6:52:01.88 -00:27:21.5 2000.00  01:38 1.148  WFC   10.1  180  r                                
 435750 sa95-190 r 10s    3:53:13.24 +00:16:22.8 2000.00  01:40 1.720  WFC   10.1  180  r                                
 435751 SexA i 600s      10:11:05.99 -04:42:29.8 2000.00  01:48 1.650  WFC  599.1  180  i                                
 435753 SexA i 300s      10:11:06.00 -04:42:29.9 2000.00  02:04 1.567  WFC  299.9  180  i                                
 435754 SexA i 300s      10:11:06.00 -04:42:30.0 2000.00  02:09 1.535  WFC  299.9  180  i                                
 435755 SexA i 300s      10:11:05.98 -04:42:29.3 2000.00  02:16 1.501  WFC  299.9  180  i                                
 435756 SexA i 300s      10:11:06.00 -04:42:29.9 2000.00  02:21 1.474  WFC  299.9  180  i                                
 435757 SexA i 300s      10:11:05.99 -04:42:29.9 2000.00  02:27 1.447  WFC  300.0  180  i                                
 435758 SexA i 300s      10:11:05.99 -04:42:29.9 2000.00  02:33 1.423  WFC  299.4  180  i                                
 435759 SexA i 300s      10:11:06.00 -04:42:29.9 2000.00  02:39 1.399  WFC  300.0  180  i                                
 435760 SexA i 300s      10:11:06.00 -04:42:29.9 2000.00  02:45 1.378  WFC  299.3  180  i                                
 435761 SexA i 300s      10:11:05.99 -04:42:30.0 2000.00  02:50 1.359  WFC  299.9  180  i                                
 435762 SexA i 300s      10:11:06.00 -04:42:29.9 2000.00  02:56 1.342  WFC  299.9  180  i                                
 435763 SexA i 600s      10:11:06.00 -04:42:29.9 2000.00  03:05 1.309  WFC  599.7  180  i                                
 435764 SexA i 600s      10:11:06.00 -04:42:30.0 2000.00  03:17 1.281  WFC  599.2  180  i                                
 435765 SexA i 600s      10:11:05.99 -04:42:30.0 2000.00  03:29 1.257  WFC  599.2  180  i                                
 435766 LeoII i 400s     11:13:29.19 +22:09:17.0 2000.00  04:03 1.089  WFC  399.9  180  i                                
 435767 LeoII i 400s     11:13:29.20 +22:09:16.8 2000.00  04:11 1.074  WFC  399.3  180  i                                
 435768 LeoII i 200s     11:13:29.20 +22:09:17.3 2000.00  04:19 1.065  WFC  200.0  180  i                                
