 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722526 Bias              0:00:00.00 +00:00:00.0  2000.00 17:04 4.611  WFC    0.0  180  B                                
 722527 Bias              0:00:00.00 +00:00:00.0  2000.00 17:05 4.611  WFC    0.0  180  B                                
 722528 Bias              0:00:00.00 +00:00:00.0  2000.00 17:06 4.611  WFC    0.0  180  B                                
 722529 Bias              0:00:00.00 +00:00:00.0  2000.00 17:06 4.611  WFC    0.0  180  B                                
 722530 Bias              0:00:00.00 +00:00:00.0  2000.00 17:07 4.611  WFC    0.0  180  B                                
 722531 Bias              0:00:00.00 +00:00:00.0  2000.00 17:08 4.611  WFC    0.0  180  B                                
 722532 Bias              0:00:00.00 +00:00:00.0  2000.00 17:09 4.611  WFC    0.0  180  B                                
 722533 Bias              0:00:00.00 +00:00:00.0  2000.00 17:10 4.611  WFC    0.0  180  B                                
 722534 Bias              0:00:00.00 +00:00:00.0  2000.00 17:10 4.611  WFC    0.0  180  B                                
 722535 Bias              0:00:00.00 +00:00:00.0  2000.00 17:11 4.611  WFC    0.0  180  B                                
 722536 Bias              0:00:00.00 +00:00:00.0  2000.00 17:12 4.611  WFC    0.0  180  B                                
 722537 Skyflat V         4:29:45.00 +54:15:35.9  2000.00 19:39 1.119  WFC    6.1  180  V                                
 722538 Skyflat V         4:29:45.57 +54:15:41.0  2000.00 19:40 1.120  WFC   11.1  180  V                                
 722539 Skyflat V         4:29:44.43 +54:15:40.9  2000.00 19:42 1.121  WFC   18.1  180  V                                
 722540 Skyflat V         4:29:44.42 +54:15:30.9  2000.00 19:43 1.122  WFC   27.1  180  V                                
 722541 Skyflat i         4:29:45.00 +54:15:36.0  2000.00 19:46 1.124  WFC   20.2  180  i                                
 722542 Focus run         5:27:59.92 +09:38:30.7  2000.00 20:04 1.059  WFC   10.1  180  V                                
 722543 STD G97-42        5:27:59.92 +09:38:30.7  2000.00 20:18 1.064  WFC    2.1  180  V                                
 722544 STD G97-42 r      5:27:59.92 +09:38:30.8  2000.00 20:19 1.064  WFC    2.1  180  r                                
 722545 STD G97-42 i      5:27:59.92 +09:38:30.8  2000.00 20:21 1.065  WFC    2.1  180  i                                
 722546 STD G97-42 Z      5:27:59.92 +09:38:30.7  2000.00 20:22 1.066  WFC    1.0  180  z                                
 722547 STD GD-71 Z       5:52:27.65 +15:53:10.9  2000.00 20:25 1.026  WFC    2.1  180  z                                
 722548 STD GD-71 Z       5:52:27.65 +15:53:10.9  2000.00 20:27 1.026  WFC   10.1  180  z                                
 722549 STD GD-71 i       5:52:27.64 +15:53:10.9  2000.00 20:30 1.027  WFC    5.1  180  i                                
 722550 STD GD-71 r       5:52:27.64 +15:53:10.9  2000.00 20:32 1.027  WFC    3.1  180  r                                
 722551 STD GD-71 V       5:52:27.65 +15:53:10.9  2000.00 20:33 1.028  WFC    3.1  180  V                                
 722552 STD 98-556 V      6:51:29.49 -00:24:51.0  2000.00 20:36 1.164  WFC    3.1  180  V                                
 722553 STD 98-556 V      6:51:29.49 -00:24:50.9  2000.00 20:38 1.162  WFC    7.1  180  V                                
 722554 STD 98-556 r      6:51:29.49 -00:24:50.9  2000.00 20:41 1.160  WFC    6.1  180  r                                
 722555 STD 98-556 i      6:51:29.49 -00:24:51.0  2000.00 20:43 1.158  WFC    6.1  180  i                                
 722556 STD 98-556 Z      6:51:29.49 -00:24:50.9  2000.00 20:45 1.157  WFC    6.1  180  z                                
 722557 ULAS0822+0730 Z   8:22:58.96 +07:30:20.1  2000.00 20:50 1.219  WFC   60.1  180  z                                
 722558 ULAS0822+0730 Z   8:22:58.95 +07:30:20.1  2000.00 20:56 1.201  WFC  180.0  180  z                                
 722559 ULAS0822+0730 Z   8:22:58.96 +07:30:20.1  2000.00 21:00 1.191  WFC  180.0  180  z                                
 722560 ULAS0822+0730 Z   8:22:58.95 +07:30:20.1  2000.00 21:04 1.182  WFC  180.0  180  z                                
 722561 WD0837+185 i      8:40:13.30 +18:43:25.9  2000.00 21:14 1.125  WFC   60.0  180  i                                
 722562 WD0837+185 i      8:40:13.30 +18:43:26.0  2000.00 21:24 1.102  WFC  180.0  180  i                                
 722563 WD0837+185 i      8:40:13.29 +18:43:25.9  2000.00 21:28 1.095  WFC  180.1  180  i                                
 722564 GD77 V            6:41:12.80 +47:44:18.9  2000.00 21:38 1.063  WFC   30.1  180  V                                
 722565 GD77              6:41:12.81 +47:44:19.0  2000.00 21:40 1.064  WFC   10.1  180  V                                
 722566 GD77              6:41:12.80 +47:44:18.9  2000.00 21:41 1.065  WFC    9.6  180  V                                
 722567 GD77              6:41:12.80 +47:44:19.0  2000.00 21:42 1.065  WFC   10.1  180  V                                
