 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 722714 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 03:55 1.042  WFC   30.1  180  i                                
 722715 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:56 1.042  WFC   30.1  180  i                                
 722716 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 03:58 1.042  WFC   30.1  180  i                                
 722717 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 03:59 1.042  WFC   30.1  180  i                                
 722718 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 04:00 1.042  WFC   30.1  180  i                                
 722719 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 04:02 1.042  WFC   30.1  180  i                                
 722720 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 04:03 1.043  WFC   30.1  180  i                                
 722721 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 04:04 1.043  WFC   30.1  180  i                                
 722722 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 04:06 1.043  WFC   30.1  180  i                                
 722723 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 04:07 1.043  WFC   30.1  180  i                                
 722724 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 04:08 1.044  WFC   29.6  180  i                                
 722726 SDSS1544         15:44:31.47 +06:01:04.3  2000.00 04:18 1.215  WFC   60.0  180  r                                
 722727 SDSS1544         15:44:31.46 +06:01:04.2  2000.00 04:23 1.199  WFC  180.0  180  r                                
 722728 SDSS1329         13:29:25.20 +12:30:25.5  2000.00 04:35 1.058  WFC   30.1  180  i                                
 722729 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 04:43 1.064  WFC   29.6  180  i                                
 722730 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 04:44 1.065  WFC   30.1  180  i                                
 722731 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 04:45 1.066  WFC   30.1  180  i                                
 722732 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 04:47 1.067  WFC   30.1  180  i                                
 722733 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 04:48 1.069  WFC   30.1  180  i                                
 722734 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 04:49 1.070  WFC   30.1  180  i                                
 722735 SDSS1329         13:29:25.20 +12:30:25.5  2000.00 04:50 1.071  WFC   29.5  180  i                                
 722736 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 04:52 1.073  WFC   30.1  180  i                                
 722737 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 04:53 1.074  WFC   30.1  180  i                                
 722738 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 04:54 1.076  WFC   29.6  180  i                                
 722739 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 04:56 1.077  WFC   30.1  180  i                                
 722740 SDSS1329         13:29:25.21 +12:30:25.3  2000.00 04:57 1.079  WFC   30.1  180  i                                
 722741 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 04:58 1.080  WFC   30.1  180  i                                
 722742 SDSS1329         13:29:25.21 +12:30:25.5  2000.00 05:00 1.082  WFC   29.6  180  i                                
 722743 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 05:01 1.084  WFC   29.5  180  i                                
 722744 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 05:02 1.085  WFC   30.1  180  i                                
 722745 SDSS1329         13:29:25.20 +12:30:25.3  2000.00 05:04 1.087  WFC   30.1  180  i                                
 722746 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 05:05 1.089  WFC   30.0  180  i                                
 722747 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 05:06 1.091  WFC   30.1  180  i                                
 722748 SDSS1329         13:29:25.21 +12:30:25.4  2000.00 05:07 1.092  WFC   30.1  180  i                                
 722749 SDSS1329         13:29:25.20 +12:30:25.4  2000.00 05:09 1.094  WFC   30.1  180  i                                
