 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 539970 hper              2:18:56.40 +57:08:24.9 2000.00  20:27 1.233  WFC   60.0  180  i                                
 539971 chiper            2:22:04.29 +57:08:34.9 2000.00  20:30 1.233  WFC   60.0  180  i                                
 539972 hper              2:18:56.39 +57:08:25.1 2000.00  20:33 1.224  WFC   60.0  180  i                                
 539973 chiper            2:22:04.29 +57:08:34.9 2000.00  20:36 1.224  WFC   60.0  180  i                                
 539974 hper              2:18:56.40 +57:08:25.0 2000.00  20:39 1.215  WFC   60.0  180  i                                
 539975 chiper            2:22:04.29 +57:08:34.9 2000.00  20:41 1.216  WFC   60.1  180  i                                
 539976 hper              2:18:56.40 +57:08:24.9 2000.00  20:44 1.207  WFC   59.5  180  i                                
 539977 chiper            2:22:04.29 +57:08:34.9 2000.00  20:47 1.207  WFC   60.0  180  i                                
 539978 hper              2:18:56.39 +57:08:24.9 2000.00  20:50 1.199  WFC   60.1  180  i                                
 539979 chiper            2:22:04.29 +57:08:34.9 2000.00  20:53 1.199  WFC   60.1  180  i                                
 539980 hper              2:18:56.40 +57:08:25.2 2000.00  20:56 1.192  WFC   60.1  180  i                                
 539981 chiper            2:22:04.29 +57:08:35.0 2000.00  20:59 1.192  WFC   60.1  180  i                                
 539982 hper              2:18:56.41 +57:08:25.0 2000.00  21:07 1.180  WFC   60.0  180  i                                
 539983 chiper            2:22:04.30 +57:08:35.1 2000.00  21:10 1.180  WFC   59.6  180  i                                
 539984 hper              2:18:56.40 +57:08:25.0 2000.00  21:13 1.174  WFC   60.1  180  i                                
 539985 chiper            2:22:04.29 +57:08:35.0 2000.00  21:16 1.174  WFC   60.1  180  i                                
 539986 hper              2:18:56.40 +57:08:24.9 2000.00  21:19 1.168  WFC   60.1  180  i                                
 539987 chiper            2:22:04.30 +57:08:35.0 2000.00  21:22 1.168  WFC   60.0  180  i                                
 539988 hper              2:18:56.40 +57:08:25.0 2000.00  21:25 1.163  WFC   60.1  180  i                                
 539989 chiper            2:22:04.29 +57:08:35.1 2000.00  21:28 1.164  WFC   60.1  180  i                                
 539990 hper              2:18:56.40 +57:08:25.2 2000.00  21:31 1.159  WFC   60.1  180  i                                
 539991 chiper            2:22:04.30 +57:08:34.9 2000.00  21:33 1.159  WFC   60.1  180  i                                
 539992 hper              2:18:56.39 +57:08:25.1 2000.00  21:36 1.155  WFC   60.0  180  i                                
 539993 chiper            2:22:04.29 +57:08:35.1 2000.00  21:39 1.155  WFC   59.5  180  i                                
 539994 hper              2:18:56.39 +57:08:25.2 2000.00  21:42 1.151  WFC   60.1  180  i                                
 539995 chiper            2:22:04.29 +57:08:35.0 2000.00  21:45 1.151  WFC   60.0  180  i                                
 539996 hper              2:18:56.40 +57:08:25.2 2000.00  21:48 1.148  WFC   60.1  180  i                                
 539997 chiper            2:22:04.29 +57:08:35.0 2000.00  21:50 1.148  WFC   60.1  180  i                                
 539998 hper              2:18:56.40 +57:08:25.2 2000.00  21:53 1.145  WFC   60.0  180  i                                
 539999 chiper            2:22:04.29 +57:08:35.0 2000.00  21:56 1.145  WFC   60.0  180  i                                
 540000 hper              2:18:56.40 +57:08:25.1 2000.00  21:59 1.143  WFC   60.0  180  i                                
 540001 chiper            2:22:04.29 +57:08:35.0 2000.00  22:02 1.143  WFC   60.1  180  i                                
 540002 hper              2:18:56.40 +57:08:25.2 2000.00  22:05 1.141  WFC   60.1  180  i                                
 540003 chiper            2:22:04.29 +57:08:35.1 2000.00  22:08 1.141  WFC   60.0  180  i                                
 540004 hper              2:18:56.40 +57:08:25.2 2000.00  22:11 1.139  WFC   60.1  180  i                                
 540005 chiper            2:22:04.30 +57:08:34.9 2000.00  22:14 1.139  WFC   60.1  180  i                                
 540006 hper              2:18:56.40 +57:08:24.9 2000.00  22:17 1.138  WFC   60.1  180  i                                
 540007 chiper            2:22:04.29 +57:08:35.1 2000.00  22:20 1.138  WFC   60.1  180  i                                
 540008 hper              2:18:56.40 +57:08:24.9 2000.00  22:23 1.137  WFC   60.0  180  i                                
 540009 chiper            2:22:04.29 +57:08:35.1 2000.00  22:26 1.137  WFC   60.1  180  i                                
 540010 hper              2:18:56.40 +57:08:24.9 2000.00  22:29 1.137  WFC   60.1  180  i                                
 540011 chiper            2:22:04.29 +57:08:35.1 2000.00  22:32 1.137  WFC   59.6  180  i                                
 540012 hper              2:18:56.39 +57:08:25.0 2000.00  22:34 1.137  WFC   60.1  180  i                                
 540013 chiper            2:22:04.29 +57:08:35.0 2000.00  22:37 1.137  WFC   60.0  180  i                                
 540014 hper              2:18:56.39 +57:08:25.1 2000.00  22:40 1.137  WFC   60.0  180  i                                
 540015 chiper            2:22:04.29 +57:08:34.9 2000.00  22:43 1.137  WFC   60.0  180  i                                
 540016 SA95-330          3:54:30.99 +00:29:05.0 2000.00  22:48 1.206  WFC   10.1  180  i                                
 540017 SA95-330          3:54:31.00 +00:29:04.9 2000.00  22:49 1.204  WFC   10.1  180  V                                
 540018 SA95-330          3:54:31.00 +00:29:04.8 2000.00  22:51 1.201  WFC   10.1  180  g                                
 540019 onc V             5:35:30.00 -05:22:59.9 2000.00  22:59 1.664  WFC   60.1  180  V                                
 540020 onc i             5:35:30.00 -05:22:59.9 2000.00  23:01 1.651  WFC   30.1  180  i                                
 540021 onc V             5:35:29.99 -05:23:00.0 2000.00  23:02 1.639  WFC   60.1  180  V                                
 540022 onc i             5:35:29.99 -05:22:59.9 2000.00  23:04 1.626  WFC   30.1  180  i                                
 540023 onc V             5:35:30.00 -05:23:00.0 2000.00  23:06 1.614  WFC   60.1  180  V                                
 540024 onc i             5:35:29.99 -05:22:59.9 2000.00  23:08 1.602  WFC   30.0  180  i                                
 540025 onc V             5:35:29.99 -05:23:00.0 2000.00  23:10 1.586  WFC   60.1  180  V                                
 540026 onc i             5:35:30.00 -05:22:59.5 2000.00  23:12 1.575  WFC   29.6  180  i                                
 540027 onc V             5:35:30.00 -05:22:59.9 2000.00  23:14 1.565  WFC   60.0  180  V                                
 540028 onc i             5:35:30.00 -05:22:59.9 2000.00  23:16 1.554  WFC   30.1  180  i                                
 540029 onc V             5:35:30.00 -05:23:00.4 2000.00  23:18 1.543  WFC   60.1  180  V                                
 540030 onc i             5:35:29.99 -05:22:59.9 2000.00  23:20 1.533  WFC   30.1  180  i                                
 540031 onc V             5:35:30.02 -05:23:00.6 2000.00  23:21 1.524  WFC   60.0  180  V                                
 540032 onc i             5:35:30.00 -05:23:00.0 2000.00  23:24 1.514  WFC   30.0  180  i                                
 540033 onc V             5:35:30.00 -05:23:00.0 2000.00  23:25 1.505  WFC   60.1  180  V                                
 540034 onc i             5:35:29.99 -05:22:59.6 2000.00  23:27 1.495  WFC   30.1  180  i                                
 540035 onc V             5:35:29.98 -05:23:00.2 2000.00  23:29 1.486  WFC   60.0  180  V                                
 540036 onc i             5:35:29.99 -05:22:59.9 2000.00  23:31 1.478  WFC   30.1  180  i                                
 540037 onc V             5:35:30.00 -05:23:00.0 2000.00  23:33 1.469  WFC   60.1  180  V                                
 540038 onc i             5:35:29.98 -05:22:59.8 2000.00  23:35 1.461  WFC   30.1  180  i                                
 540039 onc V             5:35:30.00 -05:22:59.9 2000.00  23:36 1.453  WFC   60.1  180  V                                
 540040 onc i             5:35:29.98 -05:22:59.8 2000.00  23:38 1.445  WFC   30.1  180  i                                
 540041 onc V             5:35:30.00 -05:23:00.4 2000.00  23:40 1.435  WFC   60.1  180  V                                
 540042 onc i             5:35:29.99 -05:22:59.5 2000.00  23:42 1.428  WFC   30.1  180  i                                
 540043 onc V             5:35:30.00 -05:22:59.9 2000.00  23:46 1.413  WFC   60.0  180  V                                
 540044 onc i             5:35:30.00 -05:22:59.9 2000.00  23:48 1.406  WFC   30.1  180  i                                
 540045 onc V             5:35:30.00 -05:22:59.9 2000.00  23:49 1.400  WFC   60.1  180  V                                
 540046 onc i             5:35:29.99 -05:23:00.0 2000.00  23:52 1.392  WFC   30.1  180  i                                
 540047 onc V             5:35:30.01 -05:23:00.3 2000.00  23:53 1.386  WFC   60.0  180  V                                
 540048 onc i             5:35:29.99 -05:22:59.6 2000.00  23:55 1.380  WFC   30.1  180  i                                
