INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 25 05:55

TELESCOPE             INT
DATE                  20060724
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           20:16
EVENING TWILIGHT (UT) 21:38
MORNING TWILIGHT (UT) 04:59
SUNRISE (UT)          06:21
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       07:21
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No Moon all night
MOONSET (UT)          No Moon all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           01:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
calima all night, clouds at the end of the night. Seeing: beginning 0.8, end 1.5

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517548 G138-31 15s U    16:27:53.52 +09:12:24.0 2000.00  20:43 1.082  WFC   14.6  180  U                                
 517549 G138-31 2s r     16:27:53.52 +09:12:24.3 2000.00  20:46 1.079  WFC    2.1  180  r                                
 517550 G138-31 2s g     16:27:53.52 +09:12:23.9 2000.00  20:47 1.078  WFC    2.1  180  g                                
 517551 sdss1208+35 30s  12:08:39.49 +35:50:35.5 2000.00  20:50 1.450  WFC   30.1  180  g                                
 517552 sdss1208+35 60s  12:08:39.49 +35:50:55.1 2000.00  20:53 1.467  WFC   60.1  180  g                                
 517553 sdss1208+35 60s  12:08:39.50 +35:50:55.1 2000.00  20:55 1.476  WFC   60.1  180  g                                
 517554 sdss1208+35 60s  12:08:39.49 +35:50:55.0 2000.00  20:56 1.485  WFC   60.1  180  g                                
 517555 sdss1208+35 60s  12:08:39.49 +35:50:55.1 2000.00  20:58 1.495  WFC   60.1  180  g                                
 517556 sdss1208+35 60s  12:08:39.50 +35:50:55.0 2000.00  21:00 1.504  WFC   60.1  180  g                                
 517557 sdss1208+35 60s  12:08:39.50 +35:50:55.0 2000.00  21:01 1.514  WFC   60.1  180  g                                
 517558 sdss1208+35 60s  12:08:39.49 +35:50:55.0 2000.00  21:03 1.523  WFC   60.0  180  g                                
 517559 sdss1208+35 60s  12:08:39.91 +35:51:00.1 2000.00  21:04 1.533  WFC   60.0  180  g                                
 517560 sdss1208+35 60s  12:08:39.91 +35:51:00.1 2000.00  21:06 1.544  WFC   60.0  180  g                                
 517561 sdss1208+35 60s  12:08:39.90 +35:51:00.1 2000.00  21:08 1.554  WFC   60.1  180  g                                
 517562 sdss1208+35 60s  12:08:39.91 +35:51:00.1 2000.00  21:09 1.564  WFC   60.1  180  g                                
 517563 sdss1208+35 60s  12:08:39.91 +35:51:00.1 2000.00  21:11 1.575  WFC   60.1  180  g                                
 517564 sdss1208+35 60s  12:08:39.91 +35:51:00.0 2000.00  21:12 1.586  WFC   60.1  180  g                                
 517565 sdss1208+35 60s  12:08:39.91 +35:51:00.1 2000.00  21:14 1.597  WFC   59.6  180  g                                
 517566 sdss1208+35 60s  12:08:39.91 +35:51:00.1 2000.00  21:16 1.608  WFC   60.1  180  g                                
