INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 25 05:55

TELESCOPE             INT
DATE                  20060724
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           20:16
EVENING TWILIGHT (UT) 21:38
MORNING TWILIGHT (UT) 04:59
SUNRISE (UT)          06:21
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       07:21
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No Moon all night
MOONSET (UT)          No Moon all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           01:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
calima all night, clouds at the end of the night. Seeing: beginning 0.8, end 1.5

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517676 uvex_6379 r      21:05:13.70 +50:10:59.4 2000.00  01:05 1.097  WFC   30.1  180  r                                
 517677 uvex_6379 U      21:05:13.70 +50:10:59.3 2000.00  01:07 1.095  WFC  120.0  180  U                                focus jump
 517678 uvex6379 U       21:05:13.70 +50:10:59.4 2000.00  01:13 1.091  WFC  120.0  180  U                                
 517679 uvex_6379 g      21:05:13.70 +50:10:59.4 2000.00  01:16 1.089  WFC   30.1  180  g                                
 517680 uvex_6379o He1   21:05:44.99 +50:15:59.8 2000.00  01:18 1.089  WFC  120.0  180  HeI 5870                         
 517681 uvex_6379o r     21:05:44.99 +50:15:59.4 2000.00  01:20 1.088  WFC   30.1  180  r                                
 517683 uvex_6379o U     21:05:44.98 +50:15:59.3 2000.00  01:30 1.083  WFC  120.0  180  U                                
 517684 uvex_6379o g     21:05:44.99 +50:15:59.3 2000.00  01:33 1.082  WFC   29.6  180  g                                
 517685 uvex_6380 He1    21:05:25.89 +42:50:59.8 2000.00  01:35 1.037  WFC  120.0  180  HeI 5870                         
 517686 uvex_6380 r      21:05:25.90 +42:50:59.5 2000.00  01:38 1.036  WFC   29.5  180  r                                focus jump
 517687 uvex_6380 U      21:05:25.89 +42:50:59.6 2000.00  01:39 1.036  WFC  119.5  180  U                                
 517688 uvex_6380 g      21:05:25.89 +42:50:59.6 2000.00  01:42 1.035  WFC   30.1  180  g                                
 517689 uvex_6380 r      21:05:25.90 +42:50:59.5 2000.00  01:43 1.034  WFC   30.1  180  r                                
 517690 SA113-260 2s r   21:41:48.00 +00:23:53.2 2000.00  01:46 1.171  WFC    2.1  180  r                                
 517691 SA113-260 2s g   21:41:48.00 +00:23:53.2 2000.00  01:47 1.170  WFC    2.1  180  g                                
 517692 SA113-260 20s He 21:41:48.01 +00:23:53.2 2000.00  01:49 1.168  WFC   20.1  180  HeI 5870                         
 517693 SA113-260 20s U  21:41:48.00 +00:23:53.3 2000.00  01:50 1.166  WFC   19.5  180  U                                
 517695 uvex_6380o He1   21:05:53.21 +42:55:59.5 2000.00  01:53 1.033  WFC  120.0  180  HeI 5870                         
 517696 uvex_6380o r     21:05:53.21 +42:55:59.6 2000.00  01:55 1.032  WFC   30.1  180  r                                
 517697 uvex_6380o U     21:05:53.21 +42:55:59.5 2000.00  01:57 1.032  WFC  120.0  180  U                                
 517698 uvex_6380o g     21:05:53.21 +42:55:59.6 2000.00  01:59 1.032  WFC   30.1  180  g                                
 517699 uvex_6156o He1   20:45:58.59 +47:30:59.7 2000.00  02:01 1.057  WFC  120.0  180  HeI 5870                         
 517700 uvex_6156o r     20:45:58.59 +47:30:59.5 2000.00  02:03 1.058  WFC   30.0  180  r                                
 517701 uvex_6156o U     20:45:58.60 +47:30:59.5 2000.00  02:04 1.058  WFC  120.0  180  U                                
 517702 uvex_6156o g     20:45:58.60 +47:30:59.5 2000.00  02:07 1.059  WFC   30.1  180  g                                
 517703 uvex_6157 He1    20:45:31.27 +49:26:59.6 2000.00  02:08 1.072  WFC  120.0  180  HeI 5870                         
 517704 uvex_6157 r      20:45:31.26 +49:26:59.5 2000.00  02:11 1.073  WFC   30.1  180  r                                
 517705 uvex_6157 U      20:45:31.27 +49:26:59.5 2000.00  02:12 1.073  WFC  119.5  180  U                                
 517706 uvex_6157 g      20:45:31.27 +49:26:59.5 2000.00  02:15 1.074  WFC   30.1  180  g                                
 517707 uvex_6157o He1   20:46:02.08 +49:31:59.5 2000.00  02:16 1.075  WFC  120.0  180  HeI 5870                         
 517708 uvex_6157o r     20:46:02.09 +49:31:59.5 2000.00  02:19 1.076  WFC   30.1  180  r                                
 517709 uvex_6157o U     20:46:02.08 +49:31:59.5 2000.00  02:20 1.077  WFC  120.0  180  U                                
 517710 uvex_6157o g     20:46:02.08 +49:31:59.5 2000.00  02:23 1.078  WFC   30.1  180  g                                
 517711 uvex_6159 He1    20:45:56.27 +45:57:59.9 2000.00  02:24 1.056  WFC  120.0  180  HeI 5870                         
 517712 uvex_6159 r      20:45:56.27 +45:57:59.5 2000.00  02:27 1.057  WFC   30.1  180  r                                
 517713 uvex_6159 U      20:45:56.26 +45:57:59.5 2000.00  02:28 1.058  WFC  120.0  180  U                                
 517714 uvex_6159 g      20:45:56.26 +45:57:59.5 2000.00  02:30 1.059  WFC   30.1  180  g                                
 517715 uvex_6161o He1   20:46:43.02 +50:04:59.7 2000.00  02:32 1.086  WFC  120.0  180  HeI 5870                         
 517716 uvex_6161o r     20:46:43.02 +50:04:59.4 2000.00  02:34 1.087  WFC   29.5  180  r                                
 517717 uvex_6161o U     20:46:43.02 +50:04:59.4 2000.00  02:36 1.089  WFC  120.0  180  U                                
 517718 uvex_6161o g     20:46:43.02 +50:04:59.4 2000.00  02:38 1.090  WFC   30.1  180  g                                
 517719 uvex_6163o He1   20:46:44.51 +48:03:59.4 2000.00  02:39 1.077  WFC  120.0  180  HeI 5870                         
 517720 uvex_6163o r     20:46:44.52 +48:03:59.4 2000.00  02:42 1.079  WFC   30.1  180  r                                
 517721 uvex_6163o U     20:46:44.51 +48:03:59.6 2000.00  02:43 1.080  WFC  120.0  180  U                                
 517722 uvex_6163o g     20:46:44.51 +48:03:59.5 2000.00  02:46 1.082  WFC   30.1  180  g                                
 517723 uvex_6169 He1    20:46:45.03 +46:30:59.2 2000.00  02:47 1.074  WFC  120.0  180  HeI 5870                         
 517724 uvex_6169 r      20:46:45.03 +46:30:59.5 2000.00  02:50 1.075  WFC   30.0  180  r                                
 517725 uvex_6169 U      20:46:45.03 +46:30:59.4 2000.00  02:51 1.077  WFC  120.0  180  U                                
 517726 uvex_6169 g      20:46:45.04 +46:30:59.4 2000.00  02:54 1.079  WFC   30.1  180  g                                
 517727 uvex_6169o He1   20:47:14.15 +46:35:59.5 2000.00  02:55 1.080  WFC  120.0  180  HeI 5870                         
 517728 uvex_6169o r     20:47:14.15 +46:35:59.5 2000.00  02:58 1.082  WFC   29.5  180  r                                
 517729 uvex_6169o U     20:47:14.14 +46:35:59.5 2000.00  02:59 1.084  WFC  120.0  180  U                                
 517730 uvex_6169o g     20:47:14.14 +46:35:59.4 2000.00  03:01 1.086  WFC   30.1  180  g                                
 517731 uvex_6170 He1    20:46:49.54 +50:32:59.7 2000.00  03:03 1.114  WFC  120.0  180  HeI 5870                         
 517732 uvex_6170 r      20:46:49.54 +50:32:59.4 2000.00  03:05 1.116  WFC   30.0  180  r                                
 517733 uvex_6170 U      20:46:49.53 +50:32:59.3 2000.00  03:07 1.118  WFC  119.5  180  U                                
 517734 uvex_6170 g      20:46:49.53 +50:32:59.4 2000.00  03:09 1.120  WFC   30.1  180  g                                
 517735 uvex_6170o He1   20:47:21.07 +50:37:59.4 2000.00  03:10 1.122  WFC  120.0  180  HeI 5870                         
 517736 uvex_6170o r     20:47:21.07 +50:37:59.3 2000.00  03:13 1.124  WFC   30.1  180  r                                
 517737 uvex_6170o U     20:47:21.07 +50:37:59.4 2000.00  03:14 1.126  WFC  120.0  180  U                                
 517738 uvex_6170o g     20:47:21.07 +50:37:59.3 2000.00  03:17 1.128  WFC   30.1  180  g                                
 517739 uvex_6173o He1   20:47:29.28 +48:36:59.7 2000.00  03:18 1.117  WFC  120.0  180  HeI 5870                         
 517740 uvex_6173o r     20:47:29.28 +48:36:59.4 2000.00  03:21 1.119  WFC   30.1  180  r                                
 517741 uvex_6173o U     20:47:29.28 +48:36:59.4 2000.00  03:22 1.122  WFC  120.0  180  U                                
 517742 uvex_6173o g     20:47:29.28 +48:36:59.4 2000.00  03:25 1.124  WFC   30.1  180  g                                
 517743 uvex_6179 He1    20:47:27.16 +51:05:59.6 2000.00  03:26 1.144  WFC  119.5  180  HeI 5870                         
 517744 uvex_6179 r      20:47:27.17 +51:05:59.4 2000.00  03:29 1.146  WFC   29.5  180  r                                
 517745 uvex_6179 U      20:47:27.17 +51:05:59.3 2000.00  03:30 1.149  WFC  120.0  180  U                                
 517746 uvex_6179 g      20:47:27.17 +51:05:59.2 2000.00  03:32 1.151  WFC   30.1  180  g                                
 517747 uvex_6179o He1   20:47:59.08 +51:10:59.5 2000.00  03:34 1.154  WFC  120.0  180  HeI 5870                         
 517748 uvex_6179o r     20:47:59.07 +51:10:59.3 2000.00  03:36 1.157  WFC   30.1  180  r                                
 517749 uvex_6179o U     20:47:59.08 +51:10:59.4 2000.00  03:38 1.160  WFC  119.4  180  U                                
 517750 uvex_6179o g     20:47:59.07 +51:10:59.4 2000.00  03:40 1.163  WFC   29.5  180  g                                
 517751 uvex_6180 He1    20:47:32.84 +47:03:59.7 2000.00  03:41 1.141  WFC  119.5  180  HeI 5870                         
 517752 uvex_6180 r      20:47:32.84 +47:03:59.4 2000.00  03:44 1.144  WFC   30.1  180  r                                
 517753 uvex_6180 U      20:47:32.83 +47:03:59.5 2000.00  03:45 1.147  WFC  120.0  180  U                                
 517754 uvex_6180 g      20:47:32.83 +47:03:59.5 2000.00  03:48 1.151  WFC   30.1  180  g                                
 517755 uvex_6180o He1   20:48:02.25 +47:08:59.5 2000.00  03:49 1.154  WFC  120.0  180  HeI 5870                         
 517756 uvex_6180o r     20:48:02.25 +47:08:59.5 2000.00  03:52 1.157  WFC   30.1  180  r                                
 517757 uvex_6180o U     20:48:02.25 +47:08:59.4 2000.00  03:53 1.160  WFC  119.5  180  U                                
 517758 uvex_6180o g     20:48:02.25 +47:08:59.5 2000.00  03:56 1.164  WFC   29.6  180  g                                
 517759 uvex_6182 He1    20:47:42.25 +49:04:59.8 2000.00  03:57 1.179  WFC  120.0  180  HeI 5870                         
 517760 uvex_6182 r      20:47:42.25 +49:04:59.4 2000.00  04:00 1.183  WFC   30.1  180  r                                
 517761 uvex_6182 U      20:47:42.25 +49:04:59.5 2000.00  04:01 1.186  WFC  120.0  180  U                                
 517762 uvex_6182 g      20:47:42.25 +49:04:59.5 2000.00  04:04 1.190  WFC   29.6  180  g                                
 517763 uvex_6182o He1   20:48:12.85 +49:09:59.5 2000.00  04:05 1.193  WFC  120.0  180  HeI 5870                         
 517764 uvex_6182o r     20:48:12.85 +49:09:59.5 2000.00  04:07 1.197  WFC   30.1  180  r                                
 517765 uvex_6182o U     20:48:12.85 +49:09:59.4 2000.00  04:09 1.201  WFC  120.0  180  U                                
 517766 uvex_6182o g     20:48:12.85 +49:09:59.4 2000.00  04:11 1.205  WFC   29.6  180  g                                
 517767 uvex_6184 He1    20:47:54.84 +45:36:00.0 2000.00  04:12 1.193  WFC  120.1  180  HeI 5870                         
 517768 uvex_6184 r      20:47:54.83 +45:35:59.5 2000.00  04:15 1.197  WFC   30.1  180  r                                
 517769 uvex_6184 U      20:47:54.84 +45:35:59.5 2000.00  04:16 1.202  WFC  118.9  180  U                                
 517770 uvex_6184 g      20:47:54.84 +45:35:59.5 2000.00  04:19 1.206  WFC   30.1  180  g                                
 517771 uvex_6190 He1    20:48:19.58 +47:37:00.0 2000.00  04:20 1.219  WFC  120.0  180  HeI 5870                         
 517772 uvex_6190 r      20:48:19.59 +47:36:59.4 2000.00  04:23 1.224  WFC   30.1  180  r                                
 517773 uvex_6190 U      20:48:19.59 +47:36:59.5 2000.00  04:24 1.228  WFC  120.0  180  U                                
 517774 uvex_6190 g      20:48:19.59 +47:36:59.4 2000.00  04:27 1.233  WFC   30.1  180  g                                
 517775 uvex_6190o He1   20:48:49.31 +47:41:59.5 2000.00  04:28 1.237  WFC  120.0  180  HeI 5870                         
 517776 uvex_6190o r     20:48:49.30 +47:41:59.6 2000.00  04:31 1.242  WFC   30.1  180  r                                
 517777 uvex_6190o U     20:48:49.30 +47:41:59.5 2000.00  04:32 1.247  WFC  120.0  180  U                                
 517778 uvex_6190o g     20:48:49.30 +47:41:59.5 2000.00  04:35 1.252  WFC   30.1  180  g                                
 517779 uvex_6191 He1    20:48:24.17 +49:37:59.8 2000.00  04:36 1.268  WFC  120.0  180  HeI 5870                         
 517780 uvex_6191 r      20:48:24.17 +49:37:59.4 2000.00  04:38 1.273  WFC   29.5  180  r                                
 517781 uvex_6191 U      20:48:24.18 +49:37:59.5 2000.00  04:40 1.278  WFC  120.0  180  U                                
 517782 uvex_6191 g      20:48:24.18 +49:37:59.4 2000.00  04:42 1.284  WFC   30.1  180  g                                
 517783 sa114-548 25 He1 22:41:36.72 +00:59:05.7 2000.00  04:46 1.174  WFC   25.1  180  HeI 5870                         no use, thick clouds
 517784 sa114-548 5 g    22:41:36.72 +00:59:05.6 2000.00  04:47 1.176  WFC    5.1  180  g                                
 517785 sa114-548 5 r    22:41:36.71 +00:59:05.6 2000.00  04:50 1.181  WFC    5.1  180  r                                
