 499719 lhs2065 Z este    8:53:37.99 -03:29:32.0 2000.00  22:13 1.473  WFC  120.0  180  z                                
 499720 lhs2065 Z oeste   8:53:34.00 -03:29:31.9 2000.00  22:18 1.498  WFC  120.0  180  z                                
 499721 lhs2065 Z         8:53:35.99 -03:29:32.0 2000.00  22:23 1.525  WFC  120.0  180  z                                
 499722 lhs2065 Z norte   8:53:36.00 -03:29:01.9 2000.00  22:27 1.550  WFC  120.1  180  z                                
 499723 lhs2065 Z sur     8:53:35.99 -03:20:01.8 2000.00  22:32 1.573  WFC  120.0  180  z                                
 499724 lhs2065 Z este    8:53:37.99 -03:29:32.3 2000.00  22:36 1.602  WFC  120.0  180  z                                
 499725 lhs2065 Z oeste   8:53:34.00 -03:29:32.2 2000.00  22:40 1.629  WFC  120.0  180  z                                
 499726 lhs2065 Z         8:53:36.00 -03:29:32.0 2000.00  22:44 1.657  WFC  120.0  180  z                                
 499727 lhs2065 Z norte   8:53:36.00 -03:29:02.1 2000.00  22:48 1.689  WFC  120.0  180  z                                
 499728 lhs2065 Z sur     8:53:35.99 -03:20:02.1 2000.00  22:52 1.717  WFC  120.0  180  z                                
 499729 lhs2065 Z este    8:53:38.00 -03:29:32.1 2000.00  22:56 1.754  WFC  119.5  180  z                                
 499730 lhs2065 Z oeste   8:53:34.00 -03:29:31.9 2000.00  23:00 1.792  WFC  120.0  180  z                                
 499731 kelu1 Z          13:05:40.20 -25:41:06.0 2000.00  23:06 1.782  WFC  300.0  180  z                                
 499732 Focus run        13:05:40.19 -25:41:05.9 2000.00  23:18 1.763  WFC   10.1  180  z                                focus 43.71
 499733 kelu1 Z norte    13:05:40.20 -25:40:35.5 2000.00  23:32 1.735  WFC  300.0  180  z                                
 499734 kelu1 Z norte    13:05:40.20 -25:40:35.4 2000.00  23:41 1.725  WFC  299.9  180  z                                focus 43.68
 499735 kelu1 Z norte    13:05:40.19 -25:40:36.1 2000.00  23:52 1.720  WFC   30.1  180  z                                focus 43.72
 499736 kelu1 Z norte    13:05:40.19 -25:40:36.0 2000.00  23:54 1.718  WFC  299.9  180  z                                
 499737 kelu1 Z sur      13:05:40.19 -25:41:35.6 2000.00  00:02 1.719  WFC  300.0  180  z                                
 499738 kelu1 Z este     13:05:42.19 -25:41:05.6 2000.00  00:09 1.720  WFC  299.9  180  z                                
 499739 kelu1 Z oeste    13:05:38.19 -25:41:06.0 2000.00  00:16 1.724  WFC  300.0  180  z                                
 499740 kelu1 Z          13:05:40.20 -25:41:05.9 2000.00  00:23 1.731  WFC  300.0  180  z                                
 499741 kelu1 Z norte    13:05:40.20 -25:40:35.8 2000.00  00:29 1.738  WFC  299.9  180  z                                
 499742 kelu1 Z sur      13:05:40.20 -25:41:36.0 2000.00  00:37 1.750  WFC  299.3  180  z                                
 499743 kelu1 Z este     13:05:42.20 -25:41:06.0 2000.00  00:43 1.762  WFC  299.9  180  z                                
 499744 kelu1 Z oeste    13:05:38.20 -25:41:05.8 2000.00  00:51 1.779  WFC  299.8  180  z                                
 499745 kelu1 Z          13:05:40.20 -25:41:05.9 2000.00  00:58 1.798  WFC  299.9  180  z                                
 499746 Focus run        16:05:59.99 -22:16:24.8 2000.00  01:10 1.877  WFC   10.1  180  z                                
 499747 USco04 Z         16:06:00.00 -22:16:25.2 2000.00  01:15 1.823  WFC  359.8  180  z                                
 499748 USco04 Z         16:06:00.00 -22:16:25.0 2000.00  01:22 1.791  WFC  359.9  180  z                                
 499749 USco04 Z         16:06:00.00 -22:16:25.0 2000.00  01:28 1.762  WFC  359.8  180  z                                
 499750 USco04 Z         16:06:00.00 -22:16:25.0 2000.00  01:35 1.735  WFC  359.9  180  z                                
 499751 USco04 Z         16:05:59.99 -22:16:25.0 2000.00  01:42 1.711  WFC  359.8  180  z                                
 499752 USco11 Z         16:08:59.99 -23:57:48.0 2000.00  01:50 1.761  WFC  358.9  180  z                                
 499753 USco11 Z         16:08:59.99 -23:57:47.9 2000.00  01:57 1.740  WFC  359.9  180  z                                
 499754 USco11 Z         16:08:59.99 -23:57:48.0 2000.00  02:03 1.722  WFC  359.9  180  z                                
 499755 USco11 Z         16:08:59.99 -23:57:47.9 2000.00  02:10 1.706  WFC  359.9  180  z                                
