INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 02 05:44

TELESCOPE             INT
DATE                  20050601
OBSERVER/S            A. Rosenberg, G. Gomez
PROGRAMME             Service Night
PROPOSAL REF          CAT SD
TELESCOPE OPERATOR    None
SUPPORT ASTRONOMER    J. Furness

TEL STATION / FOCUS   Prime  / 43.90
INSTRUMENT/S          WFC

SUNSET (UT)           20:13
EVENING TWILIGHT (UT) 21:37
MORNING TWILIGHT (UT) 04:41
SUNRISE (UT)          06:06
%ILLUM. LUNAR DISK    24
DARK TIME (HRS)       07:04
TWILIGHT TIME (HRS)   02:49
MOONRISE (UT)         03:07
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  10.4   29    12.8  13.7   66   769.5   10.4  13.7    14.4   29    21 
22:00  11.1   18     7.4   8.4   52   769.8   11.1  12.7    14.1   18    14 
23:00  10.1   32     7.5   9.0  142   770.0   10.1  12.1    13.5   32    25 
00:00  10.4   29     6.8   7.8  141   770.2   10.4  11.7    13.2   29    23 
01:00  10.8   26     8.0   9.0   96   770.1   10.8  12.0    13.3   26    22 
02:00  10.2   29     6.7   7.4  113   769.8   10.2  11.6    13.2   29    23 
03:00   9.8   32     4.9   5.2  129   769.3    9.8  11.3    12.9   32    26 
04:00   9.5   32     3.1   4.0   21   769.1    9.5  10.9    12.3   32    28 
05:00   9.1   35     2.1   2.3  146   768.7    9.1  10.8    12.0   35    28 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear, some cirros

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 453326 NGC4625          12:41:55.80 +41:16:25.0 2000.00  01:56 1.966  WFC  899.5  180  U                                
 453327 HER166           16:03:14.00 +16:20:30.0 2000.00  02:17 1.131  WFC  449.8  180  B                                
 453328 HER171           16:01:41.00 +16:21:00.1 2000.00  02:26 1.157  WFC  449.8  180  B                                
 453329 HER172           16:01:42.39 +16:21:00.0 2000.00  02:36 1.181  WFC  449.8  180  B                                
 453330 HER173           16:01:41.00 +16:21:29.8 2000.00  02:45 1.208  WFC  449.2  180  B                                
 453331 HER174           16:01:42.99 +16:21:29.8 2000.00  02:55 1.239  WFC  449.3  180  B                                
 453332 HER175           16:01:38.99 +16:21:00.0 2000.00  03:06 1.280  WFC  449.8  180  B                                
 453333 HER176           16:01:41.00 +16:20:30.0 2000.00  03:15 1.317  WFC  449.8  180  B                                
 453334 HER201           16:03:13.99 +15:50:59.8 2000.00  03:24 1.356  WFC  449.8  180  B                                
 453335 HER202           16:03:16.00 +15:50:59.8 2000.00  03:34 1.403  WFC  449.9  180  B                                
 453336 HER203           16:03:13.99 +15:51:29.9 2000.00  03:43 1.454  WFC  449.8  180  B                                
 453337 HER204           16:03:15.99 +15:51:29.9 2000.00  03:52 1.511  WFC  449.8  180  B                                
 453338 HER205           16:03:12.00 +15:50:59.8 2000.00  04:01 1.575  WFC  449.8  180  B                                
 453339 HER206           16:03:14.00 +15:50:30.1 2000.00  04:11 1.653  WFC  449.8  180  B                                
 453340 HER211           16:01:40.99 +15:51:00.3 2000.00  04:22 1.760  WFC  449.2  180  B                                
 453341 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:31 1.252  WFC    0.0  180  B                                
 453342 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:31 2.192  WFC    0.0  180  B                                
 453343 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:32 2.469  WFC    0.0  180  B                                
 453344 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:32 2.469  WFC    0.0  180  B                                
 453345 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:33 2.469  WFC    0.0  180  B                                
 453346 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:33 2.469  WFC    0.0  180  B                                
 453347 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:34 2.469  WFC    0.0  180  B                                
 453348 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:35 4.298  WFC    0.0  180  B                                
 453349 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:35 4.294  WFC    0.0  180  B                                
 453350 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:36 4.294  WFC    0.0  180  B                                
 453351 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:36 4.294  WFC    0.0  180  B                                
 453352 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:37 4.294  WFC    0.0  180  B                                
 453353 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:38 4.294  WFC    0.0  180  B                                
 453354 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:38 4.294  WFC    0.0  180  B                                
 453355 Bias frame        0:00:00.00 +00:00:00.0 2000.00  04:39 4.294  WFC    0.0  180  B                                
