 459070 9P r' M3         13:49:13.33 -11:06:21.3 2000.00  22:15 1.603  WFC   20.1   90  r                                
 459071 9P B M3          13:49:09.96 -11:07:11.5 2000.00  22:16 1.611  WFC   19.5   90  B                                
 459072 9P B M3          13:49:13.33 -11:06:21.3 2000.00  22:18 1.618  WFC   20.1   90  B                                
 459073 9P r'            13:43:31.90 -10:42:59.8 2000.00  22:25 1.685  WFC   19.5   90  r                                
 459074 9P i'            13:43:31.90 -10:42:59.7 2000.00  22:27 1.694  WFC   20.1   90  i                                
 459075 9P U             13:43:31.90 -10:42:59.8 2000.00  22:28 1.703  WFC   20.0   90  U                                
 459076 9P B             13:43:31.90 -10:42:59.8 2000.00  22:29 1.713  WFC   20.1   90  B                                
 459077 9P V             13:43:31.90 -10:42:59.7 2000.00  22:31 1.723  WFC   20.1   90  V                                
 459078 9P O+            13:43:31.90 -10:42:59.7 2000.00  22:32 1.732  WFC   20.1   90  [OII]3727                        
 459079 9P r'            13:43:40.19 -10:43:19.7 2000.00  22:36 1.758  WFC   19.5   90  r                                
 459080 9P i'            13:43:40.19 -10:43:19.7 2000.00  22:37 1.769  WFC   20.1   90  i                                
 459081 9P U             13:43:40.19 -10:43:19.7 2000.00  22:39 1.779  WFC   20.1   90  U                                
 459082 9P B             13:43:40.19 -10:43:19.7 2000.00  22:40 1.790  WFC   20.1   90  B                                
 459083 9P V             13:43:40.19 -10:43:19.7 2000.00  22:41 1.801  WFC   20.1   90  V                                
 459084 9P O+            13:43:40.19 -10:43:19.8 2000.00  22:43 1.812  WFC   19.6   90  [OII]3727                        at zen. dist of 57 deg.
 459085 9P r'            13:43:37.00 -10:42:32.8 2000.00  22:48 1.861  WFC   20.1   90  r                                
 459086 9P i'            13:43:37.00 -10:42:32.7 2000.00  22:50 1.874  WFC   20.1   90  i                                
 459087 9P U             13:43:36.99 -10:42:32.6 2000.00  22:51 1.886  WFC   20.1   90  U                                
 459088 9P B             13:43:37.00 -10:42:32.8 2000.00  22:52 1.899  WFC   19.5   90  B                                
 459089 9P V             13:43:37.00 -10:42:32.7 2000.00  22:54 1.912  WFC   20.1   90  V                                
 459090 9P O+            13:43:37.00 -10:42:32.8 2000.00  22:55 1.925  WFC   20.1   90  [OII]3727                        
 459091 9P r'            13:43:39.49 -10:42:51.7 2000.00  22:59 1.968  WFC   20.1   90  r                                
 459092 9P i'            13:43:39.49 -10:42:51.7 2000.00  23:01 1.982  WFC   20.1   90  i                                
 459093 9P U             13:43:39.49 -10:42:51.6 2000.00  23:02 1.997  WFC   20.1   90  U                                
 459094 9P B             13:43:39.49 -10:42:51.7 2000.00  23:04 2.012  WFC   20.1   90  B                                
 459095 9P V             13:43:39.49 -10:42:51.9 2000.00  23:05 2.028  WFC   20.1   90  V                                
 459096 9P O+            13:43:39.48 -10:42:51.8 2000.00  23:06 2.043  WFC   19.5   90  [OII]3727                        
 459097 9P r'            13:43:38.14 -10:42:28.7 2000.00  23:08 2.069  WFC   19.5   90  r                                
 459098 9P i'            13:43:38.13 -10:42:28.8 2000.00  23:10 2.086  WFC   19.5   90  i                                
 459099 9P U             13:43:38.13 -10:42:28.7 2000.00  23:11 2.103  WFC   19.5   90  U                                
 459100 9P B             13:43:38.13 -10:42:28.7 2000.00  23:13 2.120  WFC   19.5   90  B                                
 459101 9P V             13:43:38.13 -10:42:28.8 2000.00  23:14 2.138  WFC   19.5   90  V                                
 459102 9P O+            13:43:38.14 -10:42:28.8 2000.00  23:15 2.156  WFC   20.1   90  [OII]3727                        
 459103 9P r'            13:43:40.28 -10:43:58.9 2000.00  23:21 2.239  WFC   20.1   90  r                                
 459104 9P i'            13:43:40.28 -10:43:58.8 2000.00  23:23 2.259  WFC   20.1   90  i                                
 459105 9P U             13:43:40.28 -10:43:58.7 2000.00  23:24 2.280  WFC   19.5   90  U                                
 459106 9P B             13:43:40.28 -10:43:58.8 2000.00  23:25 2.302  WFC   20.1   90  B                                
 459107 9P V             13:43:40.28 -10:43:58.7 2000.00  23:27 2.324  WFC   20.1   90  V                                
 459108 9P O+            13:43:40.27 -10:43:58.7 2000.00  23:28 2.346  WFC   20.1   90  [OII]3727                        
 459109 9P r'            13:43:39.26 -10:43:03.8 2000.00  23:31 2.396  WFC   20.1   90  r                                
 459110 9P i'            13:43:39.26 -10:43:03.8 2000.00  23:32 2.420  WFC   20.1   90  i                                
 459111 9P U             13:43:39.26 -10:43:03.9 2000.00  23:34 2.444  WFC   20.1   90  U                                
 459112 9P B             13:43:39.26 -10:43:03.9 2000.00  23:35 2.470  WFC   20.1   90  B                                
 459113 9P V             13:43:39.26 -10:43:03.8 2000.00  23:37 2.496  WFC   20.1   90  V                                
 459114 9P O+            13:43:39.26 -10:43:03.8 2000.00  23:38 2.522  WFC   20.1   90  [OII]3727                        
 459115 9P r'            13:43:39.25 -10:43:03.7 2000.00  23:44 2.649  WFC   20.1   90  r                                
 459116 9P r'            13:43:39.25 -10:43:03.9 2000.00  23:45 2.675  WFC   20.1   90  r                                
 459117 40P r'           20:59:51.60 -15:07:16.5 2000.00  23:54 2.315  WFC   85.0   90  r                                
 459118 40P r'           20:59:52.30 -15:07:22.1 2000.00  23:57 2.283  WFC   85.1   90  r                                
 459119 40P r'           20:59:52.30 -15:07:26.2 2000.00  23:59 2.252  WFC   85.0   90  r                                
 459120 40P i'           20:59:52.30 -15:07:26.7 2000.00  00:01 2.218  WFC   85.0   90  i                                
 459121 40P V            20:59:52.30 -15:07:26.7 2000.00  00:04 2.186  WFC   85.0   90  V                                
 459122 40P r'           20:59:51.26 -15:07:22.5 2000.00  00:06 2.154  WFC   84.5   90  r                                
 459123 94P r'           20:38:22.63 -24:57:36.7 2000.00  00:12 2.405  WFC   75.1   90  r                                
 459124 94P r'           20:38:22.64 -24:57:47.0 2000.00  00:14 2.380  WFC   75.1   90  r                                
 459125 94P r'           20:38:21.90 -24:57:42.2 2000.00  00:16 2.356  WFC   75.0   90  r                                
 459126 94P r'           20:38:22.26 -24:57:37.0 2000.00  00:18 2.332  WFC   75.0   90  r                                
 459127 94P i'           20:38:22.26 -24:57:36.4 2000.00  00:21 2.306  WFC   75.0   90  i                                
 459128 94P V            20:38:22.27 -24:57:36.5 2000.00  00:23 2.281  WFC   75.0   90  V                                
 459129 94P r'           20:38:22.78 -24:57:46.6 2000.00  00:25 2.256  WFC   75.0   90  r                                
 459130 40P r'           20:59:50.56 -15:07:30.6 2000.00  00:30 1.907  WFC   85.0   90  r                                
 459131 40P r'           20:59:50.99 -15:07:16.4 2000.00  00:32 1.889  WFC   85.0   90  r                                
 459132 40P r'           20:59:51.26 -15:07:31.9 2000.00  00:34 1.871  WFC   85.0   90  r                                
 459133 40P r'           20:59:50.70 -15:07:11.4 2000.00  00:37 1.854  WFC   85.0   90  r                                
 459134 94P r'           20:38:22.62 -24:57:31.4 2000.00  00:41 2.111  WFC   75.1   90  r                                
 459135 94P r'           20:38:23.00 -24:57:46.7 2000.00  00:43 2.095  WFC   75.0   90  r                                
 459136 94P r'           20:38:21.89 -24:57:48.2 2000.00  00:45 2.080  WFC   75.0   90  r                                
 459137 94P r'           20:38:22.27 -24:57:38.4 2000.00  00:47 2.064  WFC   75.0   90  r                                
 459138 STD PG1657 U     17:00:20.09 +07:37:59.7 2000.00  00:54 1.181  WFC   50.0   90  U                                
 459139 STD PG1657 B     17:00:20.09 +07:37:59.7 2000.00  00:56 1.186  WFC   50.1   90  B                                
 459140 STD PG1657 V     17:00:20.09 +07:37:59.7 2000.00  00:58 1.190  WFC   50.1   90  V                                
 459141 STD MARK U       20:44:47.54 -10:53:06.7 2000.00  01:02 1.498  WFC   50.1   90  U                                
 459142 STD MARK B       20:44:47.54 -10:53:06.7 2000.00  01:04 1.491  WFC   50.1   90  B                                
 459143 STD MARK V       20:44:47.54 -10:53:06.7 2000.00  01:05 1.484  WFC   50.1   90  V                                
 459144 STD SA112_223 r' 20:43:01.66 +00:03:34.9 2000.00  01:12 1.263  WFC    5.1   90  r                                
 459145 STD SA112_223 i' 20:43:01.66 +00:03:34.9 2000.00  01:13 1.260  WFC    4.5   90  i                                
 459146 STD PG1528 r'    15:31:37.92 +05:55:25.8 2000.00  01:19 1.777  WFC    5.1   90  r                                
 459147 STD PG1528 i'    15:31:37.92 +05:55:25.8 2000.00  01:20 1.789  WFC    5.1   90  i                                
 459148 STD L930_80 O+   21:45:45.14 -08:03:26.8 2000.00  01:25 1.609  WFC  199.9   90  [OII]3727                        
 459149 94P r'           20:38:19.26 -24:57:43.6 2000.00  01:32 1.820  WFC   75.0   90  r                                
 459150 94P r'           20:38:20.37 -24:57:58.8 2000.00  01:34 1.813  WFC   75.0   90  r                                
 459151 94P r'           20:38:19.19 -24:58:00.1 2000.00  01:36 1.806  WFC   75.0   90  r                                
 459152 94P r'           20:38:19.77 -24:57:50.6 2000.00  01:38 1.799  WFC   75.0   90  r                                
 459153 P2004H2 r'       22:47:34.96 -11:46:23.7 2000.00  01:46 2.071  WFC  210.0   90  r                                
 459154 P2004H2 r'       22:47:34.07 -11:46:35.9 2000.00  01:51 2.022  WFC  210.0   90  r                                
 459155 P2004H2 i'       22:47:34.08 -11:46:35.7 2000.00  01:55 1.973  WFC  210.0   90  i                                
 459156 P2004H2 V        22:47:34.08 -11:46:35.8 2000.00  02:00 1.927  WFC  209.4   90  V                                
 459157 P2004H2 r'       22:47:35.72 -11:46:34.2 2000.00  02:04 1.888  WFC  209.5   90  V                                
 459158 40P r'           20:59:48.12 -15:07:45.6 2000.00  02:15 1.434  WFC   85.0   90  r                                
 459159 40P r'           20:59:49.16 -15:07:31.7 2000.00  02:17 1.430  WFC   85.0   90  r                                
 459160 40P r'           20:59:49.44 -15:07:47.0 2000.00  02:19 1.427  WFC   84.5   90  r                                
 459161 40P i'           20:59:49.43 -15:07:46.7 2000.00  02:21 1.423  WFC   85.0   90  i                                
 459162 40P V            20:59:49.44 -15:07:46.6 2000.00  02:24 1.419  WFC   85.0   90  V                                
 459163 40P r'           20:59:48.75 -15:07:42.0 2000.00  02:26 1.415  WFC   85.0   90  r                                
 459164 94P r'           20:38:18.30 -24:57:43.6 2000.00  02:32 1.692  WFC   75.0   90  r                                
 459165 94P r'           20:38:20.08 -24:57:58.7 2000.00  02:34 1.691  WFC   74.5   90  r                                
 459166 94P r'           20:38:19.04 -24:58:00.3 2000.00  02:36 1.690  WFC   75.0   90  r                                
 459167 94P r'           20:38:19.19 -24:57:50.3 2000.00  02:38 1.689  WFC   75.0   90  r                                
 459168 94P i'           20:38:19.19 -24:57:50.4 2000.00  02:40 1.688  WFC   75.0   90  i                                
 459169 94P V            20:38:19.19 -24:57:50.4 2000.00  02:43 1.687  WFC   74.5   90  V                                
 459170 94P r'           20:38:20.00 -24:57:58.5 2000.00  02:45 1.687  WFC   75.0   90  r                                
 459171 P2004H2 r'       22:47:34.75 -11:46:41.9 2000.00  02:52 1.569  WFC  210.0   90  r                                
 459172 P2004H2 r'       22:47:34.96 -11:46:51.0 2000.00  02:56 1.550  WFC  210.0   90  r                                
 459173 P2004H2 r'       22:47:34.69 -11:46:39.2 2000.00  03:00 1.531  WFC  210.0   90  r                                
 459174 P2004H2 r'       22:47:35.02 -11:46:42.2 2000.00  03:04 1.513  WFC  209.9   90  r                                
 459175 blank i'         19:59:00.00 +02:20:00.0 2000.00  03:12 1.159  WFC  100.0   90  i                                INTblankfield - degringing - Not very blank
 459176 40P r'           20:59:45.70 -15:07:53.8 2000.00  03:21 1.388  WFC   85.0   90  r                                
 459177 40P r'           20:59:47.16 -15:07:35.3 2000.00  03:23 1.389  WFC   85.0   90  r                                
 459178 40P r'           20:59:47.44 -15:07:58.0 2000.00  03:25 1.390  WFC   85.0   90  r                                
 459179 40P r'           20:59:45.63 -15:07:37.6 2000.00  03:28 1.391  WFC   85.0   90  r                                
 459180 94P r'           20:38:15.33 -24:58:00.5 2000.00  03:34 1.732  WFC   75.1   90  r                                
 459181 94P r'           20:38:17.48 -24:58:18.6 2000.00  03:36 1.736  WFC   75.0   90  r                                
 459182 94P r'           20:38:16.44 -24:57:56.2 2000.00  03:38 1.740  WFC   75.0   90  r                                
 459183 94P r'           20:38:16.59 -24:58:09.2 2000.00  03:40 1.745  WFC   75.0   90  r                                
 459184 blank i'         22:58:00.00 +00:05:00.0 2000.00  03:44 1.220  WFC  100.0   90  i                                INTblankfield - degringing - Much better
 459185 P2004H2 r'       22:47:34.88 -11:46:38.7 2000.00  03:50 1.379  WFC  210.0   90  r                                
 459186 P2004H2 r'       22:47:34.62 -11:46:48.0 2000.00  03:54 1.371  WFC  210.0   90  r                                
 459187 P2004H2 i'       22:47:34.62 -11:46:47.7 2000.00  03:59 1.362  WFC  210.0   90  i                                
 459188 P2004H2 V        22:47:34.62 -11:46:47.7 2000.00  04:03 1.355  WFC  210.0   90  V                                
 459189 P2004H2 r'       22:47:35.91 -11:46:46.5 2000.00  04:07 1.349  WFC  209.9   90  V                                
 459190 blank i'         22:58:02.66 +00:05:39.8 2000.00  04:14 1.171  WFC  100.0   90  V                                wrong filter
 459191 40P r'           20:59:45.71 -15:07:57.4 2000.00  04:20 1.466  WFC   85.0   90  r                                
 459192 40P r'           20:59:47.16 -15:07:39.3 2000.00  04:22 1.471  WFC   85.0   90  r                                
 459193 40P r'           20:59:47.44 -15:07:53.7 2000.00  04:24 1.476  WFC   85.0   90  r                                
 459194 40P r'           20:59:45.64 -15:07:43.7 2000.00  04:26 1.482  WFC   85.0   90  r                                
 459195 blank i'         22:58:02.66 +00:05:40.1 2000.00  04:30 1.154  WFC  100.0   90  i                                
 459200 94P r'           20:38:14.60 -24:58:00.2 2000.00  04:42 2.010  WFC   75.1   90  r                                
 459201 94P r'           20:38:15.78 -24:58:04.5 2000.00  04:44 2.023  WFC   74.5   90  r                                
 459202 94P r'           20:38:14.74 -24:58:04.5 2000.00  04:46 2.037  WFC   75.0   90  r                                
 459203 94P r'           20:38:14.60 -24:58:09.4 2000.00  04:48 2.052  WFC   75.0   90  r                                
 459204 blank i'         22:58:05.33 +00:06:20.0 2000.00  04:53 1.141  WFC  100.0   90  i                                
 459205 P2004H2 r'       22:47:34.89 -11:46:38.6 2000.00  05:01 1.315  WFC  210.0   90  r                                
 459206 P2004H2 r'       22:47:34.62 -11:46:48.0 2000.00  05:05 1.316  WFC  209.4   90  r                                
 459207 P2004H2 i'       22:47:34.62 -11:46:47.7 2000.00  05:10 1.317  WFC  210.0   90  i                                
 459208 P2004H2 V        22:47:34.62 -11:46:47.8 2000.00  05:14 1.319  WFC  210.0   90  V                                
 459209 P2004H2 r'       22:47:35.91 -11:46:46.5 2000.00  05:19 1.322  WFC  209.5   90  V                                
