 545416 intphas_3466o r   6:25:58.00 +17:16:00.0 2000.00  22:33 1.172  WFC   30.0  180  r                                
 545417 intphas_3466o i   6:25:58.01 +17:16:00.0 2000.00  22:34 1.169  WFC   10.1  180  i                                
 545418 intphas_3469 Ha   6:25:40.31 +18:38:59.8 2000.00  22:35 1.156  WFC  120.0  180  Halpha                           
 545419 intphas_3469 r    6:25:40.31 +18:38:59.8 2000.00  22:37 1.152  WFC   30.1  180  r                                
 545420 intphas_3469 i    6:25:40.30 +18:38:59.8 2000.00  22:39 1.149  WFC   10.0  180  i                                
 545421 intphas_3469o Ha  6:26:01.43 +18:43:59.9 2000.00  22:40 1.145  WFC  120.0  180  Halpha                           
 545422 intphas_3469o r   6:26:01.43 +18:43:59.9 2000.00  22:42 1.140  WFC   30.1  180  r                                
 545423 intphas_3469o i   6:26:01.42 +18:43:59.9 2000.00  22:43 1.138  WFC   10.1  180  i                                
 545424 intphas_3470 Ha   6:25:45.35 +20:07:00.1 2000.00  22:44 1.127  WFC  119.5  180  Halpha                           
 545425 intphas_3470 r    6:25:45.35 +20:06:59.9 2000.00  22:47 1.123  WFC   30.1  180  r                                
 545426 intphas_3470 i    6:25:45.35 +20:06:59.9 2000.00  22:48 1.121  WFC   10.1  180  i                                
 545427 intphas_3470o Ha  6:26:06.65 +20:11:59.9 2000.00  22:49 1.118  WFC  120.0  180  Halpha                           
 545428 intphas_3470o r   6:26:06.66 +20:11:59.8 2000.00  22:52 1.114  WFC   30.1  180  r                                
 545429 intphas_3470o i   6:26:06.65 +20:11:59.8 2000.00  22:53 1.111  WFC   10.1  180  i                                
 545430 intphas_3471 Ha   6:25:52.20 +21:35:00.1 2000.00  22:54 1.102  WFC  120.1  180  Halpha                           
 545431 intphas_3471 r    6:25:52.20 +21:34:59.9 2000.00  22:57 1.099  WFC   30.1  180  r                                
 545432 intphas_3471 i    6:25:52.20 +21:34:59.9 2000.00  22:58 1.097  WFC   10.1  180  i                                
 545433 intphas_3471o Ha  6:26:13.71 +21:39:59.7 2000.00  22:59 1.094  WFC  120.0  180  Halpha                           
 545434 intphas_3471o r   6:26:13.71 +21:39:59.9 2000.00  23:01 1.090  WFC   29.5  180  r                                
 545435 intphas_3471o i   6:26:13.72 +21:39:59.9 2000.00  23:03 1.089  WFC   10.1  180  i                                
 545436 intphas_3483 Ha   6:26:22.88 +17:43:59.9 2000.00  23:04 1.101  WFC  119.5  180  Halpha                           
 545437 intphas_3483 r    6:26:22.88 +17:44:00.0 2000.00  23:06 1.097  WFC   30.1  180  r                                
 545438 intphas_3483 i    6:26:22.88 +17:43:59.9 2000.00  23:07 1.095  WFC   10.1  180  i                                
 545439 intphas_3483o Ha  6:26:43.88 +17:49:00.0 2000.00  23:08 1.092  WFC  120.0  180  Halpha                           
 545440 intphas_3483o r   6:26:43.89 +17:48:59.9 2000.00  23:11 1.089  WFC   30.1  180  r                                
 545441 intphas_3483o i   6:26:43.88 +17:48:59.9 2000.00  23:12 1.087  WFC   10.1  180  i                                
 545442 intphas_3484 Ha   6:26:26.78 +19:11:59.8 2000.00  23:13 1.079  WFC  120.0  180  Halpha                           
 545443 intphas_3484 r    6:26:26.78 +19:11:59.8 2000.00  23:16 1.075  WFC   30.1  180  r                                
 545444 intphas_3484 i    6:26:26.78 +19:11:59.9 2000.00  23:17 1.074  WFC   10.1  180  i                                
 545445 intphas_3484o Ha  6:26:47.97 +19:16:59.7 2000.00  23:18 1.071  WFC  120.0  180  Halpha                           
