 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 623430 uvex_5321 He1    19:48:35.94 +30:00:59.6  2000.00 03:11 1.051  WFC  180.1  180  HeI 5870                         
 623431 uvex_5321 r      19:48:35.93 +30:00:59.8  2000.00 03:14 1.054  WFC   30.1  180  r                                
 623432 uvex_5321 U      19:48:35.94 +30:00:59.8  2000.00 03:15 1.056  WFC  120.0  180  U                                
 623433 uvex_5321 g      19:48:35.93 +30:00:59.7  2000.00 03:18 1.059  WFC   29.6  180  g                                
 623434 uvex_5321o He1   19:48:59.06 +30:05:59.7  2000.00 03:19 1.062  WFC  180.0  180  HeI 5870                         
 623435 uvex_5321o r     19:48:59.05 +30:05:59.7  2000.00 03:23 1.065  WFC   30.0  180  r                                
 623436 uvex_5321o U     19:48:59.05 +30:05:59.7  2000.00 03:24 1.068  WFC  120.0  180  U                                
 623437 uvex_5321o g     19:48:59.06 +30:05:59.7  2000.00 03:26 1.070  WFC   30.1  180  g                                
 623438 uvex_5331 He1    19:49:08.98 +32:01:59.9  2000.00 03:28 1.074  WFC  179.9  180  HeI 5870                         
 623439 uvex_5331 r      19:49:08.96 +32:01:59.7  2000.00 03:31 1.078  WFC   29.5  180  r                                
 623440 uvex_5331 U      19:49:08.97 +32:01:59.6  2000.00 03:32 1.081  WFC  120.0  180  U                                
 623441 uvex_5331 g      19:49:08.98 +32:01:59.7  2000.00 03:35 1.084  WFC   30.1  180  g                                
 623442 uvex_5331o He1   19:49:32.59 +32:06:59.7  2000.00 03:36 1.087  WFC  180.0  180  HeI 5870                         
 623443 uvex_5331o r     19:49:32.58 +32:06:59.8  2000.00 03:40 1.091  WFC   30.1  180  r                                
 623444 uvex_5331o U     19:49:32.58 +32:06:59.7  2000.00 03:41 1.094  WFC  120.0  180  U                                
 623445 uvex_5331o g     19:49:32.58 +32:06:59.6  2000.00 03:43 1.098  WFC   30.1  180  g                                
 623446 BD+284211 He1    21:51:11.03 +28:51:50.4  2000.00 03:47 1.000  WFC   30.1  180  HeI 5870                         
 623447 BD+284211 r      21:51:11.03 +28:51:50.3  2000.00 03:48 1.000  WFC    2.1  180  r                                
 623448 BD+284211 U      21:51:11.03 +28:51:50.4  2000.00 03:48 1.000  WFC   30.1  180  U                                
 623449 BD+284211 g      21:51:11.03 +28:51:50.4  2000.00 03:50 1.000  WFC    2.1  180  g                                
 623450 SA113-260 He1    21:41:47.99 +00:23:53.3  2000.00 03:51 1.136  WFC   60.0  180  HeI 5870                         
 623451 SA113-260 r      21:41:48.00 +00:23:53.3  2000.00 03:53 1.137  WFC    3.1  180  r                                
 623452 SA113-260 U      21:41:47.99 +00:23:53.2  2000.00 03:53 1.137  WFC   30.1  180  U                                
 623453 SA113-260 g      21:41:48.00 +00:23:53.3  2000.00 03:54 1.137  WFC    4.1  180  g                                
 623454 uvex_5332 He1    19:49:13.29 +35:30:59.6  2000.00 03:57 1.130  WFC  180.0  180  HeI 5870                         
 623455 uvex_5332 r      19:49:13.30 +35:30:59.6  2000.00 04:01 1.135  WFC   30.1  180  r                                
 623456 uvex_5332 U      19:49:13.29 +35:30:59.6  2000.00 04:02 1.139  WFC  120.0  180  U                                
 623457 uvex_5332 g      19:49:13.29 +35:30:59.7  2000.00 04:04 1.143  WFC   29.6  180  g                                
 623458 uvex_5332o He1   19:49:37.90 +35:35:59.7  2000.00 04:05 1.147  WFC  179.9  180  HeI 5870                         
 623459 uvex_5332o r     19:49:37.90 +35:35:59.7  2000.00 04:09 1.153  WFC   30.1  180  r                                
 623460 uvex_5332o U     19:49:37.90 +35:35:59.7  2000.00 04:10 1.157  WFC  120.0  180  U                                
 623461 uvex_5332o g     19:49:37.89 +35:35:59.7  2000.00 04:13 1.162  WFC   30.1  180  g                                
 623462 uvex_5334 He1    19:49:20.14 +30:33:59.8  2000.00 04:14 1.171  WFC  179.5  180  HeI 5870                         
 623463 uvex_5334 r      19:49:20.15 +30:33:59.7  2000.00 04:18 1.177  WFC   30.1  180  r                                
 623464 uvex_5334 U      19:49:20.14 +30:33:59.7  2000.00 04:19 1.182  WFC  120.0  180  U                                
 623465 uvex_5334 g      19:49:20.14 +30:33:59.7  2000.00 04:21 1.187  WFC   30.1  180  g                                
 623466 uvex_5334o He1   19:49:43.40 +30:38:59.8  2000.00 04:22 1.193  WFC  179.5  180  HeI 5870                         
 623467 uvex_5334o r     19:49:43.40 +30:38:59.8  2000.00 04:26 1.200  WFC   30.1  180  r                                
 623468 uvex_5334o U     19:49:43.39 +30:38:59.8  2000.00 04:27 1.205  WFC  119.5  180  U                                
 623469 uvex_5334o g     19:49:43.39 +30:38:59.8  2000.00 04:30 1.211  WFC   30.1  180  g                                
 623470 uvex_5337 He1    19:49:28.36 +29:05:59.9  2000.00 04:31 1.223  WFC  179.9  180  HeI 5870                         
 623471 uvex_5337 r      19:49:28.36 +29:05:59.8  2000.00 04:34 1.230  WFC   30.1  180  r                                
 623472 uvex_5337 U      19:49:28.37 +29:05:59.8  2000.00 04:36 1.236  WFC  120.0  180  U                                
 623473 uvex_5337 g      19:49:28.36 +29:05:59.7  2000.00 04:38 1.243  WFC   30.1  180  g                                
 623474 uvex_5337o He1   19:49:51.27 +29:10:59.8  2000.00 04:39 1.249  WFC  180.0  180  HeI 5870                         
 623475 uvex_5337o r     19:49:51.28 +29:10:59.8  2000.00 04:43 1.257  WFC   30.1  180  r                                
 623476 uvex_5337o U     19:49:51.27 +29:10:59.8  2000.00 04:44 1.264  WFC  120.0  180  U                                
 623477 uvex_5337o g     19:49:51.27 +29:10:59.8  2000.00 04:47 1.271  WFC   30.1  180  g                                
 623478 uvex_5341 He1    19:49:35.52 +34:02:59.6  2000.00 04:48 1.271  WFC  180.0  180  HeI 5870                         
 623479 uvex_5341 r      19:49:35.52 +34:02:59.7  2000.00 04:51 1.279  WFC   29.6  180  r                                
 623480 uvex_5341 U      19:49:35.52 +34:02:59.7  2000.00 04:53 1.286  WFC  120.0  180  U                                
 623481 uvex_5341 g      19:49:35.53 +34:02:59.7  2000.00 04:55 1.293  WFC   30.1  180  g                                
 623482 uvex_5341o He1   19:49:59.68 +34:07:59.7  2000.00 04:56 1.300  WFC  180.0  180  HeI 5870                         
 623483 uvex_5341o r     19:49:59.68 +34:07:59.6  2000.00 05:00 1.309  WFC   30.1  180  r                                
 623484 uvex_5341o U     19:49:59.68 +34:07:59.7  2000.00 05:01 1.317  WFC  120.0  180  U                                
 623485 uvex_5341o g     19:49:59.68 +34:07:59.6  2000.00 05:03 1.324  WFC   30.1  180  g                                
 623486 uvex_5344 He1    19:49:52.35 +32:34:59.5  2000.00 05:05 1.339  WFC  180.0  180  HeI 5870                         
 623487 uvex_5344 r      19:49:52.36 +32:34:59.6  2000.00 05:08 1.349  WFC   29.5  180  r                                
 623488 uvex_5344 U      19:49:52.35 +32:34:59.7  2000.00 05:09 1.357  WFC  120.0  180  U                                
 623489 uvex_5344 g      19:49:52.36 +32:34:59.7  2000.00 05:12 1.366  WFC   30.1  180  g                                
 623490 uvex_5344o He1   19:50:16.12 +32:39:59.7  2000.00 05:13 1.375  WFC  180.0  180  HeI 5870                         
 623491 uvex_5344o r     19:50:16.12 +32:39:59.7  2000.00 05:17 1.386  WFC   29.5  180  r                                
 623492 uvex_5344o U     19:50:16.11 +32:39:59.6  2000.00 05:18 1.394  WFC  120.0  180  U                                
 623493 uvex_5344o g     19:50:16.12 +32:39:59.6  2000.00 05:20 1.404  WFC   30.1  180  g                                
 623494 GD248 He1        23:26:06.71 +16:00:20.9  2000.00 05:24 1.025  WFC  149.9  180  HeI 5870                         
 623495 GD248 r          23:26:06.71 +16:00:20.9  2000.00 05:27 1.025  WFC   10.1  180  r                                
 623496 GD248 U          23:26:06.71 +16:00:20.8  2000.00 05:28 1.025  WFC   40.1  180  U                                
 623497 GD248 g          23:26:06.71 +16:00:20.9  2000.00 05:29 1.025  WFC   10.1  180  g                                
 623498 BD+284211 He1    21:51:11.04 +28:51:50.4  2000.00 05:32 1.077  WFC   30.1  180  HeI 5870                         
 623499 BD+284211 r      21:51:11.04 +28:51:50.3  2000.00 05:33 1.078  WFC    2.1  180  r                                
 623500 BD+284211 U      21:51:11.03 +28:51:50.4  2000.00 05:34 1.079  WFC   30.1  180  U                                
 623501 BD+284211 g      21:51:11.04 +28:51:50.4  2000.00 05:35 1.081  WFC    2.1  180  g                                
 623502 Bias frame       21:51:11.03 +28:51:50.3  2000.00 05:36 1.083  WFC    0.0  180  HeI 5870                         
 623503 Bias frame       21:51:11.03 +28:51:50.4  2000.00 05:36 1.084  WFC    0.0  180  HeI 5870                         
 623504 Bias frame       21:51:11.03 +28:51:50.4  2000.00 05:37 1.085  WFC    0.0  180  HeI 5870                         
 623505 Bias frame       21:51:11.03 +28:51:50.4  2000.00 05:37 1.085  WFC    0.0  180  HeI 5870                         
 623506 Bias frame       21:51:11.03 +28:51:50.4  2000.00 05:38 1.086  WFC    0.0  180  HeI 5870                         
 623507 Flat field       23:15:47.99 +11:26:31.9  2000.00 05:45 1.054  WFC   30.1  180  r                                
 623508 Flat field       23:15:48.00 +11:26:31.9  2000.00 05:47 1.055  WFC   29.5  180  r                                
 623509 Flat field       23:15:49.35 +11:26:51.9  2000.00 05:49 1.056  WFC   15.1  180  r                                
 623510 Flat field       23:15:50.72 +11:27:11.9  2000.00 05:50 1.057  WFC   10.1  180  r                                
 623511 Flat field       23:15:45.96 +11:26:02.0  2000.00 05:51 1.058  WFC    8.1  180  r                                
 623512 Flat field       23:15:45.95 +11:26:01.9  2000.00 05:52 1.058  WFC    7.5  180  g                                
 623513 Flat field       23:15:50.72 +11:27:11.9  2000.00 05:53 1.059  WFC    3.1  180  g                                
 623514 Flat field       23:15:49.35 +11:26:51.9  2000.00 05:54 1.060  WFC    2.1  180  g                                
 623515 Flat field       23:15:48.00 +11:26:32.0  2000.00 05:55 1.060  WFC    2.1  180  g                                
 623516 Flat field       23:15:47.99 +11:26:32.0  2000.00 05:56 1.061  WFC   14.5  180  U                                
 623517 Flat field       23:15:49.35 +11:26:51.9  2000.00 05:58 1.062  WFC   10.1  180  U                                
 623518 Flat field       23:15:45.95 +11:26:02.0  2000.00 05:59 1.063  WFC    5.1  180  U                                
 623519 Flat field       23:15:46.97 +11:26:47.0  2000.00 06:00 1.064  WFC    4.1  180  U                                
 623520 Flat field       23:15:46.98 +11:26:47.0  2000.00 06:01 1.065  WFC   15.1  180  HeI 5870                         
 623521 Flat field       23:15:49.35 +11:26:52.0  2000.00 06:02 1.066  WFC   16.1  180  HeI 5870                         
 623522 Flat field       23:15:45.96 +11:26:02.0  2000.00 06:04 1.067  WFC   13.1  180  HeI 5870                         
 623523 Flat field       23:15:47.99 +11:26:32.0  2000.00 06:05 1.068  WFC   10.1  180  HeI 5870                         
 623524 Flat field       23:15:50.71 +11:27:12.0  2000.00 06:07 1.069  WFC    8.1  180  HeI 5870                         
 623525 Flat field       23:15:46.97 +11:26:47.2  2000.00 06:08 1.071  WFC    4.1  180  HeI 5870                         
 623526 Flat field       23:15:45.95 +11:26:02.1  2000.00 06:09 1.072  WFC    3.1  180  HeI 5870                         
 623527 Flat field       23:15:45.95 +11:26:02.0  2000.00 06:11 1.074  WFC    2.1  180  HeI 5870                         
