 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 623259 Flat field       15:01:59.99 +29:54:59.9  2000.00 20:25 1.011  WFC    7.1  180  HeI 5870                         
 623260 Flat field       15:01:59.99 +29:55:00.0  2000.00 20:26 1.011  WFC    3.1  180  Halpha                           
 623261 Flat field       15:01:58.84 +29:55:14.9  2000.00 20:27 1.010  WFC    4.1  180  Halpha                           
 623262 Flat field       15:02:03.07 +29:55:39.8  2000.00 20:28 1.010  WFC    5.1  180  Halpha                           
 623263 Flat field       15:02:03.07 +29:55:39.9  2000.00 20:29 1.010  WFC    2.1  180  U                                
 623264 Flat field       15:01:58.84 +29:55:14.9  2000.00 20:30 1.009  WFC    4.1  180  U                                
 623265 Flat field       15:01:57.69 +29:54:29.9  2000.00 20:31 1.008  WFC    6.1  180  U                                
 623266 Flat field       15:02:01.53 +29:55:19.8  2000.00 20:32 1.008  WFC    7.1  180  U                                
 623267 Flat field       15:02:01.53 +29:55:19.9  2000.00 20:33 1.007  WFC    1.0  180  g                                
 623268 Flat field       15:02:00.00 +29:54:59.9  2000.00 20:34 1.007  WFC    1.6  180  g                                
 623269 Flat field       15:01:57.69 +29:54:30.0  2000.00 20:35 1.007  WFC    1.6  180  g                                
 623270 Flat field       15:01:58.84 +29:55:15.0  2000.00 20:36 1.006  WFC    2.1  180  g                                
 623271 Flat field       15:02:03.07 +29:55:39.9  2000.00 20:37 1.006  WFC    3.1  180  g                                
 623272 Flat field       15:02:01.53 +29:55:20.0  2000.00 20:39 1.005  WFC    3.1  180  g                                
 623273 Flat field       15:02:01.53 +29:55:20.0  2000.00 20:40 1.005  WFC    3.1  180  r                                
 623274 Flat field       15:01:59.99 +29:55:00.0  2000.00 20:41 1.004  WFC    8.1  180  r                                
 623275 Flat field       15:02:03.07 +29:55:39.9  2000.00 20:42 1.004  WFC   10.1  180  r                                
 623276 Flat field       15:01:58.84 +29:55:15.0  2000.00 20:43 1.004  WFC   12.1  180  r                                
 623277 Flat field       15:02:01.53 +29:55:20.0  2000.00 20:44 1.003  WFC   16.1  180  r                                
 623278 Flat field       15:02:01.53 +29:55:20.0  2000.00 20:46 1.003  WFC   16.1  180  i                                
 623279 Flat field       15:01:59.99 +29:55:00.0  2000.00 20:47 1.002  WFC   28.1  180  i                                
 623280 Flat field       15:02:03.07 +29:55:40.0  2000.00 20:49 1.002  WFC   40.0  180  i                                
 623281 Focus run        15:51:59.75 +32:56:54.1  2000.00 21:51 1.003  WFC   20.1  180  r                                
 623282 HZ43 He1         13:13:59.99 +29:21:48.9  2000.00 22:03 1.242  WFC   80.0  180  HeI 5870                         
 623283 HZ43 r           13:13:59.99 +29:21:49.0  2000.00 22:05 1.247  WFC    3.1  180  r                                
 623284 HZ43 U           13:13:59.99 +29:21:48.9  2000.00 22:06 1.250  WFC   60.0  180  U                                
