 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 771461 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:49 1.785  WFC    3.5  180  I                                
 771462 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:49 1.785  WFC    4.1  180  I                                
 771463 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:49 1.785  WFC    4.1  180  I                                
 771464 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:53 1.785  WFC    1.7  180  I                                
 771465 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:53 1.785  WFC    0.7  180  I                                
 771466 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:53 1.785  WFC    1.0  180  I                                
 771467 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:53 1.785  WFC    0.7  180  I                                
 771468 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:53 1.785  WFC    1.0  180  I                                
 771469 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:58 1.785  WFC    4.1  180  I                                
 771470 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:58 1.785  WFC    4.0  180  I                                
 771471 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:58 1.785  WFC    4.1  180  I                                
 771472 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:58 1.785  WFC    4.1  180  I                                
 771473 Flat field        0:00:00.00 +00:00:00.0  2000.00 16:58 1.785  WFC    4.1  180  I                                
 771474 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:03 1.785  WFC    3.5  180  I                                
 771475 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:04 1.785  WFC    4.1  180  I                                
 771476 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:04 1.785  WFC    4.1  180  I                                
 771477 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:04 1.785  WFC    4.1  180  I                                
 771478 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:04 1.785  WFC    4.1  180  I                                
 771479 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:04 1.785  WFC    4.1  180  I                                
 771480 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:04 1.785  WFC    4.1  180  I                                
 771481 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:04 1.785  WFC    4.1  180  I                                
 771482 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:05 1.785  WFC    4.1  180  I                                
 771483 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:05 1.785  WFC    4.1  180  I                                
 771484 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:05 1.785  WFC    4.1  180  I                                
 771485 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:16 1.785  WFC    4.1  180  I                                
 771486 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:16 1.785  WFC    4.1  180  I                                
 771487 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:16 1.785  WFC    4.0  180  I                                
 771488 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:16 1.785  WFC    4.1  180  I                                
 771489 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:16 1.785  WFC    4.1  180  I                                
 771490 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:16 1.785  WFC    4.0  180  I                                
 771491 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:17 1.785  WFC    4.1  180  I                                
 771492 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:17 1.785  WFC    3.5  180  I                                
 771493 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:17 1.785  WFC    4.1  180  I                                
 771494 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:17 1.785  WFC    4.1  180  I                                
 771495 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:17 1.785  WFC    4.1  180  I                                
 771496 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    4.1  180  I                                
 771497 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    3.6  180  I                                
 771498 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    4.1  180  I                                
 771499 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    4.1  180  I                                
 771500 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    4.1  180  I                                
 771501 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    4.1  180  I                                
 771502 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    4.1  180  I                                
 771503 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:20 1.785  WFC    4.1  180  I                                
 771504 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:21 1.785  WFC    4.1  180  I                                
 771505 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:21 1.785  WFC    4.1  180  I                                
 771506 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:21 1.785  WFC    4.1  180  I                                
 771507 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:22 1.785  WFC    4.1  180  I                                
 771508 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:22 1.785  WFC    4.1  180  I                                
 771509 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:22 1.785  WFC    4.1  180  I                                
 771510 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:23 1.785  WFC    4.1  180  I                                
 771511 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:23 1.785  WFC    4.1  180  I                                
 771512 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:23 1.785  WFC    4.1  180  I                                
 771513 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:23 1.785  WFC    4.1  180  I                                
 771514 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:23 1.785  WFC    4.1  180  I                                
 771515 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:24 1.785  WFC    4.1  180  I                                
 771516 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:24 1.785  WFC    4.1  180  I                                
 771517 Flat field        0:00:00.00 +00:00:00.0  2000.00 17:24 1.785  WFC    4.1  180  I                                
 771518 Bias              0:00:00.00 +00:00:00.0  2000.00 20:07 4.310  WFC    0.1  180  I                                
