 724699 ULASJ0853+0936    8:53:46.71 +09:36:10.9  2000.00 22:41 1.087  WFC  300.0  180  i                                offset 10 10; sky 22000, FWHM=2.8 pix
 724700 ULASJ0924+0918    9:24:23.72 +09:17:08.6  2000.00 22:49 1.071  WFC  299.9  180  i                                too close to moon, saturated
 724701 ULASJ0754+2145    7:54:05.14 +21:47:40.6  2000.00 23:01 1.177  WFC  599.1  180  i                                sky 21000, FWHM=2.6 pix
 724702 ULASJ0754+2410    7:54:20.02 +24:08:52.0  2000.00 23:15 1.206  WFC  599.8  180  i                                sky 18500, FWHM=2.7 pix
 724703 ULASJ0755+2300    7:55:30.86 +22:58:24.0  2000.00 23:29 1.255  WFC  599.7  180  i                                sky 19000, FWHM=2.6 pix
 724704 ULASJ0759+2344    7:59:29.03 +23:45:21.9  2000.00 23:42 1.286  WFC  599.7  180  i                                sky 20000, FWHM=2.8 pix
 724705 ULASJ1237-0133   12:37:34.85 -01:31:34.6  2000.00 23:56 1.257  WFC  599.8  180  i                                sky 10000, FWHM=3.4 pix
 724706 ULASJ1308-0032   13:08:48.62 -00:31:37.5  2000.00 00:09 1.292  WFC  599.7  180  i                                sky 9000, FWHM=3.1 pix
 724707 ULASJ1314+0233   13:15:05.99 +02:32:45.7  2000.00 00:22 1.233  WFC  599.8  180  i                                sky 9000, FWHM=3.3 pix
 724708 ULASJ1317+0259   13:18:00.94 +02:59:48.0  2000.00 00:34 1.205  WFC  599.8  180  i                                sky 8800, FWHM=3.3 pix
 724709 ULASJ1335-0147   13:35:55.03 -01:48:33.8  2000.00 00:48 1.276  WFC  599.8  180  i                                sky 9000, FWHM=3.7 pix
 724710 ULASJ1344-0023   13:44:50.80 -00:25:48.3  2000.00 01:01 1.247  WFC  599.6  180  i                                sky 12500, FWHM=3.5 pix
 724711 ULASJ1508-0034   15:08:24.09 -00:35:49.2  2000.00 01:15 1.516  WFC  599.8  180  i                                sky 10500, FWHM=4.8 pix
 724712 ULASJ1541+2859   15:41:07.45 +28:57:56.0  2000.00 01:30 1.291  WFC  599.8  180  i                                sky 7600, FWHM=4.2 pix
 724713 ULASJ1600+2605   16:00:43.18 +26:04:30.4  2000.00 01:42 1.333  WFC  599.7  180  i                                sky 9500, FWHM=3.8 pix
 724714 ULASJ1610+2323   16:10:49.73 +23:22:08.3  2000.00 01:56 1.332  WFC  599.8  180  i                                cloudy; sky 60000
 724715 ULASJ1609+3041   16:09:33.65 +30:41:18.0  2000.00 02:09 1.245  WFC  599.3  180  z                                sky 7600, FWHM=4.0 pix
