 458510 9P r'            13:38:05.74 -09:32:25.9 2000.00  22:28 1.627  WFC   19.5   90  r                                
 458511 9P i'            13:38:05.74 -09:32:25.8 2000.00  22:29 1.635  WFC   20.1   90  i                                
 458512 9P U             13:38:05.74 -09:32:25.8 2000.00  22:30 1.643  WFC   20.1   90  U                                
 458513 9P B             13:38:05.74 -09:32:25.9 2000.00  22:32 1.652  WFC   20.1   90  B                                
 458514 9P V             13:38:05.74 -09:32:25.8 2000.00  22:33 1.660  WFC   19.5   90  V                                
 458515 9P r'            13:38:02.36 -09:32:25.9 2000.00  22:35 1.674  WFC   20.1   90  r                                
 458516 9P i'            13:38:02.36 -09:32:25.8 2000.00  22:36 1.683  WFC   20.1   90  i                                
 458517 9P U             13:38:02.36 -09:32:25.8 2000.00  22:38 1.692  WFC   19.0   90  U                                
 458518 9P B             13:38:02.36 -09:32:25.8 2000.00  22:39 1.701  WFC   19.6   90  B                                
 458519 9P V             13:38:02.36 -09:32:25.9 2000.00  22:41 1.711  WFC   19.6   90  V                                
 458520 9P r'            13:38:02.36 -09:32:00.8 2000.00  22:43 1.727  WFC   20.1   90  r                                
 458521 9P i'            13:38:02.36 -09:32:00.8 2000.00  22:44 1.737  WFC   20.1   90  i                                
 458522 9P U             13:38:02.36 -09:32:00.8 2000.00  22:45 1.747  WFC   19.5   90  U                                
 458523 9P B             13:38:02.36 -09:32:00.9 2000.00  22:47 1.758  WFC   20.1   90  B                                
 458524 9P V             13:38:02.36 -09:32:00.9 2000.00  22:48 1.769  WFC   20.1   90  V                                
 458525 9P r'            13:38:01.01 -09:32:00.8 2000.00  22:54 1.816  WFC   20.1   90  r                                
 458526 9P i'            13:38:01.01 -09:32:00.9 2000.00  22:55 1.828  WFC   20.1   90  i                                
 458527 9P U             13:38:01.01 -09:32:01.0 2000.00  22:57 1.839  WFC   20.1   90  U                                
 458528 9P B             13:38:01.01 -09:32:00.8 2000.00  22:58 1.852  WFC   20.1   90  B                                
 458529 9P V             13:38:01.01 -09:32:00.8 2000.00  23:00 1.864  WFC   19.6   90  V                                
 458530 9P r'            13:38:04.73 -09:31:35.8 2000.00  23:03 1.894  WFC   20.0   90  r                                
 458531 9P i'            13:38:04.72 -09:31:35.7 2000.00  23:04 1.908  WFC   19.6   90  i                                
 458532 9P U             13:38:04.72 -09:31:35.9 2000.00  23:05 1.921  WFC   20.1   90  U                                
 458533 9P B             13:38:04.72 -09:31:35.8 2000.00  23:07 1.935  WFC   20.1   90  B                                
 458534 9P V             13:38:04.72 -09:31:35.9 2000.00  23:08 1.949  WFC   20.1   90  V                                
 458535 9P r'            13:38:01.34 -09:31:35.9 2000.00  23:12 1.985  WFC   20.1   90  r                                
 458536 9P i'            13:38:01.35 -09:31:35.8 2000.00  23:13 2.000  WFC   20.1   90  i                                
 458537 9P U             13:38:01.34 -09:31:35.9 2000.00  23:14 2.015  WFC   19.6   90  U                                
 458538 9P B             13:38:01.34 -09:31:35.9 2000.00  23:16 2.031  WFC   20.0   90  B                                
 458539 9P V             13:38:01.35 -09:31:35.9 2000.00  23:17 2.048  WFC   20.1   90  V                                
 458540 9P r'            13:38:04.73 -09:31:35.8 2000.00  23:19 2.072  WFC   20.1   90  r                                
 458541 9P i'            13:38:04.73 -09:31:35.9 2000.00  23:20 2.089  WFC   20.0   90  i                                
 458542 9P U             13:38:04.73 -09:31:35.8 2000.00  23:22 2.106  WFC   20.1   90  U                                
 458543 9P B             13:38:04.72 -09:31:35.9 2000.00  23:23 2.124  WFC   20.1   90  B                                
 458544 9P V             13:38:04.72 -09:31:35.9 2000.00  23:25 2.142  WFC   20.1   90  V                                
 458545 9P r'            13:38:03.03 -09:31:35.8 2000.00  23:29 2.203  WFC   20.1   90  r                                
 458546 9P i'            13:38:03.04 -09:31:35.8 2000.00  23:30 2.223  WFC   20.1   90  i                                
 458547 9P U             13:38:03.03 -09:31:35.9 2000.00  23:32 2.243  WFC   20.1   90  U                                
 458548 9P B             13:38:03.03 -09:31:35.9 2000.00  23:33 2.264  WFC   20.0   90  B                                
 458549 9P V             13:38:03.03 -09:31:35.9 2000.00  23:34 2.286  WFC   20.1   90  V                                
 458550 9P r'            13:38:03.04 -09:31:10.8 2000.00  23:37 2.331  WFC   20.1   90  r                                
 458551 9P i'            13:38:03.03 -09:31:10.7 2000.00  23:39 2.355  WFC   20.1   90  i                                
 458552 9P U             13:38:03.03 -09:31:10.8 2000.00  23:40 2.378  WFC   20.1   90  U                                
 458553 9P B             13:38:03.03 -09:31:10.8 2000.00  23:41 2.402  WFC   20.1   90  B                                
 458554 9P V             13:38:03.03 -09:31:10.8 2000.00  23:43 2.427  WFC   20.1   90  V                                
 458555 9P r'            13:38:01.68 -09:31:10.8 2000.00  23:47 2.515  WFC   20.1   90  r                                
 458556 9P i'            13:38:01.69 -09:31:10.8 2000.00  23:49 2.543  WFC   20.1   90  i                                
 458557 9P U             13:38:01.68 -09:31:10.9 2000.00  23:50 2.570  WFC   20.0   90  U                                
 458558 9P B             13:38:01.68 -09:31:10.8 2000.00  23:51 2.600  WFC   20.1   90  B                                
