INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 08 09 05:30

TELESCOPE             INT
DATE                  20050808
OBSERVER/S            JBA 
PROGRAMME             C122
PROPOSAL REF          service
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:05
EVENING TWILIGHT (UT) 21:24
MORNING TWILIGHT (UT) 05:11
SUNRISE (UT)          06:30
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       07:47
TWILIGHT TIME (HRS)   02:38
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:08

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  17.2    5    18.3  20.3  243   772.5   17.2  19.4    20.5    5     1 
22:00  16.2    7    20.0  21.0  252   772.7   16.2  18.0    20.3    7     3 
23:00  16.5    6    18.5  19.9  253   773.2   16.5  17.8    20.0    6     1 
00:00  16.0    7    19.5  20.1  276   773.1   16.0  17.2    19.1    7     3 
01:00  16.1    6    16.9  17.4  261   772.9   16.1  17.4    19.3    6     3 
02:00  15.6    9    12.8  13.3  256   772.7   15.6  16.9    19.3    9     5 
03:00  15.6    9    10.0  11.4  256   772.6   15.6  16.9    19.1    9     5 
04:00  15.8    9    11.7  13.9  259   772.2   15.8  16.7    18.3    9     5 
05:00  15.4    9    15.5  17.1  252   772.0   15.4  16.4    17.9    9     5 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
OK

COMMENTS (causes of time lost, setup information eg CCD windows):
No problems



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 466302 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:05 1.372  WFC   80.1  180  r                                
 466303 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:07 1.379  WFC   80.1  180  r                                
 466304 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:09 1.386  WFC   79.5  180  r                                
 466305 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:11 1.394  WFC   79.5  180  r                                
 466306 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:13 1.402  WFC   80.0  180  r                                
 466307 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:15 1.410  WFC   80.0  180  r                                
 466308 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:17 1.418  WFC   80.0  180  r                                
 466309 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:18 1.426  WFC   80.0  180  r                                
 466310 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:20 1.434  WFC   80.0  180  r                                
 466311 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:22 1.443  WFC   79.5  180  r                                
 466312 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:24 1.451  WFC   80.0  180  r                                
 466313 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:26 1.460  WFC   80.0  180  r                                
 466314 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:28 1.469  WFC   80.0  180  r                                
 466315 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:30 1.478  WFC   79.5  180  r                                
 466316 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:32 1.487  WFC   79.5  180  r                                
 466317 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:34 1.497  WFC   80.1  180  r                                
 466318 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:36 1.506  WFC   79.5  180  r                                
 466319 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:38 1.516  WFC   80.0  180  r                                
 466320 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:40 1.526  WFC   80.0  180  r                                
 466321 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:42 1.536  WFC   80.0  180  r                                
 466322 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:44 1.547  WFC   80.0  180  r                                
 466323 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:46 1.557  WFC   80.0  180  r                                
 466324 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:48 1.571  WFC   80.0  180  r                                
 466325 KEPLER           19:41:59.99 +47:59:59.9 2000.00  03:50 1.582  WFC   80.0  180  r                                
 466326 KEPLER           19:42:00.00 +48:00:00.0 2000.00  03:52 1.593  WFC   80.1  180  r                                
 466327 KEPLER           19:41:59.99 +48:00:00.0 2000.00  03:54 1.604  WFC   80.0  180  r                                
 466328 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:56 1.616  WFC   80.0  180  r                                
 466329 KEPLER           19:42:00.00 +47:59:59.9 2000.00  03:58 1.628  WFC   80.0  180  r                                
 466330 KEPLER           19:41:59.99 +48:00:00.0 2000.00  04:00 1.640  WFC   80.0  180  r                                
 466331 KEPLER           19:42:00.00 +48:00:00.0 2000.00  04:02 1.652  WFC   80.0  180  r                                
 466332 KEPLER           19:42:00.00 +47:59:59.9 2000.00  04:04 1.664  WFC   79.5  180  r                                
 466333 KEPLER           19:42:00.00 +48:00:00.0 2000.00  04:06 1.677  WFC   80.0  180  r                                
 466334 KEPLER           19:42:00.00 +48:00:00.0 2000.00  04:08 1.690  WFC   79.5  180  r                                
 466335 KEPLER           19:42:00.00 +47:59:59.9 2000.00  04:10 1.703  WFC   80.0  180  r                                
 466336 KEPLER           19:42:00.00 +48:00:00.0 2000.00  04:12 1.717  WFC   80.0  180  r                                
 466337 KEPLER           19:42:00.00 +47:59:59.9 2000.00  04:14 1.730  WFC   80.0  180  r                                
 466338 KEPLER           19:42:00.00 +47:59:59.9 2000.00  04:16 1.744  WFC   79.5  180  r                                
 466339 KEPLER           19:41:59.99 +48:00:00.0 2000.00  04:19 1.766  WFC   80.1  180  r                                
 466340 KEPLER           19:41:59.99 +47:59:59.9 2000.00  04:21 1.781  WFC   79.5  180  r                                
 466341 KEPLER           19:41:59.99 +48:00:00.0 2000.00  04:23 1.796  WFC   79.5  180  r                                
 466342 Z a 56,6 Limite  19:42:00.00 +48:00:00.1 2000.00  04:25 1.815  WFC   80.0  180  r                                
