 501186 G166-045         14:49:02.00 +25:42:09.0 2000.00  20:53 1.694  WFC   20.1  180  stromgren v                      
 501187 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:55 1.676  WFC   49.6  180  stromgren u                      
 501188 G166-045         14:49:01.99 +25:42:08.9 2000.00  20:57 1.657  WFC   59.5  180  stromgren y                      
 501189 G166-045         14:49:02.00 +25:42:09.0 2000.00  20:59 1.642  WFC   30.1  180  stromgren y                      
 501190 G166-045         14:49:02.00 +25:42:09.0 2000.00  21:02 1.622  WFC   60.1  180  stromgren u                      
 501191 HD233511          8:19:22.57 +54:05:09.6 2000.00  21:07 1.271  WFC    4.1  180  stromgren y                      
 501192 HD233511          8:19:22.56 +54:05:09.6 2000.00  21:08 1.273  WFC    7.1  180  stromgren y                      
 501193 HD233511          8:19:22.56 +54:05:09.6 2000.00  21:09 1.277  WFC    8.1  180  stromgren b                      
 501194 HD233511          8:19:22.57 +54:05:09.5 2000.00  21:10 1.280  WFC   10.1  180  stromgren b                      
 501195 HD233511          8:19:22.57 +54:05:09.6 2000.00  21:12 1.283  WFC   25.1  180  stromgren v                      
 501196 HD233511          8:19:22.57 +54:05:09.5 2000.00  21:13 1.288  WFC   60.1  180  stromgren u                      
 501197 G166-045         14:49:01.98 +25:42:09.0 2000.00  21:18 1.512  WFC    5.1  180  stromgren y                      
 501198 G166-045         14:49:02.00 +25:42:09.0 2000.00  21:19 1.504  WFC    7.1  180  stromgren y                      
 501199 G166-045         14:49:02.00 +25:42:09.0 2000.00  21:20 1.494  WFC    9.1  180  stromgren b                      
 501200 G166-045         14:49:02.00 +25:42:09.0 2000.00  21:22 1.487  WFC    9.6  180  stromgren b                      
 501201 G166-045         14:49:01.99 +25:42:08.9 2000.00  21:23 1.477  WFC   20.1  180  stromgren v                      
 501202 G166-045         14:49:02.00 +25:42:09.0 2000.00  21:25 1.466  WFC   60.1  180  stromgren u                      
 501203 DM-122669         8:46:39.58 -13:21:25.3 2000.00  21:29 1.790  WFC    9.5  180  stromgren y                      
