 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 663465 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:20 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663466 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:20 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663467 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:20 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663468 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:20 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663469 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:20 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663470 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:20 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663471 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:20 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663472 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:21 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663473 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:21 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663474 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:21 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663475 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:21 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663476 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:21 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663477 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:21 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663478 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:21 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663479 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663480 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663481 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
 663482 W Flat            0:00:00.00 +00:00:00.0  2009.22 19:22 1.002  IDS    0.1   30  Clear+Clear   1.5  66.7 5808.7   
