 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610787 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:22 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610788 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:23 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610789 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:23 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610790 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:24 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610791 W Flat            0:00:00.00 +00:00:00.0  2008.22 19:25 1.000  IDS   30.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610792 Bias              0:00:00.00 +00:00:00.0  2008.22 19:28 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610793 Bias              0:00:00.00 +00:00:00.0  2008.22 19:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610794 Bias              0:00:00.00 +00:00:00.0  2008.22 19:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610795 Bias              0:00:00.00 +00:00:00.0  2008.22 19:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610796 Bias              0:00:00.00 +00:00:00.0  2008.22 19:29 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610797 Bias              0:00:00.00 +00:00:00.0  2008.22 19:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610798 Bias              0:00:00.00 +00:00:00.0  2008.22 19:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610799 Bias              0:00:00.00 +00:00:00.0  2008.22 19:30 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
