 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 771555 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:33 1.047  WFC   10.1  180  i                                
 771556 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:33 1.047  WFC   10.1  180  i                                
 771557 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:34 1.046  WFC   10.1  180  i                                
 771558 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:34 1.046  WFC   10.1  180  i                                
 771559 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:34 1.046  WFC   10.1  180  i                                
 771560 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:35 1.045  WFC   10.1  180  i                                
 771561 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:35 1.045  WFC   10.1  180  i                                
 771562 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:35 1.045  WFC   10.1  180  i                                
 771563 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:35 1.044  WFC   10.1  180  i                                
 771564 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:36 1.044  WFC   10.1  180  i                                
 771565 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:36 1.044  WFC   10.1  180  i                                
 771566 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:36 1.043  WFC   10.1  180  i                                
 771567 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:37 1.043  WFC   10.1  180  i                                
 771568 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:37 1.043  WFC   10.1  180  i                                
 771569 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:37 1.042  WFC   10.1  180  i                                
 771570 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:37 1.042  WFC   10.1  180  i                                
 771571 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:38 1.042  WFC   10.1  180  i                                
 771572 WASP12b science   6:30:38.99 +29:39:57.8  2000.00 00:38 1.041  WFC   10.1  180  i                                
 771573 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:38 1.041  WFC   10.1  180  i                                
 771574 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:39 1.041  WFC   10.1  180  i                                
 771575 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:39 1.040  WFC   10.1  180  i                                
 771576 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:39 1.040  WFC   10.1  180  i                                
 771577 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:39 1.040  WFC   10.1  180  i                                
 771578 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:40 1.039  WFC   10.1  180  i                                
 771579 WASP12b science   6:30:38.99 +29:39:57.9  2000.00 00:40 1.039  WFC   10.1  180  i                                
 771580 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:40 1.039  WFC   10.1  180  i                                
 771581 WASP12b science   6:30:38.99 +29:39:58.0  2000.00 00:41 1.038  WFC   10.1  180  i                                
 771582 WASP12b science   6:30:39.00 +29:39:57.9  2000.00 00:41 1.038  WFC   10.1  180  i                                
 771583 WASP12b science   6:30:39.00 +29:39:58.0  2000.00 00:41 1.038  WFC   10.1  180  i                                
