INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 16 07:14

TELESCOPE             INT
DATE                  20060715
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:52
SUNRISE (UT)          06:16
%ILLUM. LUNAR DISK    70
DARK TIME (HRS)       07:08
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         23:28
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly humid but good seeing

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.6



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 515253 Ca               12:29:08.14 +10:40:00.0 2000.00  21:41 1.680  WFC  120.0  180  r                                
 515254 Ca               12:29:08.14 +10:40:00.0 2000.00  21:44 1.703  WFC  120.0  180  r                                
 515255 Ca               12:29:08.13 +10:40:00.0 2000.00  21:47 1.726  WFC  120.0  180  r                                
 515256 Ca               12:29:08.14 +10:40:00.0 2000.00  21:49 1.751  WFC  120.0  180  r                                
 515257 Ca               12:29:08.14 +10:39:59.9 2000.00  21:52 1.777  WFC  120.1  180  r                                
 515258 Ca               12:29:08.13 +10:39:59.8 2000.00  21:55 1.803  WFC  119.5  180  r                                
 515259 Ca               12:29:08.14 +10:39:59.9 2000.00  21:57 1.830  WFC  120.0  180  r                                
 515260 Ca               12:29:08.13 +10:39:59.9 2000.00  22:00 1.859  WFC  119.5  180  r                                
 515261 Ca               12:29:08.13 +10:40:00.0 2000.00  22:02 1.888  WFC  119.5  180  r                                
 515262 Ca               12:29:08.14 +10:40:00.0 2000.00  22:05 1.919  WFC  120.0  180  r                                
 515263 Ca               12:29:08.13 +10:40:00.0 2000.00  22:08 1.951  WFC  120.0  180  r                                
 515264 Ca               12:29:08.14 +10:40:00.0 2000.00  22:10 1.984  WFC  120.1  180  r                                
 515265 Ca               12:29:08.13 +10:39:59.9 2000.00  22:13 2.019  WFC  119.5  180  r                                
 515266 Ca               12:29:08.14 +10:39:59.9 2000.00  22:15 2.055  WFC  120.0  180  r                                
 515267 Ca               12:29:08.13 +10:39:59.9 2000.00  22:18 2.093  WFC  120.1  180  r                                
 515268 Ca               12:29:08.13 +10:39:59.9 2000.00  22:21 2.132  WFC  120.0  180  r                                
 515269 Ca               12:29:08.14 +10:40:00.0 2000.00  22:23 2.173  WFC  120.0  180  r                                
 515270 Ca               12:29:08.13 +10:39:59.9 2000.00  22:26 2.216  WFC  120.0  180  r                                
 515271 Ca               12:29:08.13 +10:39:59.9 2000.00  22:29 2.261  WFC  120.0  180  r                                
 515272 Ca               12:29:08.14 +10:40:00.0 2000.00  22:31 2.308  WFC  120.0  180  r                                
 515273 Ca               12:29:08.14 +10:40:00.0 2000.00  22:34 2.356  WFC  120.0  180  r                                
 515274 Ca               12:29:08.14 +10:39:59.8 2000.00  22:36 2.408  WFC  120.1  180  r                                
 515275 Ca               12:29:08.14 +10:40:00.0 2000.00  22:39 2.462  WFC  120.1  180  r                                
 515276 Ca               12:29:08.14 +10:39:59.8 2000.00  22:42 2.518  WFC  119.5  180  r                                
 515277 Ca               12:29:08.14 +10:40:00.0 2000.00  22:44 2.581  WFC  120.0  180  r                                
 515278 Ca               12:29:08.13 +10:40:00.0 2000.00  22:47 2.644  WFC  120.0  180  r                                
 515279 Ca               12:29:08.14 +10:39:59.8 2000.00  22:50 2.709  WFC  119.5  180  r                                
 515280 Ca               12:29:08.14 +10:40:00.0 2000.00  22:52 2.779  WFC  120.0  180  r                                
 515281 Ca               12:29:08.13 +10:39:59.9 2000.00  22:55 2.852  WFC  118.0  180  r                                
 515283 3CVS             20:15:25.00 +37:05:59.9 2000.00  23:00 1.246  WFC   30.0  180  r                                
 515284 3CVS             20:15:24.99 +37:06:00.1 2000.00  23:03 1.237  WFC   30.1  180  r                                
 515285 3CVs             20:15:24.99 +37:06:00.0 2000.00  23:06 1.221  WFC  299.9  180  r                                
 515286 3CVs             20:15:24.99 +37:06:00.0 2000.00  23:11 1.205  WFC  299.9  180  r                                
 515287 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:17 1.192  WFC  200.0  180  r                                
 515288 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:21 1.181  WFC  199.9  180  r                                
 515289 3CVs             20:15:24.99 +37:05:59.9 2000.00  23:25 1.171  WFC  199.0  180  r                                
 515290 3CVs             20:15:24.99 +37:06:00.0 2000.00  23:29 1.162  WFC  200.0  180  r                                
 515291 3CVs             20:15:24.99 +37:06:00.0 2000.00  23:33 1.153  WFC  200.0  180  r                                
 515292 3CVs             20:15:24.99 +37:05:59.9 2000.00  23:37 1.144  WFC  199.9  180  r                                
 515293 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:41 1.135  WFC  199.4  180  r                                
 515294 3CVs             20:15:24.99 +37:05:59.9 2000.00  23:45 1.125  WFC  299.9  180  r                                
 515295 3CVs             20:15:24.99 +37:06:00.0 2000.00  23:50 1.116  WFC  200.0  180  r                                
 515296 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:54 1.109  WFC  200.0  180  r                                
 515297 3CVs             20:15:24.99 +37:05:59.9 2000.00  23:58 1.102  WFC  199.5  180  r                                
 515298 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:02 1.095  WFC  199.9  180  r                                
 515299 3CVs             20:15:25.00 +37:06:00.0 2000.00  00:06 1.088  WFC  200.0  180  r                                
 515300 3CVs             20:15:25.00 +37:06:00.0 2000.00  00:10 1.082  WFC  199.4  180  r                                
 515301 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:14 1.077  WFC  199.5  180  r                                
 515302 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:18 1.071  WFC  200.0  180  r                                
 515303 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:22 1.066  WFC  200.1  180  r                                
 515304 3CVs             20:15:25.00 +37:06:00.0 2000.00  00:26 1.061  WFC  200.0  180  r                                
 515305 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:30 1.056  WFC  200.0  180  r                                
 515306 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:34 1.051  WFC  200.0  180  r                                
 515307 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:38 1.047  WFC  200.0  180  r                                
 515308 3CVs             20:15:24.99 +37:06:00.0 2000.00  00:42 1.043  WFC  200.0  180  r                                
 515309 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:46 1.039  WFC  200.0  180  r                                
 515310 3CVs             20:15:25.00 +37:05:59.9 2000.00  00:50 1.036  WFC  200.0  180  r                                
 515311 3CVs             20:15:24.99 +37:05:59.9 2000.00  00:54 1.033  WFC  199.4  180  r                                
 515312 3CVs             20:15:25.00 +37:06:00.0 2000.00  00:58 1.030  WFC  200.0  180  r                                
 515313 3CVs             20:15:24.99 +37:05:59.9 2000.00  01:02 1.027  WFC  200.0  180  r                                
 515314 3CVs             20:15:24.99 +37:05:59.9 2000.00  01:06 1.024  WFC  200.0  180  r                                
 515315 3CVs             20:15:25.00 +37:06:00.0 2000.00  01:09 1.022  WFC  199.5  180  r                                
 515316 3CVs             20:15:24.99 +37:06:00.0 2000.00  01:13 1.020  WFC  200.0  180  r                                
 515317 3CVs             20:15:24.99 +37:06:00.0 2000.00  01:17 1.018  WFC  200.0  180  r                                
 515318 3CVs             20:15:24.99 +37:05:59.9 2000.00  01:21 1.016  WFC  200.0  180  r                                
 515319 3CVs             20:15:25.00 +37:06:00.0 2000.00  01:25 1.015  WFC  199.9  180  r                                
 515320 3CVs             20:15:24.99 +37:05:59.9 2000.00  01:29 1.014  WFC  200.0  180  r                                
 515321 3CVs             20:15:25.00 +37:05:59.9 2000.00  01:33 1.013  WFC  199.5  180  r                                
 515322 3CVs             20:15:24.99 +37:06:00.0 2000.00  01:37 1.012  WFC  199.4  180  r                                
 515323 3CVs             20:15:24.99 +37:06:00.0 2000.00  01:41 1.011  WFC  200.0  180  r                                
 515324 3CVs             20:15:24.99 +37:05:59.9 2000.00  01:45 1.011  WFC  200.0  180  r                                
 515325 3CVs             20:15:25.00 +37:06:00.0 2000.00  01:49 1.011  WFC  200.0  180  r                                
 515326 3CVs             20:15:25.00 +37:06:00.0 2000.00  01:53 1.011  WFC  200.0  180  r                                
 515327 3CVs             20:15:25.00 +37:05:59.9 2000.00  01:57 1.011  WFC  200.0  180  r                                
 515328 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:01 1.012  WFC  199.5  180  r                                
 515329 3CVs             20:15:24.99 +37:05:59.7 2000.00  02:05 1.012  WFC  199.5  180  r                                
 515330 3CVs             20:15:24.99 +37:05:59.9 2000.00  02:09 1.013  WFC  199.9  180  r                                
 515331 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:13 1.014  WFC  199.5  180  r                                
 515332 3CVs             20:15:24.99 +37:06:00.0 2000.00  02:17 1.016  WFC  200.0  180  r                                
