INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 03 16 07:28

TELESCOPE             INT
DATE                  20070315
OBSERVER/S            Anderson, James, Percival
PROGRAMME             Imaging of SN host galaxies
PROPOSAL REF          P1
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / n/a
INSTRUMENT/S          WFC

SUNSET (UT)           19:26
EVENING TWILIGHT (UT) 20:38
MORNING TWILIGHT (UT) 06:02
SUNRISE (UT)          07:14
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       09:24
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         05:29
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   1.7   39     0.0   0.0    0   770.7    1.7   4.1     8.3   39    41 
21:00   1.3   40     0.0   0.0    0   771.4    1.3   3.9     7.0   40    41 
22:00   1.2   42     0.0   0.0    0   772.0    1.2   3.4     7.6   42    42 
23:00   1.9   41     0.0   0.0    0   772.1    1.9   3.8     6.7   41    44 
00:00   1.6   47     0.0   0.0    0   771.9    1.6   3.7     6.6   47    43 
01:00   1.2   49     0.0   0.0    0   771.8    1.2   3.4     6.9   49    47 
02:00   1.2   49     0.0   0.0    0   771.5    1.2   3.8     6.5   49    43 
03:00   0.9   50     0.0   0.0    0   770.9    0.9   2.9     6.4   50    48 
04:00   0.3   53     0.0   0.0    0   770.7    0.3   2.5     6.1   53    50 
05:00   0.0   55     0.0   0.0    0   770.3    0.0   2.2     5.2   55    52 
06:00  -0.1   55     0.0   0.0    0   770.4   -0.1   1.7     6.6   55    53 
07:00   0.1   53     0.0   0.0    0   770.6    0.1   2.3     5.8   53    52 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Dust at low levels, did not effect observing

COMMENTS (causes of time lost, setup information eg CCD windows):
Observed all night with reasonable seeing conditions



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 554614 Bias              0:00:00.00 +00:00:00.0 2007.201 14:24 1.139  WFC    0.0  180  V                                
 554649 ngc5194 R        13:29:52.69 +47:11:43.0 2000.00  01:14 1.136  WFC  349.9  180  R                                
 554650 ngc5194 Halpha   13:29:52.69 +47:11:42.9 2000.00  01:23 1.119  WFC  749.6  180  Halpha                           
 554651 ngc5480 R        14:06:21.60 +50:43:29.9 2000.00  01:40 1.175  WFC  349.9  180  R                                
 554652 ngc5480 Halpha   14:06:21.60 +50:43:29.9 2000.00  01:48 1.156  WFC  749.7  180  Halpha                           
 554653 pg1323-086 R     13:25:39.40 -08:49:20.4 2000.00  02:04 1.310  WFC    8.1  180  R                                
 554654 ngc5584 R        14:22:23.79 -00:23:16.0 2000.00  02:09 1.289  WFC  349.9  180  R                                
 554655 ngc5584 Halpha   14:22:23.79 -00:23:16.0 2000.00  02:17 1.257  WFC  749.6  180  Halpha                           
 554656 ic2973 R         11:53:50.80 +33:21:56.0 2000.00  02:34 1.034  WFC  349.9  180  R                                
 554657 ic2973 h666      11:53:50.80 +33:21:55.9 2000.00  02:44 1.047  WFC  749.7  180  Ha 6657                          
 554658 ngc5172 R        13:29:19.30 +17:03:06.5 2000.00  03:01 1.021  WFC  349.9  180  R                                
 554659 ngc5172 h666     13:29:19.30 +17:03:07.0 2000.00  03:10 1.022  WFC  250.0  180  Ha 6657                          
 554660 ngc5172 h666     13:29:19.30 +17:03:07.0 2000.00  03:15 1.022  WFC  250.0  180  Ha 6657                          
 554661 ngc5172 h666     13:29:19.30 +17:03:07.0 2000.00  03:20 1.023  WFC  250.0  180  Ha 6657                          
 554662 ngc3690 R        11:28:32.19 +58:33:43.9 2000.00  03:28 1.282  WFC  349.9  180  R                                
 554663 ngc3690 h666     11:28:32.19 +58:33:43.9 2000.00  03:37 1.306  WFC  749.6  180  Ha 6657                          
 554664 ngc5395 R        13:58:38.00 +37:25:27.8 2000.00  03:53 1.014  WFC  349.8  180  R                                
 554665 ngc5395 h666     13:58:38.00 +37:25:27.9 2000.00  04:03 1.019  WFC  749.7  180  Ha 6657                          
 554666 ngc5559 R        14:19:12.80 +24:47:55.0 2000.00  04:19 1.007  WFC  350.0  180  R                                
 554667 ngc5559 h666     14:19:12.80 +24:47:55.0 2000.00  04:27 1.013  WFC  749.1  180  Ha 6657                          
 554668 ngc5000 R        13:09:47.49 +28:54:25.0 2000.00  04:44 1.113  WFC  349.9  180  R                                
 554669 ngc5000 h666     13:09:47.49 +28:54:25.0 2000.00  04:53 1.139  WFC  749.7  180  Ha 6657                          
 554670 ugc10862 R       17:28:08.90 +07:25:21.0 2000.00  05:13 1.200  WFC  349.4  180  R                                
 554671 ugc10862 Halpha  17:28:08.89 +07:25:21.0 2000.00  05:20 1.184  WFC  250.0  180  Halpha                           
 554672 ugc10862 Halpha  17:28:08.90 +07:25:21.0 2000.00  05:25 1.173  WFC  250.0  180  Halpha                           
 554673 ugc10862 Halpha  17:28:08.89 +07:25:21.0 2000.00  05:30 1.162  WFC  250.0  180  Halpha                           
 554674 pg1323-086 R     13:25:39.40 -08:49:19.9 2000.00  05:37 1.652  WFC    8.1  180  R                                
 554675 ngc6700 R        18:46:04.40 +32:16:46.9 2000.00  05:42 1.208  WFC  350.0  180  R                                
 554676 ngc6700 h666     18:46:04.40 +32:16:46.9 2000.00  05:50 1.175  WFC  749.2  180  Ha 6657                          
 554677 mcg+10-25-14 R   17:22:41.10 +60:00:38.0 2000.00  06:08 1.183  WFC  349.8  180  R                                
 554678 mcg+10-25-14 h66 17:22:41.09 +60:00:38.0 2000.00  06:16 1.177  WFC  749.8  180  Ha 6657                          
 554679 mcg+7-40-3 R     19:21:08.40 +43:19:30.9 2000.00  06:32 1.180  WFC  349.9  180  R                                
 554680 mcg+7-40-3 h666  19:21:08.40 +43:19:31.0 2000.00  06:41 1.155  WFC  749.7  180  Ha 6657                          
 554681 skyflat Halpha   15:01:59.99 +29:55:00.0 2000.00  07:00 1.162  WFC    6.1  180  Halpha                           
 554682 skyflat h666     15:01:59.99 +29:55:00.0 2000.00  07:02 1.166  WFC   10.1  180  Ha 6657                          
 554683 skyflat h666     15:02:01.54 +29:55:20.0 2000.00  07:03 1.170  WFC   10.1  180  Ha 6657                          
 554684 skyflat h666     15:01:58.46 +29:54:40.0 2000.00  07:06 1.176  WFC    3.1  180  Ha 6657                          
 554685 skyflat h666     15:01:58.46 +29:55:20.0 2000.00  07:07 1.181  WFC    2.6  180  Ha 6657                          
 554686 Bias              0:00:00.00 +00:00:00.0 2000.00  07:12 1.195  WFC    0.0  180  Ha 6657                          
 554687 Bias              0:00:00.00 +00:00:00.0 2000.00  07:13 1.197  WFC    0.0  180  Ha 6657                          
 554688 Bias              0:00:00.00 +00:00:00.0 2000.00  07:14 1.200  WFC    0.0  180  Ha 6657                          
