 502591 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  21:30 1.135  WFC   40.1  180  Unknown                          
 502592 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:31 1.137  WFC   40.1  180  Unknown                          
 502593 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  21:33 1.139  WFC   40.1  180  Unknown                          
 502594 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:34 1.142  WFC   40.1  180  Unknown                          
 502595 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:35 1.144  WFC   40.1  180  Unknown                          
 502596 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  21:36 1.147  WFC   40.1  180  Unknown                          
 502597 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  21:38 1.149  WFC   40.1  180  Unknown                          
 502598 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:39 1.152  WFC   40.1  180  Unknown                          
 502599 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  21:40 1.154  WFC   40.1  180  Unknown                          
 502600 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  21:42 1.157  WFC   39.6  180  Unknown                          
 502601 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  21:43 1.160  WFC   40.1  180  Unknown                          
 502602 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  21:44 1.162  WFC   39.5  180  Unknown                          
 502603 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  21:45 1.165  WFC   40.1  180  Unknown                          
 502604 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:47 1.168  WFC   40.0  180  Unknown                          
 502605 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  21:48 1.171  WFC   40.1  180  Unknown                          
 502606 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  21:49 1.174  WFC   40.1  180  Unknown                          
 502607 sdss1031 40 c    10:31:57.00 +08:49:49.9 2006.00  21:51 1.177  WFC   40.0  180  Unknown                          
