 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 786819 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:35 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786820 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:36 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786821 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:36 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786822 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:37 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786823 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:37 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786824 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:37 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786825 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:38 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786826 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:38 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786827 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:38 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786828 CuAr+CuNe         0:00:00.00 +00:00:00.0  2000.00 06:39 1.000  IDS   10.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786829 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:40 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786830 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:40 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
 786831 short flat W      0:00:00.00 +00:00:00.0  2000.00 06:40 1.000  IDS    3.0   -0  Clear+Clear   1.1  65.3 5505.4   
