INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 18 07:20

TELESCOPE             INT
DATE                  20060717
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:19
EVENING TWILIGHT (UT) 21:43
MORNING TWILIGHT (UT) 04:53
SUNRISE (UT)          06:17
%ILLUM. LUNAR DISK    48
DARK TIME (HRS)       07:10
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         00:33
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
occasional cloud but otherwise dry, low wind and good seeing (1-1.5'')

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.6



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 515761 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:55 1.140  WFC   30.1  180  stromgren y                      
 515762 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:56 1.138  WFC   60.0  180  g                                
 515763 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  01:58 1.137  WFC   25.1  180  r                                
 515764 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:59 1.136  WFC   45.1  180  stromgren u                      
 515765 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:01 1.135  WFC   35.1  180  stromgren v                      
 515766 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:02 1.134  WFC   30.1  180  stromgren b                      
 515767 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:03 1.132  WFC   30.1  180  stromgren y                      
 515768 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:04 1.131  WFC   60.1  180  g                                
 515769 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  02:06 1.130  WFC   25.1  180  r                                
 515770 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:07 1.129  WFC   44.5  180  stromgren u                      
 515771 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:08 1.128  WFC   35.0  180  stromgren v                      
 515772 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:10 1.127  WFC   30.1  180  stromgren b                      
 515773 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:11 1.126  WFC   29.5  180  stromgren y                      
 515774 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:12 1.125  WFC   60.1  180  g                                
 515775 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:14 1.124  WFC   24.6  180  r                                
 515776 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:15 1.123  WFC   44.6  180  stromgren u                      
 515777 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:16 1.122  WFC   34.5  180  stromgren v                      
 515778 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  02:18 1.121  WFC   30.1  180  stromgren b                      
 515779 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:19 1.120  WFC   30.1  180  stromgren y                      
 515780 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  02:20 1.120  WFC   60.1  180  g                                
 515781 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:22 1.119  WFC   25.1  180  r                                
 515782 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  02:23 1.118  WFC   45.1  180  stromgren u                      
 515783 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:24 1.117  WFC   35.1  180  stromgren v                      
 515784 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:25 1.116  WFC   30.1  180  stromgren b                      
 515785 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:27 1.116  WFC   30.1  180  stromgren y                      
 515786 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:28 1.115  WFC   60.1  180  g                                
 515787 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:30 1.114  WFC   25.1  180  r                                
 515788 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:31 1.113  WFC   45.1  180  stromgren u                      
 515789 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:32 1.113  WFC   35.1  180  stromgren v                      
 515790 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:33 1.112  WFC   30.1  180  stromgren b                      
 515791 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:35 1.112  WFC   30.0  180  stromgren y                      
 515792 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:36 1.111  WFC   60.1  180  g                                
 515793 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  02:37 1.110  WFC   25.1  180  r                                
 515794 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:39 1.110  WFC   45.0  180  stromgren u                      
 515795 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  02:40 1.109  WFC   35.1  180  stromgren v                      
 515796 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:41 1.109  WFC   30.1  180  stromgren b                      
 515797 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:43 1.108  WFC   30.0  180  stromgren y                      
 515798 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:44 1.108  WFC   60.1  180  g                                
 515799 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:45 1.107  WFC   25.1  180  r                                
 515800 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:47 1.107  WFC   44.0  180  stromgren u                      
 515801 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:48 1.107  WFC   35.1  180  stromgren v                      
 515802 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:49 1.106  WFC   30.1  180  stromgren b                      
 515803 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:51 1.106  WFC   30.0  180  stromgren y                      
 515804 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  02:52 1.106  WFC   60.0  180  g                                
 515805 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:53 1.105  WFC   25.0  180  r                                
 515806 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  02:55 1.105  WFC   45.1  180  stromgren u                      
 515807 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  02:56 1.105  WFC   35.1  180  stromgren v                      
 515808 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  02:57 1.104  WFC   29.6  180  stromgren b                      
 515809 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:58 1.104  WFC   29.6  180  stromgren y                      
 515810 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:00 1.104  WFC   60.1  180  g                                
 515811 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:01 1.104  WFC   25.1  180  r                                
 515812 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  03:02 1.104  WFC   45.1  180  stromgren u                      
 515813 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:04 1.104  WFC   35.1  180  stromgren v                      
 515814 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:05 1.103  WFC   29.6  180  stromgren b                      
 515815 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:06 1.103  WFC   29.6  180  stromgren y                      
 515816 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:07 1.103  WFC   60.1  180  g                                
 515817 NGC7128 r        21:44:19.98 +53:44:00.0 2000.00  03:09 1.103  WFC   25.1  180  r                                
 515818 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:10 1.103  WFC   45.0  180  stromgren u                      
 515819 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:12 1.103  WFC   35.1  180  stromgren v                      
 515820 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:13 1.103  WFC   29.5  180  stromgren b                      
 515821 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  03:14 1.103  WFC   30.1  180  stromgren y                      
 515822 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  03:15 1.103  WFC   60.0  180  g                                
 515823 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:17 1.103  WFC   25.1  180  r                                
 515824 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  03:18 1.103  WFC   45.1  180  stromgren u                      
 515825 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:20 1.103  WFC   35.1  180  stromgren v                      
 515826 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:21 1.104  WFC   29.0  180  stromgren b                      
 515827 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:22 1.104  WFC   30.1  180  stromgren y                      
 515828 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:23 1.104  WFC   60.1  180  g                                
 515829 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:25 1.104  WFC   25.1  180  r                                
 515830 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  03:26 1.104  WFC   44.5  180  stromgren u                      
 515831 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:28 1.105  WFC   35.1  180  stromgren v                      
 515832 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  03:29 1.105  WFC   30.1  180  stromgren b                      
 515833 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  03:30 1.105  WFC   29.6  180  stromgren y                      
 515834 NGC7128 g        21:44:20.01 +53:43:59.9 2000.00  03:31 1.105  WFC   60.1  180  g                                
 515835 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:33 1.106  WFC   25.1  180  r                                
 515836 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  03:34 1.106  WFC   45.0  180  stromgren u                      
 515837 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  03:35 1.106  WFC   35.1  180  stromgren v                      
 515838 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  03:37 1.107  WFC   30.1  180  stromgren b                      
 515839 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:38 1.107  WFC   30.1  180  stromgren y                      
 515840 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  03:39 1.108  WFC   60.0  180  g                                
 515841 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:41 1.108  WFC   25.1  180  r                                
 515842 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  03:42 1.109  WFC   45.1  180  stromgren u                      
 515843 NGC7128 v        21:44:20.00 +53:44:00.1 2000.00  03:43 1.109  WFC   35.1  180  stromgren v                      
 515844 NGC7128 b        21:44:20.01 +53:43:59.9 2000.00  03:45 1.110  WFC   30.1  180  stromgren b                      
 515845 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:46 1.110  WFC   30.1  180  stromgren y                      
 515846 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:47 1.111  WFC   60.1  180  g                                
 515847 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:49 1.111  WFC   25.1  180  r                                
 515848 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:50 1.112  WFC   45.1  180  stromgren u                      
 515849 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  03:51 1.112  WFC   35.1  180  stromgren v                      
 515850 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:53 1.113  WFC   30.1  180  stromgren b                      
 515851 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:54 1.114  WFC   29.6  180  stromgren y                      
 515852 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  03:55 1.114  WFC   60.1  180  g                                
 515853 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:57 1.115  WFC   25.1  180  r                                
 515854 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  03:58 1.116  WFC   45.1  180  stromgren u                      
 515855 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:59 1.117  WFC   35.1  180  stromgren v                      
 515856 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  04:00 1.117  WFC   30.1  180  stromgren b                      
 515857 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:02 1.118  WFC   30.1  180  stromgren y                      
 515858 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:03 1.119  WFC   60.1  180  g                                
 515859 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:05 1.120  WFC   25.1  180  r                                
 515860 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:06 1.121  WFC   45.1  180  stromgren u                      
 515861 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  04:07 1.122  WFC   35.1  180  stromgren v                      
 515862 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:08 1.122  WFC   30.1  180  stromgren b                      
 515863 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:10 1.123  WFC   30.1  180  stromgren y                      
 515864 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  04:11 1.124  WFC   60.1  180  g                                
 515865 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:12 1.125  WFC   25.1  180  r                                
 515866 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:14 1.126  WFC   45.1  180  stromgren u                      
 515867 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:15 1.127  WFC   35.1  180  stromgren v                      
 515868 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:16 1.128  WFC   30.1  180  stromgren b                      
 515869 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:17 1.129  WFC   30.1  180  stromgren y                      
 515870 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  04:19 1.130  WFC   60.1  180  g                                
 515871 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:20 1.132  WFC   25.1  180  r                                
 515872 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:21 1.133  WFC   45.1  180  stromgren u                      
 515873 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  04:23 1.134  WFC   35.1  180  stromgren v                      
 515874 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:24 1.135  WFC   30.1  180  stromgren b                      
 515875 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:25 1.136  WFC   30.1  180  stromgren y                      
 515876 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  04:27 1.137  WFC   59.5  180  g                                
 515877 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:28 1.139  WFC   25.1  180  r                                
 515878 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:29 1.140  WFC   44.5  180  stromgren u                      
 515879 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  04:31 1.141  WFC   35.1  180  stromgren v                      
 515880 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:32 1.143  WFC   30.1  180  stromgren b                      
 515881 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:33 1.144  WFC   30.1  180  stromgren y                      
 515882 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:34 1.145  WFC   60.1  180  g                                
 515883 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:36 1.147  WFC   24.5  180  r                                
 515884 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:38 1.148  WFC    9.5  180  stromgren b                      
 515885 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:38 1.149  WFC   10.1  180  stromgren b                      
 515886 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:39 1.150  WFC   10.1  180  stromgren b                      
 515887 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:40 1.151  WFC    2.5  180  stromgren y                      
 515888 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:41 1.152  WFC    3.1  180  stromgren y                      
 515889 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:41 1.152  WFC    3.1  180  stromgren y                      
 515890 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:42 1.153  WFC   10.1  180  stromgren y                      
 515891 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:43 1.154  WFC   10.0  180  stromgren y                      
 515892 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:44 1.155  WFC   10.1  180  stromgren y                      
 515893 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:45 1.157  WFC   44.5  180  stromgren u                      
 515894 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:47 1.159  WFC   34.5  180  stromgren v                      
 515895 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  04:48 1.160  WFC   30.1  180  stromgren b                      
 515896 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:49 1.162  WFC   30.1  180  stromgren y                      
 515897 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  04:50 1.163  WFC   60.1  180  g                                
 515898 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:52 1.165  WFC   25.1  180  r                                
 515899 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  04:53 1.167  WFC   45.1  180  stromgren u                      
 515900 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:54 1.169  WFC   35.1  180  stromgren v                      
 515901 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:56 1.170  WFC   30.1  180  stromgren b                      
 515902 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:57 1.172  WFC   30.1  180  stromgren y                      
 515903 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  04:58 1.174  WFC   60.1  180  g                                
 515904 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  05:00 1.176  WFC   25.1  180  r                                
 515905 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  05:01 1.178  WFC   45.1  180  stromgren u                      
 515906 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  05:02 1.180  WFC   34.5  180  stromgren v                      
 515907 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:04 1.182  WFC   30.1  180  stromgren b                      
 515908 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:05 1.183  WFC   30.1  180  stromgren y                      
 515909 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  05:06 1.186  WFC   60.0  180  g                                
 515910 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  05:08 1.188  WFC   25.0  180  r                                
 515911 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  05:09 1.190  WFC   45.1  180  stromgren u                      
 515912 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  05:10 1.192  WFC   35.0  180  stromgren v                      
 515913 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:12 1.194  WFC   30.1  180  stromgren b                      
 515914 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:13 1.196  WFC   30.1  180  stromgren y                      
 515915 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  05:14 1.198  WFC   60.0  180  g                                
 515916 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  05:16 1.200  WFC   25.1  180  r                                
 515917 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  05:17 1.203  WFC   45.0  180  stromgren u                      
 515918 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:18 1.205  WFC   35.1  180  stromgren v                      
 515919 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:19 1.207  WFC   30.0  180  stromgren b                      
 515920 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:21 1.209  WFC   30.1  180  stromgren y                      
 515921 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  05:22 1.212  WFC   60.1  180  g                                
 515922 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  05:24 1.214  WFC   25.1  180  r                                
 515923 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  05:25 1.217  WFC   45.1  180  stromgren u                      
 515924 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  05:26 1.219  WFC   34.5  180  stromgren v                      
 515925 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  05:27 1.221  WFC   30.1  180  stromgren b                      
 515926 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  05:29 1.224  WFC   30.1  180  stromgren y                      
 515927 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  05:30 1.226  WFC   60.1  180  g                                
 515928 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  05:31 1.229  WFC   25.0  180  r                                
 515929 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  05:33 1.232  WFC   44.6  180  stromgren u                      
 515930 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  05:34 1.234  WFC   35.1  180  stromgren v                      
 515931 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  05:35 1.237  WFC   29.5  180  stromgren b                      
 515932 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:36 1.239  WFC   30.1  180  stromgren y                      
 515933 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  05:38 1.242  WFC   60.1  180  g                                
 515934 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  05:39 1.245  WFC   25.1  180  r                                
 515935 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  05:40 1.248  WFC   45.1  180  stromgren u                      
 515936 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:42 1.251  WFC   35.0  180  stromgren v                      
 515937 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  05:43 1.253  WFC   30.1  180  stromgren b                      
 515938 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  05:44 1.256  WFC   30.0  180  stromgren y                      
 515940 NGC7128 u        21:44:20.00 +53:43:59.7 2000.00  05:46 1.260  WFC   45.1  180  stromgren u                      
 515941 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  05:47 1.263  WFC   35.1  180  stromgren v                      
 515942 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  05:49 1.266  WFC   30.1  180  stromgren b                      
 515943 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:50 1.269  WFC   30.1  180  stromgren y                      
 515945 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  05:51 1.272  WFC   45.1  180  stromgren u                      
 515946 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:53 1.276  WFC   34.5  180  stromgren v                      
 515947 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:54 1.279  WFC   29.5  180  stromgren b                      
 515948 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  05:55 1.281  WFC   30.1  180  stromgren y                      
 515950 Bias             21:44:20.00 +53:44:00.0 2000.00  05:57 1.285  WFC    0.0  180  g                                
 515951 Bias             21:44:20.00 +53:44:00.0 2000.00  05:57 1.286  WFC    0.0  180  g                                
 515952 Bias             21:44:20.00 +53:44:00.0 2000.00  05:58 1.287  WFC    0.0  180  g                                
 515953 Bias              0:00:00.00 +00:00:00.0 2000.00  05:59 1.032  WFC    0.0  180  g                                
 515954 Bias              0:00:00.00 +00:00:00.0 2000.00  05:59 1.020  WFC    0.0  180  g                                
 515955 Bias              0:00:00.00 +00:00:00.0 2000.00  06:00 1.756  WFC    0.0  180  g                                
 515956 Bias              0:00:00.00 +00:00:00.0 2000.00  06:00 2.469  WFC    0.0  180  g                                
 515957 Bias              0:00:00.00 +00:00:00.0 2000.00  06:01 4.199  WFC    0.0  180  g                                
 515958 Bias              0:00:00.00 +00:00:00.0 2000.00  06:01 4.369  WFC    0.0  180  g                                
 515959 Bias              0:00:00.00 +00:00:00.0 2000.00  06:02 4.369  WFC    0.0  180  g                                
