 468468 NGC6822 B 300s   19:44:57.39 -14:47:23.9 2000.00  22:33 1.379  WFC  299.9  180  B                                
 468469 NGC6822 r 300s   19:44:57.39 -14:47:24.1 2000.00  22:39 1.378  WFC  299.9  180  r                                
 468474 HD190864 r 10s   20:05:39.78 +35:36:27.7 2000.00  22:48 1.009  WFC   10.1  180  r                                
 468475 HD190864 r 1s    20:05:39.78 +35:36:27.8 2000.00  22:49 1.009  WFC    1.0  180  r                                
 468476 HD190864 i 10s   20:05:39.79 +35:36:27.9 2000.00  22:50 1.009  WFC   10.1  180  i                                
 468477 HD190864 i 1s    20:05:39.79 +35:36:27.8 2000.00  22:50 1.008  WFC    1.0  180  i                                
 468478 NGC6822 B 300s   19:44:57.40 -14:47:24.4 2000.00  22:53 1.381  WFC  299.9  180  B                                
 468479 NGC6822 r 300s   19:44:57.40 -14:47:23.9 2000.00  22:59 1.384  WFC  299.9  180  r                                
 468480 NGC6822 B 300s   19:44:57.40 -14:47:23.9 2000.00  23:05 1.388  WFC  299.9  180  B                                
 468481 NGC6822 r 300s   19:44:57.40 -14:47:23.7 2000.00  23:11 1.393  WFC  299.4  180  r                                
 468482 NGC6822 B 300s   19:44:57.40 -14:47:24.0 2000.00  23:17 1.399  WFC  299.9  180  B                                
 468483 NGC6822 r 300s   19:44:57.39 -14:47:24.0 2000.00  23:23 1.406  WFC  300.0  180  r                                
 468484 NGC6822 B 300s   19:44:57.40 -14:47:24.1 2000.00  23:29 1.415  WFC  299.9  180  B                                
 468485 NGC6822 r 300s   19:44:57.39 -14:47:24.0 2000.00  23:35 1.425  WFC  300.0  180  r                                
 468486 113-263 B 60s    21:41:52.89 +00:25:37.0 2000.00  23:43 1.171  WFC   59.5  180  B                                
 468487 113-263 V 60s    21:41:52.90 +00:25:36.9 2000.00  23:44 1.169  WFC   60.1  180  V                                
 468488 113-263 r 60s    21:41:52.89 +00:25:37.0 2000.00  23:46 1.166  WFC   60.1  180  r                                
 468489 113-263 i 30s    21:41:52.90 +00:25:37.1 2000.00  23:48 1.164  WFC   30.1  180  i                                
 468490 NGC6822 B 300s   19:44:57.39 -14:47:23.7 2000.00  23:52 1.462  WFC  299.9  180  B                                
 468491 NGC6822 r 300s   19:44:57.39 -14:47:23.9 2000.00  23:58 1.477  WFC  299.9  180  r                                
 468492 NGC6822 B 300s   19:44:57.39 -14:47:23.5 2000.00  00:05 1.495  WFC  299.9  180  B                                
 468493 NGC6822 r 300s   19:44:57.40 -14:47:24.0 2000.00  00:11 1.513  WFC  299.4  180  r                                
 468494 NGC6822 B 300s   19:44:57.39 -14:47:23.6 2000.00  00:17 1.535  WFC  299.9  180  B                                
