 387166 96-36             4:51:42.40 -00:10:09.9 J2000.00 21:53 1.142  WFC    5.1  180  z                                
 387167 96-36             4:51:42.39 -00:10:09.9 J2000.00 21:54 1.143  WFC    5.1  180  g                                satd
 387168 96-36             4:51:42.39 -00:10:10.0 J2000.00 21:56 1.143  WFC    3.1  180  r                                ok
 387169 96-36             4:51:42.40 -00:10:10.0 J2000.00 21:57 1.143  WFC    2.5  180  g                                satd
 387170 96-36             4:51:42.40 -00:10:09.9 J2000.00 22:00 1.144  WFC    9.0  180  Halpha                           
 387171 96-36             4:51:42.40 -00:10:09.9 J2000.00 22:01 1.144  WFC    2.1  180  g                                
 387172 98-666            6:52:09.90 -00:23:31.9 J2000.00 22:04 1.277  WFC    2.1  180  g                                low counts
 387173 98-666            6:52:09.90 -00:23:32.0 J2000.00 22:05 1.274  WFC    5.1  180  z                                low counts
 387174 98-666            6:52:09.90 -00:23:31.9 J2000.00 22:07 1.267  WFC    6.1  180  g                                low counts
 387175 98-666            6:52:09.90 -00:23:32.0 J2000.00 22:08 1.265  WFC   15.1  180  z                                low counts
 387177 98-666            6:52:09.89 -00:23:31.9 J2000.00 22:12 1.256  WFC   24.6  180  z                                7000 cnts
 387178 98-666            6:52:09.90 -00:23:31.8 J2000.00 22:14 1.250  WFC   35.0  180  z                                14000 cts
 387179 98-666            6:52:09.89 -00:23:32.0 J2000.00 22:17 1.244  WFC   19.5  180  g                                satd
 387180 98-666            6:52:09.90 -00:23:31.9 J2000.00 22:18 1.241  WFC   20.1  180  i                                
 387181 98-666            6:52:09.90 -00:23:32.0 J2000.00 22:19 1.238  WFC   11.6  180  g                                36000 cts
 387182 98-666            6:52:09.90 -00:23:31.9 J2000.00 22:21 1.234  WFC   15.1  180  r                                20000 cts
 387183 98-666            6:52:09.90 -00:23:31.9 J2000.00 22:23 1.230  WFC   40.1  180  U                                14000 cts
 387184 98-666            6:52:09.90 -00:23:31.9 J2000.00 22:26 1.224  WFC   40.1  180  Halpha                           12000 cts
 387185 PSRJ0218+42       2:18:19.57 +42:34:16.6 J2000.00 22:31 1.338  WFC  120.0  180  r                                sg=1.2
 387186 RXJ0256.5+0006    2:56:42.99 +00:08:12.0 J2000.00 22:39 1.522  WFC  120.1  180  r                                sg=1.1
 387187 RXJ0256.5+0006    2:56:42.99 +00:08:11.9 J2000.00 22:42 1.542  WFC  119.5  180  g                                sg=1.5
 387188 MBM12             2:56:15.50 +19:30:35.0 J2000.00 22:48 1.322  WFC  120.0  180  r                                sg=1.2
 387189 SDSS033829.31+00  3:38:39.30 +00:23:56.1 J2000.00 22:54 1.383  WFC  120.0  180  i                                sg=1.3
 387190 SDSS033829.31+00  3:38:39.30 +00:23:56.3 J2000.00 22:57 1.416  WFC  599.7  180  g                                sg=1.3
 387191 SDSS033829.31+00  3:38:39.30 +00:23:56.2 J2000.00 23:08 1.449  WFC  120.0  180  z                                sg=1.1
 387192 BR0351-1034       3:53:57.12 -10:23:18.9 J2000.00 23:19 1.666  WFC  120.1  180  i                                sg=1.3
 387193 SA95-42           3:53:53.67 -00:02:32.8 J2000.00 23:24 1.460  WFC  120.0  180  r                                sg=1.2
 387194 3C98              3:59:04.57 +10:28:02.0 J2000.00 23:30 1.317  WFC  120.0  180  i                                sg=1.2
 387195 A478OFF-SET       4:12:45.15 +10:17:45.0 J2000.00 23:35 1.286  WFC  120.2  180  r                                sg=1.2
 387196 LBB227            4:09:39.26 +17:09:54.3 J2000.00 23:41 1.259  WFC  120.0  180  r                                sg=1.5
 387197 CFHT-PL-12        3:54:06.00 +23:25:37.5 J2000.00 23:46 1.297  WFC  119.5  180  r                                sg=1.1
 387198 VIIZW031          5:17:34.66 +79:42:11.0 J2000.00 23:54 1.622  WFC  120.0  180  r                                sg=1.2
 387199 VIIZW031          5:17:34.66 +79:42:11.1 J2000.00 23:57 1.628  WFC  599.9  180  g                                sg=1.7
 387200 L1641-N           5:36:32.35 -06:20:19.0 J2000.00 00:11 1.353  WFC  120.0  180  r                                sg=1.4
 387201 HD33798           5:15:29.70 +47:12:18.9 J2000.00 00:18 1.162  WFC  120.0  180  r                                sg=1.2
 387202 HD33798           5:15:29.71 +47:12:19.0 J2000.00 00:20 1.167  WFC  119.5  180  Halpha                           sg=1.3
 387203 RU-152D           7:30:06.10 -02:04:38.0 J2000.00 00:26 1.164  WFC   10.1  180  i                                satd
 387204 RU-152D           7:30:06.10 -02:04:38.0 J2000.00 00:29 1.164  WFC    5.1  180  i                                satd
 387205 RU-152D           7:30:06.10 -02:04:38.0 J2000.00 00:31 1.165  WFC    2.1  180  i                                26000 cts
 387206 RU-152D           7:30:06.09 -02:04:38.0 J2000.00 00:33 1.165  WFC    2.1  180  r                                17000 cts
 387207 RU-152D           7:30:06.10 -02:04:37.9 J2000.00 00:34 1.165  WFC    3.1  180  g                                27000 cts
 387208 RU-152D           7:30:06.09 -02:04:38.0 J2000.00 00:37 1.166  WFC    4.5  180  z                                12500 cts
 387209 RU-152D           7:30:06.09 -02:04:38.0 J2000.00 00:39 1.166  WFC    9.5  180  U                                low counts 3000
 387210 RU-152D           7:30:06.09 -02:04:37.9 J2000.00 00:40 1.166  WFC    8.1  180  Halpha                           9000 cts
 387211 RU-152D           7:30:06.10 -02:04:38.0 J2000.00 00:41 1.167  WFC   14.5  180  U                                6000 cts
 387212 RU-152D           7:30:06.09 -02:04:37.9 J2000.00 00:45 1.168  WFC   40.1  180  Halpha                           satd
 387213 RU-152D           7:30:06.09 -02:04:37.8 J2000.00 00:47 1.169  WFC   30.1  180  Halpha                           46000 cts
 387214 MRK71             7:29:15.75 +69:13:39.1 J2000.00 00:52 1.317  WFC  120.0  180  i                                sg=1.3
 387215 MRK71             7:29:15.75 +69:13:38.9 J2000.00 00:55 1.318  WFC  120.0  180  z                                sg=0.9
 387216 3C184             7:39:54.10 +70:25:10.7 J2000.00 01:27 1.351  WFC  120.0  180  z                                trailing- guide prob
 387217 PSRJ0751+18       7:51:19.51 +18:09:38.8 J2000.00 01:32 1.035  WFC  120.1  180  r                                sg=1.6
 387218 3C184             7:39:54.10 +70:25:10.8 J2000.00 01:38 1.357  WFC  120.0  180  z                                sg=1.6
 387219 RXJ0806.3+1527    8:06:33.57 +15:29:30.3 J2000.00 01:45 1.043  WFC  119.5  180  i                                sg=1.6
 387220 3C192             8:05:46.02 +24:51:50.0 J2000.00 01:51 1.021  WFC  120.0  180  r                                sg=1.4
 387221 3C192             8:05:46.02 +24:51:49.8 J2000.00 01:55 1.033  WFC 1199.4  180  i                                sg=1.5
 387222 VIK59             8:47:23.18 +34:51:16.0 J2000.00 02:20 1.015  WFC  119.5  180  r                                sg=1.6
 387223 PG0844+349        8:47:54.56 +34:47:04.9 J2000.00 02:24 1.017  WFC  120.0  180  r                                sg=1.6
 387224 -12-2918          9:31:19.62 -13:29:19.4 J2000.00 02:29 1.350  WFC    2.1  180  r                                50000 cts ignore
 387225 0942-029D         9:45:08.59 -03:05:55.1 J2000.00 02:33 1.178  WFC    2.1  180  r                                1250 cts
 387226 0942-029D         9:45:08.60 -03:05:55.0 J2000.00 02:35 1.178  WFC    9.6  180  r                                8000 cts
 387227 0942-029D         9:45:08.60 -03:05:55.0 J2000.00 02:37 1.177  WFC   14.5  180  r                                12600 cts
 387228 0942-029D         9:45:08.59 -03:05:55.0 J2000.00 02:38 1.177  WFC   15.1  180  i                                10000 cts
 387229 0942-029D         9:45:08.60 -03:05:54.9 J2000.00 02:39 1.177  WFC   15.1  180  g                                10000 cts
 387230 0942-029D         9:45:08.59 -03:05:54.9 J2000.00 02:41 1.177  WFC   25.1  180  i                                20000 cts
 387231 0942-029D         9:45:08.59 -03:05:54.9 J2000.00 02:42 1.177  WFC   24.6  180  g                                15000 cts
 387232 0942-029D         9:45:08.60 -03:05:55.0 J2000.00 02:44 1.177  WFC   39.6  180  z                                8500 cts
 387233 0942-029D         9:45:08.60 -03:05:54.9 J2000.00 02:45 1.177  WFC   39.5  180  U                                1600 cts
 387234 0942-029D         9:45:08.60 -03:05:54.9 J2000.00 02:47 1.178  WFC   40.1  180  Halpha                           3000 cts
 387235 0942-029D         9:45:08.60 -03:05:55.0 J2000.00 02:48 1.178  WFC  120.1  180  U                                7000 cts
 387236 CL0939+472        9:43:14.65 +47:01:30.0 J2000.00 02:54 1.054  WFC  120.0  180  r                                sg= 1.2
 387237 0952+179          9:55:07.30 +17:45:31.2 J2000.00 03:01 1.020  WFC  120.0  180  r                                sg=1.2
 387238 0952+179          9:55:07.30 +17:45:31.2 J2000.00 03:04 1.021  WFC  599.8  180  g                                sg=1.3
 387239 ZW3146           10:23:50.02 +04:13:24.0 J2000.00 03:19 1.099  WFC  120.0  180  i                                light gradient chip 2
 387240 MKN421OFFSET     11:04:34.02 +38:12:53.6 J2000.00 03:26 1.021  WFC  120.0  180  r                                sg=1.2"
 387241 ZW3146           10:23:50.02 +04:13:24.1 J2000.00 03:32 1.101  WFC  120.0  180  i                                sg=1.5"
 387242 SP891107+487     11:10:53.60 +48:33:15.9 J2000.00 03:39 1.067  WFC  120.1  180  r                                sg=1.12
 387243 DPLEO            11:17:26.50 +17:59:41.0 J2000.00 03:46 1.024  WFC  120.0  180  r                                sg=1.53"
 387244 NGC3623          11:19:05.47 +13:07:33.9 J2000.00 03:52 1.043  WFC  120.0  180  r                                sg=1.53"
 387245 3C257            11:23:19.22 +05:32:19.3 J2000.00 03:57 1.092  WFC  120.0  180  i                                sg=1.23"
 387246 NGC3690          11:28:49.16 +58:35:42.7 J2000.00 04:03 1.154  WFC  599.2  180  r                                sg=1.3"
