 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 754342 WASP1728         17:28:49.09 +41:56:29.3  2000.00 21:27 1.053  WFC   30.1  180  r                                
 754343 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:28 1.054  WFC   30.1  180  i                                
 754344 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:30 1.056  WFC   30.1  180  r                                
 754346 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:31 1.057  WFC   30.1  180  i                                
 754347 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:32 1.058  WFC   30.1  180  r                                
 754348 WASP1728         17:28:49.10 +41:56:29.4  2000.00 21:33 1.059  WFC   30.1  180  i                                
 754349 WASP1728         17:28:49.10 +41:56:29.4  2000.00 21:35 1.061  WFC   30.1  180  r                                
 754351 WASP1728         17:28:49.09 +41:56:29.4  2000.00 21:37 1.062  WFC   29.6  180  i                                
 754352 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:38 1.064  WFC   30.1  180  r                                
 754353 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:40 1.066  WFC   30.1  180  i                                
 754354 WASP1728         17:28:49.09 +41:56:29.3  2000.00 21:42 1.068  WFC   29.6  180  r                                
 754355 WASP1728         17:28:49.09 +41:56:29.3  2000.00 21:43 1.069  WFC   30.1  180  i                                
 754356 WASP1728         17:28:49.09 +41:56:29.3  2000.00 21:44 1.070  WFC   30.1  180  r                                
 754357 WASP1728         17:28:49.10 +41:56:29.4  2000.00 21:45 1.072  WFC   29.5  180  i                                
 754358 WASP1728         17:28:49.09 +41:56:29.4  2000.00 21:47 1.073  WFC   30.1  180  r                                
 754359 WASP1728         17:28:49.09 +41:56:29.3  2000.00 21:48 1.075  WFC   30.1  180  i                                
 754360 WASP1728         17:28:49.09 +41:56:29.4  2000.00 21:49 1.076  WFC   30.1  180  r                                
 754361 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:51 1.078  WFC   30.1  180  i                                
 754362 WASP1728         17:28:49.10 +41:56:29.4  2000.00 21:52 1.080  WFC   30.1  180  r                                
 754363 WASP1728         17:28:49.10 +41:56:29.4  2000.00 21:54 1.082  WFC   30.1  180  i                                
 754364 WASP1728         17:28:49.09 +41:56:29.3  2000.00 21:55 1.084  WFC   30.1  180  r                                
 754365 WASP1728         17:28:49.09 +41:56:29.3  2000.00 21:56 1.085  WFC   30.1  180  i                                
 754366 WASP1728         17:28:49.10 +41:56:29.3  2000.00 21:58 1.087  WFC   30.1  180  r                                
 754367 WASP1728         17:28:49.10 +41:56:29.4  2000.00 21:59 1.089  WFC   30.1  180  i                                
 754368 WASP1728         17:28:49.10 +41:56:29.3  2000.00 22:00 1.091  WFC   30.1  180  r                                
 754369 WASP1728         17:28:49.09 +41:56:29.4  2000.00 22:02 1.093  WFC   30.0  180  i                                
 754370 WASP1728         17:28:49.10 +41:56:29.4  2000.00 22:03 1.094  WFC   30.1  180  r                                
 754371 WASP1728         17:28:49.09 +41:56:29.3  2000.00 22:05 1.097  WFC   30.0  180  i                                
 754372 WASP1728         17:28:49.10 +41:56:29.4  2000.00 22:06 1.099  WFC   30.1  180  r                                
 754373 WASP1728         17:28:49.10 +41:56:29.4  2000.00 22:07 1.101  WFC   30.1  180  i                                
 754374 WASP1728         17:28:49.10 +41:56:29.3  2000.00 22:09 1.103  WFC   30.1  180  r                                
 754375 WASP1728         17:28:49.10 +41:56:29.4  2000.00 22:10 1.105  WFC   30.1  180  i                                
 754376 WASP1728         17:28:49.10 +41:56:29.3  2000.00 22:12 1.108  WFC   30.1  180  r                                
 754377 WASP1728         17:28:49.10 +41:56:29.4  2000.00 22:13 1.110  WFC   30.0  180  i                                
 754378 WASP-1            0:20:40.07 +32:01:13.7  2000.00 22:28 2.048  WFC   10.1  180  i                                
 754379 WASP-1            0:20:40.08 +32:01:13.8  2000.00 22:31 2.017  WFC    5.1  180  i                                
 754380 WASP-1            0:20:40.07 +32:01:13.7  2000.00 22:34 1.973  WFC  120.0  180  i                                
 754381 WASP-1            0:20:40.08 +32:01:13.8  2000.00 22:39 1.907  WFC  120.0  180  i                                
 754382 WASP-1            0:20:40.07 +32:01:13.8  2000.00 23:02 1.691  WFC  120.0  180  i                                
 754383 WASP-1            0:20:40.08 +32:01:13.7  2000.00 23:08 1.645  WFC  120.0  180  i                                
 754384 WASP-1            0:20:40.08 +32:01:13.7  2000.00 23:13 1.605  WFC  120.0  180  i                                
 754385 WASP-1            0:20:40.08 +32:01:13.8  2000.00 23:16 1.587  WFC  119.5  180  i                                
 754386 WASP-1            0:20:40.07 +32:01:13.8  2000.00 23:18 1.569  WFC  120.0  180  i                                
 754387 WASP-1            0:20:40.08 +32:01:13.7  2000.00 23:21 1.553  WFC  120.0  180  i                                
 754388 WASP-1            0:20:40.07 +32:01:13.8  2000.00 23:23 1.536  WFC  120.0  180  i                                
 754389 WASP-1            0:20:40.07 +32:01:13.7  2000.00 23:26 1.519  WFC  120.0  180  i                                
 754390 WASP-1            0:20:40.08 +32:01:13.8  2000.00 23:28 1.503  WFC  120.0  180  i                                
 754391 WASP-1            0:20:40.07 +32:01:13.8  2000.00 23:31 1.488  WFC  119.5  180  i                                
 754392 WASP-1            0:20:40.08 +32:01:13.7  2000.00 23:33 1.474  WFC  120.0  180  i                                
 754393 WASP-1            0:20:40.08 +32:01:13.8  2000.00 23:36 1.459  WFC  119.5  180  i                                
 754394 WASP-1            0:20:40.07 +32:01:13.8  2000.00 23:38 1.445  WFC  120.0  180  i                                
 754396 WASP-1            0:20:40.07 +32:01:13.8  2000.00 23:41 1.430  WFC  118.1  180  i                                
 754397 WASP-1            0:20:40.08 +32:01:13.7  2000.00 23:44 1.417  WFC  118.0  180  i                                
 754398 WASP-1            0:20:40.08 +32:01:13.8  2000.00 23:46 1.404  WFC  115.0  180  i                                
 754399 WASP-1            0:20:40.08 +32:01:13.7  2000.00 23:49 1.392  WFC  115.0  180  i                                
 754400 WASP-1            0:20:40.08 +32:01:13.8  2000.00 23:51 1.380  WFC  109.5  180  i                                
 754401 WASP-1            0:20:40.08 +32:01:13.8  2000.00 23:54 1.369  WFC  110.0  180  i                                
 754402 WASP-1            0:20:40.07 +32:01:13.8  2000.00 23:56 1.357  WFC  105.1  180  i                                
 754403 WASP-1            0:20:40.08 +32:01:13.7  2000.00 23:58 1.347  WFC  105.0  180  i                                
 754404 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:01 1.337  WFC  105.0  180  i                                
 754405 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:03 1.327  WFC  104.5  180  i                                
 754406 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:05 1.317  WFC  105.0  180  i                                
 754407 WASP-1            0:20:40.08 +32:01:13.7  2000.00 00:08 1.308  WFC  105.0  180  i                                
 754408 WASP-1            0:20:40.08 +32:01:13.8  2000.00 00:10 1.298  WFC  100.0  180  i                                
 754409 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:12 1.290  WFC  100.0  180  i                                
 754410 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:15 1.281  WFC  100.0  180  i                                
 754411 WASP-1            0:20:40.08 +32:01:13.8  2000.00 00:17 1.273  WFC  100.0  180  i                                
 754412 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:19 1.264  WFC  100.1  180  i                                
 754413 WASP-1            0:20:40.08 +32:01:13.7  2000.00 00:21 1.256  WFC  100.0  180  i                                
 754414 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:24 1.247  WFC   99.5  180  i                                
 754415 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:26 1.240  WFC  100.0  180  i                                
 754416 WASP-1            0:20:40.08 +32:01:13.8  2000.00 00:28 1.232  WFC  100.0  180  i                                
 754417 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:31 1.225  WFC  100.0  180  i                                
 754418 WASP-1            0:20:40.08 +32:01:13.8  2000.00 00:33 1.218  WFC  100.0  180  i                                
 754419 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:35 1.211  WFC  100.0  180  i                                
 754420 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:37 1.204  WFC  100.0  180  i                                
 754421 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:40 1.198  WFC  100.0  180  i                                
 754422 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:42 1.192  WFC   99.5  180  i                                
 754423 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:44 1.186  WFC  100.0  180  i                                
 754424 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:46 1.180  WFC   99.5  180  i                                
 754425 WASP-1            0:20:40.08 +32:01:13.8  2000.00 00:48 1.174  WFC  100.1  180  i                                
 754426 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:50 1.168  WFC  100.0  180  i                                
 754427 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:53 1.163  WFC  100.0  180  i                                
 754428 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:55 1.157  WFC  100.0  180  i                                
 754429 WASP-1            0:20:40.07 +32:01:13.8  2000.00 00:57 1.151  WFC  100.0  180  i                                
 754430 WASP-1            0:20:40.07 +32:01:13.7  2000.00 00:59 1.146  WFC  100.0  180  i                                
 754431 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:01 1.141  WFC  100.1  180  i                                
 754432 WASP-1            0:20:40.08 +32:01:13.7  2000.00 01:04 1.136  WFC  100.0  180  i                                
 754433 WASP-1            0:20:40.08 +32:01:13.7  2000.00 01:06 1.131  WFC   99.5  180  i                                
 754434 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:08 1.126  WFC  100.0  180  i                                
 754435 WASP-1            0:20:40.08 +32:01:13.7  2000.00 01:10 1.122  WFC  100.0  180  i                                
 754436 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:12 1.117  WFC  100.0  180  i                                
 754437 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:14 1.113  WFC  100.0  180  i                                
 754438 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:17 1.108  WFC  100.0  180  i                                
 754439 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:19 1.104  WFC   99.4  180  i                                
 754440 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:21 1.100  WFC  100.0  180  i                                
 754441 WASP-1            0:20:40.08 +32:01:13.7  2000.00 01:23 1.096  WFC  100.0  180  i                                
 754442 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:25 1.092  WFC  100.0  180  i                                
 754443 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:28 1.088  WFC  100.0  180  i                                
 754444 WASP-1            0:20:40.07 +32:01:13.8  2000.00 01:30 1.085  WFC  100.0  180  i                                
 754445 WASP-1            0:20:40.08 +32:01:13.7  2000.00 01:32 1.081  WFC  100.0  180  i                                
 754446 WASP-1            0:20:40.08 +32:01:13.8  2000.00 01:34 1.077  WFC  100.0  180  i                                
