 439304 Dome flat 25      0:00:00.00 +00:00:00.0 2000.00  21:05 1.000  WFC   25.6  180  i                                
 439305 Dome flat 26      0:00:00.00 +00:00:00.0 2000.00  21:06 1.000  WFC   27.1  180  i                                
 439306 Dome flat 27      0:00:00.00 +00:00:00.0 2000.00  21:07 1.000  WFC   28.1  180  i                                
 439307 Dome flat 28      0:00:00.00 +00:00:00.0 2000.00  21:09 1.000  WFC   29.1  180  i                                
 439308 Dome flat 29      0:00:00.00 +00:00:00.0 2000.00  21:10 1.000  WFC   30.1  180  i                                
 439309 Dome flat 30      0:00:00.00 +00:00:00.0 2000.00  21:11 1.000  WFC   31.1  180  i                                
 439310 Dome flat 31      0:00:00.00 +00:00:00.0 2000.00  21:12 1.000  WFC   32.1  180  i                                
 439311 Dome flat 32      0:00:00.00 +00:00:00.0 2000.00  21:13 1.000  WFC   33.1  180  i                                
 439312 scratch           0:00:00.00 +00:00:00.0 2000.00  21:15 1.000  WFC   10.1  180  V                                
 439313 Dome flat 33      0:00:00.00 +00:00:00.0 2000.00  21:17 1.000  WFC   34.1  180  V                                
 439314 scratch           6:52:12.00 -00:19:16.9 2000.00  01:15 1.199  WFC   10.1  180  i                                
 439315 Focus run         6:52:12.00 -00:19:17.0 2000.00  01:22 1.207  WFC    9.6  180  i                                
 439316 sa101-467 Ha      9:57:26.00 -00:17:16.0 2000.00  01:32 1.258  WFC   30.1  180  Halpha                           
 439317 sa101-467 i       9:57:25.99 -00:17:15.9 2000.00  01:33 1.255  WFC   10.1  180  i                                
 439318 sa101-467 V       9:57:26.00 -00:17:16.0 2000.00  01:34 1.252  WFC   10.1  180  V                                
 439319 sa98-670 Ha       6:52:12.00 -00:19:17.0 2000.00  01:37 1.242  WFC   30.1  180  Halpha                           
 439320 sa98-670 i        6:52:12.00 -00:19:16.9 2000.00  01:38 1.245  WFC   10.1  180  i                                
 439321 sa98-670 V        6:52:12.00 -00:19:17.0 2000.00  01:39 1.247  WFC   10.1  180  V                                
 439322 m67_1 i           8:50:45.00 +11:32:41.1 2000.00  01:45 1.050  WFC   59.5  180  i                                
 439323 m67_2 i           8:52:54.99 +11:32:41.3 2000.00  01:48 1.050  WFC   60.0  180  i                                
 439324 m67_3 i           8:50:44.99 +12:04:41.0 2000.00  01:52 1.045  WFC   59.5  180  i                                
 439325 m67_4 i           8:52:55.00 +12:04:41.0 2000.00  01:55 1.045  WFC   60.0  180  i                                
 439326 m67_1 i           8:50:45.00 +11:32:40.9 2000.00  01:59 1.047  WFC   60.0  180  i                                
 439327 m67_2 i           8:52:54.99 +11:32:40.9 2000.00  02:02 1.047  WFC   60.1  180  i                                
 439328 m67_3 i           8:50:45.00 +12:04:41.2 2000.00  02:05 1.044  WFC   60.0  180  i                                
 439329 m67_4 i           8:52:54.99 +12:04:40.9 2000.00  02:08 1.044  WFC   59.5  180  i                                
 439330 m67_1 i           8:50:45.00 +11:32:41.2 2000.00  02:11 1.048  WFC   60.1  180  i                                elongated stars
 439331 m67_2 i           0:00:00.00 +00:00:00.0 2000.00  02:15 1.048  WFC   60.0  180  i                                
 439332 m67_3 i           8:50:45.00 +12:04:41.2 2000.00  02:18 1.046  WFC   60.1  180  i                                
 439333 m67_4 i           8:52:54.99 +12:04:41.0 2000.00  02:21 1.046  WFC   60.0  180  i                                
 439334 m67_1 i           8:50:44.99 +11:32:41.3 2000.00  02:24 1.051  WFC   59.5  180  i                                
 439335 m67_2 i           8:52:54.99 +11:32:41.1 2000.00  02:27 1.051  WFC   60.1  180  i                                
 439337 m67_3 i           8:50:44.99 +12:04:40.5 2000.00  02:33 1.052  WFC   60.1  180  i                                
 439338 m67_4 i           0:00:00.00 +00:00:00.0 2000.00  02:36 1.052  WFC   60.1  180  i                                
 439339 m67_1 i           8:50:44.99 +11:32:41.3 2000.00  02:39 1.058  WFC   60.1  180  i                                
 439340 m67_2 i           8:52:54.99 +11:32:41.5 2000.00  02:41 1.059  WFC   60.1  180  i                                
 439341 m67_3 i           8:50:45.00 +12:04:41.4 2000.00  02:44 1.059  WFC   60.1  180  i                                
 439342 m67_4 i           8:52:54.99 +12:04:41.4 2000.00  02:46 1.059  WFC   60.1  180  i                                
 439343 sa101-467 Ha      9:57:26.00 -00:17:16.0 2000.00  02:57 1.146  WFC   30.1  180  Halpha                           
 439344 sa101-467 i       9:57:25.99 -00:17:15.9 2000.00  02:58 1.145  WFC   10.1  180  i                                
 439345 sa101-467 V       9:57:26.00 -00:17:16.0 2000.00  02:59 1.145  WFC   10.1  180  V                                
 439346 m67_1 i           8:50:44.99 +11:32:41.3 2000.00  03:02 1.079  WFC   60.1  180  i                                
 439347 m67_2 i           8:52:54.99 +11:32:41.2 2000.00  03:05 1.079  WFC   60.1  180  i                                
 439348 m67_3 i           8:50:44.99 +12:04:41.4 2000.00  03:07 1.082  WFC   60.1  180  i                                
