 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 711383 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:04 1.032  WFC   30.1  180  CLEAR                            
 711384 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:06 1.031  WFC   30.1  180  CLEAR                            
 711385 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:07 1.031  WFC   30.1  180  CLEAR                            
 711386 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:08 1.030  WFC   30.1  180  CLEAR                            
 711387 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:09 1.030  WFC   30.0  180  CLEAR                            
 711388 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:11 1.030  WFC   30.1  180  CLEAR                            
 711389 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:12 1.029  WFC   30.1  180  CLEAR                            
 711390 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:13 1.029  WFC   30.1  180  CLEAR                            
 711391 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:15 1.029  WFC   29.5  180  CLEAR                            
 711392 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:16 1.029  WFC   30.1  180  CLEAR                            
 711393 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:17 1.028  WFC   30.1  180  CLEAR                            
 711394 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:19 1.028  WFC   30.1  180  CLEAR                            
 711395 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:20 1.028  WFC   30.1  180  CLEAR                            
 711396 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 00:21 1.028  WFC   30.1  180  CLEAR                            
 711397 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:23 1.028  WFC   30.1  180  CLEAR                            
 711398 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:24 1.028  WFC   29.5  180  CLEAR                            
 711399 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:25 1.027  WFC   29.6  180  CLEAR                            
 711400 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:26 1.027  WFC   30.1  180  CLEAR                            
 711401 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:28 1.027  WFC   29.6  180  CLEAR                            
 711402 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:29 1.027  WFC   30.1  180  CLEAR                            
 711403 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:30 1.027  WFC   30.1  180  CLEAR                            
 711404 FIELD2_2          4:30:00.00 +42:00:00.5  2000.00 00:32 1.027  WFC   30.1  180  CLEAR                            
 711405 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:33 1.027  WFC   30.1  180  CLEAR                            
 711406 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:34 1.027  WFC   30.1  180  CLEAR                            
 711407 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:36 1.028  WFC   29.6  180  CLEAR                            
 711408 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:37 1.028  WFC   30.1  180  CLEAR                            
 711409 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:38 1.028  WFC   30.1  180  CLEAR                            
 711410 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:40 1.028  WFC   29.6  180  CLEAR                            
 711411 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:41 1.028  WFC   30.1  180  CLEAR                            
 711412 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:42 1.028  WFC   30.1  180  CLEAR                            
 711413 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:43 1.029  WFC   30.1  180  CLEAR                            
 711414 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:45 1.029  WFC   29.6  180  CLEAR                            
 711415 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:46 1.029  WFC   30.1  180  CLEAR                            
 711416 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:47 1.029  WFC   30.1  180  CLEAR                            
 711417 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:49 1.030  WFC   30.1  180  CLEAR                            
 711418 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 00:50 1.030  WFC   30.1  180  CLEAR                            
 711419 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 00:51 1.030  WFC   30.1  180  CLEAR                            
 711420 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:53 1.031  WFC   30.1  180  CLEAR                            
 711421 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 00:54 1.031  WFC   30.1  180  CLEAR                            
 711422 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 00:55 1.032  WFC   30.1  180  CLEAR                            
 711423 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:57 1.032  WFC   29.6  180  CLEAR                            
 711424 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 00:58 1.032  WFC   30.1  180  CLEAR                            
 711425 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 00:59 1.033  WFC   30.1  180  CLEAR                            
 711426 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:00 1.033  WFC   30.1  180  CLEAR                            
 711427 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:02 1.034  WFC   30.1  180  CLEAR                            
 711428 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:03 1.035  WFC   30.1  180  CLEAR                            
 711429 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:04 1.035  WFC   30.1  180  CLEAR                            
 711430 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:06 1.036  WFC   30.1  180  CLEAR                            
 711431 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:07 1.036  WFC   30.1  180  CLEAR                            
 711432 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:08 1.037  WFC   30.1  180  CLEAR                            
 711433 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:10 1.038  WFC   30.1  180  CLEAR                            
 711434 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:11 1.038  WFC   30.1  180  CLEAR                            
 711435 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:12 1.039  WFC   30.1  180  CLEAR                            
 711436 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 01:14 1.040  WFC   30.1  180  CLEAR                            
 711437 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:15 1.041  WFC   30.1  180  CLEAR                            
 711438 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 01:16 1.041  WFC   30.1  180  CLEAR                            
 711439 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:17 1.042  WFC   29.5  180  CLEAR                            
 711440 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:19 1.043  WFC   30.1  180  CLEAR                            
 711441 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:20 1.044  WFC   30.1  180  CLEAR                            
 711442 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:21 1.045  WFC   30.1  180  CLEAR                            
 711443 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:23 1.046  WFC   30.0  180  CLEAR                            
 711444 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:24 1.047  WFC   30.0  180  CLEAR                            
 711445 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:25 1.048  WFC   30.1  180  CLEAR                            
 711446 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:27 1.049  WFC   30.1  180  CLEAR                            
 711447 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 01:28 1.050  WFC   30.1  180  CLEAR                            
 711448 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:29 1.051  WFC   30.1  180  CLEAR                            
 711449 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:30 1.052  WFC   30.1  180  CLEAR                            
 711450 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:32 1.053  WFC   30.1  180  CLEAR                            
 711451 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:33 1.054  WFC   30.1  180  CLEAR                            
 711452 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:34 1.055  WFC   30.1  180  CLEAR                            
 711453 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:36 1.056  WFC   30.1  180  CLEAR                            
 711454 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:37 1.058  WFC   30.1  180  CLEAR                            
 711455 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:38 1.059  WFC   30.1  180  CLEAR                            
 711456 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:40 1.060  WFC   30.1  180  CLEAR                            
 711457 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:41 1.061  WFC   30.1  180  CLEAR                            
 711458 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:42 1.063  WFC   30.1  180  CLEAR                            
 711459 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:44 1.064  WFC   30.1  180  CLEAR                            
 711460 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 01:45 1.065  WFC   30.1  180  CLEAR                            
 711461 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:46 1.067  WFC   30.1  180  CLEAR                            
 711462 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:48 1.068  WFC   30.1  180  CLEAR                            
 711463 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:49 1.069  WFC   30.1  180  CLEAR                            
 711464 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 01:50 1.071  WFC   30.1  180  CLEAR                            
 711465 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:51 1.072  WFC   30.1  180  CLEAR                            
 711466 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:53 1.074  WFC   29.5  180  CLEAR                            
 711467 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 01:54 1.075  WFC   30.1  180  CLEAR                            
 711468 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 01:55 1.077  WFC   30.1  180  CLEAR                            
 711469 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:57 1.079  WFC   30.1  180  CLEAR                            
 711470 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 01:58 1.080  WFC   29.6  180  CLEAR                            
 711471 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 01:59 1.082  WFC   30.1  180  CLEAR                            
 711472 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 02:01 1.084  WFC   30.1  180  CLEAR                            
 711473 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 02:02 1.085  WFC   30.1  180  CLEAR                            
 711474 FIELD2_2          4:29:59.99 +41:59:59.9  2000.00 02:03 1.087  WFC   30.1  180  CLEAR                            
 711475 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 02:04 1.089  WFC   30.1  180  CLEAR                            
 711476 FIELD2_2          4:30:00.00 +42:00:00.0  2000.00 02:06 1.090  WFC   30.1  180  CLEAR                            
 711477 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 02:07 1.092  WFC   30.1  180  CLEAR                            
 711478 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 02:09 1.099  WFC  299.9  180  U                                
 711479 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 02:16 1.107  WFC  178.9  180  g                                
 711480 FIELD2_2          4:30:00.00 +41:59:59.9  2000.00 02:19 1.113  WFC  180.0  180  r                                
 711481 FIELD2_2          4:29:59.99 +42:00:00.0  2000.00 02:23 1.121  WFC  299.9  180  HeII4686                         
 711482 MABLANK5          5:55:59.99 +04:09:00.0  2000.00 02:30 1.112  WFC   30.1  180  CLEAR                            
 711483 MABLANK5          5:56:01.33 +04:09:19.7  2000.00 02:32 1.113  WFC   30.1  180  CLEAR                            
 711484 MABLANK5          5:56:01.33 +04:08:40.1  2000.00 02:33 1.114  WFC   30.1  180  CLEAR                            
 711485 FIELD3            0:00:00.00 +00:00:00.0  2000.00 02:35 1.075  WFC   29.5  180  CLEAR                            
 711486 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:38 1.074  WFC   29.6  180  CLEAR                            
 711487 FIELD3            7:00:00.00 +08:00:00.1  2000.00 02:39 1.073  WFC   30.1  180  CLEAR                            
 711488 FIELD3            7:00:00.00 +08:00:00.0  2000.00 02:40 1.073  WFC   30.1  180  CLEAR                            
 711489 FIELD3            6:59:59.99 +08:00:00.0  2000.00 02:42 1.072  WFC   29.6  180  CLEAR                            
 711490 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:43 1.072  WFC   30.1  180  CLEAR                            
 711491 FIELD3            6:59:59.99 +08:00:00.0  2000.00 02:44 1.072  WFC   30.1  180  CLEAR                            
 711492 FIELD3            6:59:59.99 +07:59:59.9  2000.00 02:46 1.071  WFC   30.1  180  CLEAR                            
 711493 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:47 1.071  WFC   30.1  180  CLEAR                            
 711494 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:48 1.071  WFC   30.1  180  CLEAR                            
 711495 FIELD3            6:59:59.99 +08:00:00.0  2000.00 02:50 1.070  WFC   29.5  180  CLEAR                            
 711496 FIELD3            6:59:59.99 +08:00:00.0  2000.00 02:51 1.070  WFC   30.1  180  CLEAR                            
 711497 FIELD3            6:59:59.99 +07:59:59.9  2000.00 02:52 1.070  WFC   30.1  180  CLEAR                            
 711498 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:54 1.070  WFC   30.1  180  CLEAR                            
 711499 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:55 1.070  WFC   30.1  180  CLEAR                            
 711500 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:56 1.069  WFC   29.6  180  CLEAR                            
 711501 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:57 1.069  WFC   30.1  180  CLEAR                            
 711502 FIELD3            7:00:00.00 +07:59:59.9  2000.00 02:59 1.069  WFC   30.1  180  CLEAR                            
 711503 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:00 1.069  WFC   30.1  180  CLEAR                            
 711504 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:01 1.069  WFC   30.1  180  CLEAR                            
 711505 FIELD3            7:00:00.00 +07:59:59.8  2000.00 03:03 1.069  WFC   30.1  180  CLEAR                            
 711506 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:04 1.070  WFC   30.1  180  CLEAR                            
 711507 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:05 1.070  WFC   30.1  180  CLEAR                            
 711508 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:07 1.070  WFC   30.1  180  CLEAR                            
 711509 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:08 1.070  WFC   30.1  180  CLEAR                            
 711510 FIELD3            7:00:00.01 +08:00:00.1  2000.00 03:09 1.070  WFC   30.1  180  CLEAR                            
 711511 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:11 1.071  WFC   30.1  180  CLEAR                            
 711512 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:12 1.071  WFC   30.1  180  CLEAR                            
 711513 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:13 1.071  WFC   30.1  180  CLEAR                            
 711514 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:14 1.072  WFC   30.1  180  CLEAR                            
 711515 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:16 1.072  WFC   30.1  180  CLEAR                            
 711516 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:17 1.072  WFC   30.1  180  CLEAR                            
 711517 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:18 1.073  WFC   30.1  180  CLEAR                            
 711518 FIELD3            6:59:59.99 +07:59:59.9  2000.00 03:20 1.073  WFC   30.1  180  CLEAR                            
 711519 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:21 1.074  WFC   30.1  180  CLEAR                            
 711520 FIELD3            6:59:59.99 +07:59:59.9  2000.00 03:22 1.074  WFC   30.1  180  CLEAR                            
 711521 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:24 1.075  WFC   30.1  180  CLEAR                            
 711522 FIELD3            6:59:59.99 +07:59:59.9  2000.00 03:25 1.076  WFC   30.1  180  CLEAR                            
 711523 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:26 1.076  WFC   30.1  180  CLEAR                            
 711524 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:28 1.077  WFC   30.1  180  CLEAR                            
 711525 FIELD3            6:59:59.99 +07:59:59.9  2000.00 03:29 1.078  WFC   30.1  180  CLEAR                            
 711526 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:30 1.078  WFC   30.1  180  CLEAR                            
 711527 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:31 1.079  WFC   30.1  180  CLEAR                            
 711528 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:33 1.080  WFC   30.1  180  CLEAR                            
 711529 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:34 1.081  WFC   30.1  180  CLEAR                            
 711530 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:35 1.082  WFC   30.1  180  CLEAR                            
 711531 FIELD3            6:59:59.99 +07:59:59.9  2000.00 03:37 1.083  WFC   30.1  180  CLEAR                            
 711532 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:38 1.084  WFC   30.1  180  CLEAR                            
 711533 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:39 1.085  WFC   30.1  180  CLEAR                            
 711534 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:41 1.086  WFC   30.1  180  CLEAR                            
 711535 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:42 1.087  WFC   30.1  180  CLEAR                            
 711536 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:43 1.088  WFC   30.0  180  CLEAR                            
 711537 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:45 1.089  WFC   30.0  180  CLEAR                            
 711538 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:46 1.090  WFC   30.1  180  CLEAR                            
 711539 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:47 1.091  WFC   30.1  180  CLEAR                            
 711540 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:48 1.093  WFC   30.1  180  CLEAR                            
 711541 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:50 1.094  WFC   30.1  180  CLEAR                            
 711542 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:51 1.095  WFC   30.1  180  CLEAR                            
 711543 FIELD3            6:59:59.99 +07:59:59.9  2000.00 03:52 1.097  WFC   30.1  180  CLEAR                            
 711544 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:54 1.098  WFC   30.1  180  CLEAR                            
 711545 FIELD3            6:59:59.99 +08:00:00.0  2000.00 03:55 1.099  WFC   30.1  180  CLEAR                            
 711546 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:56 1.101  WFC   30.1  180  CLEAR                            
 711547 FIELD3            7:00:00.00 +08:00:00.0  2000.00 03:58 1.102  WFC   30.1  180  CLEAR                            
 711548 FIELD3            7:00:00.00 +07:59:59.9  2000.00 03:59 1.104  WFC   30.1  180  CLEAR                            
 711549 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:00 1.105  WFC   30.1  180  CLEAR                            
 711550 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:02 1.107  WFC   30.1  180  CLEAR                            
 711551 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:03 1.109  WFC   29.6  180  CLEAR                            
 711552 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:04 1.110  WFC   30.1  180  CLEAR                            
 711553 FIELD3            6:59:59.99 +08:00:00.2  2000.00 04:05 1.112  WFC   30.1  180  CLEAR                            
 711554 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:07 1.114  WFC   30.1  180  CLEAR                            
 711555 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:08 1.116  WFC   30.1  180  CLEAR                            
 711556 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:09 1.118  WFC   29.6  180  CLEAR                            
 711557 FIELD3            6:59:59.99 +08:00:00.1  2000.00 04:11 1.119  WFC   29.6  180  CLEAR                            
 711558 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:12 1.121  WFC   30.1  180  CLEAR                            
 711559 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:13 1.123  WFC   30.1  180  CLEAR                            
 711560 FIELD3            6:59:59.99 +08:00:00.0  2000.00 04:15 1.125  WFC   30.1  180  CLEAR                            
 711561 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:16 1.127  WFC   30.1  180  CLEAR                            
 711562 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:17 1.130  WFC   30.1  180  CLEAR                            
 711563 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:19 1.132  WFC   30.1  180  CLEAR                            
 711564 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:20 1.134  WFC   30.1  180  CLEAR                            
 711565 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:21 1.136  WFC   30.1  180  CLEAR                            
 711566 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:22 1.138  WFC   30.1  180  CLEAR                            
 711567 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:24 1.141  WFC   30.1  180  CLEAR                            
 711568 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:25 1.143  WFC   30.1  180  CLEAR                            
 711569 FIELD3            6:59:59.99 +07:59:59.9  2000.00 04:26 1.145  WFC   30.1  180  CLEAR                            
 711570 FIELD3            6:59:59.99 +07:59:59.9  2000.00 04:28 1.148  WFC   30.1  180  CLEAR                            
 711571 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:29 1.150  WFC   29.6  180  CLEAR                            
 711572 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:30 1.153  WFC   30.1  180  CLEAR                            
 711573 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:32 1.155  WFC   30.1  180  CLEAR                            
 711574 FIELD3            6:59:59.99 +08:00:00.0  2000.00 04:33 1.158  WFC   30.1  180  CLEAR                            
 711575 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:34 1.161  WFC   30.1  180  CLEAR                            
 711576 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:35 1.163  WFC   30.1  180  CLEAR                            
 711577 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:37 1.166  WFC   30.1  180  CLEAR                            
 711578 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:38 1.169  WFC   30.1  180  CLEAR                            
 711579 FIELD3            6:59:59.99 +08:00:00.0  2000.00 04:39 1.172  WFC   30.1  180  CLEAR                            
 711580 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:41 1.175  WFC   30.1  180  CLEAR                            
 711581 FIELD3            7:00:00.00 +08:00:00.0  2000.00 04:43 1.185  WFC  299.9  180  U                                
 711582 FIELD3            6:59:59.99 +07:59:59.9  2000.00 04:49 1.197  WFC  180.0  180  g                                
 711583 FIELD3            7:00:00.00 +07:59:59.9  2000.00 04:53 1.208  WFC  180.0  180  r                                
 711584 SDSS0804          8:04:49.50 +16:16:24.5  2000.00 04:58 1.050  WFC  120.0  180  g                                
 711585 SDSS0926          9:26:38.69 +36:24:02.4  2000.00 05:02 1.012  WFC  140.0  180  g                                
 711586 2003AW            9:05:54.79 -05:36:08.4  2000.00 05:06 1.212  WFC  120.0  180  g                                
 711587 SDSS0902          9:02:21.40 +38:19:41.8  2000.00 05:11 1.015  WFC  180.0  180  g                                
 711588 CABLANK2          9:13:49.00 +46:13:57.8  2000.00 05:15 1.048  WFC   29.5  180  CLEAR                            
 711589 CABLANK2          9:13:50.92 +46:14:17.8  2000.00 05:17 1.048  WFC   30.1  180  CLEAR                            
 711590 CABLANK2          9:13:50.92 +46:13:38.1  2000.00 05:18 1.048  WFC   30.1  180  CLEAR                            
 711591 FIELD4            8:29:59.99 +00:00:00.0  2000.00 05:22 1.172  WFC   30.1  180  CLEAR                            
 711592 FIELD4_2          0:00:00.00 +00:00:00.0  2000.00 05:25 1.120  WFC   30.1  180  CLEAR                            trailed
 711593 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:27 1.121  WFC   30.1  180  CLEAR                            
 711594 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:29 1.124  WFC   30.1  180  CLEAR                            
 711595 FIELD4_2          8:34:59.99 +04:59:59.9  2000.00 05:31 1.125  WFC   30.1  180  CLEAR                            
 711596 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:32 1.127  WFC   30.1  180  CLEAR                            
 711597 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:33 1.129  WFC   30.1  180  CLEAR                            
 711598 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:35 1.130  WFC   30.1  180  CLEAR                            
 711599 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:36 1.132  WFC   30.1  180  CLEAR                            
 711600 FIELD4_2          8:34:59.99 +04:59:59.9  2000.00 05:37 1.134  WFC   30.1  180  CLEAR                            
 711601 FIELD4_2          8:35:00.00 +05:00:00.1  2000.00 05:39 1.136  WFC   30.1  180  CLEAR                            
 711602 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:40 1.137  WFC   30.1  180  CLEAR                            
 711603 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:41 1.139  WFC   30.1  180  CLEAR                            
 711604 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:42 1.141  WFC   30.1  180  CLEAR                            
 711605 FIELD4_2          8:35:00.00 +04:59:59.7  2000.00 05:44 1.143  WFC   30.1  180  CLEAR                            
 711606 FIELD4_2          8:34:59.99 +05:00:00.0  2000.00 05:45 1.145  WFC   30.1  180  CLEAR                            
 711607 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:46 1.147  WFC   30.1  180  CLEAR                            
 711608 FIELD4_2          8:34:59.99 +05:00:00.0  2000.00 05:48 1.149  WFC   30.1  180  CLEAR                            
 711609 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:49 1.151  WFC   30.1  180  CLEAR                            
 711610 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:50 1.153  WFC   30.1  180  CLEAR                            
 711611 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:52 1.155  WFC   30.1  180  CLEAR                            
 711612 FIELD4_2          8:34:59.99 +05:00:00.0  2000.00 05:53 1.158  WFC   30.1  180  CLEAR                            
 711613 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:54 1.160  WFC   30.1  180  CLEAR                            
 711614 FIELD4_2          8:35:00.00 +05:00:00.3  2000.00 05:56 1.162  WFC   30.1  180  CLEAR                            
 711615 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:57 1.165  WFC   30.1  180  CLEAR                            
 711616 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 05:58 1.167  WFC   30.1  180  CLEAR                            
 711617 FIELD4_2          8:35:00.00 +04:59:59.9  2000.00 05:59 1.170  WFC   29.5  180  CLEAR                            
 711618 FIELD4_2          8:35:00.00 +05:00:00.0  2000.00 06:01 1.172  WFC   30.1  180  CLEAR                            
