 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 711204 BLANK5           21:29:35.34 -08:38:50.1  2000.00 18:56 1.360  WFC    6.1  180  CLEAR                            
 711205 BLANK5           21:29:32.65 -08:38:50.0  2000.00 18:57 1.363  WFC    8.1  180  CLEAR                            
 711206 BLANK5           21:29:32.65 -08:38:10.1  2000.00 18:59 1.366  WFC   10.1  180  CLEAR                            
 711207 PG2213           22:16:28.30 -00:21:13.0  2000.00 19:09 1.174  WFC   20.1  180  g                                
 711208 PG2213           22:16:28.30 -00:21:13.0  2000.00 19:10 1.175  WFC   20.1  180  r                                
 711209 PG2213           22:16:28.30 -00:21:12.9  2000.00 19:12 1.178  WFC   40.1  180  U                                
 711210 KLDRA            19:24:38.30 +59:41:47.0  2000.00 19:17 1.541  WFC  120.0  180  g                                
 711211 SDSS2047         20:47:39.40 +00:08:40.3  2000.00 19:26 1.479  WFC  180.0  180  g                                
 711212 FIELD1           23:59:59.99 +56:00:00.0  2000.00 19:35 1.129  WFC   30.1  180  CLEAR                            
 711213 FIELD1           23:59:59.99 +55:59:59.9  2000.00 19:36 1.128  WFC   29.5  180  CLEAR                            
 711215 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 19:40 1.128  WFC   30.1  180  CLEAR                            
 711216 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 19:42 1.127  WFC   30.1  180  CLEAR                            
 711217 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 19:44 1.127  WFC   30.1  180  CLEAR                            
 711218 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 19:45 1.127  WFC   30.1  180  CLEAR                            
 711219 FIELD1_1          0:00:59.99 +55:59:59.9  2000.00 19:46 1.126  WFC   30.1  180  CLEAR                            
 711220 FIELD1_1          0:00:59.99 +56:00:00.0  2000.00 19:48 1.126  WFC   30.1  180  CLEAR                            
 711221 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 19:49 1.126  WFC   30.1  180  CLEAR                            
 711222 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 19:50 1.126  WFC   30.1  180  CLEAR                            
 711223 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 19:51 1.126  WFC   30.1  180  CLEAR                            
 711224 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 19:53 1.125  WFC   30.1  180  CLEAR                            
 711225 FIELD1_1          0:01:00.00 +56:00:00.0  2000.00 19:54 1.125  WFC   30.1  180  CLEAR                            
 711226 FIELD1_1          0:01:00.00 +55:59:59.9  2000.00 19:55 1.125  WFC   30.1  180  CLEAR                            
