 505201 calib4 B 3       13:25:39.40 -08:49:20.0 2000.00  21:36 1.264  WFC    2.5  180  B                                
 505202 calib4 B 5       13:25:39.40 -08:49:20.0 2000.00  21:37 1.263  WFC    5.1  180  B                                
 505203 calib4 B 20      13:25:39.40 -08:49:20.0 2000.00  21:38 1.263  WFC   20.1  180  B                                
 505204 DDO154 I         12:54:10.54 +27:10:46.6 2000.00  21:50 1.010  WFC  250.0  180  i                                
 505205 DDO154 I         12:54:02.77 +27:12:06.0 2000.00  21:55 1.013  WFC  249.9  180  i                                
 505206 DDO154 I         12:55:02.08 +27:15:37.6 2000.00  22:01 1.016  WFC  249.9  180  i                                
 505207 DDO154 I         12:53:55.02 +27:13:25.1 2000.00  22:07 1.021  WFC  250.0  180  i                                
 505208 DDO154 I         12:55:09.82 +27:14:18.4 2000.00  22:13 1.025  WFC  250.0  180  i                                
 505209 DDO154 I         12:53:47.28 +27:14:44.4 2000.00  22:19 1.032  WFC  249.9  180  i                                
 505210 DDO154 I         12:54:27.86 +27:12:46.8 2000.00  22:25 1.038  WFC  249.9  180  i                                
 505211 DDO154 I         12:54:35.61 +27:11:27.8 2000.00  22:31 1.044  WFC  249.9  180  i                                
 505212 DDO154 I         12:54:20.11 +27:14:06.2 2000.00  22:37 1.052  WFC  249.9  180  i                                
 505213 DDO154 I         12:54:43.37 +27:10:08.5 2000.00  22:44 1.062  WFC  249.4  180  i                                
 505214 DDO154 I         12:54:12.35 +27:15:25.5 2000.00  22:50 1.072  WFC  249.9  180  i                                
 505215 DDO154 I         12:53:51.82 +27:05:17.0 2000.00  23:00 1.089  WFC  249.9  180  i                                clouds coming up
 505216 DDO154 I         12:54:25.58 +27:06:58.5 2000.00  23:10 1.107  WFC  250.0  180  i                                
 505217 DDO154 I         12:54:33.33 +27:05:39.1 2000.00  23:15 1.118  WFC  249.9  180  i                                
 505218 DDO154 I         12:54:17.82 +27:08:17.8 2000.00  23:23 1.135  WFC  249.9  180  i                                
 505219 DDO154 I         12:54:10.08 +27:09:37.0 2000.00  23:32 1.159  WFC  250.0  180  i                                
 505220 DDO154 I         12:54:53.87 +27:15:47.6 2000.00  23:39 1.176  WFC  250.0  180  i                                
 505221 DDO154 I         12:54:53.86 +27:15:47.7 2000.00  23:45 1.193  WFC  249.9  180  i                                
 505222 Focus run        17:45:19.89 -00:25:50.9 2000.00  00:01 1.352  WFC   10.1  180  r                                
 505223 DDO154 I         12:54:02.32 +27:10:56.6 2000.00  00:07 1.269  WFC  250.0  180  i                                clouds getting really crouded
 505224 DDO154 I         12:55:01.61 +27:14:28.0 2000.00  00:13 1.288  WFC  249.9  180  i                                
 505225 DDO154 I         12:53:54.57 +27:12:15.7 2000.00  00:19 1.318  WFC  250.0  180  i                                
 505231 DDO154 I         12:54:43.82 +27:11:18.1 2000.00  00:30 1.361  WFC  250.0  180  i                                
 505232 DDO154 I         12:54:20.57 +27:15:16.2 2000.00  00:44 1.434  WFC  249.9  180  i                                
 505233 DDO154 I         12:54:12.81 +27:16:35.5 2000.00  00:52 1.484  WFC  250.0  180  i                                
 505234 calib5 I 20      16:35:33.29 +09:46:20.8 2000.00  01:00 1.058  WFC   20.1  180  i                                
 505235 calib5 I 5       16:35:33.29 +09:46:21.0 2000.00  01:01 1.058  WFC    5.1  180  i                                
 505236 calib5 I 3       16:35:33.29 +09:46:20.9 2000.00  01:01 1.058  WFC    3.0  180  i                                
 505237 calib5 I 2       16:35:33.30 +09:46:20.9 2000.00  01:02 1.058  WFC    1.7  180  i                                
 505238 calib5 B 20      16:35:33.29 +09:46:20.9 2000.00  01:03 1.058  WFC   20.1  180  B                                
 505239 calib5 B 5       16:35:33.30 +09:46:21.0 2000.00  01:04 1.058  WFC    5.1  180  B                                
 505240 calib5 B 3       16:35:33.29 +09:46:21.0 2000.00  01:05 1.058  WFC    3.1  180  B                                
 505241 calib6 B 3       15:28:13.40 -07:16:00.9 2000.00  01:08 1.317  WFC    3.1  180  B                                
 505242 calib6 B 5       15:28:13.39 -07:16:01.0 2000.00  01:09 1.318  WFC    5.1  180  B                                
 505243 calib6 B 20      15:28:13.40 -07:16:00.9 2000.00  01:09 1.320  WFC   20.1  180  B                                
 505244 calib6 I 20      15:28:13.39 -07:16:00.9 2000.00  01:10 1.323  WFC   20.1  180  i                                
 505245 calib6 I 5       15:28:13.40 -07:16:00.9 2000.00  01:11 1.325  WFC    5.1  180  i                                
