 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441077 Bias             12:18:58.00 +47:18:14.0 2000.00  06:50 1.147  WFC    0.0  180  B                                
 441078 Bias             12:18:58.00 +47:18:14.0 2000.00  06:50 1.148  WFC    0.0  180  B                                
 441079 Flat field       13:06:55.99 +29:34:47.9 2000.00  07:24 1.086  WFC   88.4  180  i                                
 441080 Flat field       13:06:56.76 +29:34:58.0 2000.00  07:27 1.090  WFC   53.5  180  i                                
 441081 Flat field       13:06:57.53 +29:35:08.0 2000.00  07:29 1.093  WFC   35.5  180  i                                
 441082 Flat field       13:06:55.99 +29:34:47.9 2000.00  07:30 1.096  WFC   26.1  180  r                                
 441083 Flat field       13:06:56.76 +29:34:58.0 2000.00  07:32 1.098  WFC   18.2  180  r                                
 441084 Flat field       13:06:57.53 +29:35:08.0 2000.00  07:33 1.100  WFC   13.1  180  r                                
 441085 Flat field       13:06:55.99 +29:34:47.7 2000.00  07:34 1.102  WFC    9.1  180  V                                
 441086 Flat field       13:06:56.76 +29:34:58.0 2000.00  07:35 1.105  WFC    6.1  180  V                                
 441087 Flat field       13:06:57.53 +29:35:07.9 2000.00  07:36 1.107  WFC    7.2  180  V                                
 441088 Flat field       13:06:55.99 +29:34:48.0 2000.00  07:37 1.109  WFC   17.3  180  B                                
 441089 Flat field       13:06:56.76 +29:34:58.0 2000.00  07:39 1.113  WFC    2.1  180  B                                
 441090 Flat field       13:06:57.53 +29:35:07.8 2000.00  07:40 1.115  WFC    2.1  180  B                                
