INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 30 07:44

TELESCOPE             INT
DATE                  20060929
OBSERVER/S            Yogesh Joshi
PROGRAMME             Eclipsing binaries in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.62
INSTRUMENT/S          WFC

SUNSET (UT)           19:08
EVENING TWILIGHT (UT) 20:19
MORNING TWILIGHT (UT) 05:45
SUNRISE (UT)          06:57
%ILLUM. LUNAR DISK    45
DARK TIME (HRS)       09:26
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          23:39

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  10.9   47    13.6  15.4  293   773.1   10.9  16.1    16.2   47    39 
21:00  10.9   45    21.7  23.4  298   773.5   10.9  12.6    15.6   45    40 
22:00  10.5   56    29.3  31.7  296   773.7   10.5  12.0    15.4   56    53 
23:00  10.5   57    31.6  33.7  302   773.9   10.5  11.6    15.1   57    56 
00:00  10.5   54    34.0  35.2  294   773.7   10.5  11.8    15.2   54    52 
01:00   9.9   45    32.3  33.0  304   773.3    9.9  11.4    14.3   45    43 
02:00   9.8   27    26.0  28.8  312   772.8    9.8  11.0    14.6   27    28 
03:00   9.8   39    29.2  33.0  337   772.6    9.8  10.6    14.4   39    37 
04:00   9.7   42    24.0  27.1  334   772.5    9.7  10.6    14.3   42    41 
05:00   9.7   48    23.0  26.7  318   772.2    9.7  10.6    13.9   48    46 
06:00   9.6   48    19.5  20.9  331   772.1    9.6  10.6    13.4   48    47 

TIME LOST weather           03:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
cloud in the first half of night, typical seeing during the night was 1.2-1.5 arcsec.

COMMENTS (causes of time lost, setup information eg CCD windows):
three hours lost due to bad weather



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 527494 Bias              0:00:00.00 +00:00:00.0 2006.744 14:35 1.000  WFC    0.0  180  V                                test bias
 527533 IC1613            1:04:54.19 +02:08:00.0 2000.00  01:03 1.130  WFC  499.8  180  B                                
 527534 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:13 1.125  WFC  499.8  180  B                                
 527535 IC1613            1:04:54.19 +02:08:00.0 2000.00  01:21 1.121  WFC  499.8  180  B                                
 527536 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:30 1.119  WFC  499.8  180  B                                
 527537 IC1613            1:04:54.19 +02:08:00.0 2000.00  01:39 1.118  WFC  499.7  180  B                                
 527538 IC1613            1:04:54.19 +02:07:59.9 2000.00  01:48 1.119  WFC  499.8  180  B                                
 527539 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:57 1.122  WFC  499.7  180  B                                
 527540 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:06 1.127  WFC  499.8  180  B                                
 527541 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:15 1.133  WFC  499.8  180  B                                
 527542 IC1613            1:04:54.19 +02:07:59.9 2000.00  02:24 1.141  WFC  499.7  180  B                                
 527543 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:33 1.151  WFC  499.8  180  B                                
 527544 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:42 1.163  WFC  499.8  180  B                                
 527545 IC1613            1:04:54.19 +02:08:00.0 2000.00  02:51 1.177  WFC  499.8  180  B                                
 527546 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:00 1.193  WFC  499.9  180  B                                
 527547 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:09 1.211  WFC  499.7  180  B                                
 527548 IC1613            1:04:54.19 +02:08:00.0 2000.00  03:18 1.232  WFC  499.8  180  B                                
 527549 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:27 1.256  WFC  499.8  180  B                                
 527550 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:36 1.282  WFC  499.7  180  B                                
 527551 IC1613            1:04:54.20 +02:08:00.0 2000.00  03:45 1.311  WFC  499.7  180  B                                
 527552 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:54 1.344  WFC  499.8  180  B                                
 527553 IC1613            1:04:54.19 +02:07:59.9 2000.00  04:03 1.381  WFC  499.7  180  B                                
 527554 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:14 1.434  WFC  499.3  180  B                                
