 447334 2004dw-24042005   9:25:19.38 -03:28:58.7 2000.00  20:49 1.190  WFC  179.5  180  r                                
 447335 hnzo2100 30s I   13:02:07.97 +46:12:06.6 2000.00  20:55 1.307  WFC   29.5  180  i                                
 447336 hnzo2100 30s I   13:02:07.97 +46:12:06.6 2000.00  20:56 1.303  WFC   30.1  180  i                                
 447337 tuboo 1s R       14:04:59.00 +30:00:00.1 2000.00  20:58 1.657  WFC    1.8  180  r                                
 447338 tuboo 1s G       14:04:59.00 +30:00:00.0 2000.00  20:59 1.650  WFC    0.9  180  g                                
 447339 2004dw-24042005   9:25:19.38 -03:28:58.6 2000.00  21:02 1.200  WFC  179.4  180  r                                
 447340 hnzo2100 30 I    13:02:07.97 +46:12:06.5 2000.00  21:10 1.262  WFC   29.6  180  i                                
 447341 hnzo2100 30 I    13:02:07.97 +46:12:06.5 2000.00  21:11 1.259  WFC   29.5  180  i                                
 447342 tuboo 1s R       14:04:59.00 +30:00:00.0 2000.00  21:15 1.536  WFC    1.0  180  r                                
 447343 tuboo 1s G       14:04:58.99 +30:00:00.0 2000.00  21:17 1.525  WFC    0.9  180  g                                
 447344 qso1156 120s G   11:59:31.89 +29:14:43.8 2000.00  21:19 1.075  WFC  120.0  180  g                                
 447345 qso1156 120s G   11:59:31.90 +29:14:43.7 2000.00  21:22 1.071  WFC  120.0  180  g                                
 447346 qso1156 120s I   11:59:31.90 +29:14:43.7 2000.00  21:25 1.065  WFC  120.0  180  i                                
 447347 qso1156 120s I   11:59:31.90 +29:14:43.8 2000.00  21:28 1.062  WFC  120.1  180  i                                
 447348 2004dw-24042005   9:25:19.37 -03:28:58.6 2000.00  21:33 1.242  WFC  180.0  180  r                                
 447349 2004dw-24042005   9:25:19.37 -03:28:58.7 2000.00  21:38 1.252  WFC  180.0  180  r                                
 447350 2004dw-24042005   9:25:19.38 -03:28:58.7 2000.00  21:43 1.260  WFC  180.0  180  r                                
 447351 tuboo 1s R       14:04:59.00 +30:00:00.1 2000.00  21:49 1.350  WFC    0.9  180  r                                
 447352 tuboo 1s G       14:04:59.00 +30:00:00.0 2000.00  21:50 1.344  WFC    1.0  180  g                                
 447353 2004dw-24042005   9:25:19.38 -03:28:58.6 2000.00  21:53 1.284  WFC  179.4  180  r                                
 447354 hnzo2200 30 I    13:01:46.51 +46:05:29.8 2000.00  22:01 1.145  WFC   30.0  180  i                                
 447355 hnzo2200 30 I    13:01:46.52 +46:05:29.9 2000.00  22:02 1.143  WFC   30.1  180  i                                
 447356 2004dw-24042005   9:25:19.37 -03:28:58.8 2000.00  22:08 1.324  WFC  180.0  180  r                                
 447357 tu_boo 1 r       14:04:59.00 +30:00:00.4 2000.00  22:14 1.249  WFC    0.9  180  r                                
 447358 tu_boo 1 g       14:04:59.00 +29:59:59.9 2000.00  22:15 1.245  WFC    1.0  180  g                                
 447359 qso1156 120 g    11:59:31.90 +29:14:43.8 2000.00  22:17 1.012  WFC  120.0  180  g                                
 447360 qso1156 120 g    11:59:31.90 +29:14:43.8 2000.00  22:20 1.011  WFC  120.0  180  g                                
 447361 qso1156 120 i    11:59:31.90 +29:14:43.7 2000.00  22:23 1.009  WFC  120.0  180  i                                
 447362 qso1156 120 i    11:59:31.89 +29:14:43.8 2000.00  22:26 1.008  WFC  120.0  180  i                                
 447363 2004dw-24042005   9:25:19.38 -03:28:58.7 2000.00  22:30 1.398  WFC  179.9  180  r                                
 447364 tu_boo 1 r       14:04:58.99 +29:59:59.5 2000.00  22:35 1.182  WFC    1.0  180  r                                
 447365 tu_boo 1 g       14:04:59.00 +30:00:00.0 2000.00  22:36 1.180  WFC    1.0  180  g                                
 447366 2004dw-24042005   9:25:19.38 -03:28:58.1 2000.00  22:39 1.436  WFC  180.0  180  r                                
 447367 hnzo2240 120 i d 13:01:09.76 +46:00:59.7 2000.00  22:46 1.081  WFC  120.1  180  i                                
 447368 2004dw-24042005   9:25:19.38 -03:28:59.1 2000.00  22:52 1.499  WFC  180.0  180  r                                
 447369 hnzo2240 120 i   13:01:23.05 +45:58:47.1 2000.00  23:00 1.070  WFC   22.1  180  r                                verkeerd filter
 447370 hnzo2240 120 i   13:01:17.87 +45:58:39.0 2000.00  23:01 1.069  WFC  120.0  180  i                                
 447371 hnzo2240 120 i   13:01:13.21 +45:58:48.9 2000.00  23:04 1.066  WFC  119.5  180  i                                
 447372 tu_boo 1 r       14:04:58.99 +30:00:00.0 2000.00  23:09 1.103  WFC    1.5  180  r                                
 447373 tu_boo 1 g       14:04:59.00 +29:59:59.9 2000.00  23:10 1.101  WFC    1.0  180  g                                
