 567972 field23          18:17:59.00 +07:35:41.0 2000.00  22:04 1.719  WFC   30.1  180  CLEAR                            
 567973 field23          18:17:59.00 +07:35:41.0 2000.00  22:05 1.710  WFC   30.1  180  CLEAR                            
 567974 field23          18:17:59.01 +07:35:41.0 2000.00  22:06 1.701  WFC   30.1  180  CLEAR                            
 567975 field23          18:17:58.99 +07:35:41.0 2000.00  22:07 1.692  WFC   30.1  180  CLEAR                            
 567976 field23          18:17:58.99 +07:35:41.0 2000.00  22:08 1.684  WFC   30.1  180  CLEAR                            
 567977 field23          18:17:59.00 +07:35:41.0 2000.00  22:09 1.675  WFC   30.1  180  CLEAR                            
 567978 field23          18:17:59.00 +07:35:41.0 2000.00  22:10 1.667  WFC   30.1  180  CLEAR                            
 567979 field23          18:17:59.00 +07:35:41.0 2000.00  22:11 1.659  WFC   30.1  180  CLEAR                            
 567980 field23          18:17:58.99 +07:35:41.0 2000.00  22:12 1.650  WFC   30.1  180  CLEAR                            
 567981 field23          18:17:58.99 +07:35:41.0 2000.00  22:13 1.642  WFC   30.1  180  CLEAR                            
 567982 field23          18:17:59.01 +07:35:40.9 2000.00  22:14 1.635  WFC   30.1  180  CLEAR                            
 567983 field23          18:17:59.00 +07:35:40.9 2000.00  22:15 1.627  WFC   30.0  180  CLEAR                            
 567984 field23          18:17:59.00 +07:35:41.0 2000.00  22:16 1.619  WFC   30.0  180  CLEAR                            
 567985 field23          18:17:58.99 +07:35:41.0 2000.00  22:17 1.611  WFC   30.1  180  CLEAR                            
 567986 field23          18:17:58.99 +07:35:41.0 2000.00  22:18 1.604  WFC   30.1  180  CLEAR                            
 567987 field23          18:17:59.00 +07:35:41.0 2000.00  22:19 1.596  WFC   29.5  180  CLEAR                            
 567988 field23          18:17:59.00 +07:35:41.0 2000.00  22:20 1.589  WFC   30.1  180  CLEAR                            
 567989 field23          18:17:58.99 +07:35:41.0 2000.00  22:21 1.582  WFC   30.1  180  CLEAR                            
 567990 field23          18:17:59.00 +07:35:40.9 2000.00  22:22 1.575  WFC   30.1  180  CLEAR                            
 567991 field23          18:17:59.00 +07:35:40.9 2000.00  22:23 1.568  WFC   29.6  180  CLEAR                            
 567992 field23          18:17:58.99 +07:35:41.0 2000.00  22:24 1.561  WFC   30.1  180  CLEAR                            
 567993 field23          18:17:58.99 +07:35:41.0 2000.00  22:25 1.554  WFC   30.1  180  CLEAR                            
 567994 field23          18:17:59.00 +07:35:41.0 2000.00  22:26 1.547  WFC   29.5  180  CLEAR                            
 567995 field23          18:17:59.00 +07:35:40.9 2000.00  22:27 1.540  WFC   29.5  180  CLEAR                            
 567996 field23          18:17:59.00 +07:35:40.9 2000.00  22:28 1.534  WFC   30.0  180  CLEAR                            
 567997 field23          18:17:59.00 +07:35:40.9 2000.00  22:29 1.527  WFC   30.1  180  CLEAR                            
 567998 field23          18:17:59.00 +07:35:40.9 2000.00  22:30 1.520  WFC   30.1  180  CLEAR                            
 567999 field23          18:17:59.00 +07:35:41.0 2000.00  22:31 1.514  WFC   30.1  180  CLEAR                            
 568000 field23          18:17:59.00 +07:35:40.9 2000.00  22:32 1.508  WFC   29.5  180  CLEAR                            
 568001 field23          18:17:59.00 +07:35:40.9 2000.00  22:33 1.502  WFC   30.1  180  CLEAR                            
 568002 field23          18:17:59.00 +07:35:40.9 2000.00  22:34 1.495  WFC   30.1  180  CLEAR                            
 568003 field23          18:17:59.00 +07:35:40.9 2000.00  22:35 1.489  WFC   30.1  180  CLEAR                            
 568004 field23          18:17:58.98 +07:35:40.9 2000.00  22:36 1.483  WFC   29.5  180  CLEAR                            
 568005 field23          18:17:58.99 +07:35:41.0 2000.00  22:37 1.478  WFC   29.0  180  CLEAR                            
 568006 field23          18:17:59.00 +07:35:40.9 2000.00  22:38 1.472  WFC   30.1  180  CLEAR                            
 568007 field23          18:17:59.00 +07:35:41.0 2000.00  22:39 1.466  WFC   30.0  180  CLEAR                            
 568008 field23          18:17:58.99 +07:35:41.0 2000.00  22:40 1.460  WFC   30.1  180  CLEAR                            
 568009 field23          18:17:59.00 +07:35:40.9 2000.00  22:41 1.455  WFC   30.1  180  CLEAR                            
 568010 field23          18:17:59.00 +07:35:40.9 2000.00  22:42 1.449  WFC   30.1  180  CLEAR                            
 568011 field23          18:17:59.00 +07:35:41.0 2000.00  22:43 1.444  WFC   30.1  180  CLEAR                            
 568012 field23          18:17:59.00 +07:35:40.9 2000.00  22:44 1.438  WFC   30.1  180  CLEAR                            
 568013 field23          18:17:59.01 +07:35:41.0 2000.00  22:45 1.433  WFC   30.1  180  CLEAR                            
 568014 field23          18:17:58.99 +07:35:41.0 2000.00  22:46 1.427  WFC   30.1  180  CLEAR                            
 568015 field23          18:17:59.00 +07:35:41.0 2000.00  22:47 1.422  WFC   30.1  180  CLEAR                            
 568016 field23          18:17:59.00 +07:35:41.0 2000.00  22:48 1.417  WFC   30.0  180  CLEAR                            
 568017 field23          18:17:58.99 +07:35:41.0 2000.00  22:49 1.412  WFC   30.1  180  CLEAR                            
 568018 field23          18:17:58.99 +07:35:41.0 2000.00  22:50 1.407  WFC   30.0  180  CLEAR                            
 568019 field23          18:17:59.00 +07:35:41.0 2000.00  22:51 1.402  WFC   30.1  180  CLEAR                            
 568020 field23          18:17:58.99 +07:35:40.9 2000.00  22:52 1.397  WFC   30.1  180  CLEAR                            
 568021 field23          18:17:59.00 +07:35:41.0 2000.00  22:53 1.392  WFC   30.1  180  CLEAR                            
 568022 field23          18:17:59.00 +07:35:41.0 2000.00  22:54 1.387  WFC   30.1  180  CLEAR                            
 568023 field23          18:17:59.00 +07:35:40.9 2000.00  22:55 1.382  WFC   30.1  180  CLEAR                            
 568024 field23          18:17:58.99 +07:35:40.9 2000.00  22:56 1.378  WFC   30.1  180  CLEAR                            
 568025 field23          18:17:59.00 +07:35:40.9 2000.00  22:57 1.373  WFC   30.1  180  CLEAR                            
 568026 field23          18:17:59.01 +07:35:40.9 2000.00  22:58 1.368  WFC   30.1  180  CLEAR                            
 568027 field23          18:17:59.00 +07:35:40.9 2000.00  22:59 1.364  WFC   30.0  180  CLEAR                            
 568028 field23          18:17:59.00 +07:35:41.0 2000.00  23:00 1.359  WFC   30.1  180  CLEAR                            
 568029 field23          18:17:58.99 +07:35:40.9 2000.00  23:01 1.355  WFC   30.1  180  CLEAR                            
 568030 field23          18:17:59.00 +07:35:40.9 2000.00  23:02 1.351  WFC   30.1  180  CLEAR                            
 568031 field23          18:17:58.99 +07:35:41.0 2000.00  23:03 1.346  WFC   30.0  180  CLEAR                            
 568032 field23          18:17:59.00 +07:35:40.9 2000.00  23:04 1.342  WFC   30.1  180  CLEAR                            
 568033 field23          18:17:59.00 +07:35:40.9 2000.00  23:05 1.338  WFC   30.1  180  CLEAR                            
 568034 field23          18:17:59.00 +07:35:40.9 2000.00  23:06 1.334  WFC   30.1  180  CLEAR                            
 568035 field23          18:17:59.00 +07:35:40.9 2000.00  23:07 1.330  WFC   29.6  180  CLEAR                            
 568036 field23          18:17:59.00 +07:35:40.9 2000.00  23:08 1.325  WFC   30.1  180  CLEAR                            
 568037 field23          18:17:59.00 +07:35:41.0 2000.00  23:09 1.321  WFC   30.1  180  CLEAR                            
 568038 field23          18:17:59.00 +07:35:41.0 2000.00  23:10 1.318  WFC   30.1  180  CLEAR                            
 568039 field23          18:17:59.00 +07:35:41.0 2000.00  23:11 1.314  WFC   29.6  180  CLEAR                            
 568040 field23          18:17:59.00 +07:35:40.9 2000.00  23:12 1.310  WFC   29.5  180  CLEAR                            
 568041 field23          18:17:59.00 +07:35:41.0 2000.00  23:13 1.306  WFC   30.1  180  CLEAR                            
 568042 field23          18:17:59.00 +07:35:40.9 2000.00  23:14 1.302  WFC   30.1  180  CLEAR                            
 568043 field23          18:17:58.99 +07:35:41.0 2000.00  23:15 1.298  WFC   29.6  180  CLEAR                            
 568044 field23          18:17:58.99 +07:35:40.9 2000.00  23:16 1.295  WFC   30.1  180  CLEAR                            
 568045 field23          18:17:59.00 +07:35:40.9 2000.00  23:17 1.291  WFC   30.1  180  CLEAR                            
 568046 field23          18:17:58.99 +07:35:41.0 2000.00  23:18 1.287  WFC   30.1  180  CLEAR                            
 568047 field23          18:17:58.99 +07:35:41.0 2000.00  23:19 1.284  WFC   30.1  180  CLEAR                            
 568048 field23          18:17:59.00 +07:35:40.9 2000.00  23:20 1.280  WFC   30.1  180  CLEAR                            
 568049 field23          18:17:59.00 +07:35:40.9 2000.00  23:21 1.277  WFC   30.1  180  CLEAR                            
