 488655 ngc2169 b 20      6:08:00.00 +13:57:00.1 2000.00  20:51 1.791  WFC   20.1  180  stromgren b                      
 488656 ngc2169 y 20      6:08:00.00 +13:56:59.9 2000.00  20:52 1.774  WFC   19.6  180  stromgren y                      
 488657 ngc884 r 5        2:21:59.98 +57:07:59.9 2000.00  20:58 1.137  WFC    4.6  180  r                                
 488658 ngc884 ha 60      2:21:59.99 +57:08:00.1 2000.00  20:59 1.137  WFC   60.1  180  Halpha                           
 488659 ngc884 u 80       2:21:59.99 +57:07:59.8 2000.00  21:01 1.137  WFC   80.0  180  stromgren u                      
 488660 ngc884 v 40       2:22:00.00 +57:08:00.0 2000.00  21:03 1.137  WFC   40.0  180  stromgren v                      
 488661 ngc884 b 20       2:22:00.00 +57:08:00.0 2000.00  21:05 1.137  WFC   20.1  180  stromgren b                      
 488662 ngc884 y 20       2:22:00.00 +57:08:00.0 2000.00  21:07 1.137  WFC   20.1  180  stromgren y                      
 488663 ngc884 y 20       2:22:00.00 +57:07:59.9 2000.00  21:12 1.137  WFC   20.1  180  stromgren y                      
 488664 ngc2169 r 5       6:08:00.00 +13:56:59.8 2000.00  21:17 1.566  WFC    5.1  180  r                                
 488665 ngc2169 ha 60     6:07:59.99 +13:57:00.0 2000.00  21:19 1.550  WFC   60.1  180  Halpha                           
 488666 ngc2169 u 80      6:07:59.99 +13:56:59.9 2000.00  21:21 1.533  WFC   80.1  180  stromgren u                      
 488667 ngc2169 v 40      6:08:00.00 +13:57:00.0 2000.00  21:24 1.517  WFC   39.6  180  stromgren v                      
 488668 ngc2169 b 20      6:07:59.99 +13:57:00.2 2000.00  21:26 1.505  WFC   20.0  180  stromgren b                      
 488669 ngc2169 y 20      6:07:59.99 +13:56:59.9 2000.00  21:27 1.495  WFC   20.1  180  stromgren y                      
 488670 ngc457 r 5        1:19:00.00 +58:16:59.9 2000.00  21:32 1.204  WFC    5.1  180  r                                
 488671 ngc457 ha 60      1:18:59.99 +58:16:59.9 2000.00  21:34 1.206  WFC   59.1  180  Halpha                           
 488672 ngc457 u 80       1:19:00.00 +58:16:59.9 2000.00  21:36 1.210  WFC   79.5  180  stromgren u                      
 488673 ngc457 v 40       1:18:59.99 +58:17:00.0 2000.00  21:39 1.213  WFC   40.1  180  stromgren v                      
 488674 ngc457 b 20       1:19:00.00 +58:17:00.0 2000.00  21:41 1.215  WFC   20.1  180  stromgren b                      
 488675 ngc457 y 20       1:19:00.00 +58:17:00.0 2000.00  21:43 1.217  WFC   20.1  180  stromgren y                      
 488676 ngc457 r 50       1:19:00.00 +58:17:00.0 2000.00  21:45 1.220  WFC   50.1  180  r                                
 488677 ngc457 ha 600     1:19:00.00 +58:17:00.2 2000.00  21:47 1.229  WFC  599.8  180  Halpha                           
 488678 ngc457 u 800      1:19:00.00 +58:17:00.0 2000.00  21:58 1.250  WFC  799.6  180  stromgren u                      
 488679 ngc457 v 400      1:19:00.00 +58:17:00.0 2000.00  22:13 1.270  WFC  399.9  180  stromgren v                      
 488680 ngc457 b 200      1:19:00.00 +58:17:00.0 2000.00  22:21 1.282  WFC  200.0  180  stromgren b                      
 488681 ngc457 y 200      1:18:59.99 +58:16:59.9 2000.00  22:25 1.290  WFC  200.0  180  stromgren y                      
 488682 Bias              6:45:05.99 +00:47:38.2 2000.00  22:31 1.538  WFC    0.0  180  r                                
 488683 Bias              6:45:06.00 +00:47:38.0 2000.00  22:32 1.534  WFC    0.0  180  r                                
 488684 Bias              6:45:06.00 +00:47:37.9 2000.00  22:33 1.530  WFC    0.0  180  r                                
 488685 Bias              6:45:06.00 +00:47:38.0 2000.00  22:33 1.525  WFC    0.0  180  r                                
 488686 Bias              6:45:06.00 +00:47:38.0 2000.00  22:34 1.521  WFC    0.0  180  r                                
 488687 corot1 r 5        6:45:06.00 +00:47:37.9 2000.00  22:36 1.509  WFC    4.6  180  r                                
 488688 corot1 ha 60      6:45:06.00 +00:47:37.9 2000.00  22:37 1.498  WFC   60.0  180  Halpha                           
 488689 corot1 u 80       6:45:06.00 +00:47:37.9 2000.00  22:40 1.485  WFC   80.0  180  stromgren u                      
 488690 corot1 v 40       6:45:05.99 +00:47:38.0 2000.00  22:42 1.474  WFC   40.1  180  stromgren v                      
