 444122 ugc4864 R         9:14:12.69 +16:44:31.9 2000.00  22:08 1.023  WFC  300.0  180  R                                
 444123 ugc4864 SII       9:14:12.70 +16:44:32.0 2000.00  22:15 1.027  WFC  899.6  180  [SII]6725                        
 444124 ugc4930 R         9:19:12.30 +48:58:03.8 2000.00  22:34 1.071  WFC  299.9  180  R                                
 444125 ugc4930 SII       9:19:12.30 +48:58:03.9 2000.00  22:40 1.077  WFC  899.5  180  [SII]6725                        
 444126 pg1047+003 SII   10:50:02.90 -00:00:38.1 2000.00  22:58 1.156  WFC   30.1  180  [SII]6725                        
 444127 pg1047+003 Ha    10:50:02.89 -00:00:37.9 2000.00  22:59 1.155  WFC   30.1  180  Halpha                           
 444128 pg1047+003 R     10:50:02.90 -00:00:37.9 2000.00  23:01 1.154  WFC    3.5  180  R                                
 444129 pg1047+003 B     10:50:02.90 -00:00:37.9 2000.00  23:01 1.154  WFC    4.1  180  B                                
 444130 ugc5904 R        10:48:37.90 +66:21:43.1 2000.00  23:04 1.265  WFC  299.9  180  R                                
 444131 ugc5904 SII      10:48:37.89 +66:21:43.0 2000.00  23:11 1.263  WFC  299.5  180  [SII]6725                        
 444132 ugc5904 SII      10:48:37.90 +66:21:42.9 2000.00  23:16 1.262  WFC  299.9  180  [SII]6725                        
 444133 ugc5904 SII      10:48:37.90 +66:21:43.0 2000.00  23:22 1.261  WFC  299.4  180  [SII]6725                        
 444134 v127             12:22:20.10 +07:30:00.0 2000.00  23:29 1.167  WFC  299.4  180  R                                
 444135 v128             12:24:25.10 +07:30:00.0 2000.00  23:39 1.151  WFC  299.9  180  R                                
 444136 v129 R           12:26:30.20 +07:30:00.0 2000.00  23:47 1.141  WFC  299.4  180  R                                
 444137 v130 R           12:28:35.30 +07:29:59.9 2000.00  23:55 1.132  WFC  299.9  180  R                                
 444138 v131 R           12:30:40.30 +07:30:00.0 2000.00  00:02 1.124  WFC  299.4  180  R                                
 444139 v132 R           12:32:45.39 +07:29:59.9 2000.00  00:09 1.116  WFC  299.9  180  R                                
 444140 v133 R           12:34:50.49 +07:29:59.9 2000.00  00:18 1.108  WFC  299.8  180  R                                
 444141 v134 R           12:36:55.50 +07:30:00.1 2000.00  00:25 1.102  WFC  299.9  180  R                                
 444142 v135 R           12:39:00.60 +07:30:00.0 2000.00  00:33 1.096  WFC  299.9  180  R                                
 444143 v136 R           12:41:05.70 +07:29:59.9 2000.00  00:40 1.092  WFC  299.9  180  R                                
 444144 v137 R           12:43:10.79 +07:29:59.9 2000.00  00:47 1.088  WFC  299.9  180  R                                
 444145 v138 R           12:45:15.80 +07:29:59.9 2000.00  00:54 1.084  WFC  300.0  180  R                                
 444146 v138 Ha          12:45:15.79 +07:30:00.0 2000.00  01:01 1.077  WFC 1199.5  180  Halpha                           
 444147 pg1323-085 Ha    13:25:39.40 -08:49:20.0 2000.00  01:23 1.292  WFC   30.1  180  Halpha                           
 444148 pg1323-085 SII   13:25:39.40 -08:49:20.0 2000.00  01:25 1.290  WFC   29.5  180  [SII]6725                        
 444149 pg1323-085 R     13:25:39.40 -08:49:19.9 2000.00  01:26 1.289  WFC    4.0  180  R                                
 444150 v139 R           12:47:20.90 +07:30:00.0 2000.00  01:29 1.073  WFC  299.9  180  R                                
