 458321 9P r'            13:37:04.10 -09:01:49.3 2000.00  22:58 1.805  WFC   20.1  180  r                                
 458322 9P i'            13:37:04.10 -09:01:49.2 2000.00  23:00 1.826  WFC   20.1  180  i                                
 458323 9P O+            13:37:04.10 -09:01:49.3 2000.00  23:01 1.837  WFC   19.5  180  i                                labelled wrong
 458324 9P O+            13:37:04.10 -09:01:49.3 2000.00  23:04 1.865  WFC   20.1  180  [OII]3727                        
 458325 9P V             13:37:04.10 -09:01:49.3 2000.00  23:07 1.887  WFC   19.5  180  V                                
 458326 9P U             13:37:04.43 -09:01:49.3 2000.00  23:09 1.911  WFC   20.1  180  U                                
 458327 9P B             13:37:04.43 -09:01:49.4 2000.00  23:11 1.925  WFC   20.1  180  B                                
 458328 9P r'            13:37:04.44 -09:01:49.3 2000.00  23:13 1.947  WFC   20.1  180  r                                
 458329 9P i'            13:37:04.44 -09:01:49.3 2000.00  23:17 1.988  WFC   20.1  180  i                                
 458330 9P O+            13:37:04.43 -09:01:49.3 2000.00  23:18 2.003  WFC   20.1  180  [OII]3727                        
 458331 9P V             13:37:04.44 -09:01:49.3 2000.00  23:19 2.019  WFC   20.1  180  V                                
 458332 9P U             13:37:04.44 -09:01:49.3 2000.00  23:23 2.061  WFC   19.5  180  U                                
 458333 9P B             13:37:04.43 -09:01:49.3 2000.00  23:24 2.079  WFC   20.1  180  B                                
 458334 9P r'            13:37:04.44 -09:01:49.2 2000.00  23:26 2.096  WFC   19.6  180  r                                
 458335 9P i'            13:37:04.44 -09:01:49.2 2000.00  23:27 2.113  WFC   20.1  180  i                                
 458336 9P O+            13:37:04.44 -09:01:49.2 2000.00  23:28 2.132  WFC   20.1  180  [OII]3727                        
 458337 9P V             13:37:04.43 -09:01:49.4 2000.00  23:30 2.150  WFC   20.1  180  V                                
 458338 9P U             13:36:57.01 -09:01:39.4 2000.00  23:34 2.207  WFC   20.1  180  U                                
 458339 9P B             13:36:57.01 -09:01:39.4 2000.00  23:35 2.227  WFC   20.1  180  B                                
 458340 9P r'            13:36:57.01 -09:01:39.3 2000.00  23:36 2.248  WFC   20.1  180  r                                
 458341 9P i'            13:36:57.01 -09:01:39.4 2000.00  23:38 2.269  WFC   20.0  180  i                                
 458342 9P O+            13:36:57.01 -09:01:39.3 2000.00  23:39 2.291  WFC   20.1  180  [OII]3727                        
 458343 9P V             13:36:57.01 -09:01:39.3 2000.00  23:41 2.313  WFC   20.1  180  V                                
 458344 9P U             13:37:01.07 -09:02:34.4 2000.00  23:44 2.368  WFC   20.1  180  U                                
 458345 9P B             13:37:01.07 -09:02:34.3 2000.00  23:45 2.393  WFC   20.1  180  B                                
 458346 9P r'            13:37:01.06 -09:02:34.4 2000.00  23:47 2.417  WFC   20.1  180  r                                
 458347 9P i'            13:37:01.06 -09:02:34.4 2000.00  23:48 2.442  WFC   20.0  180  i                                
 458348 9P O+            13:37:01.06 -09:02:34.3 2000.00  23:49 2.469  WFC   20.1  180  [OII]3727                        
 458349 9P V             13:37:01.07 -09:02:34.3 2000.00  23:51 2.495  WFC   19.6  180  V                                
 458350 9P U             13:37:04.77 -09:01:34.4 2000.00  23:54 2.548  WFC   20.1  180  U                                
 458351 9P B             13:37:04.77 -09:01:34.2 2000.00  23:55 2.577  WFC   19.6  180  B                                
 458352 9P r'            13:37:04.77 -09:01:34.2 2000.00  23:56 2.606  WFC   20.1  180  r                                
