 489331 92-322 R          0:53:46.90 +00:47:35.0 2000.00  19:58 1.150  WFC   15.1  180  R                                
 489332 NGC7730 U 360_1  22:36:55.99 +38:32:53.0 2000.00  20:01 1.293  WFC  359.9  180  U                                
 489333 NGC7730 U 360_2  22:36:56.00 +38:32:53.0 2000.00  20:08 1.320  WFC  359.4  180  U                                
 489334 NGC7730 U 360_3  22:36:56.00 +38:32:53.1 2000.00  20:16 1.348  WFC  359.9  180  U                                
 489335 NGC7730 U 360_4  22:36:55.99 +38:32:53.0 2000.00  20:23 1.379  WFC  359.9  180  U                                
 489336 NGC7730 U 360_5  22:36:56.00 +38:32:53.1 2000.00  20:30 1.413  WFC  359.8  180  U                                
 489337 IC1565 B 240_1    0:39:25.99 +06:44:03.4 2000.00  20:39 1.181  WFC  240.0  180  B                                moved
 489338 IC1565 B 240_2    0:39:26.00 +06:44:02.8 2000.00  20:44 1.193  WFC  239.9  180  B                                
 489339 IC1565 B 240_3    0:39:25.99 +06:44:03.2 2000.00  20:49 1.206  WFC  239.9  180  B                                
 489340 IC1565 B 240_4    0:39:26.00 +06:44:03.0 2000.00  20:54 1.219  WFC  239.4  180  B                                
 489341 IC1565 B 240_5    0:39:25.99 +06:44:02.8 2000.00  21:00 1.234  WFC  239.9  180  B                                
 489342 IC1565 V 240_1    0:00:00.00 +00:00:00.0 2000.00  21:05 1.249  WFC  239.9  180  B                                this is B band
 489343 IC1565 V 240_1    0:39:26.00 +06:44:03.0 2000.00  21:11 1.268  WFC  239.9  180  V                                
 489344 IC1565 V 240_2    0:39:26.00 +06:44:02.8 2000.00  21:16 1.286  WFC  239.9  180  V                                
 489345 IC1565 V 240_3    0:39:25.99 +06:44:03.0 2000.00  21:21 1.305  WFC  239.9  180  V                                
 489346 IC1565 V 240_4    0:39:26.00 +06:44:02.9 2000.00  21:26 1.325  WFC  240.0  180  V                                
 489347 IC1565 V 240_5    0:39:26.00 +06:44:02.9 2000.00  21:32 1.347  WFC  240.0  180  V                                
 489348 NGC791 I 180_1    2:01:44.00 +08:30:00.1 2000.00  21:39 1.124  WFC  180.0  180  I                                
 489349 NGC791 I 180_2    2:01:43.99 +08:30:00.0 2000.00  21:44 1.131  WFC  180.0  180  I                                
 489350 NGC791 I 180_3    2:01:43.99 +08:30:00.0 2000.00  21:48 1.138  WFC  180.0  180  I                                
 489351 NGC791 I 180_4    2:01:43.99 +08:30:00.0 2000.00  21:52 1.146  WFC  179.9  180  I                                
 489352 NGC791 I 180_5    2:01:44.00 +08:29:59.9 2000.00  21:56 1.154  WFC  179.9  180  I                                
 489353 NGC791 R 180_1    2:01:44.00 +08:30:00.0 2000.00  22:01 1.164  WFC  179.9  180  R                                
 489354 NGC791 R 180_2    2:01:44.00 +08:29:59.9 2000.00  22:05 1.173  WFC  179.9  180  R                                
 489355 NGC791 R 180_3    2:01:44.00 +08:30:00.2 2000.00  22:09 1.183  WFC  180.0  180  R                                
 489356 NGC791 R 180_4    2:01:44.00 +08:30:00.0 2000.00  22:14 1.193  WFC  179.5  180  R                                
 489357 NGC791 R 180_5    2:01:44.00 +08:30:00.1 2000.00  22:18 1.204  WFC  180.0  180  R                                
 489358 NGC791 V 240_1    2:01:44.00 +08:30:00.0 2000.00  22:22 1.218  WFC  239.9  180  V                                
 489359 NGC791 V 240_2    2:01:44.00 +08:30:00.1 2000.00  22:28 1.233  WFC  239.9  180  V                                
 489360 NGC791 V 240_3    2:01:43.99 +08:29:59.9 2000.00  22:33 1.250  WFC  240.0  180  V                                
 489361 NGC791 V 240_4    2:01:43.99 +08:30:00.0 2000.00  22:38 1.267  WFC  240.0  180  V                                
 489362 NGC791 V 240_5    2:01:43.99 +08:29:59.8 2000.00  22:43 1.285  WFC  239.9  180  V                                
 489363 NGC791 B 240_1    2:01:44.00 +08:30:00.1 2000.00  22:49 1.307  WFC  240.0  180  B                                
 489364 NGC791 B 240_2    2:01:44.00 +08:30:00.0 2000.00  22:54 1.328  WFC  239.9  180  B                                
 489365 NGC791 B 240_3    2:01:43.99 +08:29:59.9 2000.00  22:59 1.350  WFC  239.9  180  B                                
 489366 NGC791 B 240_4    2:01:43.99 +08:30:00.0 2000.00  23:05 1.373  WFC  240.0  180  B                                
 489369 NGC791 B 240_5    2:01:44.00 +08:30:00.0 2000.00  23:13 1.416  WFC  239.9  180  B                                
 489370 95-101 U          3:53:04.10 +00:02:51.9 2000.00  23:20 1.188  WFC   60.1  180  U                                landolt
 489371 95-101 B          3:53:04.09 +00:02:51.9 2000.00  23:23 1.193  WFC   60.0  180  B                                
 489372 95-101 V          3:53:04.10 +00:02:51.9 2000.00  23:25 1.196  WFC   60.1  180  V                                
 489373 95-101 R          3:53:04.10 +00:02:52.0 2000.00  23:27 1.200  WFC   30.1  180  R                                
 489374 95-101 I          3:53:04.10 +00:02:52.0 2000.00  23:29 1.203  WFC   20.1  180  I                                
 489375 IC278 I 180_1     3:01:30.00 +37:45:57.8 2000.00  23:33 1.141  WFC  180.0  180  I                                
 489376 IC278 I 180_2     3:01:30.00 +37:45:58.0 2000.00  23:37 1.150  WFC  180.0  180  I                                
 489377 IC278 I 180_3     3:01:29.99 +37:45:57.7 2000.00  23:42 1.160  WFC  179.9  180  I                                
 489378 IC278 I 180_4     3:01:29.99 +37:45:58.1 2000.00  23:46 1.170  WFC  180.0  180  I                                
 489379 IC278 I 180_5     3:01:29.99 +37:45:57.9 2000.00  23:50 1.180  WFC  180.0  180  I                                
 489380 IC278 R 180_1     3:01:29.99 +37:45:57.9 2000.00  23:56 1.195  WFC  179.4  180  R                                
 489381 IC278 R 180_2     3:01:30.00 +37:45:57.9 2000.00  00:00 1.206  WFC  179.9  180  R                                
 489382 IC278 R 180_3     3:01:30.00 +37:45:57.8 2000.00  00:04 1.218  WFC  179.4  180  R                                
 489383 IC278 R 180_4     3:01:30.00 +37:45:57.9 2000.00  00:08 1.231  WFC  179.9  180  R                                
 489384 IC278 R 180_5     3:01:30.00 +37:45:58.0 2000.00  00:13 1.244  WFC  180.0  180  R                                
 489385 IC278 V 240_1     3:01:29.99 +37:45:58.0 2000.00  00:17 1.262  WFC  240.0  180  V                                
 489386 IC278 V 240_2     3:01:30.00 +37:45:58.1 2000.00  00:23 1.279  WFC  240.0  180  V                                
 489387 IC278 V 240_3     3:01:30.00 +37:45:57.9 2000.00  00:28 1.298  WFC  239.9  180  V                                
 489388 IC278 V 240_4     3:01:29.99 +37:45:57.9 2000.00  00:33 1.318  WFC  239.9  180  V                                
 489389 IC278 V 240_5     3:01:30.00 +37:45:58.0 2000.00  00:38 1.339  WFC  240.0  180  V                                
 489390 IC278 B 240_1     3:01:30.00 +37:45:57.8 2000.00  00:44 1.363  WFC  239.9  180  B                                
 489391 IC278 B 240_2     3:01:29.99 +37:45:57.7 2000.00  00:49 1.386  WFC  239.9  180  B                                
 489392 IC278 B 240_3     3:01:29.99 +37:45:57.9 2000.00  00:54 1.411  WFC  239.9  180  B                                
 489393 IC278 B 240_4     3:01:29.99 +37:45:58.0 2000.00  00:59 1.436  WFC  239.9  180  B                                
 489394 IC278 B 240_5     3:01:30.00 +37:45:58.0 2000.00  01:05 1.463  WFC  239.9  180  B                                
 489395 IC2179 U 360_1    7:15:34.00 +64:55:12.2 2000.00  01:13 1.240  WFC  359.9  180  U                                
 489396 IC2179 U 360_2    7:15:33.99 +64:55:11.9 2000.00  01:20 1.239  WFC  359.9  180  U                                
 489397 IC2179 U 360_3    7:15:34.00 +64:55:12.0 2000.00  01:27 1.238  WFC  359.9  180  U                                
 489398 IC2179 U 360_4    7:15:33.99 +64:55:12.0 2000.00  01:34 1.238  WFC  359.7  180  U                                
