 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441574 plei_V 2s         3:50:03.03 +23:23:53.4 2000.00  22:08 1.465  WFC    2.1  180  V                                
 441575 plei_B 2s         3:50:03.03 +23:23:53.4 2000.00  22:09 1.475  WFC    2.1  180  B                                
 441576 plei_B 2s         3:43:56.96 +23:23:53.4 2000.00  22:11 1.526  WFC    1.6  180  B                                
 441577 plei_V 2s         3:43:56.96 +23:23:53.4 2000.00  22:12 1.534  WFC    2.1  180  V                                
 441578 LB227_V_2s        4:09:28.75 +17:07:54.3 2000.00  22:19 1.476  WFC    2.1  180  V                                
 441579 LB227_V_5s        4:09:28.75 +17:07:54.4 2000.00  22:26 1.521  WFC    4.5  180  V                                
 441580 LB227_V_10s       4:09:28.76 +17:07:54.5 2000.00  22:29 1.545  WFC   10.1  180  V                                
 441581 LB227_V_90s       4:09:28.76 +17:07:54.4 2000.00  22:32 1.570  WFC   89.5  180  V                                
 441582 LB227_B_90s       4:09:28.76 +17:07:54.4 2000.00  22:37 1.607  WFC   90.0  180  B                                
 441583 LB227_O3_200s     4:09:28.76 +17:07:54.3 2000.00  22:48 1.708  WFC  200.0  180  [OIII]5007                       
 441584 LB227_R_90s       4:09:28.75 +17:07:54.4 2000.00  22:53 1.750  WFC   90.0  180  R                                
 441585 LB227_I_90s       4:09:28.76 +17:07:54.3 2000.00  22:57 1.780  WFC   90.0  180  I                                
 441586 LB227_HA_200s     4:09:28.76 +17:07:54.4 2000.00  23:03 1.854  WFC  199.9  180  Halpha                           
 441587 m97_R_100        11:14:47.99 +55:01:09.9 2000.00  23:17 1.294  WFC  100.0  180  R                                
 441588 m97_Ha_600       11:14:47.99 +55:01:09.9 2000.00  23:27 1.261  WFC  599.2  180  Halpha                           
 441589 m97_Ha_200       11:14:48.00 +55:01:09.9 2000.00  23:40 1.241  WFC  200.0  180  Halpha                           
 441590 m97_Ha_100       11:14:48.00 +55:01:10.0 2000.00  23:46 1.232  WFC  100.0  180  Halpha                           
 441591 m97_O3_600       11:14:47.99 +55:01:10.0 2000.00  23:55 1.209  WFC  599.8  180  [OIII]5007                       
 441592 m97_R_300        11:14:48.00 +55:01:10.0 2000.00  00:10 1.189  WFC  299.9  180  R                                
 441593 m97_V_300        11:14:48.00 +55:01:10.0 2000.00  00:19 1.177  WFC  299.9  180  V                                
 441594 m97_B_300        11:14:48.00 +55:01:10.0 2000.00  00:33 1.161  WFC  299.4  180  B                                
 441595 saturn_R_2        7:30:00.00 +21:52:59.9 2000.00  00:51 1.223  WFC    1.5  180  R                                
 441596 saturn_o3_2       7:30:00.00 +21:53:00.0 2000.00  00:55 1.236  WFC    2.1  180  [OIII]5007                       
 441597 saturn_03_1       7:30:00.00 +21:52:59.9 2000.00  01:02 1.260  WFC    1.0  180  [OIII]5007                       
 441598 saturn_o3_1       7:29:59.99 +21:53:00.0 2000.00  01:05 1.273  WFC    0.8  180  [OIII]5007                       
 441599 saturn_o3_1       7:29:59.99 +21:53:00.0 2000.00  01:06 1.279  WFC    1.0  180  [OIII]5007                       
 441600 saturn_o3_1       7:30:00.00 +21:53:00.0 2000.00  01:07 1.283  WFC    1.0  180  [OIII]5007                       
 441601 saturn_o3_1       7:29:59.99 +21:53:00.0 2000.00  01:08 1.286  WFC    1.0  180  [OIII]5007                       
 441602 saturn_o3_1       7:29:59.99 +21:52:59.9 2000.00  01:11 1.297  WFC    1.1  180  [OIII]5007                       
 441603 saturn_o3_1       7:30:00.00 +21:53:00.1 2000.00  01:13 1.304  WFC    1.0  180  [OIII]5007                       
 441604 saturn_o3_1       7:30:00.00 +21:52:59.9 2000.00  01:14 1.311  WFC    1.5  180  [OIII]5007                       
 441605 saturn_o3_1       7:30:00.00 +21:52:59.3 2000.00  01:15 1.315  WFC    2.2  180  [OIII]5007                       
 441606 saturn_o3_1       7:29:59.99 +21:52:59.7 2000.00  01:16 1.319  WFC    1.2  180  [OIII]5007                       
