 508190 st_pg1657 g      16:59:35.51 +07:42:31.0 2000.00  21:59 1.261  WFC   10.1  180  g                                
 508191 st_pg1657 Ha     16:59:35.52 +07:42:31.0 2000.00  22:00 1.257  WFC   30.1  180  Halpha                           
 508192 st_pg1657 i      16:59:35.52 +07:42:31.0 2000.00  22:01 1.253  WFC   10.1  180  i                                
 508193 Dol_Dzim6 He1    16:45:23.99 +38:21:00.0 2000.00  22:11 1.093  WFC  119.5  180  HeI 5870                         
 508194 Dol_Dzim6 r      16:45:23.99 +38:21:00.0 2000.00  22:13 1.090  WFC   30.1  180  r                                
 508195 Dol_Dzim6 Ha     16:45:23.99 +38:21:00.0 2000.00  22:14 1.087  WFC  120.0  180  Halpha                           
 508196 Dol_Dzim6 i      16:45:24.00 +38:21:00.0 2000.00  22:17 1.084  WFC   10.1  180  i                                
 508197 Dol_Dzim6 g      16:45:24.00 +38:21:00.0 2000.00  22:18 1.083  WFC   30.1  180  g                                
 508198 Dol_Dzim6 U      16:45:24.00 +38:20:59.9 2000.00  22:19 1.080  WFC  119.5  180  U                                
 508199 Dol_Dzim6 g      16:45:23.99 +38:20:59.9 2000.00  22:23 1.075  WFC   40.1  180  g                                
 508200 Dol_Dzim6 g      16:45:24.85 +38:21:00.0 2000.00  22:25 1.073  WFC   40.1  180  g                                
 508201 Dol_Dzim6 g      16:45:23.98 +38:21:09.8 2000.00  22:26 1.071  WFC   40.1  180  g                                
 508202 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  22:28 1.069  WFC   39.5  180  g                                
 508203 Dol_Dzim6 g      16:45:23.99 +38:21:00.2 2000.00  22:29 1.068  WFC   40.1  180  g                                
 508204 Dol_Dzim6 g      16:45:24.85 +38:21:00.0 2000.00  22:30 1.066  WFC   39.5  180  g                                
 508205 Dol_Dzim6 g      16:45:23.99 +38:21:09.7 2000.00  22:32 1.064  WFC   39.5  180  g                                
 508206 Dol_Dzim6 g      16:45:24.84 +38:21:09.9 2000.00  22:33 1.062  WFC   40.1  180  g                                
 508207 Dol_Dzim6 g      16:45:23.99 +38:21:00.2 2000.00  22:35 1.061  WFC   40.1  180  g                                
 508208 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  22:36 1.059  WFC   40.1  180  g                                
 508209 Dol_Dzim6 g      16:45:23.99 +38:21:09.7 2000.00  22:37 1.057  WFC   39.6  180  g                                
 508210 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  22:39 1.056  WFC   40.1  180  g                                
 508211 Dol_Dzim6 g      16:45:23.99 +38:21:00.3 2000.00  22:40 1.054  WFC   39.5  180  g                                
 508212 Dol_Dzim6 g      16:45:24.84 +38:21:00.0 2000.00  22:42 1.053  WFC   40.1  180  g                                
 508213 Dol_Dzim6 g      16:45:23.99 +38:21:09.8 2000.00  22:43 1.051  WFC   40.1  180  g                                
 508214 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  22:44 1.050  WFC   40.1  180  g                                
 508215 Dol_Dzim6 g      16:45:23.99 +38:21:00.2 2000.00  22:46 1.048  WFC   40.1  180  g                                
 508216 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  22:47 1.047  WFC   40.1  180  g                                
 508217 Dol_Dzim6 g      16:45:23.99 +38:21:10.0 2000.00  22:49 1.046  WFC   40.1  180  g                                
 508218 Dol_Dzim6 g      16:45:24.85 +38:21:10.0 2000.00  22:50 1.044  WFC   40.1  180  g                                
 508219 Dol_Dzim6 g      16:45:23.99 +38:21:00.2 2000.00  22:51 1.043  WFC   40.1  180  g                                
 508220 Dol_Dzim6 g      16:45:24.84 +38:20:59.9 2000.00  22:53 1.042  WFC   40.1  180  g                                
 508221 Dol_Dzim6 g      16:45:23.99 +38:21:10.0 2000.00  22:54 1.041  WFC   40.1  180  g                                
 508222 Dol_Dzim6 g      16:45:24.84 +38:21:10.0 2000.00  22:56 1.039  WFC   40.1  180  g                                
 508223 Dol_Dzim6 g      16:45:24.00 +38:21:00.0 2000.00  22:59 1.036  WFC   40.1  180  g                                
