 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 543933 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:16 1.064  WFC   60.1  180  r                                
 543934 veld1a            3:09:49.29 +30:40:59.9 2000.00  20:18 1.062  WFC   59.6  180  r                                
 543935 veld1a            3:09:49.29 +30:41:00.0 2000.00  20:19 1.060  WFC   60.1  180  r                                
 543936 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:21 1.057  WFC   60.0  180  r                                
 543937 veld1a            3:09:49.29 +30:41:00.0 2000.00  20:23 1.055  WFC   60.0  180  r                                
 543938 veld1a            3:09:49.30 +30:41:00.0 2000.00  20:24 1.053  WFC   60.1  180  r                                
 543939 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:26 1.051  WFC   60.0  180  r                                
 543940 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:28 1.049  WFC   60.0  180  r                                
 543941 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:29 1.047  WFC   60.0  180  r                                
 543942 veld1a            3:09:49.29 +30:41:00.0 2000.00  20:31 1.045  WFC   60.1  180  r                                
 543943 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:32 1.043  WFC   60.1  180  r                                
 543944 veld1a            3:09:49.30 +30:41:00.0 2000.00  20:34 1.041  WFC   60.0  180  r                                
 543945 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:36 1.039  WFC   60.0  180  r                                
 543946 veld1a            3:09:49.30 +30:41:00.0 2000.00  20:37 1.038  WFC   59.5  180  r                                
 543947 veld1a            3:09:49.30 +30:41:00.0 2000.00  20:39 1.036  WFC   60.1  180  r                                
 543948 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:40 1.034  WFC   60.0  180  r                                
 543949 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:42 1.033  WFC   60.0  180  r                                
 543950 veld1a            3:09:49.30 +30:41:00.0 2000.00  20:44 1.031  WFC   60.1  180  r                                
 543951 veld1a            3:09:49.29 +30:41:00.0 2000.00  20:45 1.030  WFC   60.0  180  r                                
 543952 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:47 1.028  WFC   60.0  180  r                                
 543953 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:49 1.026  WFC   60.0  180  r                                
 543954 veld1a            3:09:49.29 +30:40:59.9 2000.00  20:50 1.025  WFC   60.1  180  r                                
 543955 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:52 1.024  WFC   60.1  180  r                                
 543956 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:53 1.022  WFC   60.1  180  r                                
 543957 veld1a            3:09:49.29 +30:40:59.9 2000.00  20:55 1.021  WFC   60.0  180  r                                
 543958 veld1a            3:09:49.29 +30:41:00.0 2000.00  20:57 1.020  WFC   60.0  180  r                                
 543959 veld1a            3:09:49.30 +30:40:59.9 2000.00  20:58 1.019  WFC   60.1  180  r                                
 543960 veld1a            3:09:49.30 +30:41:00.0 2000.00  21:00 1.017  WFC   60.0  180  r                                
 543961 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:01 1.016  WFC   60.0  180  r                                
 543962 veld1a            3:09:49.29 +30:40:59.9 2000.00  21:03 1.015  WFC   60.1  180  r                                
 543963 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:05 1.014  WFC   60.0  180  r                                
 543964 veld1a            3:09:49.30 +30:40:59.8 2000.00  21:06 1.013  WFC   60.1  180  r                                
 543965 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:08 1.012  WFC   60.1  180  r                                
 543966 veld1a            3:09:49.29 +30:41:00.0 2000.00  21:10 1.011  WFC   60.1  180  r                                
 543967 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:11 1.010  WFC   60.1  180  r                                
 543968 veld1a            3:09:49.30 +30:41:00.0 2000.00  21:13 1.010  WFC   60.0  180  r                                
 543969 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:14 1.009  WFC   60.0  180  r                                
 543970 veld1a            3:09:49.30 +30:41:00.0 2000.00  21:16 1.008  WFC   60.1  180  r                                
 543971 veld1a            3:09:49.29 +30:40:59.9 2000.00  21:18 1.007  WFC   60.1  180  r                                
 543972 veld1a            3:09:49.30 +30:41:00.0 2000.00  21:19 1.007  WFC   60.1  180  r                                
 543973 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:21 1.006  WFC   60.1  180  r                                
 543974 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:22 1.005  WFC   60.0  180  r                                
 543975 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:24 1.005  WFC   60.0  180  r                                
 543976 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:26 1.004  WFC   60.1  180  r                                
 543977 veld1a            3:09:49.29 +30:40:59.9 2000.00  21:27 1.004  WFC   60.1  180  r                                
 543978 veld1a            3:09:49.30 +30:40:59.9 2000.00  21:29 1.003  WFC   59.6  180  r                                
 543979 ConeNebula        6:41:06.00 +09:53:00.0 2000.00  21:35 1.767  WFC   10.1  180  r                                
 543980 ConeNebula        6:41:05.99 +09:52:59.9 2000.00  21:38 1.739  WFC  100.0  180  Halpha                           
 543981 ConeNebula        6:41:06.00 +09:53:00.0 2000.00  21:44 1.690  WFC   30.1  180  Halpha                           
 543982 ConeNebula        6:41:05.99 +09:53:00.0 2000.00  21:46 1.667  WFC   30.1  180  Halpha                           
 543983 ConeNebula        6:41:05.99 +09:52:59.9 2000.00  21:47 1.658  WFC   30.1  180  Halpha                           
 543984 ConeNebula        6:41:05.99 +09:53:00.0 2000.00  21:49 1.648  WFC   30.1  180  Halpha                           
 543985 ConeNebula        6:41:06.00 +09:53:00.0 2000.00  21:50 1.640  WFC   30.1  180  Halpha                           
 543986 ConeNebula        6:41:06.00 +09:53:00.0 2000.00  21:51 1.631  WFC   29.5  180  Halpha                           
 543987 ConeNebula        6:41:10.05 +09:53:59.7 2000.00  21:53 1.617  WFC   30.1  180  Halpha                           
 543988 ConeNebula        6:41:10.06 +09:54:00.0 2000.00  21:54 1.608  WFC   30.1  180  Halpha                           
 543989 ConeNebula        6:41:10.06 +09:53:59.9 2000.00  21:55 1.600  WFC   30.1  180  Halpha                           
 543990 ConeNebula        6:41:10.06 +09:54:00.0 2000.00  21:56 1.592  WFC   30.1  180  Halpha                           
 543991 ConeNebula        6:41:10.06 +09:53:59.9 2000.00  21:57 1.583  WFC   30.1  180  Halpha                           
 543992 ConeNebula        6:41:10.05 +09:53:59.9 2000.00  21:59 1.570  WFC   29.5  180  Halpha                           
 543993 ConeNebula        6:41:01.93 +09:52:00.1 2000.00  22:00 1.558  WFC   29.6  180  Halpha                           
 543994 ConeNebula        6:41:01.93 +09:52:00.0 2000.00  22:02 1.550  WFC   30.1  180  Halpha                           
 543995 ConeNebula        6:41:01.93 +09:52:00.0 2000.00  22:03 1.543  WFC   30.1  180  Halpha                           
 543996 ConeNebula        6:41:01.94 +09:51:59.9 2000.00  22:04 1.535  WFC   30.1  180  Halpha                           
 543997 ConeNebula        6:41:01.94 +09:51:59.9 2000.00  22:05 1.527  WFC   30.1  180  Halpha                           
 543998 ConeNebula        6:41:01.93 +09:52:00.0 2000.00  22:06 1.520  WFC   30.1  180  Halpha                           
 543999 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:12 1.041  WFC   20.1  180  r                                
 544000 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:15 1.041  WFC   19.6  180  r                                
 544001 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:16 1.041  WFC   20.1  180  r                                
 544002 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:17 1.041  WFC   20.1  180  r                                
 544003 GretaDeVries      3:39:59.99 +12:33:59.9 2000.00  22:18 1.041  WFC   20.1  180  r                                
 544004 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:19 1.041  WFC   20.1  180  r                                
 544005 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:20 1.041  WFC   20.1  180  r                                
 544006 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:21 1.041  WFC   20.1  180  r                                
 544007 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:22 1.041  WFC   20.1  180  r                                
 544008 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:22 1.041  WFC   20.1  180  r                                
 544009 GretaDeVries      3:40:00.00 +12:34:00.0 2000.00  22:23 1.041  WFC   20.1  180  r                                
 544010 GretaDeVries      3:39:59.99 +12:34:00.0 2000.00  22:24 1.041  WFC   20.1  180  r                                
 544011 GretaDeVries      3:40:00.00 +12:33:59.9 2000.00  22:25 1.042  WFC   20.1  180  r                                
