 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 544129 10658             3:40:45.01 +12:35:32.1 2000.00  02:43 2.214  WFC   15.0  180  r                                
 544130 10658             3:40:44.85 +12:35:32.1 2000.00  02:44 2.228  WFC   15.1  180  r                                
 544131 10658             3:40:44.69 +12:35:32.2 2000.00  02:45 2.243  WFC   15.1  180  r                                
 544132 10658             3:40:44.54 +12:35:32.3 2000.00  02:46 2.258  WFC   15.1  180  r                                
 544133 10658             3:40:44.38 +12:35:32.4 2000.00  02:47 2.273  WFC   15.1  180  r                                
 544134 10658             3:40:44.22 +12:35:32.4 2000.00  02:48 2.289  WFC   15.1  180  r                                
 544135 Bias              3:40:41.26 +12:35:33.3 2000.00  03:04 2.632  WFC    0.0  180  r                                
 544137 BIAS              3:40:41.06 +12:35:33.4 2000.00  03:05 2.659  WFC    0.0  180  r                                
 544138 BIAS              3:40:40.96 +12:35:33.5 2000.00  03:06 2.673  WFC    0.0  180  r                                
 544139 BIAS              3:40:40.85 +12:35:33.5 2000.00  03:06 2.688  WFC    0.0  180  r                                
 544140 BIAS              3:40:40.74 +12:35:33.4 2000.00  03:07 2.703  WFC    0.0  180  r                                
 544141 BIAS              3:40:40.64 +12:35:33.6 2000.00  03:08 2.718  WFC    0.0  180  r                                
 544142 BIAS              3:40:40.54 +12:35:33.6 2000.00  03:08 2.734  WFC    0.0  180  r                                
 544143 BIAS              3:40:40.43 +12:35:33.7 2000.00  03:09 2.749  WFC    0.0  180  r                                
 544144 BIAS              3:40:40.33 +12:35:33.6 2000.00  03:09 2.765  WFC    0.0  180  r                                
 544145 BIAS              3:40:40.22 +12:35:33.8 2000.00  03:10 2.781  WFC    0.0  180  r                                
 544146 BIAS              3:40:40.12 +12:35:33.7 2000.00  03:10 2.797  WFC    0.0  180  r                                
 544148 m87              12:30:49.29 +12:23:27.1 2000.00  03:43 1.551  WFC  299.8  180  B                                
 544149 m87              12:30:49.30 +12:23:27.0 2000.00  03:57 1.461  WFC  299.9  180  B                                
 544150 m87              12:30:49.30 +12:23:27.0 2000.00  04:02 1.429  WFC  299.4  180  B                                
 544151 m87              12:30:49.30 +12:23:26.9 2000.00  04:08 1.400  WFC  300.0  180  B                                
 544152 m87              12:30:49.29 +12:23:26.9 2000.00  04:13 1.372  WFC  299.9  180  B                                
 544153 m87              12:30:49.30 +12:23:26.9 2000.00  04:19 1.346  WFC  299.9  180  B                                
 544154 m87              12:30:49.30 +12:23:27.0 2000.00  04:25 1.321  WFC  300.0  180  B                                
 544155 m87              12:30:49.29 +12:23:26.9 2000.00  04:30 1.298  WFC  299.9  180  B                                
 544156 m87              12:30:49.30 +12:23:26.9 2000.00  04:36 1.277  WFC  299.9  180  B                                
 544157 m87              12:30:49.30 +12:23:27.0 2000.00  04:42 1.257  WFC  300.0  180  B                                
 544158 m87              12:30:49.29 +12:23:26.9 2000.00  04:47 1.238  WFC  299.9  180  B                                
 544159 m87              12:30:49.30 +12:23:27.0 2000.00  04:53 1.220  WFC  299.9  180  B                                
 544160 m87              12:30:49.29 +12:23:26.9 2000.00  04:58 1.203  WFC  299.9  180  B                                
 544161 m87              12:30:49.29 +12:23:26.9 2000.00  05:04 1.188  WFC  299.9  180  B                                
 544162 m87              12:30:49.29 +12:23:26.9 2000.00  05:10 1.173  WFC  299.4  180  B                                
 544163 STD, EXTINCTION   6:52:05.04 -00:19:40.8 2000.00  05:25 2.227  WFC   60.1  180  B                                telescope too low
 544164 STD, EXTINCTION   6:52:03.70 -00:20:00.9 2000.00  05:31 2.320  WFC   60.1  180  B                                
 544165 STD, EXTINCTION   6:52:06.37 -00:19:20.7 2000.00  05:33 2.360  WFC   60.0  180  B                                
 544166 STD, EXTINCTION   6:52:06.37 -00:19:20.7 2000.00  05:35 2.398  WFC   59.5  180  r                                
 544167 STD, EXTINCTION   6:52:03.70 -00:20:00.8 2000.00  05:37 2.448  WFC   60.0  180  r                                
 544168 STD, EXTINCTION   6:52:05.04 -00:19:40.7 2000.00  05:41 2.512  WFC   60.1  180  r                                
 544169 STD, EXTINCTION   6:52:05.04 -00:19:40.7 2000.00  05:46 2.634  WFC   60.0  180  i                                
 544170 STD, EXTINCTION   6:52:05.03 -00:19:40.8 2000.00  05:50 2.726  WFC   30.1  180  i                                
 544171 STD, EXTINCTION  12:42:22.07 -00:33:10.7 2000.00  06:00 1.219  WFC   60.0  180  i                                
 544172 STD, EXTINCTION  12:42:20.74 -00:33:30.8 2000.00  06:04 1.212  WFC   60.1  180  i                                
 544173 STD, EXTINCTION  12:42:23.41 -00:32:50.7 2000.00  06:07 1.207  WFC   60.1  180  i                                
 544174 STD, EXTINCTION  12:42:23.41 -00:32:50.8 2000.00  06:09 1.203  WFC   60.1  180  B                                
 544175 STD, EXTINCTION  12:42:20.75 -00:33:30.8 2000.00  06:11 1.200  WFC   60.0  180  B                                
 544176 STD, EXTINCTION  12:42:22.07 -00:33:10.9 2000.00  06:13 1.197  WFC   60.0  180  B                                
 544177 STD, EXTINCTION  12:42:22.08 -00:33:10.8 2000.00  06:14 1.194  WFC   60.0  180  r                                
 544178 STD, EXTINCTION  12:42:23.41 -00:32:50.7 2000.00  06:16 1.191  WFC   60.1  180  r                                
 544179 STD, EXTINCTION  12:42:20.74 -00:33:30.6 2000.00  06:19 1.188  WFC   60.1  180  r                                
 544180 STD, EXTINCTION  12:42:20.74 -00:33:30.8 2000.00  06:22 1.184  WFC   60.1  180  V                                
 544181 STD, EXTINCTION  12:42:23.41 -00:32:51.0 2000.00  06:23 1.182  WFC   60.1  180  V                                
 544182 STD, EXTINCTION  12:42:22.08 -00:33:10.7 2000.00  06:25 1.179  WFC   60.1  180  V                                
 544183 STD, EXTINCTION  12:42:22.08 -00:33:10.8 2000.00  06:27 1.176  WFC  120.0  180  Halpha                           
 544184 STD, EXTINCTION  12:42:22.08 -00:33:10.8 2000.00  06:32 1.170  WFC  200.0  180  Halpha                           
 544185 m87              12:30:46.56 +12:22:47.0 2000.00  06:46 1.046  WFC  299.9  180  B                                
 544186 m87              12:30:46.56 +12:22:46.9 2000.00  06:52 1.044  WFC  299.9  180  B                                
 544187 FLAT, SKY        15:02:00.00 +29:55:00.0 2000.00  07:02 1.200  WFC  200.0  180  B                                
 544188 FLAT, SKY        15:02:01.53 +29:55:20.0 2000.00  07:07 1.188  WFC  200.0  180  B                                
 544189 FLAT, SKY        15:01:58.46 +29:54:40.0 2000.00  07:11 1.176  WFC  200.0  180  B                                
 544190 FLAT, SKY        15:01:56.92 +29:55:39.7 2000.00  07:15 1.164  WFC  200.0  180  B                                
 544191 FLAT, SKY        15:01:59.99 +29:55:19.8 2000.00  07:19 1.156  WFC   99.5  180  B                                
 544192 FLAT, SKY        15:02:00.00 +29:55:19.9 2000.00  07:22 1.151  WFC   60.0  180  r                                
 544193 FLAT, SKY        15:01:58.45 +29:54:59.9 2000.00  07:24 1.146  WFC   50.1  180  r                                
 544194 FLAT, SKY        15:02:03.07 +29:55:20.1 2000.00  07:25 1.143  WFC   40.1  180  r                                
 544195 FLAT, SKY        15:02:03.07 +29:55:19.9 2000.00  07:27 1.139  WFC   50.1  180  V                                
 544196 FLAT, SKY        15:01:59.99 +29:54:59.9 2000.00  07:29 1.135  WFC   35.1  180  V                                
 544197 FLAT, SKY        15:01:58.45 +29:54:20.0 2000.00  07:30 1.132  WFC   20.1  180  V                                
 544198 FLAT, SKY        15:01:58.46 +29:54:19.9 2000.00  07:31 1.130  WFC   20.1  180  i                                
 544199 FLAT, SKY        15:02:00.00 +29:54:59.7 2000.00  07:32 1.127  WFC   10.1  180  i                                
 544200 FLAT, SKY        15:01:59.99 +29:54:59.9 2000.00  07:33 1.125  WFC   10.1  180  Halpha                           
 544201 FLAT, SKY        15:01:57.68 +29:54:40.2 2000.00  07:34 1.123  WFC   10.1  180  Halpha                           
 544202 FLAT, SKY        15:02:01.54 +29:55:19.8 2000.00  07:35 1.119  WFC   80.0  180  Halpha                           
 544203 FLAT, SKY        15:01:58.84 +29:54:45.1 2000.00  07:37 1.116  WFC   35.0  180  Halpha                           
 544204 FLAT, SKY        15:02:01.15 +29:55:15.0 2000.00  07:39 1.113  WFC   20.1  180  Halpha                           
