 507055 st_PG1657 g      16:59:35.51 +07:42:30.9 2000.00  21:19 1.519  WFC   10.1  180  g                                
 507056 st_PG1657 He1    16:59:35.51 +07:42:30.9 2000.00  21:20 1.512  WFC   30.1  180  HeI 5870                         
 507057 st_PG1657 r      16:59:35.51 +07:42:31.0 2000.00  21:21 1.504  WFC   10.1  180  r                                
 507058 sdssj1240 He1    12:40:58.03 -01:59:18.4 2000.00  21:31 1.251  WFC  359.9  180  HeI 5870                         
 507059 sdssj1240 r      12:40:58.02 -01:59:19.1 2000.00  21:38 1.261  WFC   90.0  180  r                                
 507060 sdssj1240 Ha     12:40:58.03 -01:59:19.2 2000.00  21:40 1.272  WFC  359.4  180  Halpha                           
 507061 sdssj1240 i      12:40:58.03 -01:59:19.1 2000.00  21:46 1.282  WFC   30.1  180  i                                
 507062 sdssj1240 g      12:40:58.02 -01:59:19.2 2000.00  21:48 1.287  WFC   90.0  180  g                                
 507063 sdssj1240 U      12:40:58.02 -01:59:19.1 2000.00  21:50 1.299  WFC  359.4  180  U                                
 507065 sdssj1552 He1    15:52:52.48 +32:01:50.8 2000.00  21:59 1.046  WFC  359.4  180  HeI 5870                         
 507066 sdssj1552 r      15:52:52.48 +32:01:50.9 2000.00  22:06 1.041  WFC   90.0  180  r                                
 507067 sdssj1552 Ha     15:52:52.48 +32:01:50.8 2000.00  22:08 1.036  WFC  359.3  180  Halpha                           
 507068 sdssj1552 i      15:52:52.48 +32:01:50.9 2000.00  22:15 1.032  WFC   30.1  180  i                                
 507069 sdssj1552 g      15:52:52.48 +32:01:50.8 2000.00  22:16 1.031  WFC   89.5  180  g                                
 507070 sdssj1552 U      15:52:52.48 +32:01:50.9 2000.00  22:18 1.027  WFC  359.9  180  U                                
 507071 sdssj1552 He1    15:52:52.47 +32:01:50.9 2000.00  22:25 1.021  WFC  359.4  180  HeI 5870                         
 507072 sdssj1552 r      15:52:52.48 +32:01:50.9 2000.00  22:32 1.018  WFC   90.0  180  r                                
 507073 sdssj1552 Ha     15:52:52.48 +32:01:50.9 2000.00  22:34 1.015  WFC  359.9  180  Halpha                           
 507074 sdssj1552 i      15:52:52.48 +32:01:50.9 2000.00  22:41 1.012  WFC   30.1  180  i                                
 507075 sdssj1552 g      15:52:52.48 +32:01:50.8 2000.00  22:42 1.012  WFC   89.5  180  g                                
 507076 sdssj1552 U      15:52:52.48 +32:01:50.8 2000.00  22:44 1.009  WFC  359.9  180  U                                
 507077 sdssj1552 He1    15:52:52.48 +32:01:50.9 2000.00  22:52 1.006  WFC  359.9  180  HeI 5870                         
 507078 sdssj1552 r      15:52:52.47 +32:01:50.9 2000.00  22:59 1.004  WFC   90.1  180  r                                
 507079 sdssj1552 Ha     15:52:52.47 +32:01:50.9 2000.00  23:01 1.003  WFC  359.3  180  Halpha                           
 507080 sdssj1552 i      15:52:52.48 +32:01:50.9 2000.00  23:08 1.003  WFC   30.1  180  i                                
 507081 sdssj1552 g      15:52:52.48 +32:01:51.0 2000.00  23:09 1.002  WFC   90.1  180  g                                
 507082 sdssj1552 U      15:52:52.48 +32:01:50.9 2000.00  23:11 1.002  WFC  359.9  180  U                                
 507083 uvex_4102 He1    18:35:02.28 +02:52:59.8 2000.00  23:20 1.442  WFC  120.1  180  HeI 5870                         
 507084 uvex_4102 r      18:35:02.29 +02:52:59.9 2000.00  23:23 1.432  WFC   30.1  180  r                                
 507085 uvex_4102 U      18:35:02.28 +02:52:59.9 2000.00  23:24 1.423  WFC  120.0  180  U                                
 507086 uvex_4102 g      18:35:02.28 +02:52:59.9 2000.00  23:27 1.413  WFC   30.1  180  g                                
 507087 uvex_4102o He1   18:35:22.31 +02:58:00.0 2000.00  23:28 1.404  WFC  120.0  180  HeI 5870                         
 507088 uvex_4102o r     18:35:22.31 +02:58:00.0 2000.00  23:31 1.396  WFC   30.1  180  r                                
 507089 uvex_4102o U     18:35:22.31 +02:58:00.0 2000.00  23:32 1.387  WFC  120.0  180  U                                
 507090 uvex_4102o g     18:35:22.31 +02:57:59.9 2000.00  23:35 1.378  WFC   30.0  180  g                                
 507091 uvex_4103 He1    18:35:39.71 -00:57:59.6 2000.00  23:36 1.434  WFC  119.5  180  HeI 5870                         
 507092 uvex_4103 r      18:35:39.71 -00:57:59.9 2000.00  23:38 1.425  WFC   30.1  180  r                                
 507093 uvex_4103 U      18:35:39.72 -00:57:59.9 2000.00  23:40 1.416  WFC  120.1  180  U                                
 507094 uvex_4103 g      18:35:39.72 -00:58:00.0 2000.00  23:42 1.408  WFC   29.6  180  g                                
 507095 uvex_4105o He1   18:36:04.89 +02:03:00.3 2000.00  23:44 1.354  WFC  120.0  180  HeI 5870                         
 507096 uvex_4105o r     18:36:04.89 +02:02:59.9 2000.00  23:46 1.346  WFC   30.1  180  r                                
 507097 uvex_4105o U     18:36:04.88 +02:03:00.0 2000.00  23:47 1.339  WFC  120.0  180  U                                
 507098 uvex_4105o g     18:36:04.89 +02:02:59.9 2000.00  23:50 1.331  WFC   30.1  180  g                                
 507099 uvex_4106 He1    18:36:22.13 -01:52:59.7 2000.00  23:51 1.385  WFC  120.0  180  HeI 5870                         
 507100 uvex_4106 r      18:36:22.12 -01:53:00.0 2000.00  23:54 1.378  WFC   30.1  180  r                                
 507101 uvex_4106 U      18:36:22.12 -01:52:59.9 2000.00  23:55 1.370  WFC  120.0  180  U                                
 507102 uvex_4106 g      18:36:22.12 -01:52:59.9 2000.00  23:58 1.363  WFC   30.1  180  g                                
 507103 uvex_4107 He1    18:36:24.77 -00:25:00.1 2000.00  23:59 1.333  WFC  120.0  180  HeI 5870                         
 507104 uvex_4107 r      18:36:24.76 -00:25:00.0 2000.00  00:02 1.326  WFC   30.1  180  r                                
 507105 uvex_4107 U      18:36:24.77 -00:25:00.0 2000.00  00:03 1.320  WFC  120.0  180  U                                
 507106 uvex_4107 g      18:36:24.77 -00:24:59.9 2000.00  00:06 1.314  WFC   30.1  180  g                                
 507107 uvex_4107o He1   18:36:44.76 -00:19:59.9 2000.00  00:07 1.307  WFC  120.0  180  HeI 5870                         
 507108 uvex_4107o r     18:36:44.77 -00:19:59.9 2000.00  00:10 1.301  WFC   30.1  180  r                                
 507109 uvex_4107o U     18:36:44.77 -00:19:59.9 2000.00  00:11 1.295  WFC  120.0  180  U                                
 507110 uvex_4107o g     18:36:44.77 -00:19:59.8 2000.00  00:14 1.290  WFC   30.1  180  g                                
 507111 uvex_4108 He1    18:36:27.36 +01:02:59.8 2000.00  00:15 1.264  WFC  120.0  180  HeI 5870                         
 507112 uvex_4108 r      18:36:27.36 +01:03:00.0 2000.00  00:17 1.259  WFC   30.1  180  r                                
 507113 uvex_4108 U      18:36:27.36 +01:03:00.0 2000.00  00:19 1.254  WFC  119.6  180  U                                
 507114 uvex_4108 g      18:36:27.36 +01:02:59.9 2000.00  00:21 1.249  WFC   30.1  180  g                                
 507115 uvex_4108o He1   18:36:47.36 +01:07:59.9 2000.00  00:22 1.244  WFC  120.0  180  HeI 5870                         
 507116 uvex_4108o r     18:36:47.37 +01:07:59.9 2000.00  00:25 1.239  WFC   30.1  180  r                                
 507117 uvex_4108o U     18:36:47.36 +01:07:59.9 2000.00  00:26 1.234  WFC  119.0  180  U                                
 507118 uvex_4108o g     18:36:47.36 +01:08:00.0 2000.00  00:29 1.230  WFC   30.1  180  g                                
 507119 uvex_4109 He1    18:36:29.50 +02:31:00.1 2000.00  00:30 1.209  WFC  119.5  180  HeI 5870                         
 507120 uvex_4109 r      18:36:29.51 +02:31:00.0 2000.00  00:33 1.204  WFC   30.0  180  r                                
 507121 uvex_4109 U      18:36:29.51 +02:31:00.0 2000.00  00:34 1.200  WFC  120.0  180  U                                
 507122 uvex_4109 g      18:36:29.51 +02:31:00.0 2000.00  00:37 1.196  WFC   30.1  180  g                                
 507123 uvex_4109o He1   18:36:49.52 +02:36:00.0 2000.00  00:38 1.192  WFC  120.0  180  HeI 5870                         
 507124 uvex_4109o r     18:36:49.53 +02:36:00.0 2000.00  00:41 1.188  WFC   30.1  180  r                                
 507125 uvex_4109o U     18:36:49.53 +02:36:00.0 2000.00  00:42 1.185  WFC  120.0  180  U                                
 507126 uvex_4109o g     18:36:49.52 +02:35:59.9 2000.00  00:45 1.181  WFC   30.1  180  g                                
 507127 uvex_4110o He1   18:37:27.29 -01:15:00.2 2000.00  00:46 1.225  WFC  120.0  180  HeI 5870                         
 507128 uvex_4110o r     18:37:27.28 -01:14:59.9 2000.00  00:48 1.221  WFC   30.1  180  r                                
 507129 uvex_4110o U     18:37:27.28 -01:14:59.9 2000.00  00:50 1.217  WFC  120.0  180  U                                
 507130 uvex_4110o g     18:37:27.28 -01:14:59.9 2000.00  00:52 1.214  WFC   30.1  180  g                                
 507131 uvex_4111 He1    18:37:09.69 +00:08:00.1 2000.00  00:53 1.193  WFC  120.0  180  HeI 5870                         
 507132 uvex_4111 r      18:37:09.69 +00:08:00.0 2000.00  00:56 1.190  WFC   30.1  180  r                                
 507133 uvex_4111 U      18:37:09.70 +00:08:00.0 2000.00  00:57 1.187  WFC  120.1  180  U                                
 507134 uvex_4111 g      18:37:09.70 +00:07:59.9 2000.00  01:00 1.184  WFC   30.1  180  g                                
 507135 uvex_4111o He1   18:37:29.69 +00:12:59.9 2000.00  01:01 1.181  WFC  120.0  180  HeI 5870                         
 507136 uvex_4111o r     18:37:29.69 +00:13:00.0 2000.00  01:04 1.178  WFC   30.1  180  r                                
 507137 uvex_4111o U     18:37:29.69 +00:13:00.0 2000.00  01:05 1.175  WFC  120.0  180  U                                
 507138 uvex_4111o g     18:37:29.69 +00:13:00.0 2000.00  01:08 1.173  WFC   30.1  180  g                                
 507139 uvex_4112 He1    18:37:12.13 +01:36:00.1 2000.00  01:09 1.155  WFC  120.1  180  HeI 5870                         
 507140 uvex_4112 r      18:37:12.14 +01:35:59.9 2000.00  01:12 1.153  WFC   30.1  180  r                                
 507141 uvex_4112 U      18:37:12.14 +01:35:59.9 2000.00  01:13 1.151  WFC  120.0  180  U                                
 507142 uvex_4112 g      18:37:12.13 +01:36:00.0 2000.00  01:16 1.148  WFC   30.1  180  g                                
 507143 uvex_4112o He1   18:37:32.14 +01:40:59.9 2000.00  01:17 1.146  WFC  119.5  180  HeI 5870                         
 507144 uvex_4112o r     18:37:32.15 +01:41:00.0 2000.00  01:19 1.144  WFC   29.6  180  r                                
 507145 uvex_4112o U     18:37:32.15 +01:40:59.9 2000.00  01:21 1.142  WFC  120.0  180  U                                
 507146 uvex_4112o g     18:37:32.14 +01:41:00.0 2000.00  01:23 1.140  WFC   30.1  180  g                                
 507147 sa110-246 HeI    18:41:50.87 +00:05:08.9 2000.00  01:26 1.159  WFC   30.1  180  HeI 5870                         
 507148 sa110-246 g      18:41:50.87 +00:05:08.9 2000.00  01:27 1.158  WFC   10.1  180  g                                
