 472413 wfsjout_065 i     0:32:16.85 +44:30:59.7 2000.00  00:46 1.046  WFC  899.6  180  i                                
 472414 wfsjout_065 V     0:32:16.86 +44:30:59.6 2000.00  01:02 1.041  WFC  899.0  180  V                                
 472415 wfsjout_066 i     0:34:22.88 +44:09:42.0 2000.00  01:21 1.037  WFC  899.5  180  i                                
 472416 wfsjout_066 V     0:34:22.89 +44:09:42.3 2000.00  01:37 1.039  WFC  899.1  180  V                                
 472417 wfsjm33_005 i     1:31:38.04 +29:00:19.1 2000.00  01:55 1.005  WFC  899.5  180  i                                
 472418 wfsjm33_005 V     1:31:38.04 +29:00:19.4 2000.00  02:11 1.001  WFC  899.6  180  V                                
 472419 wfsjm33_006 i     1:25:31.32 +31:00:20.9 2000.00  02:30 1.003  WFC  899.6  180  i                                
 472420 wfsjm33_006 V     1:25:31.33 +31:00:20.8 2000.00  02:46 1.009  WFC  899.5  180  V                                
 472421 wfsjm33_007 i     1:27:15.43 +30:38:43.7 2000.00  03:04 1.018  WFC  899.5  180  i                                
 472422 wfsjm33_007 V     1:27:15.43 +30:38:43.8 2000.00  03:20 1.032  WFC  898.9  180  V                                
 472423 wfsjm33_011 i     1:34:04.36 +29:11:23.1 2000.00  03:37 1.044  WFC  899.5  180  i                                
 472424 wfsjm33_011 V     1:34:04.36 +29:11:23.0 2000.00  03:53 1.065  WFC  899.5  180  V                                
 472425 wfsjm33_012 i     1:35:44.71 +28:49:21.5 2000.00  04:12 1.094  WFC  899.5  180  i                                
 472426 wfsjm33_012 V     1:35:44.72 +28:49:21.6 2000.00  04:28 1.126  WFC  899.1  180  V                                
 472427 CepOB3 300 i     22:55:43.26 +62:40:13.5 2000.00  04:46 1.865  WFC  299.9  180  i                                trailed
 472428 CepOB3 30 i      22:55:43.26 +62:40:13.6 2000.00  04:51 1.886  WFC   30.1  180  i                                
 472429 CepOB3 5 i       22:55:43.26 +62:40:13.6 2000.00  04:53 1.892  WFC    5.1  180  i                                
 472430 CepOB3 300 i     22:55:43.25 +62:40:13.6 2000.00  04:54 1.916  WFC  299.9  180  i                                
 472431 wfsjm33_013 i     1:26:15.31 +31:33:30.1 2000.00  05:03 1.245  WFC  899.0  180  i                                
 472432 wfsjm33_013 V     1:26:15.31 +31:33:30.3 2000.00  05:19 1.304  WFC  899.6  180  V                                
 472433 wfsjm33_013 V     1:26:15.32 +31:33:30.3 2000.00  05:35 1.374  WFC  899.6  180  V                                
 472434 wfcblank3 r       2:58:00.00 -00:06:00.0 2000.00  06:18 1.422  WFC  120.1  180  r                                
 472435 wfcblank3 r       2:58:00.66 -00:05:50.0 2000.00  06:21 1.434  WFC   90.0  180  r                                
 472436 wfcblank3 r       2:58:01.33 -00:05:39.9 2000.00  06:24 1.446  WFC   60.0  180  r                                
 472437 wfcblank3 r       0:00:00.00 +00:00:00.0 2000.00  06:26 1.455  WFC   40.1  180  r                                
 472438 wfcblank3 r       2:58:00.00 -00:05:39.9 2000.00  06:27 1.463  WFC   29.6  180  r                                
