 444461 KVC13 B 120 -60  12:36:59.00 +33:35:51.7 2000.00  23:17 1.085  WFC  599.7  180  B                                
 444462 sa104 B 0 0      12:42:22.00 -00:33:09.4 2000.00  23:31 1.269  WFC   10.1  180  B                                
 444463 sa104 B 0 0      12:42:22.00 -00:33:09.4 2000.00  23:32 1.259  WFC  299.9  180  B                                
 444464 sa104 R 0 0      12:42:21.99 -00:33:09.4 2000.00  23:39 1.243  WFC  299.4  180  R                                
 444465 sa104 R 0 0      12:42:22.00 -00:33:09.4 2000.00  23:45 1.235  WFC   10.1  180  R                                
 444466 KVC11 R 0 0      12:32:57.76 +33:10:48.2 2000.00  23:49 1.037  WFC  599.8  180  R                                
 444467 KVC7 R 60 60     12:47:04.67 +32:40:08.1 2000.00  00:10 1.030  WFC  599.2  180  R                                
 444468 KVC7 B 60 60     12:47:04.68 +32:40:08.2 2000.00  00:21 1.021  WFC  599.2  180  B                                
 444469 KVC7 B 120 120   12:47:09.43 +32:41:08.1 2000.00  00:33 1.013  WFC  599.2  180  B                                
 444470 KVC7 R 120 120   12:47:09.43 +32:41:08.0 2000.00  00:45 1.008  WFC  599.9  180  R                                
 444471 KVC7 R 180 180   12:47:14.18 +32:41:08.0 2000.00  00:58 1.004  WFC  599.8  180  R                                
 444472 KVC7 B 180 180   12:47:14.18 +32:41:08.0 2000.00  01:09 1.002  WFC  599.3  180  B                                
 444473 sa104 B 0 0      12:42:21.99 -00:33:09.6 2000.00  01:23 1.148  WFC   10.1  180  B                                
 444474 sa104 R 0 0      12:42:22.00 -00:33:09.3 2000.00  01:24 1.148  WFC   10.1  180  R                                
 444475 sa104 R 0 0      12:42:22.00 -00:33:09.4 2000.00  01:25 1.149  WFC  299.9  180  R                                
 444476 sa104 B 0 0      12:42:21.99 -00:33:09.4 2000.00  01:30 1.152  WFC  299.3  180  B                                
 444477 sa104 B 0 0      12:42:22.00 -00:33:09.4 2000.00  01:36 1.153  WFC    2.1  180  B                                
 444478 sa104 R 0 0      12:42:22.00 -00:33:09.4 2000.00  01:37 1.154  WFC    1.5  180  R                                
 444479 sa107 R 0 0      15:39:35.02 -00:15:06.4 2000.00  01:42 1.428  WFC   10.0  180  R                                
 444480 sa107 B 10       15:39:35.03 -00:15:06.7 2000.00  01:43 1.423  WFC   10.1  180  B                                
 444481 sa107 B 2        15:39:35.02 -00:15:06.6 2000.00  01:44 1.419  WFC    1.5  180  B                                
 444482 sa107 R 2        15:39:35.03 -00:15:06.6 2000.00  01:44 1.415  WFC    2.1  180  R                                
 444483 sa107 R 50       15:39:35.03 -00:15:06.4 2000.00  01:45 1.409  WFC   50.1  180  R                                
 444484 sa107 B 50       15:39:35.02 -00:15:06.6 2000.00  01:47 1.401  WFC   50.1  180  B                                
 444485 sa107 B 5        15:39:35.03 -00:15:06.5 2000.00  01:49 1.396  WFC    5.1  180  B                                
 444486 sa107 R 5        15:39:35.03 -00:15:06.4 2000.00  01:50 1.392  WFC    5.1  180  R                                
 444487 KVC11 B 0 0      12:32:57.77 +33:10:47.9 2000.00  01:55 1.027  WFC  599.8  180  B                                
 444488 KVC11 B -150 30  12:32:45.82 +33:11:18.1 2000.00  02:09 1.040  WFC  599.8  180  B                                
 444489 KVC11 R -150 30  12:32:45.81 +33:11:18.0 2000.00  02:20 1.053  WFC  599.7  180  R                                
 444490 KVC11 R -150 60  12:32:45.82 +33:11:48.1 2000.00  02:33 1.071  WFC  599.8  180  R                                
 444491 KVC11 B -150 60  12:32:45.81 +33:11:48.2 2000.00  02:44 1.088  WFC  599.7  180  B                                
