 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 487484 Dome flat 21      0:00:00.00 +00:00:00.0 2000.00  19:52 1.000  WFC   22.1  180  r                                
 487485 Dome flat 22      0:00:00.00 +00:00:00.0 2000.00  19:53 1.000  WFC   23.1  180  r                                
 487486 Dome flat 23      0:00:00.00 +00:00:00.0 2000.00  19:54 1.000  WFC   24.1  180  r                                
 487487 Dome flat 24      0:00:00.00 +00:00:00.0 2000.00  19:55 1.000  WFC   25.1  180  r                                
 487488 Dome flat 25      0:00:00.00 +00:00:00.0 2000.00  19:56 1.000  WFC   25.6  180  r                                
 487489 Dome flat 26      0:00:00.00 +00:00:00.0 2000.00  19:57 1.000  WFC   27.1  180  r                                
 487490 Dome flat 27      0:00:00.00 +00:00:00.0 2000.00  19:58 1.000  WFC   28.1  180  r                                
 487491 Dome flat 28      0:00:00.00 +00:00:00.0 2000.00  20:00 1.000  WFC   29.1  180  r                                
 487492 Dome flat 29      0:00:00.00 +00:00:00.0 2000.00  20:01 1.000  WFC   30.1  180  r                                
 487493 Dome flat 30      0:00:00.00 +00:00:00.0 2000.00  20:02 1.000  WFC   31.1  180  r                                
 487494 Dome flat 31      0:00:00.00 +00:00:00.0 2000.00  20:03 1.000  WFC   32.1  180  r                                
 487495 Dome flat 32      0:00:00.00 +00:00:00.0 2000.00  20:04 1.000  WFC   32.5  180  r                                
 487496 Dome flat 33      0:00:00.00 +00:00:00.0 2000.00  20:07 1.000  WFC   34.1  180  r                                
 487497 Dome flat 34      0:00:00.00 +00:00:00.0 2000.00  20:08 1.000  WFC   35.1  180  r                                
 487498 Dome flat 35      0:00:00.00 +00:00:00.0 2000.00  20:09 1.000  WFC   36.1  180  r                                
 487499 Dome flat 36      0:00:00.00 +00:00:00.0 2000.00  20:11 1.000  WFC   37.0  180  r                                
