 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 539556 chiper            2:22:04.30 +57:08:35.0 2000.00  21:04 1.195  WFC   60.0  180  i                                
 539557 hper              2:18:56.39 +57:08:24.9 2000.00  21:07 1.188  WFC   60.0  180  i                                
 539558 chiper            2:22:04.30 +57:08:35.0 2000.00  21:10 1.188  WFC   60.0  180  i                                
 539559 hper              2:18:56.40 +57:08:24.9 2000.00  21:13 1.181  WFC   60.0  180  i                                
 539560 chiper            2:22:04.30 +57:08:35.0 2000.00  21:16 1.182  WFC   60.1  180  i                                
 539561 hper              2:18:56.39 +57:08:24.9 2000.00  21:19 1.175  WFC   60.1  180  i                                
 539562 chiper            2:22:04.29 +57:08:34.9 2000.00  21:22 1.176  WFC   60.1  180  i                                
 539563 hper              2:18:56.39 +57:08:25.1 2000.00  21:25 1.170  WFC   60.0  180  i                                
 539564 chiper            2:22:04.30 +57:08:34.9 2000.00  21:28 1.170  WFC   60.1  180  i                                
 539565 hper              2:18:56.39 +57:08:25.0 2000.00  21:31 1.165  WFC   60.1  180  i                                
 539566 chiper            2:22:04.29 +57:08:34.9 2000.00  21:34 1.165  WFC   60.1  180  i                                
 539567 hper              2:18:56.40 +57:08:25.0 2000.00  21:37 1.160  WFC   60.1  180  i                                
 539568 chiper            2:22:04.29 +57:08:34.9 2000.00  21:40 1.160  WFC   60.1  180  i                                
 539569 hper              2:18:56.39 +57:08:25.2 2000.00  21:43 1.156  WFC   60.0  180  i                                
 539570 chiper            2:22:04.29 +57:08:35.0 2000.00  21:46 1.156  WFC   60.1  180  i                                
 539571 hper              2:18:56.39 +57:08:25.1 2000.00  21:50 1.151  WFC   60.1  180  i                                
 539572 chiper            2:22:04.29 +57:08:34.8 2000.00  21:53 1.151  WFC   60.0  180  i                                
 539573 hper              2:18:56.40 +57:08:25.1 2000.00  21:56 1.148  WFC   60.1  180  i                                
 539574 chiper            2:22:04.29 +57:08:34.8 2000.00  21:59 1.148  WFC   60.0  180  i                                
 539575 hper              2:18:56.39 +57:08:25.0 2000.00  22:02 1.145  WFC   60.1  180  i                                
 539576 chiper            2:22:04.29 +57:08:34.9 2000.00  22:05 1.145  WFC   60.1  180  i                                
 539577 hper              2:18:56.40 +57:08:25.2 2000.00  22:08 1.142  WFC   60.0  180  i                                
 539578 chiper            2:22:04.30 +57:08:34.9 2000.00  22:11 1.143  WFC   60.1  180  i                                
 539579 hper              2:18:56.39 +57:08:25.2 2000.00  22:14 1.140  WFC   60.1  180  i                                
 539580 chiper            2:22:04.29 +57:08:34.8 2000.00  22:17 1.141  WFC   60.1  180  i                                
 539581 hper              2:18:56.40 +57:08:25.1 2000.00  22:20 1.139  WFC   60.1  180  i                                
 539582 chiper            2:22:04.30 +57:08:34.9 2000.00  22:23 1.139  WFC   60.0  180  i                                
 539583 hper              2:18:56.40 +57:08:25.2 2000.00  22:26 1.138  WFC   60.1  180  i                                
 539584 chiper            2:22:04.29 +57:08:34.9 2000.00  22:29 1.138  WFC   60.0  180  i                                
 539585 hper              2:18:56.39 +57:08:25.2 2000.00  22:32 1.137  WFC   60.1  180  i                                
 539586 chiper            2:22:04.29 +57:08:34.9 2000.00  22:35 1.137  WFC   59.5  180  i                                
 539587 hper              2:18:56.39 +57:08:25.1 2000.00  22:38 1.137  WFC   60.1  180  i                                
 539588 chiper            2:22:04.29 +57:08:34.9 2000.00  22:41 1.137  WFC   60.1  180  i                                
 539589 onc V             5:35:30.00 -05:22:59.9 2000.00  23:43 1.457  WFC   60.0  180  V                                
 539590 onc i             5:35:29.95 -05:22:59.5 2000.00  23:45 1.448  WFC   30.1  180  i                                
 539591 onc V             5:35:30.00 -05:23:00.0 2000.00  23:47 1.440  WFC   60.1  180  V                                
 539592 onc i             5:35:29.93 -05:22:59.3 2000.00  23:49 1.432  WFC   30.1  180  i                                
 539593 onc V             5:35:29.99 -05:22:59.9 2000.00  23:51 1.425  WFC   60.0  180  V                                
 539594 onc i             5:35:29.97 -05:22:59.4 2000.00  23:53 1.418  WFC   30.1  180  i                                
 539595 onc V             5:35:30.00 -05:22:59.9 2000.00  23:54 1.411  WFC   60.0  180  V                                
 539596 onc i             5:35:29.99 -05:23:00.0 2000.00  23:56 1.404  WFC   29.6  180  i                                
 539597 onc V             5:35:29.99 -05:22:59.9 2000.00  23:58 1.396  WFC   60.1  180  V                                
 539598 onc i             5:35:29.99 -05:22:59.9 2000.00  00:00 1.390  WFC   30.0  180  i                                
 539599 onc V             5:35:29.99 -05:22:59.6 2000.00  00:02 1.383  WFC   59.6  180  V                                
 539600 onc i             5:35:29.99 -05:22:59.9 2000.00  00:04 1.377  WFC   29.6  180  i                                
 539601 onc V             5:35:29.99 -05:22:59.9 2000.00  00:06 1.370  WFC   60.0  180  V                                
