 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 547889 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:03 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547890 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:03 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547891 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:04 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547892 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:04 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547893 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:04 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547894 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:04 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547895 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:04 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547896 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:05 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547897 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:05 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547898 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:05 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547899 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:05 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547900 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:05 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547901 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:05 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547902 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:06 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547903 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:06 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547904 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:06 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547905 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:06 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547906 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:06 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547907 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:07 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547908 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:07 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547909 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:07 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547910 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:07 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547911 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:07 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547912 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:08 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547913 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:08 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547914 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:08 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547915 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:08 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547916 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:08 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547917 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:09 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547918 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:09 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547919 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:09 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547920 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:09 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547921 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:09 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547922 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:10 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547923 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:10 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547924 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:10 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547925 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:10 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547926 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:10 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547927 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:11 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547928 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:11 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547929 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:11 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547930 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:11 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547931 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:11 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547932 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:12 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547933 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:12 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547934 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:12 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547935 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:12 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547936 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:12 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547937 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:13 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547938 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:13 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547939 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:13 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547940 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:13 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547941 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:13 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547942 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:14 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547943 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:14 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547944 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:14 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547945 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:14 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547946 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:14 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547947 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:15 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547948 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:15 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547949 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:15 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547950 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:15 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547951 Flat bin 2 2 sli  0:00:00.00 +00:00:00.0 2000.00  19:15 1.000  IDS    0.5    0  Clear+Clear   2.0  65.9 5001.6   
 547952 CuNe              0:00:00.00 +00:00:00.0 2000.00  19:16 1.000  IDS    1.0    0  Clear+Clear   1.0  65.9 5001.6   
 547953 CuNe              0:00:00.00 +00:00:00.0 2000.00  19:17 1.000  IDS    1.0    0  Clear+Clear   1.0  65.9 5001.6   
 547954 CuNe              0:00:00.00 +00:00:00.0 2000.00  19:17 1.000  IDS    1.0    0  Clear+Clear   1.0  65.9 5001.6   
 547955 CuNe              0:00:00.00 +00:00:00.0 2000.00  19:17 1.000  IDS    1.0    0  Clear+Clear   1.0  65.9 5001.6   
 547956 CuNe              0:00:00.00 +00:00:00.0 2000.00  19:17 1.000  IDS    1.0    0  Clear+Clear   1.0  65.9 5001.6   
 547957 CuAr              0:00:00.00 +00:00:00.0 2000.00  19:18 1.000  IDS   30.0    0  Clear+Clear   1.0  65.9 5001.6   
 547958 CuAr              0:00:00.00 +00:00:00.0 2000.00  19:19 1.000  IDS   30.0    0  Clear+Clear   1.0  65.9 5001.6   
 547959 CuAr              0:00:00.00 +00:00:00.0 2000.00  19:19 1.000  IDS   30.0    0  Clear+Clear   1.0  65.9 5001.6   
 547960 CuAr              0:00:00.00 +00:00:00.0 2000.00  19:20 1.000  IDS   30.0    0  Clear+Clear   1.0  65.9 5001.6   
 547961 CuAr              0:00:00.00 +00:00:00.0 2000.00  19:21 1.000  IDS   30.0    0  Clear+Clear   1.0  65.9 5001.6   
 547962 G191-B2B SP0501+  5:05:33.81 +52:49:41.5 2000.00  00:44 1.285  IDS  120.0  112  Clear+Clear   2.0  65.9 5001.6   
 547963 G191-B2B SP0501+  5:05:33.83 +52:49:42.3 2000.00  00:53 1.312  IDS  300.0  112  Clear+Clear   2.0  65.9 5001.6   
 547964 J0740+2319        7:40:33.61 +23:19:26.4 2000.00  01:03 1.015  IDS  600.0   48  Clear+Clear   2.0  65.9 5001.6   
 547965 CuArNe            0:00:00.00 +00:00:00.0 2000.00  11:06 1.129  IDS    4.0   -0  Clear+Clear   2.0  30.1 5299.5   
 547966 CuArNe            0:00:00.00 +00:00:00.0 2000.00  11:08 1.129  IDS    7.0   -0  Clear+Clear   2.0  30.1 5299.5   
 547967 CuArNe            0:00:00.00 +00:00:00.0 2000.00  11:13 1.129  IDS    7.0   -0  Clear+Clear   2.0  30.1 5299.5   
 547968 CuArNe            0:00:00.00 +00:00:00.0 2000.00  11:15 1.129  IDS   11.0   -0  Clear+Clear   2.0  30.1 5299.5   
 547969 CuArNe            0:00:00.00 +00:00:00.0 2000.00  11:36 1.129  IDS   16.0   -0  Clear+Clear   2.0  30.1 5300.5   
 547970 Hartman L         0:00:00.00 +00:00:00.0 2000.00  11:40 1.129  IDS   16.0   -0  Clear+Clear   2.0  30.1 5300.5   
 547971 Hartman R         0:00:00.00 +00:00:00.0 2000.00  11:41 1.129  IDS   16.0   -0  Clear+Clear   2.0  30.1 5300.5   
 547972 Hart L            0:00:00.00 +00:00:00.0 2000.00  11:45 1.129  IDS   80.0   -0  Clear+Clear   2.0  30.1 5300.5   
 547973 Hart R            0:00:00.00 +00:00:00.0 2000.00  11:47 1.129  IDS   80.0   -0  Clear+Clear   2.0  30.1 5300.5   
 547974 Hart L            0:00:00.00 +00:00:00.0 2000.00  11:56 1.129  IDS   80.0   -0  Clear+Clear   2.0  30.1 5300.5   
