INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 12 07:20

TELESCOPE             INT
DATE                  20060711
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:49
SUNRISE (UT)          06:14
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:03
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         20:52
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:10
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly hazy but otherwise good

COMMENTS (causes of time lost, setup information eg CCD windows):
The autoguider doesn't go long without glitching - it seems better to rely on the telescope tracking



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 513538                   0:00:00.00 +00:00:00.0 2006.524 13:31 1.521  WFC   15.1  180  g                                
 513700 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:30 1.343  WFC   35.1  180  stromgren v                      
 513701 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:31 1.339  WFC   30.1  180  stromgren b                      
 513702 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  00:32 1.336  WFC   29.0  180  stromgren y                      
 513703 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:33 1.332  WFC   60.1  180  g                                
 513704 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  00:35 1.327  WFC   35.1  180  r                                
 513705 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:36 1.323  WFC   45.1  180  stromgren u                      
 513706 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:38 1.320  WFC   35.1  180  stromgren v                      
 513707 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:39 1.316  WFC   30.0  180  stromgren b                      
 513708 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  00:40 1.313  WFC   29.5  180  stromgren y                      
 513709 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  00:42 1.309  WFC   60.1  180  g                                
 513710 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  00:43 1.305  WFC   35.1  180  r                                
 513711 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:48 1.293  WFC   45.1  180  stromgren u                      
 513712 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:49 1.290  WFC   35.1  180  stromgren v                      
 513713 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:51 1.287  WFC   30.1  180  stromgren b                      
 513714 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:52 1.284  WFC   30.1  180  stromgren y                      
 513715 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  00:53 1.280  WFC   60.1  180  g                                
 513716 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  00:55 1.277  WFC   35.1  180  r                                
 513717 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  00:56 1.273  WFC   45.1  180  stromgren u                      
 513718 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  00:57 1.270  WFC   35.1  180  stromgren v                      
 513719 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  00:59 1.267  WFC   29.6  180  stromgren b                      
 513720 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:00 1.264  WFC   30.1  180  stromgren y                      
 513721 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  01:01 1.261  WFC   60.1  180  g                                
 513722 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:03 1.258  WFC   35.1  180  r                                
 513723 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:04 1.255  WFC   45.1  180  stromgren u                      
 513724 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:05 1.252  WFC   34.6  180  stromgren v                      
 513725 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:07 1.249  WFC   30.1  180  stromgren b                      
 513726 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  01:08 1.247  WFC   30.1  180  stromgren y                      
 513727 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  01:09 1.244  WFC   60.1  180  g                                
 513728 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:11 1.241  WFC   35.1  180  r                                
 513729 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  01:12 1.238  WFC   45.1  180  stromgren u                      
 513730 NGC7128 v        21:44:20.01 +53:43:59.9 2000.00  01:13 1.235  WFC   34.6  180  stromgren v                      
 513731 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:15 1.233  WFC   30.1  180  stromgren b                      
 513732 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:16 1.230  WFC   30.1  180  stromgren y                      
 513733 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:17 1.227  WFC   60.1  180  g                                
 513734 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  01:19 1.225  WFC   35.1  180  r                                
 513735 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  01:20 1.222  WFC   44.6  180  stromgren u                      
 513736 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:22 1.219  WFC   34.5  180  stromgren v                      
 513737 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:23 1.217  WFC   30.1  180  stromgren b                      
 513738 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:24 1.215  WFC   30.1  180  stromgren y                      
 513739 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:25 1.212  WFC   60.1  180  g                                
 513740 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  01:27 1.210  WFC   35.1  180  r                                
 513741 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:28 1.207  WFC   45.1  180  stromgren u                      
 513742 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  01:30 1.205  WFC   35.1  180  stromgren v                      
 513743 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:31 1.203  WFC   30.1  180  stromgren b                      
 513744 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:32 1.201  WFC   29.6  180  stromgren y                      
 513745 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:33 1.198  WFC   60.1  180  g                                
 513746 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:35 1.196  WFC   35.1  180  r                                
 513747 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  01:36 1.194  WFC   45.1  180  stromgren u                      
 513748 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:38 1.192  WFC   35.1  180  stromgren v                      
 513749 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:39 1.190  WFC   30.1  180  stromgren b                      
 513750 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  01:40 1.188  WFC   30.1  180  stromgren y                      
 513751 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  01:41 1.186  WFC   60.1  180  g                                
 513752 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:43 1.183  WFC   35.1  180  r                                
 513753 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:44 1.181  WFC   45.1  180  stromgren u                      
 513754 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:46 1.179  WFC   35.1  180  stromgren v                      
 513755 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:47 1.178  WFC   30.1  180  stromgren b                      
 513756 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:48 1.176  WFC   30.1  180  stromgren y                      
 513757 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  01:49 1.174  WFC   60.1  180  g                                
 513758 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:51 1.172  WFC   35.1  180  r                                
 513759 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:52 1.170  WFC   45.1  180  stromgren u                      
 513760 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:54 1.168  WFC   35.1  180  stromgren v                      
 513761 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  01:55 1.166  WFC   30.1  180  stromgren b                      
 513762 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:56 1.165  WFC   30.1  180  stromgren y                      
 513763 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  01:58 1.163  WFC   60.1  180  g                                
 513764 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:59 1.161  WFC   35.1  180  r                                
 513765 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:01 1.159  WFC   45.1  180  stromgren u                      
 513766 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:02 1.158  WFC   35.1  180  stromgren v                      
 513767 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:03 1.156  WFC   29.6  180  stromgren b                      
 513768 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:04 1.155  WFC   30.1  180  stromgren y                      
 513769 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:06 1.153  WFC   60.0  180  g                                
 513770 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  02:07 1.152  WFC   35.1  180  r                                
 513771 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:09 1.150  WFC   45.1  180  stromgren u                      
 513772 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  02:10 1.149  WFC   34.5  180  stromgren v                      
 513773 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:11 1.147  WFC   30.1  180  stromgren b                      
 513774 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:13 1.146  WFC   29.6  180  stromgren y                      
 513775 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:14 1.144  WFC   60.0  180  g                                
 513776 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:15 1.143  WFC   35.1  180  r                                
 513777 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:17 1.142  WFC   45.1  180  stromgren u                      
 513778 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:18 1.140  WFC   35.1  180  stromgren v                      
 513779 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:19 1.139  WFC   30.1  180  stromgren b                      
 513780 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:21 1.138  WFC   30.1  180  stromgren y                      
 513781 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  02:22 1.137  WFC   60.0  180  g                                
 513782 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:23 1.135  WFC   35.1  180  r                                
 513783 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:25 1.134  WFC   45.1  180  stromgren u                      
 513784 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:26 1.133  WFC   35.1  180  stromgren v                      
 513785 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:28 1.132  WFC   29.5  180  stromgren b                      
 513786 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:29 1.131  WFC   30.1  180  stromgren y                      
 513787 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:30 1.129  WFC   60.1  180  g                                
 513788 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:32 1.128  WFC   35.1  180  r                                
 513789 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  02:33 1.127  WFC   45.1  180  stromgren u                      
 513790 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:34 1.126  WFC   35.1  180  stromgren v                      
 513791 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:36 1.125  WFC   30.1  180  stromgren b                      
 513792 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:37 1.124  WFC   30.1  180  stromgren y                      
 513793 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:38 1.123  WFC   60.1  180  g                                
 513794 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:40 1.122  WFC   35.1  180  r                                
 513795 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  02:41 1.121  WFC   45.1  180  stromgren u                      
 513796 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:42 1.120  WFC   35.1  180  stromgren v                      
 513797 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  02:44 1.120  WFC   30.1  180  stromgren b                      
 513798 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:45 1.119  WFC   30.1  180  stromgren y                      
 513799 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:46 1.118  WFC   60.1  180  g                                
 513800 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:48 1.117  WFC   35.1  180  r                                
 513801 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:49 1.116  WFC   45.1  180  stromgren u                      
 513802 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:51 1.115  WFC   34.5  180  stromgren v                      
 513803 NGC7128 b        21:44:20.00 +53:44:00.1 2000.00  02:52 1.115  WFC   30.1  180  stromgren b                      
 513804 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:53 1.114  WFC   30.1  180  stromgren y                      
 513805 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  02:54 1.113  WFC   60.1  180  g                                
 513806 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:56 1.113  WFC   35.1  180  r                                
 513807 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:57 1.112  WFC   45.0  180  stromgren u                      
 513808 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:59 1.111  WFC   35.1  180  stromgren v                      
 513809 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  03:00 1.111  WFC   30.1  180  stromgren b                      
 513810 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:01 1.110  WFC   30.1  180  stromgren y                      
 513811 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:02 1.110  WFC   60.1  180  g                                
 513812 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:04 1.109  WFC   35.1  180  r                                
 513813 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  03:05 1.109  WFC   45.1  180  stromgren u                      
 513814 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:07 1.108  WFC   34.5  180  stromgren v                      
 513815 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:08 1.108  WFC   30.1  180  stromgren b                      
 513816 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  03:09 1.107  WFC   29.6  180  stromgren y                      
 513817 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  03:10 1.107  WFC   60.1  180  g                                
 513818 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:12 1.106  WFC   35.1  180  r                                
 513819 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:13 1.106  WFC   45.1  180  stromgren u                      
 513820 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  03:15 1.106  WFC   35.1  180  stromgren v                      
 513821 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:16 1.105  WFC   30.1  180  stromgren b                      
 513822 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:17 1.105  WFC   30.1  180  stromgren y                      
 513823 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  03:18 1.105  WFC   60.1  180  g                                
 513824 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  03:20 1.105  WFC   35.1  180  r                                
 513825 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:21 1.104  WFC   45.0  180  stromgren u                      
 513826 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  03:23 1.104  WFC   35.1  180  stromgren v                      
 513827 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  03:24 1.104  WFC   30.1  180  stromgren b                      
 513828 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:25 1.104  WFC   30.1  180  stromgren y                      
 513829 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  03:27 1.104  WFC   60.1  180  g                                
 513830 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:28 1.103  WFC   35.1  180  r                                
 513831 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  03:30 1.103  WFC   45.1  180  stromgren u                      
 513832 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  03:31 1.103  WFC   35.1  180  stromgren v                      
 513833 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:32 1.103  WFC   29.5  180  stromgren b                      
 513834 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  03:34 1.103  WFC   30.1  180  stromgren y                      
 513835 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  03:35 1.103  WFC   60.0  180  g                                
 513836 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:36 1.103  WFC   34.5  180  r                                
 513837 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  03:38 1.103  WFC   45.1  180  stromgren u                      
 513838 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  03:39 1.103  WFC   35.1  180  stromgren v                      
 513839 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:40 1.103  WFC   30.1  180  stromgren b                      
 513840 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:42 1.103  WFC   29.6  180  stromgren y                      
 513841 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:43 1.103  WFC   60.1  180  g                                
 513842 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:45 1.104  WFC   35.1  180  r                                
 513843 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:46 1.104  WFC   45.1  180  stromgren u                      
 513844 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  03:47 1.104  WFC   35.1  180  stromgren v                      
 513845 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:49 1.104  WFC   30.1  180  stromgren b                      
 513846 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:50 1.104  WFC   30.1  180  stromgren y                      
 513847 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:51 1.105  WFC   59.5  180  g                                
 513848 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  03:53 1.105  WFC   34.6  180  r                                
 513849 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:54 1.105  WFC   44.6  180  stromgren u                      
 513850 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  03:55 1.105  WFC   35.1  180  stromgren v                      
 513851 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  03:57 1.106  WFC   29.5  180  stromgren b                      
 513852 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:58 1.106  WFC   30.1  180  stromgren y                      
 513853 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  03:59 1.106  WFC   60.1  180  g                                
 513854 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:01 1.107  WFC   35.1  180  r                                
 513855 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:02 1.107  WFC   45.1  180  stromgren u                      
 513856 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:03 1.108  WFC   35.1  180  stromgren v                      
 513857 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:05 1.108  WFC   30.1  180  stromgren b                      
 513858 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:06 1.109  WFC   30.1  180  stromgren y                      
 513859 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:07 1.109  WFC   60.1  180  g                                
 513860 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:09 1.110  WFC   35.1  180  r                                
 513861 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:10 1.110  WFC   45.1  180  stromgren u                      
 513862 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  04:11 1.111  WFC   35.1  180  stromgren v                      
 513863 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:13 1.111  WFC   30.1  180  stromgren b                      
 513864 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:14 1.112  WFC   30.1  180  stromgren y                      
 513865 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  04:15 1.113  WFC   60.1  180  g                                
 513866 NGC7128 r        21:44:20.00 +53:43:59.8 2000.00  04:17 1.113  WFC   35.1  180  r                                
 513867 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:18 1.114  WFC   44.5  180  stromgren u                      
 513868 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  04:20 1.115  WFC   34.5  180  stromgren v                      
 513869 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:21 1.115  WFC   30.1  180  stromgren b                      
 513870 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:22 1.116  WFC   30.1  180  stromgren y                      
 513871 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  04:23 1.117  WFC   60.1  180  g                                
 513872 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:25 1.118  WFC   35.1  180  r                                
 513873 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  04:26 1.119  WFC   45.1  180  stromgren u                      
 513874 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:28 1.120  WFC   35.1  180  stromgren v                      
 513875 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  04:29 1.120  WFC   30.1  180  stromgren b                      
 513876 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:30 1.121  WFC   30.1  180  stromgren y                      
 513877 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  04:31 1.122  WFC   60.1  180  g                                
 513878 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  04:33 1.123  WFC   34.5  180  r                                
 513879 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:34 1.124  WFC   45.1  180  stromgren u                      
 513880 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  04:36 1.125  WFC   35.1  180  stromgren v                      
 513881 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:37 1.126  WFC   29.6  180  stromgren b                      
 513882 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:38 1.127  WFC   30.1  180  stromgren y                      
 513883 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  04:39 1.128  WFC   60.1  180  g                                
 513884 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  04:41 1.129  WFC   35.1  180  r                                
 513885 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  04:42 1.130  WFC   44.5  180  stromgren u                      
 513886 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  04:44 1.132  WFC   35.1  180  stromgren v                      
 513887 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  04:45 1.133  WFC   29.6  180  stromgren b                      
 513888 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:46 1.134  WFC   30.1  180  stromgren y                      
 513889 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  04:47 1.135  WFC   60.1  180  g                                
 513890 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:49 1.136  WFC   35.1  180  r                                
 513891 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  04:51 1.138  WFC   45.1  180  stromgren u                      
 513892 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  04:52 1.139  WFC   35.1  180  stromgren v                      
 513893 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  04:53 1.140  WFC   29.5  180  stromgren b                      
 513894 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:54 1.141  WFC   30.1  180  stromgren y                      
 513895 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  04:56 1.143  WFC   60.1  180  g                                
 513896 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  04:57 1.144  WFC   35.1  180  r                                
 513897 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  04:59 1.146  WFC   45.1  180  stromgren u                      
 513898 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:00 1.147  WFC   35.1  180  stromgren v                      
 513899 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  05:01 1.149  WFC   30.1  180  stromgren b                      
 513900 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  05:03 1.150  WFC   30.1  180  stromgren y                      
 513901 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  05:04 1.151  WFC   59.5  180  g                                
 513902 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  05:05 1.153  WFC   35.1  180  r                                
 513903 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  05:07 1.155  WFC   44.6  180  stromgren u                      
 513904 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:08 1.156  WFC   35.1  180  stromgren v                      
 513905 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:09 1.158  WFC   30.1  180  stromgren b                      
 513906 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:11 1.159  WFC   30.1  180  stromgren y                      
 513907 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  05:12 1.161  WFC   60.0  180  g                                
 513908 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  05:13 1.163  WFC   34.5  180  r                                
 513909 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  05:15 1.165  WFC   45.1  180  stromgren u                      
 513910 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  05:16 1.166  WFC   35.1  180  stromgren v                      
 513911 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  05:17 1.168  WFC   30.1  180  stromgren b                      
 513912 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:19 1.170  WFC   29.6  180  stromgren y                      
 513913 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  05:20 1.172  WFC   59.5  180  g                                
 513914 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  05:21 1.174  WFC   35.1  180  r                                
 513915 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  05:23 1.175  WFC   45.1  180  stromgren u                      
 513916 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:24 1.177  WFC   34.5  180  stromgren v                      
 513917 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:26 1.179  WFC   30.1  180  stromgren b                      
 513918 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  05:27 1.181  WFC   30.1  180  stromgren y                      
 513919 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  05:28 1.183  WFC   60.1  180  g                                
 513920 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  05:30 1.185  WFC   35.1  180  r                                
 513921 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  05:31 1.187  WFC   45.1  180  stromgren u                      
 513922 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  05:32 1.190  WFC   34.6  180  stromgren v                      
 513923 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  05:34 1.191  WFC   30.1  180  stromgren b                      
 513924 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:35 1.193  WFC   30.1  180  stromgren y                      
 513925 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  05:36 1.196  WFC   60.1  180  g                                
