 444563 KVC41 B 60 -60   12:35:05.71 +40:51:18.0 2000.00  22:49 1.145  WFC  148.9  180  B                                
 444564 KVC41 B 60 -60   12:35:05.70 +40:51:18.0 2000.00  22:52 1.139  WFC  150.0  180  B                                
 444565 KVC41 B 60 -60   12:35:05.70 +40:51:18.0 2000.00  22:55 1.133  WFC  150.0  180  B                                
 444566 KVC41 R 60 -60   12:35:05.71 +40:51:18.0 2000.00  22:59 1.126  WFC  150.0  180  R                                
 444567 KVC41 R 60 -60   12:35:05.70 +40:51:18.0 2000.00  23:02 1.121  WFC  149.5  180  R                                
 444568 KVC41 R 60 -60   12:35:05.71 +40:51:18.0 2000.00  23:05 1.115  WFC  150.0  180  R                                
 444569 KVC41 R 60 -60   12:35:05.71 +40:51:18.0 2000.00  23:08 1.110  WFC  149.4  180  R                                
 444570 sa101 R 2         9:56:26.96 -00:23:09.6 2000.00  23:13 1.173  WFC    2.1  180  R                                
 444571 sa101 R 5         9:56:26.96 -00:23:09.5 2000.00  23:14 1.174  WFC    5.1  180  R                                
 444572 sa101 R 10        9:56:26.96 -00:23:09.4 2000.00  23:14 1.175  WFC   10.1  180  R                                
 444573 sa101 R 50        9:56:26.96 -00:23:09.4 2000.00  23:15 1.177  WFC   50.0  180  R                                
 444574 sa101 B 50        9:56:26.96 -00:23:09.4 2000.00  23:17 1.179  WFC   50.1  180  B                                
 444575 sa101 B 10        9:56:26.95 -00:23:09.4 2000.00  23:19 1.181  WFC   10.1  180  B                                
 444576 sa101 B 5         9:56:26.95 -00:23:09.4 2000.00  23:20 1.182  WFC    5.1  180  B                                
 444577 sa101 B 2         9:56:26.96 -00:23:09.4 2000.00  23:21 1.184  WFC    2.1  180  B                                
 444578 sa104 B 2        12:42:22.00 -00:33:09.4 2000.00  23:23 1.279  WFC    1.6  180  B                                
 444579 sa104 B 5        12:42:22.00 -00:33:09.4 2000.00  23:24 1.276  WFC    5.1  180  B                                
 444580 sa104 B 10       12:42:22.00 -00:33:09.4 2000.00  23:25 1.274  WFC   10.1  180  B                                
 444581 sa104 B 50       12:42:21.99 -00:33:09.3 2000.00  23:26 1.270  WFC   50.1  180  B                                
 444582 sa104 R 50       12:42:21.99 -00:33:09.4 2000.00  23:28 1.266  WFC   49.5  180  R                                
 444583 sa104 R 10       12:42:22.00 -00:33:09.3 2000.00  23:29 1.263  WFC   10.1  180  R                                
 444584 sa104 R 5        12:42:22.00 -00:33:09.3 2000.00  23:30 1.261  WFC    5.1  180  R                                
 444585 sa104 R 2        12:42:21.99 -00:33:09.4 2000.00  23:31 1.259  WFC    2.1  180  R                                
 444586 KVC26 R 180 0    12:28:41.14 +37:14:22.3 2000.00  23:37 1.047  WFC  599.7  180  R                                
 444587 KVC26 B 180 0    12:28:41.14 +37:14:22.2 2000.00  23:48 1.037  WFC  599.7  180  B                                
 444588 KVC17 B 0 0      12:19:00.11 +35:05:41.4 2000.00  00:04 1.015  WFC  599.8  180  B                                
 444589 KVC17 R 0 0      12:19:00.11 +35:05:41.2 2000.00  00:15 1.010  WFC  599.7  180  R                                
 444590 KVC17 R E        12:19:20.00 +35:04:41.0 2000.00  00:28 1.007  WFC  599.7  180  R                                
 444591 KVC17 B E        12:19:20.00 +35:04:40.9 2000.00  00:39 1.006  WFC  599.8  180  B                                
 444592 KVC17 B W        12:18:50.00 +35:04:41.0 2000.00  00:51 1.007  WFC  599.7  180  B                                
 444593 KVC17 R W        12:18:49.99 +35:04:41.0 2000.00  01:02 1.010  WFC  599.8  180  R                                
 444594 sa104 R 2        12:42:22.00 -00:33:09.4 2000.00  01:14 1.147  WFC    1.5  180  R                                
 444595 sa104 R 5        12:42:21.99 -00:33:09.4 2000.00  01:15 1.147  WFC    4.5  180  R                                
 444596 sa104 R 10       12:42:22.00 -00:33:09.4 2000.00  01:16 1.148  WFC    9.5  180  R                                
 444597 sa104 R 50       12:42:21.99 -00:33:09.2 2000.00  01:17 1.148  WFC   50.1  180  R                                
 444598 sa104 B 50       12:42:22.00 -00:33:09.3 2000.00  01:18 1.148  WFC   50.1  180  B                                
 444599 sa104 B 10       12:42:22.00 -00:33:09.4 2000.00  01:20 1.149  WFC   10.1  180  B                                
 444600 sa104 B 5        12:42:22.00 -00:33:09.3 2000.00  01:21 1.149  WFC    5.1  180  B                                
 444601 sa104 B 2        12:42:22.00 -00:33:09.3 2000.00  01:22 1.149  WFC    2.1  180  B                                
 444602 sa107 B 2        15:39:35.03 -00:15:06.6 2000.00  01:24 1.500  WFC    2.1  180  B                                
 444603 sa107 B 5        15:39:35.02 -00:15:06.5 2000.00  01:25 1.494  WFC    5.1  180  B                                
 444604 sa107 B 10       15:39:35.02 -00:15:06.5 2000.00  01:25 1.489  WFC   10.1  180  B                                
 444605 sa107 B 50       15:39:35.03 -00:15:06.5 2000.00  01:26 1.482  WFC   49.5  180  B                                
 444606 sa107 R 50       15:39:35.03 -00:15:06.5 2000.00  01:28 1.474  WFC   50.0  180  R                                
 444607 sa107 R 10       15:39:35.02 -00:15:06.5 2000.00  01:30 1.467  WFC   10.1  180  R                                
 444608 sa107 R 5        15:39:35.02 -00:15:06.6 2000.00  01:31 1.462  WFC    5.1  180  R                                
 444609 sa107 R 2        15:39:35.03 -00:15:06.5 2000.00  01:31 1.458  WFC    2.1  180  R                                
 444610 KVC25 R E        12:32:40.95 +36:54:50.2 2000.00  01:34 1.022  WFC  599.7  180  R                                
 444611 KVC25 B E        12:32:40.96 +36:54:50.1 2000.00  01:45 1.029  WFC  599.7  180  B                                
 444612 KVC25 B W        12:32:15.95 +36:55:50.2 2000.00  01:57 1.039  WFC  599.8  180  B                                
 444613 KVC25 R W        12:32:15.95 +36:55:50.2 2000.00  02:08 1.050  WFC  599.8  180  R                                
 444614 KVC25 R N        12:32:25.95 +36:56:50.0 2000.00  02:20 1.064  WFC  599.8  180  R                                
 444615 KVC25 B N        12:32:25.95 +36:56:50.2 2000.00  02:31 1.080  WFC  599.2  180  B                                
 444616 KVC31 B N        12:40:01.62 +38:02:11.0 2000.00  02:43 1.088  WFC  599.2  180  B                                
 444617 KVC31 R N        12:40:01.63 +38:02:10.9 2000.00  02:54 1.106  WFC  599.8  180  R                                
 444618 KVC31 R E        12:40:16.62 +38:01:10.6 2000.00  03:06 1.128  WFC  599.7  180  R                                
 444619 KVC31 B E        12:40:16.62 +38:01:10.9 2000.00  03:16 1.151  WFC  599.7  180  B                                
 444620 KVC31 B W        12:39:51.63 +38:00:10.9 2000.00  03:28 1.180  WFC  599.7  180  B                                
 444621 KVC31 R W        12:39:51.63 +38:00:10.8 2000.00  03:39 1.210  WFC  599.2  180  R                                
 444622 sa104 R 2        12:42:22.00 -00:33:09.3 2000.00  03:51 1.521  WFC    2.1  180  R                                
 444623 sa104 R 5        12:42:21.99 -00:33:09.3 2000.00  03:52 1.525  WFC    5.1  180  R                                
 444624 sa104 R 10       12:42:21.99 -00:33:09.3 2000.00  03:53 1.530  WFC    9.6  180  R                                
 444625 sa104 R 50       12:42:22.00 -00:33:09.4 2000.00  03:54 1.537  WFC   50.1  180  R                                
 444626 sa104 B 50       12:42:22.00 -00:33:09.4 2000.00  03:55 1.546  WFC   50.0  180  B                                
 444627 sa104 B 10       12:42:21.99 -00:33:09.4 2000.00  03:57 1.554  WFC   10.1  180  B                                
 444628 sa104 B 5        12:42:22.00 -00:33:09.4 2000.00  03:58 1.559  WFC    5.1  180  B                                
 444629 sa104 B 2        12:42:22.00 -00:33:09.4 2000.00  03:58 1.564  WFC    2.1  180  B                                
 444630 KVC42 B W        12:43:47.48 +41:26:30.2 2000.00  04:06 1.282  WFC  599.7  180  B                                
 444631 KVC42 R W        12:43:47.48 +41:26:30.1 2000.00  04:16 1.320  WFC  599.7  180  R                                
 444632 KVC42 R E        12:44:12.48 +41:27:30.1 2000.00  04:29 1.370  WFC  599.7  180  R                                
 444633 KVC42 B E        12:44:12.48 +41:27:30.1 2000.00  04:40 1.417  WFC  599.8  180  B                                
 444634 KVC42 B N        12:43:57.49 +41:29:30.1 2000.00  04:53 1.482  WFC  599.7  180  B                                
 444635 KVC42 R N        12:43:57.48 +41:29:30.1 2000.00  05:04 1.544  WFC  599.7  180  R                                
 444636 KVC61 B N        12:20:20.82 +46:17:25.0 2000.00  05:16 1.764  WFC  599.8  180  B                                
 444637 test44 R         12:29:59.16 +42:08:07.8 2000.00  05:27 1.774  WFC  120.0  180  R                                
 444638 test45 R         12:31:30.47 +42:52:36.8 2000.00  05:30 1.782  WFC  120.0  180  R                                
 444639 test49 R         12:28:46.58 +43:27:56.4 2000.00  05:34 1.832  WFC  120.0  180  R                                
