 534136 intphas_2821 i    5:51:03.31 +21:12:59.8 2000.00  03:34 1.011  WFC   10.1  180  i                                
 534137 intphas_2821o Ha  5:51:24.77 +21:17:59.9 2000.00  03:35 1.010  WFC  120.0  180  Halpha                           
 534138 intphas_2821o r   5:51:24.78 +21:17:59.9 2000.00  03:38 1.010  WFC   30.1  180  r                                
 534139 intphas_2821o i   5:51:24.78 +21:17:59.8 2000.00  03:39 1.009  WFC   10.1  180  i                                
 534140 intphas_2823 Ha   5:51:10.54 +19:45:00.1 2000.00  03:40 1.013  WFC  120.0  180  Halpha                           
 534141 intphas_2823 r    5:51:10.54 +19:44:59.9 2000.00  03:43 1.013  WFC   30.1  180  r                                
 534142 intphas_2823 i    5:51:10.53 +19:44:59.8 2000.00  03:44 1.013  WFC   10.1  180  i                                
 534143 intphas_2823o Ha  5:51:31.79 +19:49:59.9 2000.00  03:45 1.012  WFC  120.0  180  Halpha                           
 534144 intphas_2823o r   5:51:31.80 +19:49:59.9 2000.00  03:48 1.012  WFC   30.1  180  r                                
 534145 intphas_2823o i   5:51:31.79 +19:49:59.8 2000.00  03:49 1.012  WFC   10.1  180  i                                
 534146 intphas_2824 Ha   5:51:18.28 +18:17:00.0 2000.00  03:50 1.017  WFC  120.0  180  Halpha                           
 534147 intphas_2824 r    5:51:18.28 +18:17:00.0 2000.00  03:52 1.017  WFC   30.1  180  r                                
 534148 intphas_2824 i    5:51:18.28 +18:17:00.0 2000.00  03:54 1.017  WFC   10.1  180  i                                
