INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 09 06:46

TELESCOPE             INT
DATE                  20060708
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:51
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for second half of night


TIME LOST weather           0`:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
poor seeing gave way to thin cloud gave way to thick cloud

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512471 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:25 1.396  WFC   30.1  180  stromgren y                      
 512472 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:26 1.391  WFC   60.1  180  g                                
 512473 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  00:28 1.386  WFC   40.1  180  r                                
 512474 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  00:29 1.381  WFC   45.0  180  stromgren u                      
 512475 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:31 1.376  WFC   30.1  180  stromgren v                      
 512476 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:32 1.372  WFC   30.1  180  stromgren b                      
 512477 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:33 1.369  WFC   30.1  180  stromgren y                      
 512478 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  00:34 1.364  WFC   60.1  180  g                                
 512479 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  00:36 1.359  WFC   40.1  180  r                                
 512480 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  00:37 1.355  WFC   45.1  180  stromgren u                      
 512481 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  00:39 1.351  WFC   29.5  180  stromgren v                      
 512482 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:40 1.347  WFC   30.0  180  stromgren b                      
 512483 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:41 1.344  WFC   30.1  180  stromgren y                      
 512484 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:43 1.339  WFC   60.1  180  g                                
 512485 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  00:44 1.335  WFC   39.5  180  r                                
 512486 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  00:46 1.331  WFC   45.1  180  stromgren u                      
 512487 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  00:47 1.327  WFC   30.1  180  stromgren v                      
 512488 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  00:48 1.323  WFC   30.1  180  stromgren b                      
 512489 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:50 1.320  WFC   30.1  180  stromgren y                      
 512490 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  00:51 1.316  WFC   60.0  180  g                                
 512491 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  00:52 1.312  WFC   40.1  180  r                                
 512492 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  00:54 1.308  WFC   45.1  180  stromgren u                      
 512493 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  00:55 1.304  WFC   30.1  180  stromgren v                      
 512494 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  00:57 1.301  WFC   30.1  180  stromgren b                      
 512495 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  00:58 1.298  WFC   30.1  180  stromgren y                      
 512496 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  00:59 1.294  WFC   60.0  180  g                                
 512497 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:01 1.290  WFC   40.1  180  r                                
 512498 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:02 1.287  WFC   45.1  180  stromgren u                      
 512499 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:03 1.284  WFC   30.1  180  stromgren v                      
 512500 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:05 1.281  WFC   30.0  180  stromgren b                      
 512501 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:06 1.278  WFC   30.1  180  stromgren y                      
 512502 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  01:07 1.274  WFC   60.0  180  g                                
 512503 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  01:09 1.271  WFC   39.6  180  r                                
 512504 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:10 1.267  WFC   59.5  180  stromgren u                      
 512505 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:12 1.264  WFC   50.1  180  stromgren v                      
 512506 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  01:13 1.260  WFC   40.1  180  stromgren b                      
 512507 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  01:15 1.257  WFC   40.1  180  stromgren y                      
 512508 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:16 1.254  WFC   60.1  180  g                                
 512509 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  01:18 1.251  WFC   40.1  180  r                                
 512510 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:19 1.247  WFC   60.1  180  stromgren u                      
 512511 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:21 1.244  WFC   50.1  180  stromgren v                      
 512512 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  01:22 1.241  WFC   40.1  180  stromgren b                      
 512513 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:24 1.238  WFC   40.1  180  stromgren y                      
 512514 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  01:25 1.235  WFC   60.0  180  g                                
 512515 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  01:27 1.232  WFC   40.1  180  r                                
 512516 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  01:28 1.229  WFC   60.0  180  stromgren u                      
 512517 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:30 1.226  WFC   49.6  180  stromgren v                      
 512518 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  01:32 1.223  WFC   40.1  180  stromgren b                      
 512519 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  01:33 1.220  WFC   40.1  180  stromgren y                      
 512520 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:34 1.217  WFC   60.0  180  g                                
 512521 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  01:36 1.214  WFC   40.1  180  r                                
 512522 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  01:37 1.212  WFC   59.5  180  stromgren u                      
 512523 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  01:39 1.209  WFC   50.1  180  stromgren v                      
 512524 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  01:41 1.206  WFC   39.5  180  stromgren b                      
 512525 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:42 1.204  WFC   40.0  180  stromgren y                      
 512526 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  01:43 1.201  WFC   60.1  180  g                                
 512527 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  01:45 1.199  WFC   39.6  180  r                                
 512528 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  01:46 1.196  WFC   60.1  180  stromgren u                      
 512529 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  01:48 1.194  WFC   50.1  180  stromgren v                      
 512530 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  01:50 1.191  WFC   40.1  180  stromgren b                      
 512531 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  01:51 1.189  WFC   40.1  180  stromgren y                      
 512532 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  01:52 1.187  WFC   60.1  180  g                                
 512533 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  01:54 1.184  WFC   40.1  180  r                                
 512534 NGC7128 u        21:44:19.99 +53:43:59.8 2000.00  01:57 1.180  WFC   59.6  180  r                                
 512535 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  01:58 1.178  WFC   50.1  180  r                                
 512536 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:00 1.176  WFC   40.0  180  stromgren b                      
 512537 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:01 1.174  WFC   40.1  180  stromgren y                      
 512538 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:03 1.172  WFC   59.6  180  g                                
 512539 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  02:04 1.170  WFC   40.1  180  r                                
 512540 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  02:06 1.168  WFC   59.5  180  stromgren u                      
 512541 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:08 1.166  WFC   50.0  180  stromgren v                      
 512542 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  02:09 1.164  WFC   40.1  180  stromgren b                      
 512543 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:10 1.162  WFC   29.5  180  stromgren y                      
 512544 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:12 1.160  WFC   60.0  180  g                                
 512545 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:13 1.158  WFC   40.1  180  r                                
 512546 NGC7128 u        21:44:19.99 +53:44:00.2 2000.00  02:15 1.156  WFC   60.0  180  stromgren u                      
 512547 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  02:17 1.154  WFC   49.5  180  stromgren v                      
 512548 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:18 1.152  WFC   40.1  180  stromgren b                      
 512549 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:20 1.151  WFC   30.1  180  stromgren y                      
 512550 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:21 1.149  WFC   60.0  180  g                                
 512551 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  02:23 1.148  WFC   40.1  180  r                                
 512552 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:24 1.146  WFC   60.1  180  stromgren u                      
 512553 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:26 1.144  WFC   50.1  180  stromgren v                      
 512554 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  02:27 1.143  WFC   40.1  180  stromgren b                      
 512555 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  02:29 1.141  WFC   30.1  180  stromgren y                      
 512556 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:30 1.140  WFC   60.1  180  g                                
 512557 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:32 1.139  WFC   40.1  180  r                                
 512558 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  02:33 1.137  WFC   60.0  180  stromgren u                      
 512559 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  02:35 1.136  WFC   50.1  180  stromgren v                      
 512560 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:36 1.134  WFC   39.5  180  stromgren b                      
 512561 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  02:38 1.133  WFC   30.1  180  stromgren y                      
 512562 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  02:39 1.132  WFC   60.0  180  g                                
 512563 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:41 1.131  WFC   40.1  180  r                                
 512564 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  02:42 1.129  WFC   60.0  180  stromgren u                      
 512565 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  02:44 1.128  WFC   50.1  180  stromgren v                      
 512566 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  02:45 1.127  WFC   40.1  180  stromgren b                      
 512567 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  02:47 1.126  WFC   29.6  180  stromgren y                      
 512568 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  02:48 1.125  WFC   59.5  180  g                                
 512569 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  02:49 1.124  WFC   40.1  180  r                                
 512570 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  02:51 1.123  WFC   60.0  180  stromgren u                      
 512571 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  02:53 1.121  WFC   50.1  180  stromgren v                      
 512572 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  02:54 1.120  WFC   40.0  180  stromgren b                      
 512573 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  02:55 1.120  WFC   30.1  180  stromgren y                      
 512574 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  02:57 1.119  WFC   60.1  180  g                                
 512575 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  02:58 1.118  WFC   40.1  180  r                                
 512576 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  03:00 1.117  WFC   60.1  180  stromgren u                      
 512577 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  03:01 1.116  WFC   50.1  180  stromgren v                      
 512578 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  03:03 1.115  WFC   40.1  180  stromgren b                      
 512579 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:04 1.114  WFC   29.6  180  stromgren y                      
 512580 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  03:05 1.114  WFC   60.0  180  g                                
 512581 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  03:07 1.113  WFC   39.6  180  r                                
 512582 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  03:09 1.112  WFC   60.0  180  stromgren u                      
 512583 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  03:10 1.111  WFC   50.1  180  stromgren v                      
 512584 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  03:12 1.111  WFC   40.1  180  stromgren b                      
 512585 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:13 1.110  WFC   30.1  180  stromgren y                      
 512586 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  03:14 1.110  WFC   59.6  180  g                                
 512587 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  03:16 1.109  WFC   40.1  180  r                                
 512588 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  03:17 1.108  WFC   60.1  180  stromgren u                      
 512589 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  03:19 1.108  WFC   50.1  180  stromgren v                      
 512590 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  03:21 1.107  WFC   40.1  180  stromgren b                      
 512591 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:22 1.107  WFC   30.1  180  stromgren y                      
 512592 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  03:23 1.107  WFC   60.1  180  g                                
 512593 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  03:25 1.106  WFC   40.1  180  r                                
 512595 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:27 1.106  WFC  119.5  180  stromgren y                      
 512596 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:30 1.105  WFC  120.1  180  stromgren y                      
 512597 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:32 1.104  WFC  120.0  180  stromgren y                      
 512598 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:35 1.104  WFC  120.1  180  stromgren y                      
 512599 NGC7128 y        21:44:20.01 +53:43:59.9 2000.00  03:37 1.104  WFC  120.0  180  stromgren y                      
 512600 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:40 1.103  WFC  120.0  180  stromgren y                      
 512601 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  03:43 1.103  WFC  120.0  180  stromgren y                      
 512602 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  03:45 1.103  WFC  119.5  180  stromgren y                      
 512603 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  03:48 1.103  WFC  120.0  180  stromgren y                      
 512604 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:50 1.103  WFC  120.1  180  stromgren y                      
 512605 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  03:54 1.103  WFC  120.0  180  stromgren y                      
 512606 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  03:57 1.104  WFC  120.0  180  stromgren y                      
 512607 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:00 1.104  WFC   90.0  180  stromgren y                      
 512608 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:02 1.104  WFC  120.1  180  stromgren y                      
 512609 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:04 1.105  WFC  180.0  180  stromgren y                      
 512610 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:08 1.106  WFC  180.0  180  stromgren y                      
 512611 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:11 1.107  WFC  180.0  180  stromgren y                      
 512612 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:15 1.108  WFC  180.0  180  stromgren y                      
 512613 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:19 1.109  WFC  180.0  180  stromgren y                      
 512614 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:22 1.111  WFC  120.0  180  stromgren y                      
 512615 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:26 1.112  WFC  120.0  180  stromgren y                      
 512616 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:28 1.114  WFC  119.5  180  stromgren y                      
 512617 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:31 1.115  WFC  120.0  180  stromgren y                      
 512618 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:34 1.116  WFC   60.0  180  stromgren y                      
 512619 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:35 1.117  WFC  119.5  180  stromgren y                      
 512620 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:38 1.119  WFC  120.0  180  stromgren y                      
 512621 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:41 1.120  WFC   60.1  180  stromgren y                      
 512622 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:42 1.121  WFC   59.6  180  stromgren y                      
 512623 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  04:44 1.123  WFC   90.0  180  stromgren y                      
 512624 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:46 1.124  WFC  120.0  180  stromgren y                      
 512625 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:49 1.127  WFC  120.0  180  stromgren y                      
 512626 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:52 1.129  WFC   90.0  180  stromgren y                      
 512627 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  04:54 1.130  WFC   90.0  180  stromgren y                      
 512628 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  04:56 1.132  WFC  120.0  180  stromgren y                      
 512629 NGC7128 y        21:44:20.00 +53:43:59.9 2000.00  04:58 1.134  WFC   60.1  180  stromgren y                      
 512630 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:00 1.136  WFC  120.0  180  stromgren y                      
 512631 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:03 1.138  WFC   60.1  180  stromgren y                      
 512632 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  05:04 1.139  WFC   40.1  180  stromgren y                      
 512633 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:06 1.141  WFC   30.1  180  stromgren y                      
 512634 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  05:07 1.142  WFC   30.8  180  stromgren y                      
 512635 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  05:09 1.145  WFC   45.1  180  stromgren u                      
 512636 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  05:11 1.146  WFC   30.1  180  stromgren v                      
 512637 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  05:12 1.147  WFC   30.0  180  stromgren b                      
 512638 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:13 1.149  WFC   30.1  180  stromgren y                      
 512639 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  05:14 1.150  WFC   60.0  180  g                                
 512640 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  05:16 1.152  WFC   40.1  180  r                                
 512641 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  05:17 1.154  WFC   45.0  180  stromgren u                      
 512642 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  05:19 1.155  WFC   30.1  180  stromgren v                      
 512643 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  05:20 1.157  WFC   30.1  180  stromgren b                      
 512644 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  05:21 1.158  WFC   30.1  180  stromgren y                      
 512645 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  05:23 1.160  WFC   60.1  180  g                                
 512646 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  05:24 1.162  WFC   40.1  180  r                                
 512647 Bias             21:44:19.99 +53:44:00.0 2000.00  05:26 1.163  WFC    0.0  180  stromgren u                      
 512648 Bias             21:44:20.00 +53:44:00.0 2000.00  05:26 1.164  WFC    0.0  180  stromgren u                      
 512649 Bias             21:44:19.99 +53:43:59.9 2000.00  05:27 1.165  WFC    0.0  180  stromgren u                      
 512650 Bias             21:44:20.00 +53:43:59.9 2000.00  05:28 1.165  WFC    0.0  180  stromgren u                      
 512651 Bias             21:44:19.99 +53:44:00.0 2000.00  05:28 1.166  WFC    0.0  180  stromgren u                      
