INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 09 06:46

TELESCOPE             INT
DATE                  20060708
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    94
DARK TIME (HRS)       07:00
TWILIGHT TIME (HRS)   02:51
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for second half of night


TIME LOST weather           0`:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
poor seeing gave way to thin cloud gave way to thick cloud

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512347 ca               12:29:00.00 +10:38:00.0 2000.00  21:21 1.369  WFC   60.1  180  r                                
 512348 ca               12:29:00.00 +10:38:00.0 2000.00  21:22 1.377  WFC   60.0  180  r                                
 512349 ca               12:28:59.99 +10:37:59.9 2000.00  21:24 1.385  WFC   60.0  180  r                                
 512350 ca               12:28:59.99 +10:38:00.0 2000.00  21:26 1.393  WFC   60.0  180  r                                
 512351 ca               12:29:00.00 +10:38:00.0 2000.00  21:27 1.401  WFC   60.1  180  r                                
 512352 ca               12:29:00.00 +10:38:00.0 2000.00  21:29 1.409  WFC   60.1  180  r                                
 512353 ca               12:28:59.99 +10:38:00.0 2000.00  21:30 1.418  WFC   60.1  180  r                                
 512354 ca               12:29:00.00 +10:37:59.9 2000.00  21:32 1.426  WFC   60.1  180  r                                
 512355 ca               12:29:00.00 +10:37:59.9 2000.00  21:34 1.435  WFC   60.1  180  r                                
 512356 ca               12:28:59.99 +10:38:00.0 2000.00  21:35 1.445  WFC   60.1  180  r                                
 512357 ca               12:28:59.99 +10:37:59.9 2000.00  21:37 1.454  WFC   60.1  180  r                                
 512358 ca               12:28:59.99 +10:38:00.1 2000.00  21:39 1.463  WFC   60.1  180  r                                
 512359 ca               12:28:59.99 +10:37:59.9 2000.00  21:40 1.472  WFC   60.0  180  r                                
 512360 ca               12:29:00.00 +10:38:00.0 2000.00  21:42 1.482  WFC   60.1  180  r                                
 512361 ca               12:28:59.99 +10:38:00.0 2000.00  21:43 1.492  WFC   60.0  180  r                                
 512362 ca               12:28:59.99 +10:37:59.9 2000.00  21:45 1.502  WFC   60.1  180  r                                
 512363 ca               12:29:00.00 +10:38:00.0 2000.00  21:47 1.512  WFC   60.0  180  r                                
