 553358 2007da            9:39:11.38 +23:35:25.2 2000.00  20:41 1.369  WFC   40.6  180  r                                
 553359 2007da            9:39:11.39 +23:35:25.5 2000.00  20:43 1.363  WFC   41.0  180  r                                
 553360 2007da            9:39:11.38 +23:35:25.2 2000.00  20:44 1.357  WFC   40.5  180  r                                
 553361 2007da            9:39:11.39 +23:35:25.2 2000.00  20:45 1.352  WFC   41.1  180  r                                
 553362 2007da            9:39:11.38 +23:35:25.1 2000.00  20:46 1.346  WFC   41.1  180  r                                
 553363 2007da            9:39:11.38 +23:35:25.2 2000.00  20:47 1.341  WFC   41.0  180  r                                
 553364 2000ee104         9:15:37.37 +33:50:58.9 2000.00  20:50 1.212  WFC   28.1  180  r                                
 553365 2000ee104         9:15:37.38 +33:50:59.0 2000.00  20:51 1.209  WFC   28.1  180  r                                
 553366 2000ee104         9:15:37.38 +33:50:58.8 2000.00  20:52 1.206  WFC   28.1  180  r                                
 553367 2000ee104         9:15:37.38 +33:50:58.8 2000.00  20:53 1.203  WFC   28.1  180  r                                
 553368 2000ee104         9:15:37.38 +33:50:58.9 2000.00  20:54 1.200  WFC   28.1  180  r                                
 553369 2000ee104         9:15:37.38 +33:50:59.0 2000.00  20:54 1.197  WFC   28.1  180  r                                
 553370 2000ee104         9:15:37.38 +33:50:59.0 2000.00  20:55 1.195  WFC   28.1  180  r                                
 553371 2000ee104         9:15:37.38 +33:50:58.9 2000.00  20:56 1.192  WFC   27.6  180  r                                
 553372 2007da            9:39:11.39 +23:35:25.3 2000.00  20:58 1.293  WFC   41.1  180  r                                
 553373 2007da            9:39:11.39 +23:35:25.3 2000.00  21:00 1.288  WFC   41.1  180  r                                
 553374 2007da            9:39:11.39 +23:35:25.3 2000.00  21:01 1.284  WFC   40.5  180  r                                
 553375 2007da            9:39:11.37 +23:35:25.4 2000.00  21:02 1.279  WFC   41.1  180  r                                
 553376 2000ee104         9:15:37.38 +33:50:59.0 2000.00  21:04 1.171  WFC   28.1  180  r                                
 553377 2000ee104         9:15:37.37 +33:50:58.8 2000.00  21:05 1.168  WFC   27.6  180  r                                
 553378 2000ee104         9:15:37.38 +33:50:58.8 2000.00  21:06 1.166  WFC   27.5  180  r                                
 553379 2000ee104         9:15:37.38 +33:50:58.8 2000.00  21:07 1.163  WFC   27.6  180  r                                
 553380 2007da            9:39:11.39 +23:35:25.3 2000.00  21:09 1.252  WFC   41.1  180  r                                
 553381 2007da            9:39:11.39 +23:35:25.2 2000.00  21:10 1.248  WFC   41.1  180  r                                
 553382 2007da            9:39:11.38 +23:35:25.5 2000.00  21:11 1.244  WFC   40.5  180  r                                
 553383 2007da            9:39:11.39 +23:35:25.2 2000.00  21:13 1.240  WFC   41.1  180  r                                
 553384 2000ee104         9:15:37.38 +33:50:58.7 2000.00  21:15 1.145  WFC   28.1  180  r                                
 553385 2000ee104         9:15:37.38 +33:50:58.8 2000.00  21:16 1.143  WFC   28.0  180  r                                
 553386 2000ee104         9:15:37.39 +33:50:58.9 2000.00  21:17 1.141  WFC   28.1  180  r                                
 553387 2000ee104         9:15:37.38 +33:50:58.9 2000.00  21:18 1.138  WFC   28.1  180  r                                
 553388 2007da            9:39:11.39 +23:35:25.2 2000.00  21:20 1.217  WFC   41.1  180  r                                
 553389 2007da            9:39:11.38 +23:35:25.4 2000.00  21:21 1.213  WFC   41.0  180  r                                
 553390 2007da            9:39:11.39 +23:35:25.1 2000.00  21:22 1.209  WFC   41.1  180  r                                
 553391 2007da            9:39:11.38 +23:35:25.3 2000.00  21:23 1.205  WFC   41.1  180  r                                
 553392 2000ee104         9:15:37.37 +33:50:58.7 2000.00  21:25 1.122  WFC   28.1  180  r                                
 553393 2000ee104         9:15:37.38 +33:50:58.9 2000.00  21:26 1.120  WFC   27.6  180  r                                
 553394 2000ee104         9:15:37.37 +33:50:59.0 2000.00  21:27 1.118  WFC   28.1  180  r                                
 553395 2000ee104         9:15:37.37 +33:50:58.9 2000.00  21:28 1.116  WFC   28.1  180  r                                
 553396 2007da            9:39:11.39 +23:35:25.3 2000.00  21:30 1.184  WFC   41.1  180  r                                
 553397 2007da            9:39:11.38 +23:35:25.6 2000.00  21:31 1.181  WFC   41.0  180  r                                
 553398 2007da            9:39:11.39 +23:35:25.4 2000.00  21:33 1.177  WFC   40.5  180  r                                
